SED_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SED21106,0,4,1930,1935,4,82,1422,1505,451,924,1494,2868,1904,684,773,3356,2892,529,850,4268,2581,339,792,3711,1866,242,559,2665,1098,71,345,1516,312,17,206,534,11100,2890,8363,22355,0,9,1742,1751,4,118,1304,1426,675,1052,1546,3275,2216,631,1146,3992,3120,490,1395,5004,2439,328,1286,4046,1703,159,1132,3002,849,40,967,1860,138,3,638,777,11148,2830,11156,25132,0,15,3675,3681,11,200,2722,2930,1128,1982,3035,6143,4117,1317,1913,7346,6008,1018,2245,9272,5017,669,2079,7763,3568,402,1691,5665,1945,113,1311,3373,454,19,839,1312,22253,5722,19514,47488
SED21203,0,6,2219,2225,92,69,2595,2754,1699,505,3692,5894,2876,302,1494,4668,2298,219,1319,3832,2255,155,1193,3605,1481,74,631,2190,1004,20,353,1371,309,0,201,507,12018,1348,13690,27053,0,12,2090,2104,291,123,1955,2373,2605,532,2113,5254,2824,302,1352,4482,2350,207,1430,3987,1951,127,1494,3576,1283,45,1197,2525,662,12,1050,1716,124,3,578,705,12100,1363,13263,26723,7,21,4303,4325,380,195,4551,5128,4301,1033,5804,11144,5699,602,2847,9147,4647,432,2748,7823,4208,280,2688,7184,2767,117,1828,4716,1666,30,1399,3092,433,3,777,1215,24113,2709,26955,53778
SED21303,0,3,1212,1216,15,245,2361,2624,1059,2710,4876,8644,2339,1606,1968,5911,2027,714,1310,4058,1476,375,1005,2850,1067,150,634,1859,733,40,352,1119,273,4,178,458,8988,5844,13903,28738,0,19,1215,1231,46,373,2678,3093,1418,2940,5108,9473,2377,1436,2291,6107,2046,639,1567,4252,1449,339,1410,3189,1009,137,1116,2257,570,15,879,1465,106,0,591,696,9021,5890,16848,31762,0,25,2428,2449,57,619,5033,5717,2481,5654,9986,18119,4720,3036,4260,12016,4072,1354,2882,8302,2925,711,2415,6047,2081,287,1752,4111,1305,55,1222,2583,375,4,771,1149,18004,11740,30751,60494
SED21401,0,4,1849,1853,17,96,1888,1994,1078,660,2064,3805,2601,357,968,3926,2680,265,961,3909,2833,197,756,3795,2397,87,479,2965,2063,39,419,2521,677,11,278,969,14349,1720,9666,25733,0,3,1703,1705,34,140,1552,1727,1424,734,1692,3855,2902,334,1054,4287,2831,262,1267,4359,2848,156,1225,4231,2491,83,1148,3725,1633,22,1330,2990,296,3,831,1132,14467,1739,11799,28009,0,11,3550,3559,54,232,3431,3722,2501,1391,3763,7653,5499,691,2018,8214,5509,528,2230,8269,5682,353,1984,8023,4887,174,1635,6692,3697,59,1746,5509,977,14,1103,2099,28814,3461,21468,53743
SED21503,0,9,1668,1672,15,117,2041,2172,1070,869,2462,4400,2369,499,1024,3893,2428,329,1040,3801,2087,197,813,3103,1822,83,562,2468,1141,23,356,1528,292,4,171,469,11224,2139,10146,23503,0,12,1475,1487,35,168,1633,1836,1424,940,1703,4073,2526,458,971,3957,2470,312,1184,3964,2078,161,1178,3418,1767,69,1027,2862,837,15,951,1804,137,4,515,659,11280,2142,10638,24063,0,21,3142,3168,48,288,3672,4003,2500,1811,4169,8476,4897,955,1997,7846,4898,645,2227,7763,4166,362,1995,6519,3588,156,1592,5330,1980,41,1307,3331,428,13,690,1130,22495,4282,20787,47568
SED21608,0,12,1868,1886,23,289,1521,1840,1020,1124,1692,3833,2160,700,954,3815,2308,574,1028,3908,2307,415,1045,3767,2140,193,806,3145,958,59,454,1470,210,4,136,349,11130,3377,9511,24020,0,28,1734,1763,53,376,1244,1680,1344,1179,1504,4025,2361,670,1088,4120,2374,575,1279,4231,2329,365,1344,4036,1905,145,1317,3370,760,34,846,1638,96,0,431,524,11227,3370,10793,25392,0,40,3603,3648,85,670,2771,3524,2359,2303,3189,7861,4519,1367,2044,7938,4684,1149,2303,8141,4635,776,2390,7804,4052,337,2129,6514,1718,93,1300,3109,300,7,569,883,22353,6752,20305,49406
SED21706,0,10,2073,2082,18,156,2394,2567,1057,842,2520,4421,2749,417,891,4060,3100,319,774,4198,2616,240,703,3558,1868,108,563,2537,1000,29,344,1377,349,6,190,539,12754,2129,10462,25338,0,3,2099,2099,24,219,2107,2349,1396,842,1849,4089,3041,408,919,4363,3264,318,1286,4865,2433,195,1291,3923,1715,78,1136,2934,798,15,1029,1845,153,3,711,863,12834,2076,12427,27328,0,14,4165,4185,44,372,4505,4919,2455,1682,4372,8508,5794,822,1807,8421,6368,633,2061,9062,5048,434,1996,7479,3588,190,1705,5478,1799,48,1375,3222,500,9,897,1401,25585,4201,22885,52669
SED21805,0,18,1835,1848,15,176,1520,1715,1099,1311,1900,4306,2668,976,1131,4780,2571,675,1390,4630,2295,463,1244,4001,1792,146,881,2817,898,57,493,1448,201,12,174,383,11536,3828,10564,25924,0,23,1637,1658,42,277,1377,1702,1558,1446,1647,4646,2888,923,1299,5106,2600,647,1648,4891,2180,377,1729,4283,1606,136,1563,3305,643,38,1020,1697,103,3,526,636,11617,3872,12443,27932,0,38,3474,3511,63,456,2899,3415,2655,2751,3543,8950,5560,1895,2435,9891,5167,1318,3039,9521,4467,838,2977,8285,3396,285,2443,6118,1543,94,1511,3153,305,14,703,1016,23158,7695,23010,53859
SED21906,0,5,1542,1545,45,176,1812,2032,1181,1606,2780,5567,2592,813,1174,4573,2341,494,926,3762,1992,265,822,3081,1879,172,733,2783,887,49,339,1274,269,19,175,459,11182,3603,10294,25080,0,11,1583,1596,95,265,1754,2110,1594,1671,2519,5793,2726,660,1358,4734,2415,397,1308,4117,1913,211,1186,3310,1717,128,1267,3111,614,41,876,1529,116,11,561,693,11192,3393,12411,26994,0,16,3123,3144,143,438,3563,4141,2777,3278,5301,11360,5314,1473,2526,9310,4747,892,2233,7874,3905,477,2012,6392,3599,298,1998,5895,1496,90,1215,2801,385,33,736,1150,22368,6993,22706,52077
SED22005,0,8,1752,1757,52,160,2929,3139,1776,961,4499,7232,3220,446,1480,5143,2554,330,1281,4159,2237,199,1086,3525,2005,81,700,2785,1318,33,433,1783,398,8,279,678,13553,2211,14439,30202,4,19,1586,1607,127,215,2187,2525,2425,991,2557,5971,3275,451,1271,4995,2598,274,1469,4340,2183,171,1513,3865,1851,58,1399,3312,957,23,1239,2218,168,5,759,934,13595,2204,13966,29770,9,26,3330,3371,178,373,5112,5663,4203,1952,7057,13209,6491,893,2757,10146,5154,598,2746,8496,4418,367,2604,7389,3863,142,2100,6097,2278,52,1668,4004,564,10,1031,1610,27150,4420,28404,59974
SED22105,0,19,3579,3603,89,367,3416,3874,3619,1869,3892,9378,8148,1057,1733,10946,4883,653,1393,6932,3218,367,1141,4724,2061,119,667,2851,932,47,339,1321,211,9,122,341,23168,4503,16298,43970,9,32,3551,3594,257,549,2968,3770,5541,2002,3016,10561,7884,986,1899,10773,4373,590,1911,6875,2760,281,1746,4789,1719,101,1478,3296,658,30,895,1582,117,3,383,502,23315,4576,17850,45742,9,53,7135,7196,345,912,6386,7644,9167,3869,6911,19943,16035,2040,3636,21719,9258,1245,3310,13805,5978,648,2888,9515,3779,219,2145,6141,1594,78,1240,2902,327,8,505,845,46485,9075,34153,89712
