SED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED20106,11,7,57,51,72,116,244,426,207,1179,3,12,82,42,34,34,49,77,55,394,102,329,1288,908,669,613,488,364,183,4944,1049,5586,20440,14268,10698,8787,6169,3271,977,71246
SED20207,36,30,76,155,212,376,818,701,359,2763,6,23,87,89,138,152,192,154,70,916,264,346,932,1032,615,442,368,256,138,4401,2147,5598,15412,21392,14177,9588,6743,3072,1096,79230
SED20302,50,45,190,230,244,445,756,896,491,3353,4,24,123,126,148,103,88,83,42,737,289,293,988,847,703,708,862,676,375,5739,2314,5801,17569,17355,12608,11993,11179,5951,1959,86728
SED20401,14,26,70,99,149,203,340,494,346,1740,0,10,48,54,54,73,76,52,25,385,107,140,386,377,333,290,317,378,409,2747,1213,3561,9118,9775,8556,7478,6115,3637,1683,51133
SED20508,22,15,44,49,74,184,501,650,370,1926,3,3,12,18,20,20,22,34,14,154,126,118,244,334,352,492,730,611,360,3369,1326,2879,6397,8039,8771,10126,11356,6073,2092,57063
SED20604,28,27,86,106,127,257,542,667,442,2272,6,4,30,27,54,56,51,22,19,269,230,239,473,496,503,536,585,469,278,3801,1783,3525,8149,8391,8862,9521,8560,4341,1548,54680
SED20704,41,38,136,144,160,288,584,653,419,2459,0,18,57,61,76,64,37,21,12,349,211,198,479,450,490,524,490,442,343,3629,1837,4436,9244,8788,8670,8903,7721,4031,1686,55324
SED20804,26,27,118,153,180,274,617,740,419,2557,6,14,53,66,68,65,52,25,14,370,173,204,538,475,494,525,600,596,517,4120,1308,3234,7754,7595,7934,8532,8100,4643,1885,50986
SED20906,7,12,16,35,58,95,332,623,450,1633,4,8,41,39,42,64,67,89,58,422,98,113,299,310,295,250,247,300,205,2121,1398,3665,7386,9995,10391,7667,5334,3284,1818,50939
SED21001,7,30,52,88,144,150,295,439,377,1578,5,28,92,81,81,86,98,66,78,618,120,313,630,355,338,272,325,382,506,3247,1459,5764,10748,9695,9895,8356,6494,4235,2594,59238
SED21106,5,4,6,27,22,64,120,250,242,733,0,5,11,23,26,32,30,33,27,189,98,99,334,389,388,293,309,302,313,2536,1220,3182,6713,7940,9903,8388,6282,3883,1927,49446
SED21203,35,76,325,599,758,1035,1282,1361,626,6092,4,44,177,289,399,558,531,488,269,2763,332,473,1162,982,681,626,472,365,197,5281,1956,5531,12257,10057,8480,7734,5070,3463,1503,56056
SED21303,4,6,29,45,65,191,513,1080,702,2640,0,10,41,29,46,94,201,296,182,893,59,210,774,442,269,255,261,217,121,2606,982,6186,19604,12831,8817,6516,4459,2848,1476,63705
SED21401,4,7,37,51,66,188,626,1288,858,3123,0,14,55,33,49,115,149,205,163,780,79,99,297,313,271,275,334,400,310,2372,1215,3877,8029,8605,8590,8339,7033,6010,2811,54513
SED21503,18,15,58,76,124,229,593,902,502,2524,0,14,49,54,116,127,132,139,82,714,131,289,447,289,231,252,247,251,187,2327,1409,4639,9135,8248,8093,6815,5645,3616,1477,49072
SED21608,29,50,99,108,127,264,562,627,326,2200,3,10,20,13,30,36,33,20,13,185,249,252,513,429,534,440,571,440,250,3668,1741,3957,8599,8520,8796,8455,7281,3554,1266,52163
SED21706,20,21,29,48,60,119,310,476,367,1440,0,18,53,53,60,76,98,91,54,495,91,285,548,332,273,250,290,245,243,2562,1579,5716,9350,8885,9466,7886,5864,3598,2091,54439
SED21805,23,34,74,99,171,237,446,558,337,1983,8,7,32,27,44,58,53,50,33,314,140,151,442,458,433,355,366,405,257,3011,1423,3668,9539,10445,10026,8793,6641,3498,1359,55374
SED21906,8,9,32,32,46,60,187,269,288,938,6,8,28,32,19,29,39,71,50,273,99,251,685,435,293,238,360,291,279,2921,1053,4546,12315,9919,8289,6841,6483,3205,1751,54406
SED22005,17,22,137,166,270,517,1037,1365,710,4246,8,52,194,172,253,402,462,408,234,2194,132,342,896,478,347,350,407,421,414,3787,1384,6062,14105,10636,8901,7790,6504,4401,2320,62094
SED22105,55,67,339,469,459,542,729,657,317,3629,12,56,374,432,442,346,241,126,49,2070,311,409,1195,997,661,510,412,309,180,4986,2878,8136,21169,22694,14492,10070,6614,3259,1173,90487
SED22201,16,33,132,178,164,164,312,488,343,1831,5,9,91,93,89,75,65,37,29,490,91,107,305,252,233,244,245,292,242,2005,1159,3475,8414,8785,7760,7260,6125,3909,1585,48476
SED22305,43,95,461,686,567,649,885,960,479,4824,13,92,671,798,673,493,326,244,131,3438,268,397,1246,944,682,620,574,439,196,5370,1611,5101,13738,11333,8570,7826,6232,3690,1511,59610
SED22404,33,18,67,76,121,229,411,588,303,1839,7,12,24,16,20,22,27,21,16,152,257,242,439,543,703,773,695,490,212,4350,1444,2852,6178,6857,8610,9896,8559,4203,1315,49918
SED22501,9,9,21,18,35,73,246,402,239,1066,6,6,14,25,28,42,23,24,23,187,66,63,129,183,207,203,251,229,140,1466,1207,3069,5349,7979,8789,8220,6942,3336,1039,45932
SED22607,8,20,63,78,94,215,392,698,480,2050,0,8,81,47,79,89,111,157,130,700,108,218,650,462,409,364,291,235,132,2868,1327,4871,12436,10472,9614,8082,5825,2893,1454,56971
