SED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED25802,116,63,181,41,28,72,9,3,11,0,0,5,19,17,36,12035,9726,21769,711,732,1445,327,12,338,76,4,78,43,16,58,79,38,121,431,354,784,13885,10999,24884,13,13,30,0,0,0,3,0,0,35,15,48,13,3,17,9,0,12,72,38,118,0,0,0,0,0,0,7,9,15,7,3,7,5,0,0,14,10,28,132,47,180,221,98,322,14,9,25,0,0,4,8,0,8,23,9,32,2211,3147,5357,1383,2619,3995,147,131,284,17876,17001,34878
SED25905,199,173,368,67,92,159,0,0,0,0,0,0,31,23,63,11602,7642,19245,563,711,1275,267,9,276,38,10,46,25,0,25,92,52,144,75,95,170,12969,8799,21773,56,59,123,0,0,0,3,12,15,76,37,112,10,14,30,6,6,10,154,131,285,0,0,0,0,0,0,9,3,9,11,18,30,6,0,6,19,23,46,112,50,158,282,199,486,33,47,76,0,4,6,6,3,8,44,51,94,2591,3491,6077,1203,2027,3234,73,47,116,17165,14618,31779
SED26005,326,233,558,85,124,211,3,4,9,0,0,3,47,39,87,14876,9763,24636,877,1106,1988,284,7,289,81,0,82,37,8,46,142,67,207,73,110,190,16835,11469,28303,73,99,170,0,0,0,10,10,21,117,48,169,9,23,36,13,9,14,217,188,408,0,0,0,0,0,0,11,5,19,15,32,47,3,8,9,26,44,70,151,90,239,395,322,719,54,83,136,8,7,16,7,0,13,71,91,162,3511,4274,7782,1559,2645,4204,108,61,163,22476,18861,41339
SED26102,16,15,30,43,43,89,8,3,15,0,0,0,7,0,6,8491,6381,14871,437,457,893,194,9,199,29,0,29,70,28,97,57,45,101,259,210,473,9610,7188,16803,0,0,0,0,0,0,4,0,4,19,4,20,0,0,3,0,0,0,20,6,33,0,0,0,0,0,0,5,6,7,9,6,12,0,0,5,14,12,25,78,22,100,113,47,157,0,0,10,4,0,7,7,0,7,16,8,15,2824,3526,6348,1593,2561,4150,152,170,322,14303,13494,27795
SED26207,161,144,307,52,54,101,5,3,13,30,59,92,23,21,45,8830,5968,14797,398,605,1002,123,3,129,57,0,61,90,20,113,78,46,126,136,153,288,9991,7082,17070,55,47,103,0,0,0,22,17,46,57,42,98,7,6,22,3,6,4,141,127,270,0,0,0,14,17,37,15,13,22,0,15,20,0,0,0,29,47,74,93,61,155,269,228,493,39,40,82,9,0,10,8,3,7,53,49,102,3710,4927,8640,1335,2278,3615,72,69,146,15424,14632,30060
SED26303,495,486,981,111,137,248,0,4,4,273,359,631,36,49,85,6073,4945,11016,224,376,598,84,6,86,111,15,127,870,567,1434,79,64,140,379,490,871,8725,7491,16211,57,38,101,0,0,0,63,90,162,30,31,58,10,14,23,40,29,70,208,200,408,0,0,0,35,53,84,4,5,8,3,4,8,3,6,5,48,67,116,109,91,201,365,361,721,54,55,110,6,4,9,11,9,19,68,67,134,7699,9384,17078,1805,3050,4850,49,49,98,18707,20397,39103
SED26406,700,712,1406,187,294,483,4,0,4,19,36,63,65,53,115,8915,6466,15384,334,641,979,102,3,103,86,7,95,191,60,253,123,70,196,418,490,907,11147,8841,19991,147,163,311,0,0,0,70,87,157,86,58,141,13,22,39,30,15,48,339,351,694,0,0,0,7,10,15,10,12,24,9,38,44,11,13,26,47,65,109,97,70,163,476,490,965,100,105,213,3,18,21,7,5,7,112,125,238,6585,6879,13471,1717,2732,4454,93,55,146,20141,19131,39269
SED26504,4,0,4,29,33,64,3,5,3,0,0,3,22,15,38,9052,7922,16974,668,674,1340,191,5,198,55,9,67,215,78,291,102,51,154,634,611,1250,10968,9409,20376,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,5,0,9,3,0,7,0,3,3,10,7,14,108,51,160,118,65,178,0,0,0,0,0,0,10,0,10,12,0,12,1491,1837,3334,1096,1912,3005,115,113,231,13808,13335,27146
SED26603,837,854,1690,89,110,199,8,0,3,141,236,374,60,63,117,10011,6540,16553,447,622,1071,136,6,139,124,17,138,356,178,535,116,65,175,201,286,485,12513,8969,21483,129,140,273,0,0,0,107,107,209,73,39,111,10,38,48,35,21,52,354,347,692,0,0,0,38,50,83,15,4,19,3,18,18,7,4,13,58,72,133,108,78,193,520,500,1012,100,102,200,6,11,15,8,8,19,114,116,232,6131,7298,13434,1877,3036,4911,99,66,171,21253,19987,41242
SED26708,22,6,30,27,15,42,4,0,3,0,3,4,29,6,35,10134,8250,18391,580,632,1203,269,7,275,123,27,152,106,35,144,129,78,206,890,697,1589,12324,9755,22076,0,0,0,0,0,0,0,0,0,8,8,18,0,0,4,0,0,0,11,10,21,0,0,0,0,0,0,6,0,12,0,5,9,0,0,0,16,12,20,97,46,138,119,67,186,5,0,8,0,0,3,17,0,17,16,6,22,2578,2836,5419,1269,2108,3376,158,131,291,16465,14901,31367
SED26806,845,804,1645,55,75,131,9,0,10,842,1046,1893,84,87,170,6554,4540,11094,222,422,647,19,0,19,181,26,203,607,285,893,115,88,204,1401,1655,3053,10935,9038,19969,95,73,167,0,0,0,208,230,440,30,23,56,7,7,16,50,26,79,385,367,749,0,0,0,19,28,51,0,7,7,4,4,3,7,5,9,31,39,71,132,139,268,549,540,1096,109,102,212,3,4,11,12,15,30,130,123,253,9930,10946,20871,1856,2710,4569,80,81,162,23480,23431,46917
SED26903,575,577,1153,119,207,322,10,0,10,146,239,382,37,47,89,8773,5885,14657,364,592,953,118,4,121,120,22,142,333,144,475,99,50,151,187,246,436,10883,8006,18889,94,140,235,0,0,0,62,61,118,52,38,91,9,27,39,26,27,48,243,292,532,0,0,0,35,41,73,6,3,4,9,20,24,7,6,15,41,71,114,116,92,210,405,453,861,96,94,195,9,11,23,10,4,17,121,114,237,4651,5780,10432,1560,2491,4046,86,58,152,17706,16907,34618
SED27003,501,479,977,88,109,198,4,6,5,880,972,1849,70,89,155,6133,4382,10513,160,372,531,37,0,34,160,31,196,1136,614,1755,114,89,205,1582,1745,3326,10861,8887,19751,50,45,92,0,0,0,115,156,275,16,19,32,7,13,18,61,23,79,250,251,502,0,0,0,28,31,56,10,5,7,5,3,3,8,5,12,46,39,86,151,141,291,444,435,878,70,60,129,3,7,10,19,12,30,91,83,176,11033,11774,22808,1860,2851,4705,88,72,160,24374,24103,48476
SED27101,484,419,904,97,140,231,6,0,10,0,0,0,19,23,45,8300,6322,14626,378,566,945,92,0,93,56,4,65,92,10,104,69,48,114,206,263,470,9794,7805,17603,117,133,246,0,0,0,29,39,71,60,44,107,12,15,26,20,20,37,239,251,488,0,0,0,0,3,4,8,13,14,5,14,19,8,6,16,27,33,56,78,58,135,341,340,677,55,75,127,4,5,12,5,6,5,58,82,143,5631,5703,11337,1462,2541,4002,63,49,118,17353,16519,33878
SED27208,20,11,33,24,46,63,8,0,10,0,0,3,15,11,24,9680,8223,17901,623,706,1326,254,11,263,28,3,35,94,30,126,93,36,130,639,568,1214,11491,9632,21126,3,4,8,0,0,0,0,0,0,14,7,14,0,0,0,0,0,0,15,9,24,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,4,7,9,91,41,135,112,59,169,3,0,7,0,0,0,8,3,11,13,4,16,1659,1908,3565,1156,1935,3092,140,102,245,14571,13647,28218
SED27305,112,68,181,64,77,142,0,0,3,0,0,0,22,13,31,9598,7191,16788,466,594,1057,123,3,125,49,9,55,39,10,41,64,40,103,66,68,134,10598,8062,18664,27,30,54,0,0,0,0,4,7,90,34,126,8,3,8,6,5,8,122,75,197,3,0,3,0,3,3,7,6,10,16,17,29,4,0,9,28,16,45,81,39,113,229,131,363,26,34,57,4,0,3,5,0,3,27,36,65,3469,4015,7481,1180,2100,3278,46,41,88,15545,14397,29943
SED27406,377,330,710,55,81,133,6,0,6,0,0,0,13,12,23,6968,5567,12537,275,441,712,52,4,55,64,3,73,168,54,220,61,52,108,319,420,735,8360,6961,15319,53,40,86,0,0,0,26,28,51,47,47,88,8,18,28,21,6,27,147,142,287,0,0,0,0,0,0,3,5,7,6,4,11,0,0,8,12,13,26,56,50,108,211,202,418,32,26,56,0,0,6,3,0,3,35,27,62,6503,6920,13425,1438,2507,3940,65,49,113,16616,16671,33284
SED27504,3,4,8,33,44,73,5,0,6,0,0,3,25,34,58,12183,10111,22297,821,1060,1882,177,3,183,79,19,100,168,65,240,82,43,125,579,534,1112,14161,11928,26087,0,0,4,0,0,0,4,0,3,3,5,7,0,0,0,0,0,0,8,11,16,0,0,0,0,0,0,4,0,7,5,4,10,6,6,8,12,9,28,115,75,190,130,94,228,0,0,0,0,0,0,5,3,15,10,8,15,1317,1772,3084,1057,1984,3042,156,111,266,16833,15894,32725
SED27608,129,68,199,111,159,270,6,0,6,6,6,7,28,35,68,15028,12438,27466,793,956,1748,169,4,173,56,6,60,164,57,214,102,44,142,288,288,573,16876,14066,30942,9,9,17,0,0,0,5,7,15,50,19,66,3,0,8,12,4,17,80,38,121,0,0,0,0,0,0,11,5,19,6,12,22,10,6,12,26,32,59,147,76,215,251,140,393,29,19,43,10,3,16,4,7,11,42,27,71,4806,5682,10485,2107,3731,5837,64,71,133,24143,23716,47863
SED27708,7,8,12,54,40,93,3,0,10,0,0,3,27,28,54,10900,9596,20502,735,819,1554,189,5,187,74,17,89,151,49,196,101,41,141,609,544,1153,12856,11136,23991,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,5,0,9,0,4,10,0,0,0,12,10,18,106,54,157,118,67,189,0,0,0,7,0,4,8,0,7,13,4,12,1557,1966,3521,1317,2144,3462,113,110,222,15974,15426,31391
SED27807,567,714,1284,114,173,282,5,0,5,5,10,8,76,46,126,10619,6206,16825,576,954,1528,189,5,194,62,12,75,63,22,82,101,51,152,129,174,299,12507,8355,20863,114,187,295,0,0,0,29,59,95,89,76,168,20,35,53,21,8,30,274,371,646,0,0,0,0,4,4,6,10,17,11,22,33,4,9,13,23,41,63,131,94,225,425,512,930,89,146,237,6,8,10,3,0,7,97,158,258,2160,2661,4815,1217,1749,2964,112,82,193,16521,13504,30023
SED27907,253,234,491,47,76,125,13,0,13,9,18,21,22,21,45,10855,7621,18472,575,585,1162,221,8,222,48,4,48,37,6,44,75,43,119,146,134,283,12296,8747,21050,27,36,63,0,0,0,10,10,16,75,59,130,14,12,28,12,4,12,128,113,247,0,0,0,3,3,4,6,12,20,8,9,12,4,4,3,25,22,43,108,54,163,265,189,451,38,29,73,0,8,4,3,0,7,43,35,84,2864,4203,7069,1518,2643,4165,72,49,125,17069,15871,32936
SED28007,398,398,796,46,65,108,6,0,6,0,4,4,36,27,64,13643,9100,22736,701,931,1627,270,6,273,56,3,58,16,6,29,129,65,186,59,101,160,15358,10710,26062,68,101,171,0,0,0,6,28,34,112,69,183,11,32,42,4,8,12,201,242,439,0,0,0,0,0,4,3,12,13,8,18,24,0,0,0,17,28,39,123,75,197,335,341,679,50,66,119,0,0,4,11,0,10,62,77,135,3607,5082,8686,1828,2820,4651,77,43,121,21268,19068,40335
SED28107,760,972,1730,95,215,310,9,0,13,7,4,8,140,151,291,20886,11720,32609,1121,1581,2694,464,5,464,107,8,114,93,21,112,311,116,433,125,237,358,24125,15027,39149,161,332,493,0,0,3,20,42,66,254,149,401,26,89,120,28,20,50,496,637,1133,0,0,0,0,0,0,10,9,22,15,33,47,3,12,19,33,53,85,281,122,400,810,811,1615,202,348,555,9,13,18,11,6,19,225,370,592,6839,7036,13873,2522,3506,6028,235,110,344,34750,26862,61610
SED28203,434,537,969,86,171,256,3,0,4,7,0,6,88,47,139,12766,7774,20538,609,874,1481,274,5,279,47,10,57,63,17,78,126,71,206,89,149,232,14581,9659,24237,113,202,315,0,0,0,14,30,43,129,56,184,7,29,39,12,16,29,277,334,606,0,0,0,0,3,7,8,10,16,13,25,37,4,3,10,28,43,70,105,70,177,408,452,859,88,107,189,4,4,12,5,4,15,98,110,212,2529,3209,5735,1249,1991,3240,139,83,227,19006,15502,34515
SED28301,63,55,119,232,270,505,9,0,12,0,4,9,19,6,24,8046,6143,14191,346,600,946,158,0,158,37,0,38,27,10,32,59,42,104,122,159,280,9129,7299,16424,52,16,72,0,0,0,5,0,5,36,23,62,0,4,8,4,0,8,102,43,145,0,0,0,19,10,31,38,26,60,8,27,31,4,3,10,66,62,130,64,47,107,234,151,385,26,27,51,4,11,14,0,0,5,35,36,73,5079,5122,10198,1346,2266,3610,43,42,91,15860,14914,30778
SED28408,63,25,86,59,99,157,4,0,7,0,0,0,45,47,96,9406,8308,17710,662,770,1432,99,4,103,41,6,46,166,46,214,56,26,83,400,461,862,11003,9789,20795,0,3,0,0,0,0,7,0,10,22,6,30,0,0,0,8,0,9,44,10,58,0,0,0,0,0,0,3,4,7,6,12,17,7,13,12,15,28,40,87,64,154,149,103,249,8,13,22,3,4,9,3,0,3,23,16,34,2005,2447,4454,1205,2191,3399,75,74,149,14458,14624,29079
SED28507,602,622,1220,79,140,222,4,0,4,3,7,9,54,52,107,13344,8496,21843,784,1029,1814,218,4,219,75,9,87,64,20,84,128,61,187,167,201,366,15523,10643,26168,118,163,283,0,0,0,30,55,83,139,83,225,20,35,47,22,12,36,337,351,684,0,0,0,0,0,0,13,12,22,9,15,28,4,5,8,29,30,64,140,79,227,510,466,974,123,197,321,4,3,7,6,0,6,133,203,338,4452,5015,9465,1769,2806,4574,98,93,194,22479,19230,41710
SED28607,625,560,1183,73,99,170,5,0,9,0,4,12,35,27,62,8418,5642,14056,372,461,830,96,0,101,87,18,102,324,121,441,76,68,143,327,376,704,10429,7383,17814,70,102,169,0,0,0,52,69,118,54,56,115,14,24,40,47,27,69,237,273,509,0,0,0,7,7,14,4,4,7,3,6,11,5,0,4,18,20,37,92,40,133,342,338,677,64,63,128,3,0,4,4,0,3,66,69,140,7263,8761,16031,1690,2840,4531,65,55,120,19861,19439,39304
SED28704,438,366,803,45,69,113,3,0,4,0,0,0,34,14,46,17383,12281,29658,788,870,1657,391,10,401,61,7,63,40,14,52,118,52,173,159,234,394,19445,13922,33371,78,96,171,0,0,0,8,12,24,153,85,239,16,16,30,20,8,28,276,218,493,0,0,0,0,0,0,4,6,13,0,21,21,0,4,4,6,26,35,160,67,226,441,311,756,64,76,141,0,0,0,4,4,12,75,78,153,4829,6331,11157,2092,4164,6255,113,71,178,26991,24884,51874
SED28803,507,483,991,106,154,261,12,4,15,0,3,12,122,49,169,21512,13371,34879,1095,1347,2446,501,5,509,58,0,55,35,6,41,205,100,307,102,160,261,24256,15691,39943,105,207,319,0,0,0,11,27,36,154,100,259,25,52,76,15,17,25,311,408,716,0,0,0,0,0,0,16,8,23,18,28,52,7,10,19,40,48,87,230,124,347,578,577,1156,104,179,284,6,11,16,5,3,10,118,190,307,4405,5749,10156,2068,3419,5480,171,118,291,31599,25742,57338
SED29494,20,8,28,21,11,29,0,0,0,8,12,24,4,0,12,476,265,736,49,31,82,14,0,12,9,0,9,15,10,18,15,9,22,70,74,144,696,412,1107,12,0,10,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,5,19,0,0,0,3,0,3,0,0,0,0,0,3,0,5,5,5,4,6,7,0,9,24,15,36,0,7,7,0,0,0,0,0,0,0,5,5,162,151,311,131,181,310,18,7,22,1022,771,1797
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15
