SED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED23101,232,169,404,107,129,234,4,0,4,38,56,96,22,16,34,7263,5588,12854,355,601,957,86,0,86,32,6,40,55,12,63,51,41,92,156,141,299,8402,6766,15170,88,70,160,0,0,0,9,11,20,82,46,137,11,8,18,7,5,12,195,136,336,0,0,0,16,15,28,7,4,16,12,19,31,0,7,7,33,49,78,84,62,144,315,249,562,78,74,150,7,9,16,4,3,8,92,84,172,4720,4697,9420,1242,1907,3157,58,38,95,14826,13743,28573
SED23205,142,84,231,106,149,257,3,5,10,0,0,0,29,24,57,9176,6890,16067,523,531,1052,129,0,134,66,0,70,80,33,112,68,42,109,218,236,456,10545,7996,18548,38,39,73,0,0,0,0,0,4,47,15,60,5,5,11,12,0,17,106,67,171,3,0,3,0,0,0,4,0,5,15,23,31,3,12,18,23,31,51,83,51,138,212,147,358,25,28,47,0,9,10,6,0,9,33,32,63,2624,3488,6113,1318,2502,3814,54,65,112,14788,14229,29018
SED23308,127,68,194,139,223,357,5,4,8,0,0,0,53,58,109,10232,8355,18587,560,720,1275,98,0,98,79,15,96,271,104,367,61,36,104,587,740,1325,12214,10322,22533,16,11,22,0,0,0,8,0,9,28,15,44,0,3,7,14,5,23,62,38,101,5,0,5,0,0,0,7,7,17,14,18,34,8,11,19,32,31,63,100,63,168,197,139,334,15,14,32,8,10,12,7,5,14,26,30,53,3019,3821,6834,1390,2642,4033,61,71,134,16913,17018,33927
SED23402,269,227,502,25,42,69,8,0,8,0,0,0,19,26,44,14470,10334,24804,745,767,1515,315,7,323,91,8,94,36,12,53,95,43,140,162,165,329,16235,11642,27875,42,67,110,0,0,0,7,11,18,72,36,110,12,12,26,15,10,24,160,131,289,0,0,0,0,0,0,4,4,5,0,11,17,0,3,4,5,14,23,139,59,195,303,207,513,50,56,103,0,3,4,4,0,4,54,54,109,3954,5344,9292,1651,3200,4849,76,64,147,22274,20517,42787
SED23502,4,0,4,35,21,54,8,3,11,0,0,0,9,10,25,8626,7807,16429,576,570,1146,221,7,224,71,7,75,100,30,128,120,58,180,487,422,914,10267,8935,19198,3,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,4,7,3,0,5,5,3,6,9,6,13,141,82,226,156,94,253,7,0,7,3,0,3,11,4,11,16,4,19,1381,1841,3221,1108,1783,2888,141,131,275,13067,12781,25851
SED23602,6,8,15,25,24,49,5,3,3,3,0,0,9,10,20,8401,7152,15553,471,541,1007,187,8,190,83,16,100,128,51,182,118,67,186,665,576,1239,10104,8449,18546,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,3,7,3,4,8,0,0,0,4,6,15,96,46,140,102,55,157,4,0,0,0,0,0,5,0,9,3,5,13,1857,2134,3992,1089,1790,2878,140,124,263,13301,12553,25848
SED23702,62,31,85,62,51,114,6,3,10,0,0,0,15,9,24,12600,9531,22130,692,550,1242,439,12,451,60,0,57,73,13,85,137,55,193,690,326,1018,14822,10589,25412,21,12,31,0,0,0,0,0,0,39,22,62,3,0,9,0,0,3,63,37,106,0,0,0,0,0,0,3,0,8,6,10,22,0,0,0,19,10,31,130,49,180,208,105,315,13,3,17,4,0,8,4,0,8,20,6,29,2179,3803,5990,1557,3026,4579,68,69,143,18857,17603,36460
SED23806,636,616,1250,13,18,35,4,5,6,208,298,503,20,29,50,5908,4846,10750,216,428,643,27,4,29,77,11,89,297,92,391,63,41,110,540,637,1178,8015,7016,15032,39,32,69,0,0,0,115,124,242,32,24,56,9,17,24,32,17,47,221,222,436,0,0,0,8,18,28,5,4,5,0,0,0,0,0,0,11,21,31,88,69,157,317,306,625,53,62,120,0,0,0,0,4,6,61,68,126,7729,8040,15766,1512,2467,3976,42,41,88,17678,17937,35617
SED23901,478,399,878,123,137,263,4,0,4,7,0,8,36,29,63,7564,5936,13504,319,492,811,89,0,89,70,4,77,213,70,282,102,63,166,503,609,1112,9513,7739,17255,60,59,108,0,0,0,28,41,66,61,41,103,5,16,27,24,16,35,177,166,343,0,0,0,9,11,22,11,0,13,10,19,31,4,11,12,35,37,74,83,60,143,300,266,562,36,46,79,3,5,9,0,0,0,37,48,92,6063,6358,12415,1509,2582,4093,68,53,121,17481,17047,34533
SED24006,91,105,198,147,181,333,3,3,6,234,221,454,24,22,43,6862,5342,12207,283,609,889,41,0,41,63,7,73,201,66,271,52,53,106,282,354,641,8290,6968,15259,23,21,39,0,0,0,28,20,46,17,25,42,0,13,9,3,0,9,74,74,143,0,0,0,26,39,67,10,17,21,9,12,20,10,3,9,49,62,115,98,100,195,220,227,450,30,30,58,9,15,23,0,7,10,44,49,91,6139,6064,12203,1397,2108,3506,63,60,126,16151,15476,31629
