SED_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SED20106,3,37,0,43,1120,59,1214,5,33,0,41,2463,167,2666,436,98,7,535,8803,701,10032,1981,83,23,2090,4638,481,7213,1516,73,35,1619,3274,376,5271,393,154,4,554,3518,332,4402,54,318,3,374,2411,203,2989,12,111,0,124,1342,134,1601,0,3,0,7,358,58,421,4408,903,74,5388,27914,2515,35812,0,42,0,47,1162,62,1274,17,61,0,81,2663,187,2926,807,224,5,1037,8695,681,10408,2395,203,60,2656,3946,456,7062,1520,142,40,1702,3421,304,5429,177,425,4,607,3526,249,4384,29,638,3,666,2340,183,3186,14,113,0,132,1405,141,1676,0,5,0,5,475,76,556,4961,1858,117,6935,27628,2340,36907,3,80,0,89,2278,116,2489,27,95,0,120,5122,356,5593,1237,323,12,1573,17490,1383,20445,4377,281,87,4749,8584,940,14274,3036,216,77,3327,6695,678,10699,569,582,8,1158,7046,582,8793,85,958,5,1041,4747,383,6174,26,230,0,254,2745,272,3277,0,9,0,15
SED20207,10,98,0,116,2753,172,3040,53,68,0,121,2549,218,2890,1584,132,27,1741,5064,555,7369,6146,91,58,6300,3738,607,10646,2741,93,29,2867,3904,347,7118,391,242,4,643,3822,227,4699,95,416,3,511,2544,120,3179,13,86,0,101,1219,69,1384,3,0,0,3,378,24,397,11042,1235,128,12401,25968,2348,40720,7,150,3,162,2519,133,2814,123,167,4,296,2266,166,2732,3001,208,86,3296,4273,493,8061,7081,187,130,7397,2876,496,10768,2516,249,55,2806,3983,282,7079,207,748,12,976,3729,193,4900,92,677,9,773,2653,146,3570,9,104,5,114,1485,87,1683,5,4,0,4,651,44,698,13046,2491,295,15826,24430,2043,42303,21,252,5,275,5268,309,5853,175,232,4,417,4816,385,5620,4587,338,114,5037,9344,1050,15432,13225,281,190,13693,6613,1106,21413,5249,343,82,5674,7888,631,14192,603,997,21,1622,7550,427,9594,184,1092,13,1288,5193,272,6750,27,189,7,217,2700,155,3072,3,4,0,9
SED20302,14,141,0,157,2690,223,3067,107,94,4,201,2527,166,2895,2566,172,45,2780,5057,524,8367,4942,123,93,5158,3024,464,8646,2060,142,33,2234,3643,377,6257,331,385,12,725,4640,286,5655,62,532,3,600,4381,349,5333,13,89,0,98,2502,253,2851,4,0,0,5,645,142,788,10094,1677,189,11957,29108,2789,43859,10,227,5,247,2458,201,2908,271,198,15,488,2281,157,2918,4110,309,129,4548,4141,532,9221,5631,203,196,6029,2248,448,8723,1797,386,65,2257,3780,321,6357,183,1124,17,1329,4665,345,6341,46,875,14,930,4562,367,5858,15,107,0,119,2680,297,3101,0,4,0,4,961,206,1173,12073,3436,447,15946,27783,2871,46599,27,373,5,404,5144,430,5970,384,285,14,687,4805,324,5815,6680,479,179,7331,9199,1057,17584,10572,322,291,11180,5277,910,17368,3861,531,100,4486,7425,697,12615,513,1509,28,2057,9308,634,11993,110,1406,10,1530,8950,713,11190,23,193,0,216,5186,550,5951,3,10,0,8
SED20401,3,61,0,70,1635,68,1774,24,34,0,65,1674,83,1814,852,97,14,961,3230,221,4414,2705,65,39,2812,1820,203,4836,1515,61,18,1590,2433,183,4204,240,242,4,490,3010,135,3630,39,402,3,449,2187,133,2770,8,93,0,103,1435,124,1667,0,12,0,12,523,94,632,5392,1078,78,6555,17947,1244,25740,4,103,0,109,1394,74,1574,58,79,0,141,1543,74,1754,1450,180,53,1684,2821,202,4707,3115,110,104,3330,1415,195,4939,1381,180,36,1594,2614,143,4359,124,728,9,859,2875,125,3855,36,744,0,791,2410,141,3343,15,92,0,106,1689,166,1972,0,5,0,3,803,245,1051,6185,2221,208,8615,17561,1364,27548,12,163,0,176,3027,137,3345,83,114,3,201,3214,153,3572,2301,278,68,2642,6049,425,9122,5819,179,145,6142,3238,402,9776,2897,238,50,3191,5053,324,8567,359,970,18,1346,5879,253,7481,85,1152,8,1243,4602,276,6116,20,192,0,216,3127,298,3635,0,12,0,13
SED20508,4,67,0,73,1687,110,1874,29,38,0,69,1371,56,1495,851,84,15,954,2009,127,3090,2346,61,65,2472,1163,151,3783,1554,95,31,1674,2238,203,4111,264,398,12,671,3665,233,4568,54,706,4,762,4376,311,5450,4,142,0,144,2490,254,2890,0,4,0,5,721,136,856,5103,1594,122,6815,19715,1584,28119,3,102,0,105,1530,93,1731,59,72,3,131,1199,62,1395,1293,129,56,1487,1692,132,3303,2817,116,127,3057,1025,178,4258,1630,212,46,1890,2608,167,4659,124,1027,24,1176,4162,221,5561,39,1180,8,1227,4364,317,5907,14,155,0,163,2706,315,3190,0,4,0,10,964,270,1241,5981,2997,269,9244,20245,1753,31242,7,168,4,173,3215,212,3600,89,103,3,198,2576,117,2890,2142,219,75,2436,3700,254,6395,5165,178,191,5528,2186,325,8042,3184,306,78,3562,4839,369,8775,390,1430,30,1843,7829,457,10130,93,1885,13,1991,8741,630,11357,17,290,0,309,5197,573,6074,6,4,0,12
SED20604,11,73,0,83,1992,171,2249,86,53,0,140,1557,139,1837,1248,106,48,1403,2348,302,4054,2163,71,55,2294,1393,298,3981,1374,136,27,1541,2468,284,4289,245,349,12,597,3713,286,4599,41,410,5,452,3521,270,4243,8,79,0,84,1851,166,2103,0,3,0,3,522,62,594,5183,1272,143,6600,19368,1976,27943,19,150,0,168,1704,147,2018,143,114,9,257,1318,124,1700,1824,157,107,2086,1776,240,4102,2717,126,130,2972,1206,238,4416,1330,344,48,1716,2626,231,4576,111,891,9,1010,3689,223,4923,23,682,5,707,3383,228,4321,6,107,0,112,1940,185,2242,0,6,0,5,822,124,955,6172,2573,302,9045,18456,1740,29251,28,223,0,249,3691,319,4265,223,169,6,399,2872,266,3539,3072,262,151,3485,4124,540,8156,4876,198,190,5265,2596,534,8401,2706,478,72,3262,5096,512,8863,358,1237,14,1608,7405,509,9520,68,1086,5,1155,6902,499,8557,11,183,4,204,3791,352,4341,0,12,0,10
SED20704,0,99,7,102,1978,145,2230,73,72,0,149,1937,107,2191,1358,118,30,1511,2663,255,4423,2441,76,56,2575,1348,221,4141,1430,96,20,1551,2320,252,4121,247,372,4,630,3311,252,4194,37,488,0,519,2993,211,3729,7,98,0,110,1637,136,1881,0,5,0,5,581,73,659,5615,1425,117,7154,18758,1655,27573,12,162,0,176,1863,126,2165,164,139,12,312,1835,105,2252,1995,195,104,2299,2283,246,4828,2955,132,131,3218,1192,239,4654,1406,300,54,1758,2581,218,4560,128,952,10,1085,3407,223,4710,33,788,4,823,2993,184,3992,7,142,0,151,1823,177,2157,0,11,0,11,886,132,1029,6703,2821,313,9831,18860,1649,30343,14,261,7,281,3839,273,4395,238,207,9,460,3772,213,4442,3357,318,136,3811,4945,495,9251,5401,208,187,5792,2535,466,8796,2837,394,73,3308,4898,469,8677,379,1327,13,1718,6715,477,8905,69,1271,4,1344,5985,396,7723,17,237,3,262,3463,306,4031,0,20,0,20
SED20804,8,78,0,81,1468,116,1668,58,60,5,122,1391,159,1669,974,88,28,1091,2296,466,3858,1873,57,43,1977,1351,383,3717,1191,120,19,1330,2208,313,3855,210,312,6,529,3211,263,4008,47,387,0,437,3189,251,3880,6,93,0,99,1860,206,2168,0,4,0,4,595,140,735,4368,1201,104,5677,17566,2303,25544,16,113,0,132,1421,129,1684,117,113,0,235,1253,88,1574,1483,163,94,1736,1904,257,3900,2304,103,111,2518,1132,240,3884,1187,281,55,1524,2334,232,4082,127,814,12,950,3319,265,4530,24,726,0,750,3243,238,4233,7,112,0,119,2116,253,2486,0,6,0,8,850,294,1152,5261,2430,274,7965,17566,1986,27517,28,189,0,214,2888,250,3346,180,174,4,358,2643,246,3247,2453,255,120,2830,4205,723,7756,4177,157,155,4493,2480,624,7601,2375,400,75,2848,4543,544,7935,339,1126,13,1478,6528,525,8535,68,1115,0,1187,6433,491,8112,15,203,0,218,3976,456,4646,0,10,0,14
SED20906,6,46,0,56,2155,64,2269,11,39,0,49,1814,67,1935,541,63,4,601,2891,180,3683,2885,46,32,2962,1510,173,4647,2350,42,21,2415,2421,139,4976,408,155,3,570,3032,138,3736,43,348,4,395,1991,78,2464,9,85,0,91,1220,79,1396,0,4,0,6,605,33,642,6251,826,67,7142,17641,958,25743,0,85,0,92,1892,60,2048,19,61,0,78,1591,69,1737,908,97,11,1016,2535,154,3711,3659,92,90,3843,1340,173,5356,2394,104,35,2530,2719,168,5422,190,485,5,679,3141,120,3938,39,646,9,696,2059,119,2870,9,116,0,120,1650,122,1891,0,7,0,7,1081,95,1182,7227,1690,145,9061,18019,1080,28157,6,132,0,143,4048,128,4321,27,97,0,127,3404,135,3672,1445,156,13,1617,5434,338,7389,6546,137,122,6807,2857,348,9999,4748,145,58,4955,5138,307,10398,592,641,7,1243,6170,255,7677,86,992,10,1092,4049,200,5335,15,193,0,208,2876,203,3287,0,11,0,9
SED21001,0,50,0,54,2166,70,2289,16,51,0,63,2750,172,2988,541,59,6,606,4410,379,5402,2525,37,24,2589,1861,187,4635,2017,54,21,2093,2390,157,4638,392,168,5,563,3281,129,3979,80,467,0,550,2331,127,3005,15,129,0,142,1568,97,1812,0,3,0,5,807,100,910,5583,1015,66,6668,21566,1422,29662,5,82,0,86,2044,76,2206,33,81,5,118,2492,176,2785,933,120,17,1070,3983,318,5365,3129,91,62,3282,1606,176,5068,2140,75,46,2265,2844,166,5271,221,476,16,710,3553,128,4390,73,819,9,900,2476,131,3507,16,152,0,172,2105,146,2417,0,4,0,12,1451,221,1685,6549,1903,147,8598,22551,1540,32687,5,133,0,137,4208,151,4495,47,131,4,181,5248,350,5774,1475,180,21,1678,8396,697,10761,5656,128,87,5873,3464,367,9698,4162,128,68,4354,5230,326,9907,609,640,23,1275,6837,252,8367,154,1287,8,1447,4808,256,6507,28,282,0,312,3671,254,4236,0,12,0,13
