SED_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SED20106,11277,22321,21,93,423,1861,37,167,3716,13293,4202,15421,167,673,687,2287,657,2037,1511,4998,5712,20417,12,47,114,349,35,121,837,1893,1005,2412,75,239,442,942,734,1541,1253,2718,2263,5132,523,1075,19768,48945
SED20207,8395,16919,206,1194,1522,6939,257,1249,10646,40331,12631,49716,656,2817,1221,4227,1989,6506,3862,13548,16491,63266,48,283,309,1137,117,458,1601,4247,2081,6124,213,703,478,1108,1455,3255,2138,5074,4216,11199,406,882,29509,92266
SED20302,11632,23418,235,1384,1425,6640,350,1668,9516,37056,11530,46742,535,2290,891,3050,1842,5979,3267,11322,14795,58061,83,394,327,1207,154,584,1844,4978,2406,7159,172,580,378,848,1526,3397,2082,4827,4486,11984,371,774,31288,94240
SED20401,6418,12932,98,535,694,3153,121,547,4595,17433,5507,21668,411,1754,639,2238,1533,4951,2584,8942,8090,30609,39,171,186,621,74,261,909,2324,1203,3381,142,457,345,769,1346,2947,1834,4177,3034,7563,296,630,17836,51738
SED20508,9865,19649,119,650,742,3383,145,660,4178,16474,5186,21165,384,1599,662,2249,1447,4552,2486,8410,7674,29570,37,178,221,717,69,233,933,2468,1264,3600,116,349,285,609,984,2141,1382,3102,2644,6698,210,421,20388,56341
SED20604,8307,16548,128,710,754,3513,190,839,4228,16616,5301,21675,308,1273,514,1691,1255,3966,2087,6932,7382,28607,45,210,228,807,110,401,1286,3426,1668,4848,110,360,280,605,991,2083,1377,3051,3048,7900,229,480,18971,53535
SED20704,7707,15372,156,895,827,3877,208,954,4542,17972,5737,23697,389,1657,619,2069,1289,4099,2292,7813,8029,31512,71,315,278,980,128,475,1341,3625,1819,5396,114,365,289,617,1102,2386,1507,3377,3322,8772,267,551,19324,56215
SED20804,7238,14491,110,612,584,2716,159,725,3386,13136,4243,17180,284,1199,483,1596,1141,3592,1898,6387,6143,23571,43,194,236,780,97,345,1295,3405,1674,4719,88,271,273,553,1113,2384,1467,3205,3141,7925,286,593,16807,46585
SED20906,5715,11457,72,365,1118,4935,93,401,5257,20027,6530,25724,518,2181,1211,4344,1370,4458,3104,10982,9633,36712,18,78,206,652,32,114,888,2125,1150,2973,141,462,527,1202,1015,2211,1684,3871,2840,6849,260,549,18448,55562
SED21001,7258,14612,68,374,1007,4475,85,367,4571,17289,5738,22502,561,2336,1373,4894,1337,4270,3274,11501,9011,34004,14,64,224,676,31,108,804,1943,1074,2790,142,442,599,1352,983,2088,1719,3883,2792,6675,419,888,19481,56181
SED21106,6460,12836,54,313,952,4250,54,229,3877,14805,4945,19593,460,1933,1302,4608,998,3162,2762,9706,7701,29301,14,43,176,523,17,56,692,1603,897,2224,86,261,435,956,668,1433,1188,2655,2090,4880,195,400,16445,47412
SED21203,4555,9290,335,2119,964,5174,271,1417,4300,18032,5867,26749,602,2802,509,1842,2004,7044,3116,11696,8983,38440,97,489,264,1071,126,489,1024,3030,1509,5080,216,778,285,697,1897,4477,2400,5954,3907,11032,415,900,17860,59659
SED21303,8427,16853,51,300,541,2428,42,182,4048,14872,4679,17785,289,1210,669,2339,952,3124,1909,6673,6588,24459,5,33,114,360,17,53,735,1652,869,2095,84,294,315,706,913,1998,1316,2994,2185,5089,525,1080,17726,47472
SED21401,7451,15013,67,369,788,3547,96,408,4173,15833,5126,20160,578,2494,1121,3983,2058,6752,3755,13227,8877,33388,13,68,187,618,35,111,744,1910,983,2701,166,529,433,1013,1161,2586,1761,4122,2747,6823,309,647,19387,55869
SED21503,5883,11873,81,459,689,3098,126,567,3883,14808,4780,18934,514,2226,691,2501,1655,5421,2853,10149,7635,29079,30,138,177,591,58,191,735,1844,999,2763,122,403,305,710,1150,2554,1581,3663,2580,6427,306,650,16408,48033
SED21608,7249,14493,141,802,734,3402,230,1076,4145,16485,5250,21766,341,1422,533,1777,1373,4420,2248,7619,7496,29388,53,239,222,748,134,496,1195,3196,1608,4674,107,350,266,585,1074,2351,1441,3288,3051,7960,236,492,18040,52332
SED21706,6054,12151,69,371,997,4458,62,246,4608,17578,5734,22653,526,2221,1403,5069,1351,4349,3270,11633,9006,34287,16,75,212,674,41,128,770,1876,1027,2754,118,363,462,1032,883,1932,1457,3324,2486,6079,343,723,17889,53245
SED21805,6948,14015,127,692,722,3286,181,819,4940,18711,5974,23508,407,1741,660,2280,1596,5201,2663,9225,8635,32732,36,173,250,809,117,414,1314,3326,1723,4723,154,477,344,774,1453,3203,1950,4452,3670,9180,275,578,19529,56500
SED21906,7372,14707,85,514,890,4272,62,300,4251,16472,5285,21560,376,1597,899,3201,893,2839,2176,7635,7461,29201,12,54,153,481,27,78,672,1546,862,2155,79,228,354,787,683,1432,1111,2447,1973,4605,303,642,17113,49148
SED22005,6799,13899,78,468,747,3424,131,591,4827,18216,5786,22702,480,2099,889,3127,1959,6457,3330,11685,9115,34383,22,106,187,649,59,236,858,2278,1125,3267,168,550,411,957,1529,3480,2110,4987,3237,8253,545,1207,19697,57734
