SED_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED20106,13579,14542,28119,2418,2446,4863,959,956,1913,11155,10945,22099,631,690,1318,206,228,430,368,405,772,117,113,228,53,49,97,134,146,282,0,0,0,13614,13528,27146,5864,6186,12045,376,301,680,22275,22464,44733,2551,2459,5013,38403,39463,77863
SED20207,25009,25735,50741,2595,2690,5282,794,811,1603,12240,12370,24602,504,531,1035,263,267,529,318,286,604,79,99,175,99,105,204,76,89,168,0,3,3,14366,14555,28926,4951,5182,10138,306,279,585,22221,22704,44924,2429,2234,4659,49657,50674,100330
SED20302,20595,21518,42116,3815,4168,7980,465,492,956,20650,21485,42143,314,342,653,150,141,296,171,178,345,52,71,127,50,55,106,34,34,72,0,0,0,21888,22803,44692,2281,2626,4903,422,314,735,28400,29908,58316,3148,3346,6492,52149,54776,106921
SED20401,18129,19048,37172,1013,1064,2080,135,140,276,7492,7823,15312,107,124,224,74,75,151,54,50,99,32,23,52,16,19,32,19,14,35,0,0,0,7925,8259,16187,1032,1227,2259,205,141,348,10176,10691,20861,1378,1459,2833,29676,31195,60869
SED20508,17077,18272,35354,3339,3604,6945,253,293,554,8898,9877,18776,187,228,414,71,71,142,82,82,165,74,71,142,45,69,112,32,44,74,0,0,0,9636,10739,20382,464,538,999,163,171,339,13605,15061,28665,1834,2044,3879,32513,35379,67895
SED20604,17619,18386,36006,2660,2852,5511,2078,2206,4283,5759,6159,11913,693,620,1313,133,124,258,161,147,303,70,72,142,132,131,260,124,124,253,0,0,0,9144,9571,18711,650,667,1317,260,226,496,12714,13319,26034,2302,2086,4394,32639,33793,66427
SED20704,17815,18529,36335,2190,2385,4576,358,428,790,8949,10037,18978,227,276,505,93,124,221,114,129,238,52,52,103,58,77,141,63,62,121,0,0,0,9916,11180,21101,607,710,1317,212,229,436,12920,14504,27426,1925,2039,3967,32655,35071,67732
SED20804,16141,17007,33149,2113,2300,4411,294,332,623,6926,7629,14552,201,222,414,111,116,225,90,91,180,41,54,94,61,68,131,25,37,67,0,0,0,7753,8545,16297,535,654,1186,205,217,420,10600,11713,22315,2618,2303,4919,29362,31023,60382
SED20906,17123,18595,35722,1445,1412,2859,278,280,556,8233,8568,16796,158,162,324,77,83,165,100,96,200,18,17,37,6,12,24,30,30,65,0,0,0,8906,9256,18169,1991,2060,4055,173,138,307,12516,12871,25389,999,1149,2150,30637,32612,63252
SED21001,17881,19805,37690,1442,1586,3030,296,318,618,8051,8470,16522,204,218,421,129,137,258,139,116,257,49,45,94,24,26,48,40,36,79,0,6,5,8925,9374,18305,3876,4070,7948,239,229,471,14489,15259,29746,1412,1596,3012,33778,36662,70447
