SED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
SED20106,26,29,37,43,29,7,6,487,0,0,0,6,3,15,11,13,3,4,0,5,0,0,0,51,0,8,21,18,42,33,151,177,53,41,99,154,43,7,6,848,22,133,119,27,9,11,79,165,30,40,27,34,16,0,10,718,0,6,4,12,21,33,76,50,20,27,41,47,23,13,10,378,0,0,0,4,15,33,244,138,40,32,39,43,20,4,13,638,0,6,13,15,12,11,8,5,4,0,4,0,0,0,0,77,0,0,30,76,149,119,390,254,70,75,66,60,29,3,22,1347,0,0,0,0,0,8,23,21,9,15,18,33,10,0,5,142,0,41,16,10,11,22,43,19,5,10,10,13,9,3,3,221,3,12,61,153,234,281,460,411,83,98,112,136,53,55,42,2185,0,0,5,17,23,8,18,5,0,7,6,6,0,0,5,95,0,0,0,0,3,10,28,24,5,20,19,9,3,3,0,120
SED20207,25,24,17,28,3,4,0,472,0,0,0,0,3,30,41,41,8,13,0,7,0,0,4,153,0,19,25,24,36,26,87,109,7,8,14,8,3,0,3,368,21,157,250,71,23,25,54,47,19,8,7,7,7,0,16,709,0,0,0,0,13,18,84,37,7,10,5,3,0,0,8,180,0,0,0,3,30,39,241,114,20,17,20,21,4,0,0,512,0,0,29,87,50,65,71,30,9,0,0,0,3,0,7,353,0,0,11,31,138,90,492,336,87,72,54,65,49,13,18,1452,0,0,0,0,0,15,99,61,12,15,38,50,11,0,5,311,4,52,14,11,6,14,22,15,4,4,10,0,0,0,4,160,0,5,21,123,259,361,919,896,156,102,174,179,75,56,88,3401,0,0,145,176,108,92,43,20,3,3,15,3,0,3,8,613,0,0,0,0,13,40,222,341,103,118,128,131,43,18,11,1159
SED20302,5,10,0,3,0,0,0,139,0,0,0,0,0,8,19,21,14,11,6,0,0,0,0,75,6,16,34,36,31,12,46,51,8,0,0,0,0,0,5,248,25,187,124,31,12,4,26,27,3,3,3,4,0,0,31,492,0,0,0,3,4,6,27,8,4,5,4,4,0,0,3,69,0,0,0,0,8,8,50,23,0,4,4,0,0,0,0,112,0,0,3,14,12,5,19,16,0,0,0,0,0,0,0,76,0,0,6,8,36,26,128,139,19,26,14,19,0,0,3,418,0,0,0,0,0,4,63,49,6,12,15,9,0,0,0,166,23,325,53,37,36,14,11,10,0,0,0,0,0,0,20,529,0,13,69,179,286,303,513,372,78,76,62,44,23,17,72,2115,0,0,3,9,6,5,5,6,0,0,0,0,0,0,0,31,0,0,0,0,8,20,178,271,31,61,30,28,11,9,7,656
SED20401,14,18,18,34,6,0,0,338,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,19,0,12,27,35,26,10,25,26,0,8,0,0,0,0,3,177,16,75,79,22,5,4,6,15,0,0,0,4,0,0,17,244,0,0,0,0,0,18,45,12,0,0,6,0,0,0,0,83,0,0,0,0,12,41,134,50,7,5,6,3,3,0,0,257,0,0,3,4,10,3,9,0,0,0,3,0,0,0,0,35,0,5,13,36,126,80,274,190,45,30,36,37,13,4,13,886,0,0,0,0,0,6,45,27,8,7,12,9,9,0,3,122,9,189,46,26,10,9,8,6,0,0,0,0,0,0,16,319,3,10,39,98,155,127,171,81,11,7,10,12,4,5,17,750,0,3,4,3,8,0,0,0,3,0,0,0,0,0,3,26,0,0,0,6,3,7,34,31,10,9,12,0,6,6,5,115
SED20508,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,13,0,15,26,29,27,13,54,17,0,0,0,6,0,0,9,193,21,161,103,24,10,4,9,17,0,0,0,0,0,0,20,366,0,0,0,0,7,6,14,3,0,0,0,0,0,0,3,38,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,9,10,5,23,8,4,4,6,0,0,0,0,71,0,0,0,0,0,0,3,4,3,3,0,4,0,0,0,19,11,240,45,7,14,11,15,12,0,0,4,8,0,0,14,385,5,14,76,121,170,111,142,85,14,0,4,11,6,4,30,797,0,4,9,6,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,3,0,3,8,8,0,0,3,0,0,0,26
SED20604,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,4,6,14,16,3,15,7,0,0,0,4,0,0,6,74,7,59,25,3,3,4,0,3,0,0,0,0,4,0,10,126,0,0,0,3,3,9,7,5,0,0,0,0,0,0,0,25,0,0,0,0,3,3,11,4,0,0,0,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,13,0,0,11,0,13,6,15,8,7,11,5,7,3,0,0,89,0,0,0,0,0,0,34,43,4,26,7,3,0,0,5,115,12,148,33,27,8,9,7,7,0,3,0,0,3,0,10,267,0,9,55,120,149,100,101,69,9,15,6,11,3,5,22,676,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,21
SED20704,6,0,0,0,0,0,0,23,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,20,0,7,9,4,12,12,19,12,0,0,0,0,0,0,8,76,9,36,37,3,4,3,0,5,0,3,0,0,0,0,12,105,0,0,0,0,4,4,7,8,0,0,3,0,0,0,0,22,0,0,0,0,3,3,8,16,3,4,8,0,0,0,0,51,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,11,0,5,9,14,19,8,37,16,7,12,16,8,4,0,0,156,0,0,0,0,0,0,4,10,16,12,6,12,7,0,0,70,3,69,21,10,4,3,0,7,0,0,0,3,0,0,0,123,3,3,30,75,90,85,107,44,6,25,5,7,0,5,21,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,22,21,10,7,12,3,0,0,0,78
SED20804,0,0,3,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,7,18,12,10,8,21,9,0,0,3,0,0,0,7,91,8,30,9,0,0,0,0,4,0,0,0,0,0,0,6,70,0,0,0,4,6,8,8,5,0,0,0,0,0,0,3,36,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,19,0,0,6,12,21,16,19,10,9,19,18,16,4,0,20,164,0,0,0,0,0,0,10,19,4,7,7,4,0,0,0,59,12,101,27,12,11,8,12,9,0,0,0,0,0,0,5,193,0,7,41,103,113,86,110,40,6,6,3,4,3,5,38,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,7,18,6,0,0,0,0,0,0,41
SED20906,9,4,12,8,0,0,0,156,0,0,0,0,0,3,13,0,0,0,3,0,0,0,0,21,0,6,24,25,44,16,94,104,7,16,12,15,0,3,0,364,22,230,193,35,15,15,28,42,0,4,3,10,0,0,11,604,0,0,3,10,15,44,93,58,3,9,12,16,14,0,10,296,0,0,0,0,11,44,137,103,11,19,4,17,14,3,9,376,0,11,28,39,19,11,12,3,0,0,0,0,0,0,3,124,0,3,20,56,121,69,144,77,23,26,29,23,9,0,5,604,0,0,0,0,0,3,14,11,3,12,12,10,3,0,3,72,0,20,7,12,8,8,18,9,0,8,0,3,0,0,0,94,6,8,27,105,145,142,262,139,20,22,23,19,8,10,15,956,0,0,6,3,16,5,9,5,0,0,0,0,0,0,0,42,0,0,0,0,0,3,6,8,0,3,5,0,4,0,0,47
SED21001,28,36,42,40,8,3,4,479,0,0,0,0,0,0,6,6,0,0,0,6,0,0,0,18,0,18,19,13,22,18,10,24,0,0,0,0,0,0,4,125,16,191,147,30,12,12,13,29,0,3,0,7,0,0,24,490,0,0,0,3,10,26,70,38,10,11,4,12,11,0,0,211,0,0,3,12,19,64,208,114,24,28,22,17,4,0,4,516,0,0,5,13,3,11,0,3,0,0,0,0,0,0,0,43,0,6,54,175,460,254,490,362,163,207,202,186,63,10,54,2676,0,0,0,0,0,3,17,20,17,42,51,37,16,0,0,193,9,69,13,7,3,10,5,4,0,9,0,0,0,0,4,127,9,16,47,90,109,157,179,100,22,24,13,28,9,6,12,826,0,9,12,5,0,5,0,0,0,0,0,0,0,0,0,36,0,0,0,0,4,9,34,60,4,20,25,16,5,3,3,189
