SED_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SED20106,11,283,7,281,..,287,51,335,0,335,..,232,35,267,0,268,..,584,86,666,3,676,..,1893,202,2089,48,2138,..,20602,2245,22842,201,23045,..,288,35,329,4597,4922,52980,20889,2281,23174,4797,80946
SED20207,47,1320,19,1339,..,247,50,296,0,300,..,187,29,212,3,211,..,1281,441,1720,18,1741,..,6051,798,6857,148,7002,..,40676,5706,46380,563,46944,..,519,80,603,4528,5133,56453,41197,5789,46985,5094,108534
SED20302,89,989,14,1000,..,163,30,194,3,197,..,133,23,156,0,158,..,248,72,323,4,325,..,4058,796,4850,93,4941,..,24950,3022,27976,355,28337,..,576,96,673,5651,6324,81160,25527,3119,28653,6011,115817
SED20401,20,284,4,289,..,174,17,186,0,186,..,31,9,37,0,37,..,393,134,524,6,532,..,1217,322,1546,60,1604,..,11416,2261,13678,209,13888,..,245,28,274,2453,2724,48066,11660,2295,13956,2658,64685
SED20508,0,11,0,11,..,59,4,60,0,60,..,41,0,45,0,45,..,61,14,73,0,77,..,642,49,690,22,710,..,3006,307,3313,62,3374,..,138,8,146,3305,3451,64516,3146,313,3462,3364,71339
SED20604,4,18,0,18,..,50,10,62,0,62,..,6,0,6,0,6,..,124,92,215,0,216,..,736,198,938,19,957,..,3142,557,3701,59,3761,..,192,39,227,3798,4028,62617,3335,594,3930,3862,70404
SED20704,0,53,0,53,..,52,13,67,0,67,..,15,3,20,0,20,..,62,14,74,5,72,..,1109,470,1578,36,1614,..,3871,767,4636,74,4705,..,156,31,183,3431,3623,63791,4027,793,4823,3504,72117
SED20804,3,37,0,38,..,41,7,50,0,50,..,16,0,16,0,16,..,77,29,107,0,108,..,812,467,1282,19,1297,..,2845,706,3550,50,3598,..,188,32,220,4403,4624,55534,3037,736,3769,4450,63757
SED20906,4,303,4,307,..,127,19,147,0,147,..,102,16,118,5,122,..,475,75,552,0,555,..,2240,175,2420,53,2469,..,18225,2749,20968,184,21157,..,261,40,301,1857,2152,43466,18487,2782,21269,2039,66780
SED21001,7,285,7,287,..,167,39,204,0,204,..,46,5,55,0,55,..,674,155,825,3,827,..,1041,132,1177,41,1216,..,22172,6645,28819,254,29076,..,186,38,221,2661,2883,41485,22357,6682,29038,2912,73444
SED21106,3,67,0,66,..,83,8,91,0,88,..,130,9,132,0,138,..,165,18,191,0,191,..,1181,85,1267,25,1293,..,9049,1061,10109,97,10209,..,200,24,222,2416,2639,49358,9250,1091,10336,2512,62206
SED21203,30,313,3,309,..,108,48,157,0,157,..,5793,2056,7854,52,7911,..,974,521,1498,6,1500,..,5137,1938,7078,85,7162,..,36197,9240,45440,428,45865,..,725,274,1001,5409,6409,22106,36925,9513,46438,5835,74380
SED21303,7,123,0,126,..,112,15,125,0,126,..,465,122,583,7,587,..,514,137,646,8,655,..,1306,188,1496,36,1532,..,16265,2985,19254,168,19423,..,264,39,296,2243,2544,52337,16529,3022,19547,2411,74300
SED21401,11,250,0,250,..,102,15,117,0,117,..,176,21,204,0,204,..,469,76,549,7,556,..,1156,155,1314,39,1354,..,27885,5818,33700,266,33971,..,268,52,320,1818,2134,31010,28155,5868,34022,2084,67111
SED21503,33,517,4,522,..,113,27,136,4,141,..,120,16,138,0,138,..,805,182,990,3,993,..,1409,182,1591,43,1639,..,16583,3273,19856,193,20047,..,237,41,274,2047,2328,38561,16827,3313,20134,2241,60935
SED21608,4,58,0,59,..,47,10,57,0,59,..,18,3,22,0,22,..,65,9,75,3,76,..,702,69,769,16,791,..,3512,335,3851,57,3911,..,180,14,196,3532,3724,59790,3691,352,4042,3592,67425
SED21706,18,374,3,377,..,150,20,173,0,173,..,67,9,79,0,80,..,738,137,877,3,887,..,1340,144,1488,31,1520,..,19312,3568,22882,186,23070,..,258,41,299,2219,2520,43269,19573,3611,23181,2408,68864
SED21805,22,299,0,303,..,187,42,227,0,226,..,161,30,192,0,195,..,231,52,288,4,293,..,1377,201,1580,30,1616,..,8736,1168,9899,126,10024,..,245,20,270,2729,2998,57818,8980,1186,10166,2857,70841
SED21906,8,208,9,218,..,114,22,135,0,135,..,69,13,81,0,80,..,276,32,310,5,318,..,3954,278,4230,71,4301,..,15611,1801,17415,174,17591,..,278,36,312,2634,2942,47252,15888,1843,17727,2808,67787
SED22005,30,768,3,776,..,214,112,322,5,324,..,192,67,252,3,261,..,3466,1901,5366,35,5403,..,3152,673,3823,60,3884,..,33127,9366,42493,407,42901,..,406,153,561,2999,3561,29505,33534,9522,43054,3405,75965
SED22105,168,2261,35,2298,..,248,66,311,0,312,..,472,81,551,5,560,..,525,191,714,3,716,..,10063,2389,12457,198,12648,..,46593,6755,53353,632,53982,..,983,253,1236,5401,6640,67267,47579,7011,54587,6036,127892
SED22201,7,125,4,127,..,111,20,132,0,131,..,23,3,32,0,32,..,163,36,199,0,201,..,1980,937,2915,49,2962,..,8598,2056,10657,114,10770,..,221,71,294,1691,1988,49078,8821,2130,10946,1810,61836
SED22305,392,2400,32,2427,..,104,32,137,0,140,..,505,138,643,4,645,..,1591,803,2389,17,2405,..,11019,3743,14757,154,14915,..,35915,9356,45269,429,45695,..,872,381,1258,5007,6262,24380,36787,9736,46529,5432,76335
SED22404,3,9,0,9,..,53,8,58,0,58,..,19,0,17,0,17,..,43,9,54,3,55,..,442,48,487,16,500,..,2104,206,2313,32,2341,..,135,6,142,4244,4387,55644,2236,211,2453,4271,62365
SED22501,3,75,0,77,..,67,7,78,0,78,..,93,18,107,0,109,..,104,11,118,0,118,..,638,88,722,27,747,..,6414,637,7051,89,7139,..,162,11,167,1324,1490,51184,6574,647,7223,1410,59815
