SED_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED20106,26292,27211,53508,2066,2172,4238,303,342,646,7147,7158,14307,233,256,486,83,71,152,79,112,189,40,43,77,19,22,38,52,56,104,0,0,0,7946,8054,15999,726,713,1439,141,109,252,10876,11046,21921,2447,2370,4819,39614,40632,80248
SED20207,42904,43757,86660,1522,1544,3067,195,194,386,5181,5265,10450,81,92,172,76,77,152,51,52,101,28,26,55,31,19,50,11,17,29,0,0,0,5647,5751,11400,542,592,1126,106,88,195,7814,7976,15789,2400,2249,4651,53123,53986,107110
SED20302,43725,45511,89233,1723,1850,3577,112,117,231,6666,6931,13592,54,69,127,23,29,53,28,39,68,30,30,64,24,6,29,15,8,22,0,0,0,6958,7231,14193,244,278,521,123,88,216,9054,9449,18503,3040,3249,6293,55819,58208,114024
SED20401,26462,27756,54220,384,414,792,45,42,91,2713,2837,5554,40,40,78,8,7,17,0,6,8,10,3,17,0,0,3,9,5,15,0,0,0,2834,2947,5779,148,167,311,64,40,106,3425,3567,6992,1318,1394,2708,31205,32715,63920
SED20508,27605,29601,57197,1342,1536,2876,76,69,145,2908,3241,6144,55,74,132,24,25,47,10,18,34,21,18,38,19,18,37,14,17,27,0,0,0,3125,3474,6598,91,108,202,55,45,100,4617,5160,9781,1740,1959,3703,33961,36722,70681
SED20604,27234,28448,55679,1091,1181,2270,771,822,1594,2191,2316,4504,292,227,519,50,34,89,49,42,91,24,14,40,47,37,84,50,45,92,0,0,0,3473,3536,7013,128,112,237,75,83,157,4764,4915,9681,2243,2045,4282,34239,35403,69645
SED20704,28022,29697,57714,875,901,1767,121,128,246,3317,3776,7099,36,48,82,26,36,61,22,30,56,17,11,25,12,17,31,10,10,19,0,0,0,3557,4057,7622,88,104,195,69,65,132,4589,5124,9710,1867,1944,3811,34481,36763,71242
SED20804,24388,25960,50352,851,985,1833,83,86,173,2573,2793,5369,46,54,99,30,35,65,18,27,45,21,25,43,19,14,36,9,12,27,0,0,0,2804,3046,5850,73,108,184,56,60,123,3790,4195,7989,2541,2232,4771,30718,32389,63112
SED20906,26531,28109,54645,692,738,1422,55,63,116,3484,3537,7018,45,39,80,10,21,31,16,10,27,14,8,23,9,3,6,5,9,14,0,0,0,3631,3688,7324,295,280,575,50,35,79,4668,4733,9404,950,1129,2076,32149,33975,66118
SED21001,28043,30507,58553,1019,1028,2050,89,83,172,3880,4079,7958,52,57,113,35,31,63,27,22,45,33,26,62,6,11,18,18,20,44,0,0,0,4137,4335,8470,421,435,853,81,73,151,5650,5869,11525,1329,1468,2800,35026,37852,72876
