SED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
SED20106,0,0,6,23,83,86,131,101,28,45,52,82,37,4,5,682,17,23,17,15,109,25,19,24,11,9,12,3,5,0,3,297,0,4,4,13,38,56,147,91,28,24,25,24,12,3,10,480,0,4,13,53,74,84,150,69,18,32,24,38,10,3,4,579,0,4,9,21,49,32,61,40,27,15,17,29,17,5,4,320,0,0,0,3,22,40,39,55,16,10,22,16,8,0,3,250,0,0,5,5,16,35,99,87,41,36,30,42,11,0,4,402,42,189,429,389,354,363,906,686,160,213,212,284,113,24,62,4419,6,8,23,67,54,82,176,148,37,63,73,72,47,21,14,881,0,0,0,54,92,67,91,115,47,28,26,30,25,0,19,585,62,133,223,360,428,646,997,1042,437,511,669,926,372,54,91,6966,186,796,1702,1592,2259,2858,6263,5541,1810,2075,2448,3154,1250,331,505,32763
SED20207,0,0,6,68,410,256,535,393,95,105,98,136,64,5,34,2209,4,10,19,16,114,37,33,24,4,4,0,12,4,3,4,301,0,0,0,13,32,57,267,141,29,39,25,50,23,0,5,681,0,7,9,26,54,68,346,232,49,105,68,110,30,4,9,1127,0,0,9,15,49,99,278,124,34,23,14,28,10,5,8,696,0,0,0,0,12,22,42,54,3,8,3,14,0,0,0,162,0,0,0,6,31,45,114,108,40,41,12,41,17,3,3,459,53,267,637,295,318,191,756,582,91,74,81,116,35,22,42,3557,0,0,6,18,16,34,111,97,23,26,28,31,4,7,3,406,0,0,0,161,467,257,183,139,24,22,26,29,13,4,25,1362,48,418,723,596,830,897,1661,1108,265,291,258,342,104,34,121,7694,198,1146,2410,1998,3520,4149,13754,10024,2340,2372,2363,2794,946,340,701,49057
SED20302,0,0,0,14,108,89,475,510,93,80,55,77,23,0,27,1561,3,9,9,12,55,22,17,4,0,0,0,0,0,0,0,133,0,0,0,3,12,10,59,39,15,4,9,6,0,0,0,155,0,0,17,56,80,68,175,98,21,16,21,8,0,10,3,574,0,9,21,50,126,212,1345,888,177,170,129,152,59,10,39,3382,0,0,0,0,4,10,19,26,5,5,23,35,7,5,0,138,0,0,0,3,23,27,71,68,10,8,12,4,7,4,6,252,147,623,1276,820,580,239,578,305,36,39,29,21,13,3,178,4891,0,3,8,23,32,22,58,53,14,10,3,6,0,0,9,245,0,0,0,20,41,39,58,51,10,7,7,5,14,0,0,251,38,157,282,339,491,491,1549,774,159,113,113,108,40,19,105,4803,304,1535,2173,1812,2249,2141,10238,6635,1395,1287,1162,1222,456,145,704,33461
SED20401,0,0,5,29,78,83,162,121,42,45,40,40,22,0,14,664,3,12,24,12,67,22,21,6,0,0,0,0,0,0,12,164,0,3,7,12,28,30,91,45,11,7,15,8,5,0,5,258,0,0,8,35,63,62,66,34,0,7,9,5,0,0,6,299,0,7,26,29,75,79,287,129,29,30,25,49,11,5,16,805,0,0,0,0,11,21,35,24,0,4,0,0,3,0,0,95,0,0,0,3,14,22,75,43,17,9,12,20,4,0,10,232,79,285,862,450,364,158,306,83,20,14,11,19,8,3,107,2750,0,5,10,13,18,35,46,34,3,0,12,7,4,0,3,183,0,0,0,68,145,63,90,47,9,21,8,16,3,3,10,485,51,143,174,231,310,245,476,278,40,27,59,71,30,9,104,2244,221,953,1552,1297,1902,1704,4463,2480,520,502,504,551,214,67,495,17409
SED20508,0,0,0,10,38,30,48,38,9,10,13,17,9,0,11,239,5,5,5,6,18,5,8,5,0,0,0,0,0,0,0,69,0,3,4,13,9,3,7,3,5,0,0,4,0,0,10,57,0,5,8,38,44,27,84,42,3,0,5,5,0,0,3,257,0,3,9,6,6,7,6,0,0,0,0,0,0,0,0,41,0,0,0,0,0,4,6,5,0,10,0,0,0,0,0,17,0,0,0,4,3,12,23,11,6,5,7,6,5,0,6,78,143,488,1037,536,391,198,446,223,51,33,35,30,19,8,208,3842,3,7,14,34,33,22,62,30,9,11,0,6,0,3,6,242,0,0,0,6,15,4,10,5,3,0,4,5,0,0,0,55,41,180,235,151,103,86,155,123,24,23,6,10,7,4,41,1196,337,1354,1853,1151,1004,636,1325,782,163,117,128,147,77,26,425,9531
SED20604,0,0,0,10,45,32,64,115,32,12,21,22,10,10,9,377,9,3,3,4,11,5,0,0,0,0,0,0,0,0,6,43,0,0,0,7,3,0,3,4,0,0,0,0,5,0,0,27,0,0,4,27,14,7,64,13,3,0,11,6,0,0,0,148,0,3,4,0,0,0,16,17,7,8,0,0,0,8,0,71,0,0,0,0,0,4,6,13,0,0,7,7,0,0,0,32,0,0,0,0,5,10,22,26,5,0,11,0,0,0,0,78,75,232,514,316,227,114,219,100,15,12,18,13,13,10,73,1943,0,0,10,24,16,19,28,38,5,0,6,9,5,0,3,159,0,0,0,3,0,0,6,13,0,33,54,63,5,0,14,199,55,128,160,114,86,66,217,166,65,65,130,104,27,12,45,1437,244,831,994,752,678,475,1164,849,200,236,323,295,103,61,239,7444
SED20704,0,0,3,8,29,26,64,92,21,25,35,36,3,0,3,357,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,7,0,0,0,3,0,0,4,0,0,0,0,31,0,0,0,13,9,18,77,41,0,9,9,5,12,0,3,200,0,3,0,9,11,17,52,43,9,16,3,13,6,5,0,199,0,0,0,0,0,0,9,10,0,0,4,10,0,0,0,34,0,0,0,0,6,7,175,143,33,28,43,16,4,3,0,451,47,182,368,247,153,88,189,71,18,14,17,12,6,5,51,1473,0,0,5,22,18,16,35,20,4,0,7,7,5,0,3,133,0,0,0,3,4,5,7,17,0,11,3,4,0,4,0,57,23,47,51,54,43,53,358,189,50,66,67,46,18,9,35,1104,107,405,593,533,462,437,1648,1070,292,283,335,259,116,37,188,6761
SED20804,0,0,0,5,31,35,66,66,21,24,28,27,8,4,12,342,0,4,3,0,11,0,3,7,0,0,0,0,0,0,0,29,0,0,0,4,4,3,6,5,0,0,0,0,0,0,0,24,0,0,8,12,19,41,27,15,0,3,3,0,0,0,0,131,0,4,10,5,6,9,14,19,0,9,7,11,4,0,3,95,0,0,0,0,3,0,9,16,0,5,0,5,3,0,0,36,0,0,0,0,6,6,83,89,41,38,35,18,4,0,8,339,51,228,477,284,196,118,178,69,19,7,3,10,11,3,95,1750,0,0,18,31,11,21,37,15,0,3,0,4,0,3,5,165,0,0,0,3,4,8,20,27,5,0,5,0,0,0,55,140,19,43,86,80,73,45,271,153,63,55,64,52,15,0,73,1102,141,503,785,625,578,470,1216,865,257,245,271,249,86,23,425,6739
SED20906,0,0,0,15,77,39,47,46,12,23,12,26,15,0,10,333,32,37,28,25,170,22,31,10,0,5,3,0,0,0,0,375,0,4,7,22,30,35,88,48,9,18,8,4,7,0,0,280,0,8,17,70,170,275,362,113,21,52,33,54,14,6,13,1199,0,13,76,84,122,74,77,34,6,7,21,4,0,0,12,531,0,0,0,4,8,24,29,27,4,0,4,0,5,0,3,116,0,0,0,4,16,17,62,29,8,8,8,8,5,0,11,186,59,146,345,250,251,200,540,387,55,68,49,47,9,9,32,2449,0,3,6,37,34,39,111,57,16,22,11,23,10,0,11,385,0,0,0,83,93,57,82,75,8,36,36,17,19,4,7,514,85,175,284,564,707,1286,992,627,138,140,155,143,44,42,69,5453,260,985,1923,1800,2602,3231,5529,3402,702,829,881,908,319,140,377,23897
SED21001,0,0,3,15,66,40,119,90,24,53,36,67,34,6,5,561,14,20,7,14,31,5,3,4,0,0,0,0,0,0,8,110,0,4,17,44,82,56,192,64,14,15,16,17,3,6,5,536,0,8,14,38,56,43,101,30,11,3,6,9,0,0,0,304,4,11,37,41,104,54,127,82,23,49,61,69,28,4,9,699,0,0,0,0,105,155,135,109,27,35,38,20,4,0,13,652,0,0,0,7,20,41,67,41,11,10,11,15,0,6,4,234,72,211,397,276,221,177,335,126,30,29,26,31,11,6,64,2010,0,0,11,25,26,35,74,59,19,4,15,21,8,6,11,314,0,0,3,254,233,100,91,85,24,31,43,38,17,0,15,932,64,137,168,231,255,219,350,232,48,62,55,89,40,14,55,2011,256,930,1365,1574,3051,3276,6651,4855,1404,1810,1862,1982,702,171,660,30562
