SED_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SED21106,4470,2957,2382,2729,3364,2609,1420,598,169,20706,377,456,469,577,766,875,891,549,212,5170,13,43,56,82,115,216,359,287,129,1297,0,0,3,9,25,69,123,180,134,546,389,497,529,665,905,1162,1369,1026,469,7005,335,203,221,254,308,253,166,113,59,1905,5193,3653,3134,3644,4584,4022,2956,1728,698,29617,4318,2495,2549,3125,3892,2773,1620,723,229,21721,229,615,688,719,867,981,998,693,400,6202,7,64,116,135,193,295,321,380,264,1779,0,7,10,12,39,81,164,209,255,787,238,695,818,870,1099,1360,1493,1286,920,8763,318,234,223,308,326,244,215,148,88,2108,4866,3426,3584,4297,5318,4377,3326,2161,1237,32589,8791,5452,4928,5857,7256,5381,3045,1318,395,42426,606,1074,1155,1289,1635,1854,1887,1247,611,11367,18,112,172,216,309,518,676,666,389,3072,0,6,18,15,66,148,290,393,387,1328,625,1189,1345,1527,2008,2521,2856,2305,1387,15768,651,435,440,562,636,494,384,266,147,4010
SED21203,6398,4200,5035,3686,2578,1890,828,389,134,25131,650,540,626,714,854,1021,689,466,177,5732,36,39,93,131,228,408,367,256,111,1673,6,6,14,38,89,223,270,265,122,1028,691,582,732,880,1172,1650,1326,987,412,8431,919,617,764,661,470,388,193,148,57,4201,8000,5398,6528,5227,4220,3922,2347,1521,598,37760,6265,3632,4214,3286,2385,1630,842,397,139,22797,369,579,735,797,923,1054,830,649,281,6222,14,103,180,200,371,493,457,407,209,2430,0,5,27,51,177,312,366,331,187,1461,387,691,940,1055,1476,1853,1648,1388,683,10113,841,502,595,531,415,339,232,157,92,3713,7491,4820,5748,4873,4273,3821,2732,1951,912,36618,12660,7831,9250,6975,4965,3518,1671,793,267,47933,1020,1114,1360,1512,1781,2073,1518,1117,461,11954,52,144,272,333,599,898,821,662,327,4094,3,10,44,93,264,530,636,595,314,2488,1073,1272,1673,1934,2642,3502,2978,2377,1091,18538,1761,1112,1357,1190,883,726,426,305,148,7913
SED21303,3931,3043,6500,4437,2939,1818,855,383,113,24012,370,738,1905,1275,858,751,652,395,166,7109,21,103,331,212,183,211,258,208,117,1642,0,0,20,26,43,116,140,168,122,642,392,840,2260,1508,1080,1079,1052,765,405,9389,246,223,586,387,290,203,123,85,42,2179,4572,4106,9349,6332,4315,3097,2029,1232,558,35576,3848,2895,6292,4281,2937,1868,1049,440,172,23784,270,1260,2744,1531,984,922,736,548,297,9286,10,234,607,316,258,304,326,319,207,2583,0,6,44,46,72,128,190,218,198,909,289,1504,3395,1897,1307,1358,1247,1085,695,12773,250,273,578,326,258,203,131,95,48,2162,4386,4673,10264,6503,4508,3430,2430,1621,918,38723,7777,5937,12789,8718,5876,3685,1905,820,287,47796,641,2001,4651,2801,1835,1674,1385,944,461,16394,39,342,939,533,441,515,577,525,322,4221,0,6,69,70,118,247,337,382,318,1545,674,2346,5655,3407,2393,2434,2297,1850,1103,22162,491,497,1165,706,552,407,258,175,91,4339
SED21401,4550,3261,3282,3328,3050,2597,1582,952,280,22882,318,489,478,509,666,868,920,899,397,5547,15,36,48,75,106,221,305,438,223,1457,0,0,4,7,34,67,157,296,200,770,340,527,528,589,801,1153,1386,1634,818,7775,261,212,195,210,225,197,157,158,100,1705,5151,3994,4004,4129,4077,3950,3129,2737,1195,32367,4435,2776,3240,3634,3331,2837,1964,1037,305,23559,233,541,492,523,756,1004,1145,1144,522,6358,13,75,80,93,150,253,432,572,360,2032,0,6,9,14,46,85,174,333,297,965,246,623,578,626,952,1343,1754,2054,1183,9356,243,161,212,217,252,218,215,181,129,1832,4925,3562,4034,4483,4532,4402,3923,3275,1614,34747,8983,6038,6524,6965,6381,5439,3549,1986,583,46448,556,1030,964,1028,1421,1869,2067,2050,914,11904,30,115,128,166,255,469,742,1008,582,3487,0,6,13,24,79,156,331,637,500,1739,589,1149,1105,1215,1752,2498,3134,3687,1997,17128,502,373,407,432,472,419,370,337,231,3534
SED21503,4313,3312,3724,3034,2722,1897,1107,461,115,20683,468,562,608,684,794,800,814,522,190,5428,32,62,103,112,171,264,361,312,114,1523,0,3,15,31,51,100,219,258,121,790,495,625,720,817,1011,1171,1388,1092,424,7744,293,363,332,264,232,202,132,102,37,1951,5098,4304,4784,4112,3963,3265,2628,1650,576,30385,4049,2750,3153,2941,2725,2036,1184,510,164,19502,310,662,764,742,845,892,988,686,279,6180,16,114,163,193,227,309,454,401,201,2080,0,0,22,28,72,133,243,277,210,1001,327,782,954,968,1149,1338,1687,1366,692,9262,272,283,259,222,261,186,158,94,48,1786,4645,3815,4361,4136,4134,3555,3025,1973,903,30547,8362,6063,6880,5976,5444,3930,2290,970,277,40186,775,1229,1375,1424,1639,1697,1804,1205,467,11611,48,174,265,306,399,577,813,715,318,3607,6,6,35,59,123,235,462,533,332,1790,820,1411,1673,1788,2163,2505,3077,2456,1113,17010,562,649,587,486,490,387,293,196,91,3733
SED21608,5124,2826,2864,2713,2560,2046,1307,431,85,19960,823,766,842,872,972,1064,1031,507,141,7009,67,124,151,198,252,418,529,332,108,2183,0,8,24,50,81,242,381,292,101,1178,892,899,1015,1116,1309,1725,1947,1123,356,10375,649,403,352,306,385,329,288,144,60,2911,6662,4124,4228,4138,4253,4104,3543,1693,491,33246,5074,2445,2553,2560,2444,2048,1298,492,124,19037,602,868,1104,1092,1086,1159,1128,588,254,7881,51,169,337,337,429,536,621,360,167,3016,3,15,44,88,205,336,422,277,155,1545,659,1054,1488,1525,1720,2026,2170,1225,576,12444,569,357,332,294,379,278,267,141,76,2699,6304,3858,4370,4377,4544,4357,3736,1858,777,34177,10208,5271,5416,5275,5009,4095,2609,920,206,38996,1426,1632,1949,1966,2060,2226,2153,1093,391,14893,121,293,485,536,692,957,1154,685,280,5199,3,25,72,136,281,575,806,567,258,2724,1550,1953,2503,2639,3026,3753,4119,2349,926,22818,1213,761,685,600,765,607,559,287,137,5610
SED21706,4887,4093,3842,3332,3257,2385,1320,512,165,23787,500,709,593,629,752,844,806,478,240,5546,21,63,77,75,138,250,333,286,144,1395,0,0,6,22,21,81,133,175,135,584,524,776,676,723,913,1179,1274,935,522,7518,327,336,385,243,242,194,146,89,50,2009,5738,5200,4898,4302,4412,3755,2738,1531,742,33317,4996,3721,3348,3535,3632,2520,1438,606,260,24042,357,965,679,657,928,991,945,729,440,6695,19,125,114,143,202,298,398,358,333,1992,0,4,10,15,57,104,188,256,243,879,375,1094,807,820,1186,1396,1529,1344,1010,9568,268,280,302,235,247,225,170,116,77,1936,5637,5099,4463,4586,5069,4140,3140,2065,1346,35543,9875,7808,7184,6865,6887,4904,2757,1113,427,47835,857,1680,1278,1291,1677,1833,1749,1208,676,12245,42,192,188,219,343,555,733,639,474,3382,0,7,14,39,81,185,322,432,381,1461,899,1872,1482,1547,2100,2571,2803,2285,1530,17085,600,617,687,477,493,425,312,198,130,3948
SED21805,5434,2809,3363,3551,3142,2309,1156,468,101,22339,725,590,765,970,1031,1104,980,474,108,6746,58,78,126,159,252,376,451,265,117,1888,0,10,18,27,86,183,286,264,100,979,789,679,902,1158,1369,1669,1718,1003,323,9613,498,315,328,375,398,276,190,128,59,2565,6713,3805,4599,5079,4913,4252,3063,1601,478,34514,5349,2426,3240,3461,3022,2276,1337,475,151,21731,535,752,1086,1156,1226,1223,1079,592,247,7906,31,157,259,340,365,500,593,382,206,2832,0,7,26,65,184,256,358,294,191,1390,568,919,1376,1560,1774,1978,2030,1275,647,12122,500,237,324,347,321,285,214,151,87,2473,6409,3584,4940,5375,5120,4541,3582,1896,881,36329,10785,5236,6607,7010,6163,4589,2494,939,250,44069,1262,1343,1847,2126,2258,2326,2056,1067,355,14642,85,235,382,502,615,877,1052,652,320,4718,5,11,48,93,272,443,640,557,297,2371,1357,1598,2278,2719,3150,3648,3749,2277,967,21736,991,552,659,723,719,561,401,278,147,5039
SED21906,4831,3017,4647,3710,2822,2037,1380,469,134,23047,398,513,849,767,754,793,919,432,192,5605,14,46,102,97,120,218,410,270,134,1413,0,0,4,17,36,79,189,173,119,609,414,558,957,882,914,1080,1513,876,438,7626,311,278,458,308,256,180,188,105,45,2124,5551,3852,6068,4892,3988,3303,3082,1448,613,32795,4931,2911,4525,3652,2992,2152,1576,558,221,23522,261,739,1134,887,840,845,1025,564,337,6623,8,121,195,158,185,250,401,313,273,1913,0,5,12,27,38,101,196,203,204,785,276,860,1339,1066,1064,1196,1617,1080,813,9320,306,250,391,311,249,203,212,128,104,2149,5511,4020,6250,5031,4308,3550,3416,1763,1141,34989,9761,5928,9169,7361,5819,4189,2956,1031,354,46571,658,1247,1980,1653,1594,1637,1939,993,527,12227,26,165,302,257,306,464,811,586,404,3325,0,5,16,40,74,178,385,375,320,1394,685,1420,2297,1945,1978,2279,3135,1952,1250,16945,619,530,851,617,501,385,403,233,150,4275
SED22005,5187,4232,6384,4273,3136,2229,1345,643,207,27634,426,577,690,708,732,851,861,593,248,5695,19,41,76,92,175,287,367,315,171,1543,5,3,8,17,40,127,204,247,183,831,446,628,777,823,952,1268,1432,1150,600,8073,372,334,594,321,282,243,214,166,97,2625,6004,5188,7750,5418,4376,3737,2991,1958,905,38329,4921,3402,5038,4103,3166,2324,1568,709,266,25505,298,599,753,660,818,1013,1064,802,399,6420,9,99,122,130,196,347,431,435,316,2089,0,5,16,30,65,154,233,321,287,1118,310,710,893,814,1085,1516,1740,1557,1001,9626,359,328,435,303,294,229,226,176,146,2498,5591,4436,6368,5224,4545,4070,3529,2450,1419,37637,10112,7631,11418,8379,6305,4554,2910,1350,475,53138,725,1180,1446,1372,1555,1867,1923,1393,644,12115,26,144,197,221,372,633,804,750,487,3633,5,6,22,46,106,285,443,568,469,1954,753,1331,1676,1639,2036,2781,3171,2712,1603,17699,734,662,1027,629,575,464,437,343,245,5126
SED22105,14099,6251,7880,8778,4767,2556,1153,371,97,45945,1361,947,1233,1679,1562,1378,922,434,119,9638,75,114,158,270,341,492,498,300,88,2341,3,16,10,43,132,232,308,269,82,1108,1440,1078,1406,1997,2036,2099,1734,999,290,13088,1279,616,719,731,508,354,185,110,39,4539,16813,7951,10004,11499,7308,5010,3068,1483,428,63570,13649,5811,8231,8164,4379,2461,1213,449,123,44478,897,1187,1697,1851,1609,1371,1098,535,237,10480,42,240,406,438,497,568,596,353,171,3310,7,8,58,104,232,343,437,316,153,1652,945,1438,2163,2388,2336,2279,2132,1210,562,15444,1153,545,799,674,490,338,212,114,63,4398,15755,7792,11194,11224,7204,5070,3555,1774,748,64320,27747,12066,16109,16939,9145,5009,2362,821,219,90424,2259,2135,2931,3525,3165,2750,2019,974,354,20119,121,356,567,711,838,1058,1096,646,259,5654,4,25,72,151,361,581,743,585,238,2759,2385,2514,3568,4380,4370,4380,3861,2210,851,28527,2433,1160,1519,1408,999,691,395,229,99,8941
SED22201,4879,2651,2963,3126,2463,1942,1156,469,118,19760,576,532,715,771,762,867,855,570,169,5822,25,58,97,134,167,251,361,332,124,1545,0,8,7,24,49,135,224,219,113,788,607,594,813,931,981,1256,1446,1126,401,8150,318,226,250,222,217,207,126,93,54,1699,5804,3474,4023,4272,3656,3405,2727,1681,578,29615,4601,2258,2946,3049,2582,2151,1385,599,178,19742,428,688,952,946,946,972,1066,729,303,7042,33,115,220,238,260,310,499,462,240,2378,6,7,29,57,98,197,294,311,193,1188,469,812,1205,1246,1302,1484,1856,1505,737,10611,343,219,248,220,221,229,162,126,101,1866,5411,3283,4400,4516,4106,3862,3403,2231,1018,32221,9478,4905,5905,6172,5047,4091,2538,1066,294,39505,1011,1224,1669,1720,1705,1837,1924,1306,474,12867,62,168,310,369,425,565,866,792,358,3923,5,12,35,82,150,335,515,531,305,1975,1079,1401,2014,2172,2281,2742,3303,2628,1142,18760,661,443,493,439,438,433,292,222,151,3563
SED22305,5918,3841,6005,4586,2981,2039,1142,518,158,27179,501,452,615,741,861,986,892,507,155,5702,27,42,92,126,207,330,419,325,104,1672,3,5,12,32,82,198,278,236,106,955,527,500,714,899,1149,1513,1592,1069,362,8331,753,466,808,622,467,366,263,157,59,3968,7194,4802,7528,6110,4599,3916,2997,1742,577,39470,5826,3429,4781,3787,2367,1893,1193,544,190,24021,335,532,722,762,853,1001,953,601,269,6025,13,91,144,168,276,475,475,379,192,2207,0,7,24,59,123,261,343,271,198,1286,348,632,894,985,1251,1734,1772,1251,649,9519,651,381,584,489,385,307,282,159,87,3322,6824,4446,6260,5259,3996,3938,3248,1953,930,36861,11745,7274,10783,8371,5345,3927,2336,1061,348,51200,836,983,1338,1502,1714,1985,1853,1106,417,11728,36,136,234,294,482,809,894,703,291,3883,3,12,41,86,204,455,623,509,301,2234,876,1134,1610,1882,2396,3246,3369,2319,1013,17847,1403,841,1390,1107,853,677,545,320,148,7285
SED22404,4206,2448,2186,2197,2681,2574,1723,617,121,18755,542,483,503,610,834,1221,1225,691,146,6259,26,59,71,117,211,387,606,357,111,1944,0,4,9,21,53,196,356,298,132,1080,569,547,586,749,1104,1808,2189,1350,391,9282,541,403,292,374,480,499,369,183,41,3179,5317,3394,3066,3314,4268,4879,4281,2160,551,31220,4102,1997,1964,2200,2494,2553,1687,574,145,17703,358,610,690,774,987,1231,1272,647,204,6776,33,104,147,190,335,539,613,366,169,2502,4,12,26,40,109,257,350,281,186,1262,394,726,863,1006,1428,2025,2237,1295,557,10533,497,316,296,338,425,444,364,181,56,2906,4989,3036,3116,3540,4349,5022,4279,2047,761,31143,8304,4442,4153,4399,5175,5120,3404,1193,269,36458,897,1094,1195,1380,1821,2454,2505,1335,354,13032,57,164,213,310,549,930,1213,725,281,4448,4,15,38,57,165,456,709,582,322,2342,964,1273,1446,1750,2529,3836,4425,2641,949,19816,1039,718,580,712,906,939,727,366,100,6090
SED22501,4856,2732,1948,2787,2955,2328,1416,485,88,19585,560,559,465,689,825,957,1073,516,137,5781,27,55,64,98,164,259,435,300,84,1484,0,0,3,8,32,96,200,171,58,570,584,620,531,797,1021,1314,1707,989,276,7837,330,212,141,197,250,224,176,115,44,1693,5765,3561,2620,3784,4228,3862,3299,1590,406,29110,4842,2314,1880,2920,3042,2545,1575,482,108,19701,398,679,591,896,988,1103,1185,617,197,6653,19,100,123,177,278,333,508,320,132,1978,0,3,10,15,47,140,201,205,106,723,413,787,715,1087,1309,1577,1890,1138,438,9361,294,179,133,185,214,238,181,129,86,1644,5557,3274,2726,4197,4568,4361,3652,1751,632,30703,9695,5041,3825,5707,5994,4869,2985,961,190,39285,954,1242,1054,1589,1811,2058,2258,1134,336,12441,45,156,180,272,443,593,944,624,210,3463,0,5,11,25,79,237,398,376,168,1295,1000,1398,1244,1889,2330,2889,3600,2128,713,17194,625,393,268,383,464,460,361,246,131,3340
SED22607,4710,3262,4417,3746,3242,2264,1218,387,105,23345,450,567,1022,821,844,936,873,436,173,6135,13,58,163,141,181,280,355,212,113,1511,4,8,14,20,45,95,182,171,102,633,471,627,1201,986,1072,1314,1409,820,380,8275,369,315,400,344,333,321,181,85,34,2384,5551,4198,6017,5079,4642,3899,2809,1302,523,34007,4554,2998,4362,3844,3386,2432,1308,436,179,23508,322,813,1290,1007,929,1042,931,539,306,7172,14,137,288,189,230,323,406,320,189,2091,0,5,28,24,62,126,206,211,205,861,339,951,1603,1221,1221,1482,1536,1068,697,10117,323,287,455,337,369,274,175,98,55,2370,5211,4236,6425,5393,4979,4195,3021,1600,935,36000,9263,6255,8781,7588,6630,4696,2526,823,285,46849,775,1376,2312,1829,1779,1978,1807,978,477,13303,29,191,451,330,411,605,758,531,304,3604,4,7,41,48,106,219,381,382,305,1492,806,1575,2804,2205,2289,2798,2944,1892,1083,18400,693,607,858,678,702,594,359,182,88,4757
SED22704,4264,2730,2369,2125,2553,2583,1833,685,155,19299,602,561,588,669,882,1289,1518,790,197,7087,43,65,105,147,266,494,733,475,148,2477,0,11,21,43,118,297,494,471,175,1638,649,634,718,859,1268,2076,2751,1729,526,11206,653,436,452,440,514,564,468,269,78,3868,5564,3802,3537,3431,4326,5220,5046,2684,763,34375,4150,2039,2084,2146,2473,2502,1677,678,219,17969,438,627,800,783,1053,1377,1438,824,335,7679,26,120,228,252,402,612,722,499,227,3080,4,7,31,80,165,369,522,386,223,1785,470,748,1055,1119,1613,2357,2682,1712,784,12542,630,324,348,390,461,490,416,277,175,3500,5247,3107,3485,3650,4550,5346,4766,2662,1180,34011,8415,4770,4455,4274,5027,5090,3511,1355,377,37270,1041,1186,1389,1452,1933,2667,2954,1616,533,14773,71,185,331,400,664,1096,1457,965,378,5556,5,15,59,119,284,663,1022,855,403,3426,1118,1386,1780,1975,2885,4430,5426,3444,1311,23748,1282,756,799,830,974,1048,880,540,255,7367
SED22802,4857,2925,2980,2764,2511,1961,1103,468,84,19653,609,576,688,834,841,949,833,494,119,5949,44,59,115,130,161,290,413,309,88,1610,0,14,9,18,61,140,250,234,68,799,652,647,812,979,1067,1378,1501,1036,279,8345,403,283,262,243,261,231,146,101,24,1951,5917,3850,4052,3981,3847,3568,2750,1609,386,29955,4762,2476,2702,2624,2501,1951,1243,508,114,18886,456,803,934,953,1026,1102,1020,596,206,7096,34,120,220,211,328,369,494,309,130,2208,0,6,25,58,94,178,243,218,91,924,497,923,1179,1220,1447,1645,1760,1124,428,10225,366,218,206,235,253,215,158,100,36,1787,5624,3620,4085,4083,4204,3813,3157,1735,573,30894,9618,5401,5678,5391,5018,3909,2346,980,199,38540,1068,1379,1626,1781,1875,2050,1859,1090,327,13039,78,178,335,336,487,659,906,616,214,3816,3,19,35,76,158,318,496,455,162,1719,1150,1571,1992,2196,2518,3021,3262,2160,705,18572,770,499,469,472,516,452,300,200,62,3738
SED22901,4470,2830,2842,3177,2514,2014,1353,464,124,19783,527,482,540,642,755,886,1003,546,164,5544,26,57,81,101,167,270,425,282,131,1549,3,9,11,32,57,103,246,209,104,760,558,543,631,776,981,1260,1671,1032,402,7849,279,209,236,199,212,189,128,96,55,1606,5298,3580,3706,4155,3698,3461,3154,1599,579,29232,4279,2349,2531,3270,2647,2283,1576,534,205,19676,356,620,748,738,762,1036,1103,656,291,6318,24,119,189,185,231,345,493,401,221,2207,0,3,32,29,100,151,230,266,226,1036,379,743,967,956,1089,1536,1827,1324,739,9559,276,190,185,200,191,189,173,149,79,1629,4927,3285,3678,4421,3929,4009,3575,2004,1027,30865,8743,5178,5370,6449,5160,4300,2926,1003,327,39454,877,1104,1291,1383,1514,1929,2106,1199,460,11861,48,170,270,291,400,611,920,682,360,3754,3,12,40,61,155,254,472,479,325,1797,933,1284,1594,1732,2072,2791,3500,2359,1147,17414,549,397,422,404,403,377,303,242,130,3230
SED23007,5417,3756,7503,5208,3355,2318,1224,442,130,29361,549,616,1290,1132,929,956,794,489,164,6925,23,69,208,194,219,301,354,268,107,1739,3,4,20,34,62,157,222,195,79,769,578,684,1513,1352,1209,1419,1369,949,357,9431,521,442,889,583,447,340,234,130,63,3646,6517,4876,9904,7147,5018,4067,2825,1520,547,42436,5074,3384,6308,4763,3294,2179,1252,474,170,26900,318,800,1665,1166,970,1056,960,584,275,7799,15,126,362,252,264,357,417,336,217,2347,0,11,39,48,91,203,277,256,142,1068,337,940,2067,1462,1328,1612,1658,1182,640,11214,487,384,722,487,389,293,227,146,98,3233,5898,4707,9097,6712,5015,4087,3133,1796,908,41349,10496,7139,13810,9972,6653,4495,2474,914,308,56261,869,1420,2951,2299,1899,2015,1760,1073,445,14724,39,192,569,440,480,658,766,609,322,4084,0,11,59,74,153,363,496,453,226,1841,914,1630,3576,2817,2538,3028,3021,2130,994,20647,1006,828,1607,1073,835,633,458,277,162,6877
SED23101,4599,3227,2729,3154,2960,2151,1372,712,220,21121,413,495,384,477,670,770,866,696,266,5030,12,54,60,82,138,222,344,399,179,1486,0,9,11,19,38,76,148,279,172,739,427,554,449,572,841,1070,1355,1370,606,7252,217,217,173,199,185,138,152,120,71,1467,5238,4004,3349,3928,3986,3358,2877,2201,906,29839,4305,2677,2592,3370,3152,2287,1600,848,247,21083,298,543,470,564,769,885,1156,952,417,6052,15,97,67,106,194,258,439,514,306,1996,0,5,10,14,57,95,206,314,240,941,316,645,543,680,1025,1243,1796,1783,961,8998,214,156,126,175,188,151,179,155,149,1491,4839,3478,3264,4225,4366,3680,3573,2790,1355,31570,8905,5907,5322,6528,6110,4440,2970,1565,466,42205,713,1038,851,1036,1435,1657,2019,1650,681,11084,25,146,128,184,338,482,781,913,481,3486,4,15,12,25,91,169,355,592,415,1680,744,1201,996,1252,1868,2308,3152,3157,1568,16250,431,373,293,371,377,288,329,273,222,2952
SED23205,4351,2576,2879,2587,2431,1828,1099,476,129,18357,637,610,799,879,860,990,884,556,160,6370,48,78,135,177,250,355,466,313,144,1971,0,5,17,28,112,204,329,288,156,1140,690,696,958,1084,1217,1544,1677,1159,463,9484,510,348,452,382,405,348,207,120,63,2837,5554,3622,4284,4055,4055,3728,2983,1755,652,30680,4274,2131,2573,2655,2413,1819,1278,573,169,17887,514,749,1059,987,980,1040,997,675,307,7302,45,167,276,276,384,467,528,422,259,2833,0,5,35,89,154,296,359,331,299,1583,558,923,1378,1340,1517,1804,1881,1429,864,11710,542,327,406,375,336,275,202,155,92,2716,5372,3380,4356,4365,4269,3903,3369,2169,1126,32310,8628,4706,5448,5238,4845,3652,2379,1054,297,36244,1155,1358,1860,1860,1836,2030,1881,1230,465,13676,94,252,414,448,629,820,986,735,410,4795,3,13,53,115,270,498,685,620,453,2719,1248,1623,2329,2427,2735,3351,3557,2593,1327,21193,1053,672,854,755,747,625,414,282,153,5551
SED23308,4608,2934,3863,2835,2491,2018,1233,488,147,20612,587,677,861,858,874,1000,946,488,182,6476,50,96,138,156,192,328,448,304,115,1820,0,5,13,36,87,181,254,211,114,911,634,777,1013,1046,1153,1509,1657,1010,413,9198,451,358,382,332,317,283,206,112,59,2505,5694,4065,5259,4215,3961,3806,3097,1603,612,32320,4396,2514,3489,2880,2598,2193,1463,621,217,20367,485,913,1248,995,1023,1125,1133,711,325,7961,30,195,291,270,320,424,480,406,190,2611,0,9,39,57,135,268,337,328,231,1400,520,1120,1579,1318,1477,1817,1952,1443,750,11969,408,292,331,295,279,295,234,163,106,2409,5309,3924,5396,4499,4364,4309,3650,2223,1068,34746,8997,5447,7347,5715,5092,4215,2704,1105,363,40978,1070,1586,2107,1853,1894,2123,2081,1200,505,14433,78,291,431,421,509,751,933,704,306,4431,0,14,48,92,225,451,599,539,345,2308,1150,1895,2588,2367,2630,3326,3608,2449,1156,21169,858,652,710,631,600,581,436,275,165,4911
