SED_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
SED20106,3,14,30,131,19,20,7,0,0,221,0,3,21,166,60,30,21,3,0,307,0,0,4,128,19,14,9,3,0,174,0,0,9,61,8,3,4,0,0,92,0,4,11,79,11,3,0,0,0,114,0,0,5,61,15,10,10,0,0,100,19,27,36,167,52,59,35,14,3,416,0,3,39,81,33,29,18,0,0,203,0,0,3,28,8,11,3,0,0,63,0,0,4,37,7,14,4,0,0,62,17,65,182,1481,246,155,151,108,41,2445,69,111,187,1039,345,317,196,136,40,2451,1585,2587,3883,17245,5271,4402,2989,1601,421,39988,0,0,0,24,6,0,0,0,0,27,1339,2037,2435,6888,3239,2649,1848,858,276,21579,0,0,3,22,0,4,0,0,0,30,3,0,0,33,8,5,6,0,0,62,0,4,24,225,21,8,4,6,0,282,0,0,0,12,0,0,0,0,0,18,0,3,15,119,28,17,9,0,0,192
SED20207,8,71,45,95,60,34,13,0,0,333,4,83,70,176,128,73,18,13,0,565,4,24,31,160,81,35,24,10,0,368,3,4,3,36,4,3,0,0,0,56,0,43,46,53,12,0,3,0,0,156,0,0,3,25,15,12,7,4,0,69,13,49,29,47,23,23,9,3,3,193,6,20,32,165,154,124,76,16,4,589,0,0,3,15,10,11,4,0,4,53,0,9,10,48,27,7,0,0,0,104,27,191,183,826,439,310,210,127,41,2347,152,363,303,902,295,200,117,76,24,2433,4206,8939,5928,18012,7118,4699,3179,1384,397,53859,0,0,0,24,4,9,0,0,0,36,3574,6122,3562,6441,3399,2147,1236,669,289,27427,0,12,7,113,28,5,8,0,0,175,0,0,0,27,21,24,14,4,0,91,0,6,8,81,10,0,0,0,0,114,0,0,6,24,31,21,14,11,4,111,3,11,6,47,6,6,0,4,0,83
SED20302,0,8,10,25,14,3,3,0,0,67,0,23,31,87,57,41,30,14,0,277,8,102,141,935,313,111,66,31,0,1707,0,0,3,63,5,0,0,0,0,77,3,14,11,42,5,3,0,0,0,81,0,0,0,20,8,6,5,6,0,39,3,10,17,34,16,17,15,5,0,115,0,7,8,41,22,11,5,0,0,96,0,0,6,10,6,15,18,6,0,63,0,4,22,73,28,12,8,0,0,144,8,79,127,478,205,193,136,90,24,1338,177,393,281,800,382,339,384,241,90,3085,4564,8285,5962,17010,6257,5655,5333,2851,788,56705,4,23,64,209,61,18,11,4,0,382,4055,6740,4217,9389,4051,4085,3765,1896,731,38928,0,14,11,70,9,8,0,0,0,110,0,0,0,18,10,6,3,6,0,48,0,0,5,17,4,5,0,0,0,35,3,0,16,56,8,16,6,0,0,100,3,3,6,14,7,6,4,0,0,48
SED20401,0,11,16,39,21,17,13,3,0,120,0,5,0,52,30,23,20,8,0,143,4,13,32,198,57,35,55,16,0,409,0,0,8,22,4,8,3,0,0,36,3,15,17,22,9,0,0,0,0,60,0,0,0,7,9,0,0,0,0,18,0,6,4,34,12,6,9,0,0,76,0,0,9,48,60,42,23,12,4,206,0,0,3,9,6,7,16,9,3,51,0,0,3,8,7,0,5,0,0,29,6,26,37,187,77,80,92,99,62,671,50,124,115,359,162,140,115,84,38,1183,1923,3932,3587,9250,4204,3630,2770,1667,632,31604,0,0,0,5,4,0,0,0,0,9,1785,3201,2734,5881,2935,2427,2049,1148,509,22672,0,0,4,10,3,4,0,0,0,17,0,0,0,5,5,8,0,0,0,21,0,0,0,15,0,0,0,0,0,20,0,0,0,33,17,16,12,4,0,80,0,0,0,14,11,10,0,0,0,45
SED20508,0,4,3,13,5,3,4,0,0,32,0,6,11,31,20,27,18,8,0,126,0,0,0,7,4,9,5,3,0,19,0,0,0,0,4,0,0,0,0,3,0,7,5,13,0,0,0,0,0,24,0,0,0,0,0,0,4,0,0,9,4,15,10,22,13,15,20,10,0,102,0,0,0,7,4,0,0,0,0,16,0,3,0,0,6,13,17,3,0,50,0,0,0,8,5,0,0,0,0,22,8,16,14,79,46,74,81,47,20,381,42,166,112,282,231,257,328,241,76,1731,1784,4392,3365,6873,4111,4568,5450,2890,856,34296,0,0,0,0,0,0,0,0,0,0,1596,3818,2863,6302,3853,4390,4393,2225,862,30307,0,0,0,4,0,0,0,0,0,4,0,0,0,8,0,6,0,0,0,12,0,0,0,12,4,0,0,0,0,19,0,0,0,0,0,5,0,0,0,8,0,3,0,24,17,13,7,7,0,73
SED20604,0,0,0,0,7,0,0,0,0,13,0,0,11,19,14,13,9,4,0,69,0,3,0,19,13,0,5,0,0,36,0,0,0,9,0,0,0,0,0,11,0,3,6,6,0,0,0,0,0,18,0,0,0,4,0,0,0,0,0,3,0,3,7,21,5,6,19,4,0,77,3,21,11,52,9,0,3,0,0,102,0,0,0,9,3,10,9,8,0,45,0,4,3,3,9,5,4,0,0,26,12,56,80,108,79,74,81,78,29,583,86,246,233,495,266,308,268,171,60,2124,1982,4694,4093,8034,4289,4599,4243,2103,594,34619,0,0,0,0,0,0,0,0,0,0,1891,4106,3292,7008,3788,4054,3434,1623,694,29892,0,0,0,6,0,0,0,0,0,15,0,0,0,0,5,0,3,0,0,9,0,0,0,4,0,0,0,0,0,11,0,3,0,6,0,0,0,0,0,13,0,0,3,20,8,12,6,3,0,46
SED20704,0,0,0,9,3,3,0,0,0,16,0,7,10,25,24,11,7,0,0,98,3,5,15,45,21,7,6,3,0,106,0,3,0,5,4,0,0,0,0,11,6,44,103,58,6,3,0,0,0,207,0,0,0,0,4,0,3,0,0,7,0,6,9,7,5,11,16,0,0,53,0,5,3,8,0,8,0,0,0,19,0,0,0,4,3,5,3,5,0,23,0,0,4,16,8,0,0,0,0,25,3,19,27,53,34,32,30,20,5,231,82,235,183,447,254,275,210,125,65,1872,2259,5087,4420,8565,4121,4194,3729,1881,659,34915,0,0,0,12,0,0,0,0,0,12,2013,4327,3883,7724,3863,3994,3393,1732,855,31786,0,0,3,17,0,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,0,0,0,3,4,0,0,0,0,11,0,5,0,19,11,0,3,3,0,45
SED20804,0,0,3,0,5,5,0,0,0,12,0,0,12,19,11,5,11,6,0,70,0,6,8,22,9,7,4,4,0,50,0,0,3,13,0,0,0,0,0,15,3,54,67,29,0,0,0,0,0,151,0,0,0,8,0,0,0,0,0,8,0,9,0,11,16,15,25,9,0,83,0,4,0,42,23,6,0,0,0,83,0,0,0,0,4,6,8,4,4,29,0,0,4,5,4,0,0,0,0,11,3,11,15,87,35,46,39,29,8,274,87,203,185,445,226,243,241,190,94,1918,1689,3818,3342,7575,3855,4008,3880,2168,735,31050,0,0,12,12,6,0,0,0,0,30,1578,3160,2849,6300,3388,3699,3477,1962,900,27308,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,11,0,3,0,7,3,0,0,0,0,16,0,0,0,19,8,3,4,3,0,39
SED20906,5,28,19,32,19,20,7,4,0,133,0,42,46,164,165,80,45,25,9,570,0,5,8,82,43,45,32,29,13,250,6,4,5,39,7,0,0,0,0,57,0,6,9,21,7,0,3,0,0,53,0,3,0,13,11,10,7,7,0,55,6,34,26,41,31,24,18,8,5,178,0,31,26,64,62,20,14,4,0,219,0,0,0,7,11,0,0,0,0,24,0,0,0,8,3,12,4,0,0,32,22,132,127,602,445,338,285,194,70,2225,31,126,82,271,135,120,81,72,35,947,1829,4899,4203,8329,4976,3736,2464,1396,642,32467,0,0,0,6,0,0,6,0,0,8,1600,3639,2926,4391,3120,2204,1338,757,632,20604,0,0,0,6,5,5,0,0,0,12,0,0,0,20,11,4,4,0,3,39,0,0,3,51,20,3,4,0,0,81,0,0,0,12,10,4,0,0,0,33,0,8,5,33,16,10,4,0,0,73
SED21001,0,19,13,68,37,27,18,14,6,203,0,5,14,38,31,27,14,9,0,146,0,9,34,175,54,24,30,13,14,346,0,15,22,178,31,13,20,7,0,286,0,7,9,31,7,0,0,0,0,66,0,0,0,6,7,4,3,0,0,26,3,34,31,38,24,20,14,7,0,160,0,12,36,97,88,95,48,12,0,392,0,0,0,6,10,6,9,4,0,31,0,0,0,23,4,11,0,0,0,38,5,37,60,197,93,78,96,75,37,681,35,111,176,429,131,117,120,93,95,1306,1531,4120,5281,10032,4638,3979,3005,1812,910,35316,0,0,0,3,0,0,0,0,0,10,1341,3162,3159,3725,2697,2356,1786,1253,944,20424,0,0,10,15,6,4,0,0,0,34,0,0,0,3,7,3,0,0,0,18,0,0,0,7,4,0,0,0,0,18,0,0,5,15,10,9,8,0,0,48,0,4,3,14,17,16,9,0,0,63
