SED_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SED20106,5173,418,91,21,0,0,10,5712
SED20207,15058,840,407,125,18,7,37,16491
SED20302,12940,1019,603,150,12,7,69,14795
SED20401,7280,509,216,54,5,0,21,8090
SED20508,6716,596,258,54,8,0,40,7674
SED20604,6288,604,365,68,4,7,46,7382
SED20704,6910,642,361,61,6,4,38,8029
SED20804,5314,468,260,50,7,5,34,6143
SED20906,8978,450,167,34,3,0,14,9633
SED21001,8471,348,122,41,0,0,23,9011
SED21106,7126,418,128,24,0,0,3,7701
SED21203,8312,332,187,113,8,5,23,8983
SED21303,6219,253,89,22,0,0,3,6588
SED21401,8288,378,133,52,5,0,23,8877
SED21503,7057,365,156,46,0,4,11,7635
SED21608,6430,567,356,76,15,0,40,7496
SED21706,8473,365,111,39,7,0,7,9006
SED21805,7431,756,340,59,13,0,28,8635
SED21906,7023,332,89,9,3,5,6,7461
SED22005,8391,408,176,104,9,6,26,9115
SED22105,17197,1132,684,269,22,11,48,19374
SED22201,6962,502,218,50,6,0,17,7752
SED22305,8063,413,185,115,9,5,38,8830
SED22404,5636,548,290,55,11,4,34,6573
SED22501,8192,466,157,29,0,3,15,8864
SED22607,7568,346,109,38,4,0,10,8081
SED22704,5495,574,297,55,20,0,49,6486
SED22802,7341,633,303,69,4,7,24,8376
SED22901,7511,464,191,56,11,3,19,8247
SED23007,7689,456,182,103,8,8,33,8491
SED23101,8011,345,106,52,8,0,14,8531
SED23205,5474,596,295,40,10,6,24,6437
SED23308,6114,471,184,31,4,0,11,6813
SED23402,10455,809,405,72,8,0,45,11802
SED23502,4808,484,273,62,9,7,50,5684
SED23602,4891,474,266,36,9,3,41,5721
SED23702,7539,790,452,77,12,3,44,8917
SED23806,6997,265,103,23,0,0,8,7399
SED23901,8027,355,126,26,0,0,13,8541
SED24006,8409,327,106,40,3,0,10,8901
SED24105,9242,570,279,192,17,19,37,10352
SED24207,13310,738,411,234,22,7,48,14776
SED24308,6296,584,310,71,15,11,39,7327
SED24408,4977,375,242,32,3,4,42,5678
SED24504,7237,461,233,45,7,4,28,8018
SED24606,6401,272,79,17,0,0,8,6781
SED24703,5199,293,64,19,5,4,9,5591
SED24808,10561,897,586,161,19,13,68,12308
SED24904,5548,512,318,75,14,5,66,6541
SED25003,9707,453,255,93,6,0,34,10548
SED25102,7250,579,253,48,7,4,27,8163
SED25205,8300,489,187,29,3,0,11,9025
SED25302,7321,550,228,29,3,5,25,8168
SED25402,5624,674,399,54,7,7,58,6820
SED25501,9034,320,109,57,0,3,15,9543
SED25605,7623,349,144,101,8,3,19,8245
SED25704,5414,498,310,58,5,0,41,6329
SED25802,7113,718,456,74,10,3,53,8423
SED25905,8532,494,235,90,9,6,18,9388
SED26005,12116,727,435,163,21,13,37,13506
SED26102,5175,479,198,21,9,0,31,5912
SED26207,7789,379,138,39,4,0,18,8380
SED26303,6971,300,100,27,0,0,12,7410
SED26406,7586,328,92,40,5,0,14,8059
SED26504,4905,444,276,45,11,3,46,5732
SED26603,8906,388,129,55,3,0,25,9498
SED26708,6241,469,260,39,5,0,39,7045
SED26806,3753,224,47,13,3,0,4,4042
SED26903,6819,350,125,52,3,0,26,7375
SED27003,4611,289,81,20,3,0,9,5006
SED27101,7982,403,145,50,6,0,18,8611
SED27208,5287,504,340,56,14,4,55,6264
SED27305,7928,463,190,48,0,0,17,8651
SED27406,7708,403,137,22,0,0,12,8288
SED27504,6727,561,344,78,10,7,58,7785
SED27608,10588,748,389,48,3,4,27,11802
SED27708,5890,529,282,47,11,0,50,6820
SED27807,7107,488,238,165,10,7,36,8044
SED27907,7637,561,303,50,11,3,39,8610
SED28007,11698,623,291,106,8,7,28,12757
SED28107,19140,810,456,315,23,8,65,20811
SED28203,10399,458,220,136,7,0,29,11251
SED28301,8992,388,140,56,5,5,20,9602
SED28408,5436,497,259,48,8,8,25,6281
SED28507,10663,761,418,142,20,8,48,12046
SED28607,9033,471,158,32,0,3,15,9713
SED28704,13896,1013,587,126,14,10,32,15666
SED28803,19562,831,398,218,13,8,28,21053
SED29494,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0
