SED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED20106,12,155,0,3076,12,0,5,5,4,11,7,4,0,13,383,435,4,0,3,0,0,0,0,0,0,17,38,65,4111,748,95,1723,272,1215,124,691,107,1749,439,11277
SED20207,0,16,0,897,7,0,8,6,6,8,0,0,4,9,236,287,9,0,4,5,5,0,0,3,0,38,67,142,2225,334,66,1106,202,960,68,473,106,2527,336,8395
SED20302,4,58,3,570,13,0,5,6,5,13,0,15,6,34,307,410,9,3,13,10,5,8,0,6,0,98,96,252,2296,620,114,1559,225,921,137,830,177,4271,489,11632
SED20401,0,16,0,468,3,0,3,3,4,4,0,5,3,15,131,168,3,0,0,5,0,0,0,5,4,54,30,108,1553,288,30,910,141,579,54,453,85,2136,185,6418
SED20508,11,98,3,762,3,0,0,8,3,9,4,5,3,41,289,363,7,5,4,10,3,0,0,4,0,88,49,165,1152,506,70,1109,165,661,99,849,152,4712,389,9865
SED20604,0,40,4,430,0,4,0,4,0,3,0,0,3,18,275,318,11,0,5,11,0,3,4,0,5,64,46,150,1550,431,70,1273,154,667,134,601,117,2931,369,8307
SED20704,3,29,0,413,3,6,7,5,6,4,0,8,3,30,225,291,4,4,3,4,0,6,3,0,0,56,40,119,1387,383,65,1117,152,606,87,590,115,2892,302,7707
SED20804,0,36,0,370,6,0,0,4,0,6,0,9,0,24,194,258,4,3,5,0,4,3,0,0,0,67,53,147,1124,399,55,1012,116,568,88,610,110,2850,300,7238
SED20906,3,31,0,869,7,0,0,0,0,0,0,5,0,15,144,177,6,4,0,0,4,5,0,0,0,26,27,71,1484,255,36,752,105,506,43,410,72,1870,201,5715
SED21001,4,86,0,897,4,0,0,3,9,3,0,3,0,8,190,216,3,0,0,6,0,5,0,0,0,31,33,78,1389,439,35,924,127,659,70,636,83,2658,247,7258
SED21106,16,222,5,1841,5,0,0,0,5,3,0,0,4,21,194,236,0,9,0,5,4,7,5,9,3,36,17,86,1543,381,33,825,104,626,69,605,80,1971,224,6460
SED21203,3,9,0,150,4,0,0,0,3,9,0,3,5,21,121,165,0,0,0,0,0,6,0,0,3,41,48,99,716,174,27,491,77,458,42,315,56,1976,215,4555
SED21303,4,20,0,1597,15,0,0,3,5,3,0,4,4,11,204,263,11,0,5,0,6,0,0,0,0,17,27,59,3056,521,43,1568,206,756,99,461,70,1402,252,8427
SED21401,8,106,0,825,6,3,0,6,0,9,7,3,4,18,196,241,0,3,4,4,6,5,0,0,0,67,44,122,1107,386,47,753,99,583,54,539,86,3511,281,7451
