SED_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SED26708,112,229,157,125,147,35,12,816,13,15,11,10,13,8,3,73,5,6,6,4,3,0,0,26,166,363,278,226,288,90,26,1433,0,5,6,3,3,0,0,14,5,13,9,7,5,0,0,41,8,12,18,9,11,0,0,60,177,372,288,236,291,91,25,1491,182,192,111,68,63,17,0,631,8,7,6,4,0,0,0,25,365,570,409,309,362,107,28,2144
SED26806,30,78,44,39,57,47,34,326,7,5,5,6,5,3,4,36,5,0,3,5,3,0,0,18,104,181,143,119,156,116,84,903,0,0,0,5,10,3,0,25,0,4,3,0,11,4,0,25,7,4,7,9,12,6,0,45,105,188,149,129,169,118,84,950,74,74,52,45,57,56,32,392,0,5,0,0,0,0,0,7,187,264,209,176,228,181,113,1347
SED26903,91,151,104,75,107,58,26,613,21,8,6,7,9,5,5,50,4,7,3,0,0,0,0,20,166,318,207,177,249,121,83,1320,4,3,3,5,7,3,7,32,7,24,12,12,7,0,3,70,13,31,14,17,14,7,6,103,175,348,228,196,262,136,88,1428,196,228,134,94,101,54,39,844,4,6,4,5,0,0,0,26,383,586,361,291,367,189,127,2295
SED27003,48,98,74,43,44,42,23,376,7,10,8,3,8,7,6,47,0,3,9,4,3,4,0,17,101,236,179,122,132,127,67,965,9,10,12,7,8,7,0,55,9,13,11,3,5,9,6,61,18,25,24,12,20,14,6,118,121,262,205,136,154,145,70,1083,181,182,114,80,110,56,43,767,16,6,6,0,6,0,0,33,316,456,321,217,265,202,110,1887
SED27101,66,153,112,65,110,77,37,616,8,9,4,5,12,7,5,52,4,5,4,3,6,0,0,14,131,295,249,167,289,209,114,1462,3,6,0,0,8,5,6,27,6,6,10,7,11,8,0,40,9,9,6,6,23,7,3,59,143,304,261,172,310,219,120,1522,88,119,59,58,81,51,29,483,6,6,0,3,0,0,0,15,233,423,324,230,389,272,144,2020
SED27208,133,277,173,118,114,27,9,850,23,21,23,14,11,0,0,93,3,18,0,7,3,0,0,33,215,441,332,240,270,62,19,1576,6,26,22,10,17,6,0,82,16,24,3,4,3,0,0,54,22,49,26,14,20,6,0,139,237,494,353,253,292,67,21,1707,297,308,145,128,103,16,4,1005,3,8,5,7,4,0,0,30,537,814,507,386,392,83,24,2749
SED27305,61,104,77,75,101,53,27,505,9,10,8,5,11,10,8,51,0,4,0,0,4,3,0,11,111,212,213,181,287,146,83,1231,0,8,6,3,10,6,5,33,6,14,3,0,0,0,0,36,11,15,6,8,16,4,0,63,125,228,220,188,300,155,92,1293,77,97,47,45,58,25,15,371,9,0,0,3,3,0,0,17,206,330,265,230,361,179,104,1680
SED27406,34,104,91,62,107,81,36,520,10,7,9,4,8,12,3,62,3,5,5,3,3,5,0,33,98,260,237,194,320,241,102,1446,6,11,12,5,13,6,7,58,3,16,6,3,7,7,0,33,10,25,11,12,14,10,7,86,108,286,252,204,336,256,100,1532,59,71,48,43,65,40,24,345,7,0,4,0,0,0,0,14,165,359,300,248,395,294,126,1889
SED27504,151,335,220,158,161,42,15,1082,26,36,15,13,20,0,6,106,7,14,13,11,14,0,0,62,265,601,423,323,383,96,33,2124,10,16,14,20,10,11,0,80,27,24,25,16,9,7,0,101,41,41,34,32,19,13,3,180,303,648,461,352,403,110,38,2306,384,421,229,146,167,23,14,1384,8,16,20,5,3,5,0,56,700,1075,713,497,578,133,51,3747
SED27608,141,353,205,152,190,65,28,1137,23,32,22,12,17,7,0,119,4,5,5,0,9,0,0,22,266,637,427,344,461,186,87,2409,0,9,5,11,9,4,0,43,8,15,12,3,4,5,0,48,15,30,19,17,12,5,0,87,275,660,444,354,469,193,93,2499,133,161,120,73,98,25,6,615,0,4,0,3,3,0,0,15,410,827,565,432,569,221,101,3127
SED27708,136,281,209,155,174,29,10,998,31,26,13,9,3,6,0,84,5,4,3,7,3,0,0,27,220,460,381,296,352,71,18,1794,3,11,4,5,14,0,0,41,13,21,14,4,8,0,0,64,14,35,27,11,21,3,0,109,235,492,405,303,371,70,18,1907,211,265,133,89,79,22,3,806,7,14,12,0,0,0,0,30,451,774,546,402,450,93,24,2740
SED27807,98,221,146,116,155,94,44,876,18,20,3,6,23,12,13,96,4,13,4,9,13,5,8,60,220,427,298,238,338,231,136,1875,13,23,18,17,28,31,12,143,22,55,42,12,24,19,6,174,31,74,66,31,51,51,17,311,249,500,355,268,388,277,153,2191,332,477,254,204,225,146,85,1725,12,16,11,8,14,7,0,69,601,991,621,476,629,434,236,3990
SED27907,112,210,158,108,130,40,29,788,22,23,9,15,18,8,0,93,6,6,6,3,6,0,0,29,224,443,335,267,373,154,95,1891,10,11,7,9,7,3,0,48,18,27,7,10,9,0,0,68,22,36,16,16,15,9,0,121,250,478,355,284,388,165,96,2012,158,221,142,72,105,39,18,756,4,10,0,0,0,0,0,18,410,710,495,353,496,199,118,2780
SED28007,88,157,154,113,152,79,54,801,23,22,27,11,26,10,5,116,12,13,7,6,7,4,5,53,206,420,370,259,421,240,147,2067,13,22,28,20,13,6,7,112,9,26,8,14,16,9,3,88,19,52,32,30,28,14,11,194,232,475,403,287,453,257,162,2255,167,251,147,107,121,52,53,888,0,4,4,4,8,6,0,28,401,730,549,398,578,312,206,3175
SED28107,196,298,203,147,191,88,40,1157,34,51,23,19,27,14,12,180,13,33,24,5,6,9,3,98,416,762,544,356,512,252,135,2980,34,49,21,17,26,12,10,166,37,76,36,23,11,12,3,196,72,124,56,44,41,18,10,358,488,888,600,397,551,273,150,3346,499,492,278,190,235,99,54,1848,24,31,13,14,10,3,0,93,1005,1412,887,601,793,367,203,5281
SED28203,89,188,133,107,145,61,33,752,18,22,8,8,16,8,5,80,10,15,7,5,8,0,6,39,182,385,277,211,306,161,95,1617,9,23,24,18,15,16,5,95,17,37,21,4,21,3,0,110,22,64,38,22,30,18,8,202,209,444,314,231,334,182,103,1816,322,389,243,172,192,112,64,1493,10,19,8,3,0,0,0,37,537,852,566,407,525,291,166,3346
SED28301,55,134,106,73,119,54,41,573,4,3,11,4,10,5,3,49,0,0,4,0,0,0,0,10,85,247,226,173,286,166,115,1294,0,11,0,3,8,11,7,34,5,14,12,7,4,6,0,47,5,24,7,8,18,10,11,85,93,270,236,184,302,180,120,1378,42,100,75,46,76,55,47,442,3,0,0,0,0,4,0,9,141,373,309,228,376,232,168,1834
SED28408,143,304,212,156,170,39,21,1047,32,37,11,18,11,3,4,123,14,12,8,3,0,0,0,42,252,500,398,307,390,102,58,2011,15,16,14,8,24,3,0,86,14,34,16,10,10,0,0,90,31,54,35,15,28,5,3,174,288,552,429,322,422,107,62,2183,327,320,188,130,107,34,12,1125,4,12,11,3,4,0,0,35,621,879,629,456,536,147,71,3341
SED28507,187,319,187,132,168,64,33,1093,37,37,33,16,19,13,4,156,7,17,5,3,4,5,0,52,350,660,431,324,437,185,101,2498,26,44,26,14,14,0,8,141,39,42,21,18,20,0,4,149,63,86,48,35,33,7,11,286,416,755,481,358,473,188,111,2789,538,547,280,215,222,87,51,1946,22,9,13,5,7,0,4,65,975,1315,777,586,703,283,169,4796
SED28607,62,157,125,88,83,53,38,607,17,22,15,12,6,4,0,81,0,0,0,3,4,0,0,13,143,387,321,244,291,167,107,1666,5,18,16,4,10,15,0,69,10,8,6,4,11,0,0,46,14,26,22,7,22,13,8,114,156,412,346,253,308,182,114,1774,106,129,85,64,63,33,19,496,0,4,0,0,0,0,0,13,268,551,428,319,375,215,135,2284
SED28704,156,331,251,190,234,82,41,1279,41,47,26,17,22,3,0,148,9,11,10,4,10,3,4,42,302,669,546,398,589,223,128,2857,7,16,19,11,18,3,0,77,21,49,13,10,10,6,0,104,34,64,28,24,20,10,0,182,339,729,576,426,616,227,131,3040,360,418,243,152,155,51,20,1404,11,14,4,5,3,0,0,45,709,1163,825,581,775,284,154,4483
SED28803,183,314,211,148,192,112,56,1213,36,41,22,19,33,12,3,163,13,15,9,10,8,5,0,63,365,659,435,339,472,282,156,2720,11,40,26,13,19,10,5,121,22,53,29,19,18,9,8,159,29,93,56,32,37,21,13,279,401,749,493,373,513,301,175,3000,542,592,329,218,268,144,77,2181,7,27,14,13,3,0,0,67,948,1374,837,603,786,449,248,5247
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
