SED_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SED21106,49,108,79,75,93,61,49,511,11,7,5,5,6,10,9,55,3,3,3,4,3,6,0,20,115,248,221,196,260,194,126,1366,0,0,6,3,0,4,3,21,0,11,6,0,3,0,0,18,0,14,13,3,3,8,3,41,115,261,237,197,262,202,134,1404,35,74,85,66,76,62,35,426,0,0,0,0,0,0,0,5,148,332,325,265,341,260,171,1840
SED21203,72,161,110,76,121,75,31,642,17,13,14,13,17,7,0,71,7,15,13,4,7,4,3,53,139,284,205,161,248,146,69,1258,14,11,10,9,15,11,6,75,17,40,23,25,14,9,4,132,29,56,33,33,31,23,11,211,165,339,240,191,284,164,78,1463,430,511,327,266,329,146,87,2087,13,21,5,5,4,0,0,52,609,874,573,463,612,315,165,3609
SED21303,49,132,97,48,78,47,18,465,9,0,9,0,6,5,5,29,3,0,0,3,0,0,0,5,118,279,214,132,225,149,70,1183,0,11,0,4,13,4,4,35,0,7,3,3,3,0,0,27,3,19,6,10,14,8,5,60,124,293,222,144,235,153,76,1246,76,89,41,29,53,32,37,363,0,0,0,0,0,0,0,5,199,379,260,174,293,183,110,1610
SED21401,49,138,98,101,142,94,54,675,10,11,17,3,12,6,3,66,0,6,7,5,5,0,0,22,116,308,223,209,316,223,117,1514,3,10,4,0,3,8,0,27,9,23,13,9,7,3,5,63,10,31,18,7,8,15,3,91,124,332,241,216,326,233,123,1605,66,130,103,76,121,71,62,626,5,7,0,0,5,3,0,19,192,476,349,291,454,306,183,2245
SED21503,58,141,102,96,134,66,35,622,12,15,10,8,14,6,5,69,7,0,4,0,0,3,0,17,120,281,231,201,299,150,102,1379,9,8,13,4,5,9,0,47,6,11,3,6,7,0,0,42,15,23,15,6,9,6,3,88,135,305,254,209,309,157,102,1461,120,129,102,72,89,42,24,573,8,0,0,0,3,0,0,17,263,434,353,277,395,203,126,2054
SED21608,151,289,198,129,156,45,10,968,39,24,16,16,9,5,0,106,3,12,8,0,0,0,0,23,250,472,369,286,350,99,46,1875,10,13,12,12,19,5,0,78,21,26,23,11,18,0,0,106,30,39,36,26,40,3,5,178,275,508,406,316,390,111,54,2052,293,286,181,122,116,30,8,1033,3,9,11,12,0,0,0,29,573,800,596,444,507,137,65,3120
SED21706,52,124,100,76,111,93,43,602,8,12,5,11,9,0,0,48,0,3,5,0,0,6,0,9,101,288,255,212,301,209,128,1491,0,0,7,3,12,3,0,35,6,12,3,4,8,3,5,41,6,14,13,12,21,14,9,76,108,301,269,217,318,222,139,1573,96,115,97,90,110,70,41,619,7,8,0,3,0,4,0,22,213,427,364,314,430,295,180,2220
SED21805,153,294,170,125,173,56,31,993,31,25,13,5,13,9,6,95,8,12,9,7,3,4,0,41,274,521,370,290,400,154,90,2100,11,12,5,7,8,8,0,52,9,35,15,7,7,0,0,81,16,48,24,19,15,11,4,132,293,568,395,301,417,159,95,2235,244,248,146,113,117,34,12,916,10,7,8,3,3,0,0,37,545,825,549,423,536,200,108,3189
SED21906,72,107,92,73,94,41,31,513,10,7,3,3,3,9,0,42,0,9,4,0,0,0,0,17,136,245,215,182,251,149,103,1274,4,8,0,4,0,0,3,23,3,7,0,0,9,3,0,27,6,18,4,4,10,6,6,47,139,262,221,184,260,158,102,1328,58,65,61,42,55,47,22,353,3,0,0,0,5,0,0,11,204,335,279,228,313,203,127,1691
SED22005,81,186,135,88,126,63,55,726,20,7,8,9,12,3,7,68,0,9,3,11,8,3,0,27,172,347,262,181,289,166,122,1531,11,10,10,9,12,10,4,65,11,17,0,3,8,9,6,51,16,27,8,15,22,17,12,119,190,370,271,193,307,173,135,1649,167,190,114,87,130,78,58,825,9,8,5,5,10,0,3,44,367,571,388,285,444,256,199,2513
SED22105,235,420,263,193,200,76,41,1435,51,42,28,19,36,8,9,196,21,34,11,9,17,7,0,95,518,897,611,460,581,234,138,3435,12,22,16,13,19,5,9,96,44,54,21,21,23,10,7,182,48,81,44,33,44,14,7,279,567,978,657,491,624,247,147,3709,603,499,272,199,200,83,65,1920,20,19,11,10,6,3,0,77,1187,1498,940,703,826,336,216,5699
SED22201,80,215,149,108,127,64,34,788,13,22,10,15,15,4,0,78,7,5,3,5,4,3,0,28,160,418,304,253,344,182,92,1763,0,8,6,9,4,0,0,26,7,7,6,10,11,0,0,43,7,16,8,15,15,0,4,69,165,439,314,267,359,184,93,1826,141,154,81,59,75,41,22,573,0,3,4,3,0,0,0,9,302,592,404,334,439,226,117,2414
SED22305,82,169,97,74,124,59,28,632,19,19,7,8,10,5,0,73,13,20,15,11,12,4,0,74,191,338,222,175,285,160,78,1449,14,29,13,13,22,15,16,111,10,37,18,19,23,10,10,125,26,63,32,30,42,23,23,240,214,403,251,205,334,181,102,1694,325,363,208,147,201,101,80,1428,16,29,16,3,8,5,0,76,562,792,473,365,538,291,180,3195
SED22404,97,191,145,131,127,41,24,744,10,19,16,9,17,6,4,85,12,7,3,3,8,0,0,36,156,323,279,217,283,87,40,1377,3,11,4,5,9,0,0,31,7,14,13,12,6,4,0,51,8,17,16,15,14,3,0,82,167,345,292,233,296,90,40,1461,147,151,122,80,85,25,12,625,3,6,3,0,4,0,0,20,323,500,416,311,386,122,51,2105
SED22501,44,127,116,101,116,41,25,576,8,4,16,8,11,7,4,58,0,0,0,0,5,0,0,13,110,244,272,221,309,143,99,1400,0,5,0,0,4,0,5,14,4,10,7,5,5,0,0,33,4,14,6,4,6,0,6,45,110,264,280,227,315,146,107,1454,72,92,63,49,44,31,17,364,0,0,3,5,0,0,0,9,182,350,351,278,360,177,116,1818
SED22607,53,103,83,64,76,63,30,478,3,7,6,9,10,9,0,40,4,4,0,0,4,0,0,12,115,260,221,184,249,178,85,1289,6,11,11,9,9,3,3,53,14,4,8,4,8,3,0,43,23,18,18,14,11,13,8,94,132,273,237,191,266,186,91,1385,146,129,88,44,76,29,32,553,3,7,4,0,3,0,0,24,287,414,331,241,335,217,130,1954
SED22704,123,238,173,101,129,36,14,813,23,27,14,13,9,0,0,77,4,14,7,10,10,5,0,54,218,428,315,228,320,78,32,1625,8,12,7,11,6,0,0,39,13,21,10,3,9,5,0,59,17,35,17,16,16,3,0,101,234,465,334,242,338,82,32,1726,256,249,153,95,92,25,10,876,3,11,0,0,0,0,0,19,493,716,486,340,427,114,40,2617
SED22802,87,192,141,95,131,48,20,714,14,15,12,14,6,7,3,63,0,11,8,0,10,5,0,32,143,322,271,209,334,125,68,1471,3,4,3,4,0,6,3,32,4,6,7,3,3,5,0,29,6,16,14,9,7,5,3,53,148,337,280,213,346,132,73,1527,128,192,92,73,81,30,5,599,0,0,0,4,0,0,0,4,278,531,378,293,420,162,78,2134
SED22901,74,149,116,83,114,66,33,637,14,17,12,3,14,6,6,68,4,13,3,3,6,5,0,29,144,312,255,191,294,175,103,1474,5,13,15,3,9,0,0,49,6,18,10,3,13,4,0,64,14,34,24,10,22,8,3,111,157,352,281,195,318,186,108,1586,130,149,91,56,95,30,35,578,0,3,0,0,0,0,0,4,294,501,365,252,411,209,139,2169
SED23007,104,154,114,72,96,72,41,648,20,32,11,10,17,7,10,107,5,13,3,10,6,0,0,35,220,405,307,198,321,205,114,1776,9,25,21,8,10,16,7,95,23,31,16,13,17,9,10,117,26,55,38,28,35,26,13,215,251,455,344,227,355,234,125,1989,264,288,173,126,164,108,69,1192,7,4,9,11,5,5,7,49,520,746,530,364,523,339,201,3226
SED23101,40,82,99,64,112,62,50,513,7,7,0,3,6,7,0,34,0,4,4,0,3,3,0,15,77,205,219,155,285,184,118,1251,0,7,5,4,5,5,3,28,3,14,13,0,5,3,0,47,9,18,15,4,10,13,5,72,85,227,238,161,295,199,123,1322,70,111,66,60,106,67,51,527,0,0,0,0,0,0,0,3,157,338,301,218,399,268,177,1859
SED23205,117,295,205,135,163,57,29,1000,25,16,11,13,15,5,4,93,4,8,3,11,6,5,3,39,220,531,387,286,407,167,82,2076,3,16,10,16,10,0,0,62,12,21,15,13,12,4,0,78,14,38,28,23,23,0,0,141,240,569,411,310,438,172,83,2215,300,326,188,129,141,55,20,1162,7,6,11,4,0,0,0,34,539,903,614,447,574,225,103,3411
SED23308,86,229,174,106,130,47,26,797,26,23,8,11,9,8,0,85,0,3,10,3,7,3,0,20,161,411,327,234,355,142,72,1698,3,10,6,3,9,4,0,37,10,21,15,9,7,0,0,63,13,33,23,7,17,4,3,101,176,439,341,240,370,146,76,1797,178,221,113,98,85,40,11,751,11,10,4,0,4,0,0,31,364,664,460,345,461,190,90,2576
SED23402,136,262,171,113,171,81,37,973,21,41,25,16,21,6,7,139,4,12,10,8,5,4,0,46,268,552,389,315,434,208,121,2293,3,23,11,4,6,4,5,55,22,35,15,14,9,0,0,94,27,61,21,13,15,3,5,147,286,614,412,326,453,217,123,2433,302,300,155,84,109,43,20,1006,7,14,8,6,0,0,0,32,597,928,572,419,564,258,140,3475
SED23502,114,234,141,111,124,20,7,751,32,20,20,12,22,4,0,115,0,9,4,11,6,0,0,33,194,389,294,253,283,46,12,1469,4,13,15,14,9,0,0,52,13,22,13,8,9,4,0,75,21,37,27,19,20,4,0,123,215,426,321,274,298,49,12,1587,236,264,139,105,90,16,4,851,7,15,16,5,9,0,0,43,456,707,471,378,396,65,16,2489
SED23602,95,220,156,104,145,19,5,755,14,21,11,8,11,0,0,64,5,5,12,4,6,0,0,33,165,360,274,207,268,64,30,1375,4,13,21,11,13,4,0,59,19,27,8,15,9,9,0,81,23,43,26,25,19,7,0,143,189,405,302,240,288,72,30,1520,207,231,118,87,76,20,11,751,5,0,7,6,0,0,0,17,397,639,421,334,368,94,38,2288
SED23702,152,303,215,157,196,71,27,1114,27,37,16,21,18,8,5,136,3,9,7,0,4,0,0,32,257,506,379,310,411,155,58,2075,7,13,4,7,10,3,0,44,4,14,0,4,3,0,0,32,8,30,6,12,16,5,0,78,267,535,384,326,425,160,60,2153,249,260,146,105,100,37,10,891,0,10,6,0,0,0,0,20,516,800,532,428,521,197,66,3068
SED23806,40,77,63,58,77,59,40,413,13,9,4,3,10,3,0,42,0,9,3,3,3,0,0,18,97,234,186,146,218,177,122,1175,3,7,9,4,0,0,0,24,3,11,3,0,9,0,0,30,3,20,12,4,15,0,0,56,94,249,199,150,230,180,124,1229,42,71,46,42,74,56,34,375,5,3,0,0,0,0,0,8,145,323,254,197,309,242,161,1619
SED23901,51,124,93,81,117,78,39,593,15,11,10,11,9,3,6,58,6,0,5,5,7,0,4,29,144,271,233,214,304,187,118,1476,0,7,5,4,7,3,5,38,4,13,6,6,6,0,5,42,9,25,10,11,16,8,10,86,151,297,241,230,319,191,124,1558,104,132,81,67,88,61,38,567,0,8,0,0,0,0,4,12,263,436,322,295,407,257,165,2137
SED24006,45,109,99,87,128,99,45,617,9,8,0,6,8,13,0,41,0,0,0,5,3,0,0,15,104,238,253,223,324,257,132,1535,0,3,9,6,15,12,4,44,0,12,9,12,10,5,3,47,3,16,18,11,21,17,5,89,107,250,267,233,343,270,142,1626,50,112,129,110,171,136,83,787,0,3,10,6,5,3,3,25,160,364,401,353,518,411,231,2440
SED24105,80,190,164,114,144,91,50,831,23,8,5,5,12,5,4,66,7,16,11,8,11,10,4,60,184,396,305,244,359,236,150,1882,7,13,3,7,14,3,8,57,13,27,18,7,14,6,7,89,21,39,21,16,28,11,13,144,203,434,329,258,389,249,160,2023,258,311,158,99,152,94,61,1137,7,23,7,5,8,0,0,44,469,770,498,359,549,344,228,3207
SED24207,144,266,180,135,220,97,55,1088,35,40,21,17,27,14,9,163,13,21,13,3,11,11,3,73,318,593,421,332,512,276,141,2590,19,29,22,28,25,14,10,146,29,72,33,32,32,18,11,234,49,106,53,61,59,39,22,382,364,702,476,391,573,307,165,2974,366,477,279,184,207,121,82,1720,18,29,14,8,7,3,4,87,757,1205,768,587,779,432,250,4779
SED24308,156,283,195,155,188,45,25,1050,30,29,27,17,19,5,3,129,19,19,7,0,4,5,5,60,302,513,389,303,417,125,56,2102,9,15,19,12,21,3,5,92,29,61,24,14,11,5,0,145,37,81,48,28,32,7,5,230,336,591,435,328,451,131,55,2332,408,408,240,178,181,82,46,1528,25,17,4,3,0,0,0,47,764,1011,681,512,631,208,102,3912
SED24408,120,197,164,114,113,36,3,751,26,22,13,15,6,0,0,81,5,3,7,5,0,0,0,19,191,337,273,226,261,49,10,1362,5,8,7,5,0,0,0,29,3,15,5,9,9,0,0,45,9,21,14,10,14,0,0,72,203,364,285,238,278,52,10,1430,237,227,133,88,62,12,5,761,8,9,3,4,3,0,0,35,449,594,423,331,338,66,20,2227
SED24504,77,194,120,112,126,40,18,676,14,26,14,6,14,3,0,83,0,4,0,0,0,0,0,11,125,363,266,228,314,103,41,1438,8,3,3,0,4,0,0,23,0,13,4,5,11,3,4,44,9,20,17,7,10,3,4,70,132,380,273,236,329,107,42,1505,134,151,75,51,55,23,9,509,3,5,3,5,0,0,0,21,271,537,357,296,386,129,60,2038
SED24606,50,93,62,65,81,62,37,450,11,5,4,3,6,4,0,34,3,4,5,3,0,0,0,15,107,207,172,144,226,178,94,1132,3,5,4,4,4,0,4,29,3,11,3,6,4,0,3,34,8,18,7,6,9,4,6,63,117,223,183,153,239,173,102,1191,34,65,70,46,84,63,55,416,0,0,4,0,0,0,0,9,153,287,261,196,321,242,158,1614
SED24703,82,108,63,67,102,59,40,520,16,8,7,7,7,6,7,55,6,4,0,3,4,0,7,23,166,277,199,168,247,168,91,1314,6,8,6,6,0,11,0,44,15,21,13,3,17,17,3,84,22,33,16,11,15,26,9,126,183,312,214,175,257,193,99,1441,153,170,90,77,108,123,77,793,14,11,9,4,3,0,0,43,351,494,314,259,367,314,184,2281
SED24808,201,395,261,171,226,56,21,1332,51,48,31,18,22,4,3,175,25,25,20,8,15,3,7,100,441,802,587,381,496,164,92,2961,34,54,43,34,32,8,3,206,63,84,38,34,26,7,0,259,94,141,75,68,61,19,8,464,538,944,659,449,552,186,97,3427,793,767,411,248,257,77,41,2603,12,9,11,6,5,5,0,48,1343,1725,1077,703,812,263,139,6075
SED24904,142,256,175,118,132,31,4,865,29,30,11,8,12,0,0,89,5,15,9,12,9,0,0,60,257,482,357,277,354,77,18,1818,18,15,10,3,6,0,0,55,17,27,17,7,9,0,0,84,32,48,26,17,15,0,0,143,289,532,387,294,373,79,15,1962,345,379,194,142,93,28,5,1191,13,17,6,11,7,3,0,56,653,924,588,440,470,117,27,3213
SED25003,92,187,139,101,152,70,39,782,11,12,9,5,7,5,3,51,9,5,0,0,3,0,3,20,174,345,276,210,340,180,97,1620,9,20,8,9,9,9,0,75,14,27,7,13,15,10,0,90,28,47,18,16,27,18,4,165,200,397,300,227,360,198,98,1789,217,248,144,107,148,67,27,955,9,6,3,4,0,0,0,33,428,652,444,345,505,267,128,2776
SED25102,60,169,124,81,138,49,34,645,9,10,13,15,17,8,9,82,3,5,6,3,0,0,0,17,96,280,254,203,303,141,91,1367,0,9,5,3,3,0,0,31,5,8,6,10,9,0,0,29,10,17,7,17,12,0,0,59,103,297,261,220,314,139,90,1422,91,109,80,38,52,19,9,392,3,0,0,0,0,0,0,12,199,407,340,258,362,162,92,1826
SED25205,67,158,137,104,132,86,32,721,22,16,18,7,5,7,0,77,7,7,3,0,4,0,0,21,140,341,318,213,349,217,107,1687,3,3,3,10,11,4,0,34,8,9,9,6,3,3,0,40,12,16,9,8,19,4,0,76,151,361,329,223,360,227,108,1762,82,125,53,49,55,37,24,422,0,0,4,0,0,0,0,9,233,490,387,272,419,262,128,2198
SED25302,73,180,147,98,170,49,25,740,19,30,12,3,12,9,3,82,0,6,0,0,4,0,0,15,134,346,296,233,356,142,82,1595,4,9,0,4,8,4,0,24,0,10,10,7,8,0,0,34,0,10,8,9,14,4,0,48,143,360,306,246,371,140,82,1647,94,121,67,63,60,24,16,444,0,0,3,4,0,0,0,8,236,479,375,309,429,172,96,2099
SED25402,169,291,191,121,147,36,11,962,29,25,19,13,13,0,0,105,6,18,10,0,3,0,0,39,269,506,404,246,329,94,32,1881,13,35,25,15,22,3,5,121,26,36,21,10,11,4,0,110,43,73,49,24,37,6,6,231,312,576,452,273,368,101,33,2119,445,401,195,154,138,32,12,1372,18,19,12,4,3,0,0,56,774,990,665,434,508,132,48,3548
SED25501,42,116,99,88,105,90,46,585,6,10,3,9,7,12,8,48,3,4,7,3,6,4,4,27,94,268,206,192,249,215,117,1349,0,9,0,3,6,0,0,28,5,7,11,6,17,10,5,56,6,14,12,7,23,17,5,80,99,285,218,198,274,232,122,1427,42,98,96,91,161,98,90,666,0,0,7,0,0,0,5,16,143,387,325,291,431,327,211,2111
SED25605,52,121,98,64,110,76,32,550,15,7,4,8,8,6,5,47,4,4,5,3,6,3,0,27,129,238,224,161,257,172,85,1262,3,10,4,13,13,3,0,48,8,14,10,11,9,11,3,67,13,20,13,20,27,14,5,110,141,263,242,183,278,186,86,1374,103,125,90,77,88,80,68,634,0,3,6,3,0,0,0,21,250,385,339,260,367,269,154,2028
