SED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SED26708,436,7,0,0,3,454,221,5,0,0,0,230,262,0,0,0,0,263,459,9,0,0,0,472,644,14,0,3,0,661,1557,23,0,5,0,1587,1394,18,0,0,0,1418,1389,12,4,0,0,1404,620,3,0,3,0,630,449,4,0,0,0,454,374,6,0,3,4,386,544,4,0,0,0,550,8347,109,8,19,15,8500
SED26806,85,86,244,0,0,418,15,12,37,0,0,72,11,21,54,0,0,84,11,16,87,0,0,111,14,19,148,0,0,179,60,75,717,9,0,860,45,72,1000,0,0,1117,92,142,1373,5,0,1614,71,110,615,0,0,796,165,246,495,3,0,906,435,502,402,0,3,1349,86,110,273,0,0,465,1087,1406,5450,24,7,7970
SED26903,260,92,15,0,0,367,95,27,4,0,0,124,68,28,4,0,0,103,137,61,9,0,0,213,164,96,28,7,0,288,508,308,98,3,0,917,560,451,124,5,0,1144,975,723,93,5,0,1802,730,314,30,0,0,1081,761,160,11,5,0,937,431,80,12,0,0,521,372,136,16,0,0,516,5067,2475,450,27,0,8018
SED27003,83,173,116,0,0,366,21,39,23,0,0,84,17,14,32,0,0,66,16,42,66,0,0,127,20,77,93,0,0,199,82,212,493,5,0,788,79,197,701,11,0,983,137,419,931,20,0,1500,129,317,475,15,0,934,213,650,437,5,0,1308,410,858,293,11,0,1571,61,211,169,0,0,440,1260,3216,3824,71,6,8373
SED27101,388,63,10,0,0,458,133,18,3,0,0,162,117,18,9,0,0,137,168,19,9,0,0,200,214,37,27,0,0,277,601,127,99,0,4,828,817,196,119,0,0,1128,1511,293,90,0,0,1899,1032,204,15,0,0,1254,1175,162,25,0,0,1362,705,63,14,0,0,789,403,78,22,0,0,501,7260,1282,444,0,7,8994
SED27208,478,7,0,6,4,490,395,8,5,0,0,409,406,4,0,9,0,420,824,6,0,0,0,830,998,11,3,0,0,1015,1868,19,7,4,4,1898,1369,6,4,4,0,1377,957,0,4,0,3,970,316,0,0,3,0,318,204,0,0,0,0,202,132,0,0,0,0,130,529,0,0,0,0,539,8465,61,18,23,14,8593
SED27305,443,7,0,0,0,455,131,14,0,0,0,147,118,0,0,0,0,118,222,3,3,0,0,229,285,9,5,0,0,296,828,36,11,0,0,871,949,47,14,0,0,1014,1695,71,7,0,0,1777,1199,33,3,0,0,1238,1173,26,0,0,0,1190,568,4,0,0,0,577,548,11,0,0,0,566,8166,274,43,0,0,8485
SED27406,311,99,36,0,0,450,72,21,13,0,0,108,66,28,8,0,0,110,80,59,34,0,0,177,106,48,38,5,0,194,328,173,184,3,0,689,343,214,255,3,0,817,663,409,346,10,0,1422,481,319,125,8,4,934,966,341,86,0,0,1400,1697,287,48,0,0,2030,368,117,53,3,0,538,5489,2120,1232,39,8,8878
SED27504,396,15,0,3,5,413,233,11,0,0,0,244,258,15,0,4,0,278,551,31,0,0,3,586,882,18,0,5,0,903,2346,41,0,4,0,2389,1694,18,0,0,0,1711,1188,12,0,0,4,1205,331,0,0,0,0,334,233,0,0,0,0,239,204,0,0,0,6,208,517,10,0,0,0,523,8833,173,3,21,13,9045
SED27608,506,14,3,0,0,519,221,13,0,0,0,234,140,11,0,0,0,148,302,13,0,0,0,316,417,31,0,0,0,446,1538,91,10,0,0,1642,2371,138,7,0,0,2508,3475,107,6,0,0,3586,1534,39,0,0,4,1579,1123,30,0,0,0,1149,683,14,0,0,0,693,715,23,3,0,0,738,13017,513,27,0,10,13575
SED27708,385,17,4,3,0,404,200,17,5,0,0,217,206,13,0,0,0,230,488,24,4,0,0,520,699,40,12,6,0,752,1869,70,19,6,0,1964,1649,29,8,5,0,1694,1193,17,4,3,0,1221,381,5,0,0,0,390,267,0,0,0,0,277,209,0,0,0,0,209,461,15,5,0,0,482,8011,251,69,26,5,8364
SED27807,391,61,22,0,0,469,146,18,13,0,0,176,123,18,11,0,0,156,199,35,19,0,0,255,249,54,33,0,0,337,801,220,100,0,0,1122,904,260,67,0,0,1227,1221,251,34,0,0,1502,456,73,4,0,6,538,326,54,0,0,0,386,168,35,5,0,0,204,416,67,28,0,0,514,5401,1141,332,0,7,6879
SED27907,402,31,9,0,0,442,167,16,7,0,0,189,124,10,0,0,0,132,300,18,15,0,0,328,385,30,11,0,0,423,1280,110,57,0,0,1444,1839,170,64,0,0,2078,2651,161,23,0,0,2841,1061,50,3,0,0,1116,650,24,3,0,0,679,384,28,5,0,0,415,647,29,19,0,0,688,9888,673,211,0,5,10776
SED28007,510,51,0,0,0,561,175,29,5,0,0,199,151,28,4,0,0,185,253,48,5,0,0,308,383,58,0,0,0,440,1222,212,21,0,0,1459,1595,296,22,0,0,1915,2835,264,10,0,4,3105,1318,60,0,0,0,1385,934,46,0,0,0,983,572,36,0,0,0,603,937,91,5,0,0,1034,10890,1212,72,0,4,12174
SED28107,552,49,7,0,0,612,158,18,4,0,0,178,135,18,9,0,0,163,267,40,13,0,0,319,448,57,15,0,0,521,1778,245,41,0,0,2060,3515,395,49,0,3,3965,6280,344,22,0,8,6646,2089,107,0,0,0,2192,1106,71,7,0,0,1180,683,41,3,0,0,727,1288,111,8,0,0,1414,18298,1477,174,0,15,19970
SED28203,375,30,7,0,0,419,132,13,6,0,0,143,122,16,4,0,0,138,184,14,14,0,0,214,283,26,19,0,0,324,977,109,39,0,4,1129,1619,200,58,0,3,1880,2909,164,31,0,0,3116,1086,41,4,0,0,1137,632,19,7,0,0,654,387,15,3,0,0,403,730,46,10,0,0,785,9418,704,204,4,4,10340
SED28301,425,70,13,0,0,506,103,17,6,0,0,128,96,11,5,0,0,108,133,12,11,0,0,157,178,13,20,0,0,213,495,58,63,0,0,623,486,78,116,0,4,684,975,165,122,0,0,1263,733,144,56,0,0,931,1169,159,35,0,0,1360,1379,106,17,0,6,1503,497,60,37,0,0,599,6684,894,502,0,6,8084
SED28408,310,26,0,0,0,339,180,14,0,0,0,201,142,13,4,0,0,157,323,33,5,0,0,371,485,40,10,0,0,535,1597,127,17,0,4,1753,1616,58,7,4,0,1683,1257,52,0,0,4,1309,385,23,0,0,0,412,296,10,0,0,0,310,208,8,3,0,0,216,331,21,3,0,0,355,7129,422,63,8,6,7630
SED28507,436,29,6,0,0,468,168,19,8,0,0,195,149,19,0,0,0,172,328,21,0,0,0,354,433,52,7,0,0,493,1622,171,38,0,0,1832,2730,179,25,0,0,2941,3714,133,7,0,4,3853,1066,26,3,0,0,1096,601,26,0,0,0,631,343,12,4,0,0,349,779,45,8,0,0,826,12366,725,107,0,0,13202
