SED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SED24808,541,28,0,0,0,569,224,17,0,4,0,243,213,21,0,0,0,225,376,32,0,0,0,414,615,50,3,0,0,664,2342,188,11,0,0,2548,3631,111,7,0,3,3751,3662,54,5,0,5,3724,885,12,0,0,0,903,639,7,0,0,0,648,365,6,0,0,0,373,921,26,0,0,0,952,14412,560,28,5,9,15017
SED24904,392,8,7,0,0,407,248,0,0,0,0,255,285,8,0,0,0,291,581,24,15,0,0,617,778,29,12,0,0,818,1926,46,21,0,0,1991,1213,17,0,0,0,1230,823,13,0,4,0,835,244,0,0,0,0,247,177,0,0,0,0,181,125,0,0,0,0,125,479,16,5,0,0,507,7272,170,59,10,5,7511
SED25003,444,32,3,0,0,473,164,28,0,0,0,190,158,12,4,0,0,168,240,29,3,0,0,269,360,57,8,0,0,432,1146,180,33,0,0,1358,1601,258,23,0,0,1885,2408,241,9,0,0,2659,1075,60,3,0,0,1140,632,56,0,0,0,697,382,28,4,0,0,413,703,90,4,0,0,799,9316,1073,89,0,0,10481
SED25102,510,7,0,0,0,520,181,0,3,0,0,183,149,4,3,0,0,153,240,0,0,0,0,241,362,3,0,0,0,371,1169,14,5,0,0,1186,1417,16,12,0,0,1441,2368,20,6,0,0,2402,1507,14,3,0,0,1524,1125,3,0,0,4,1127,597,0,0,0,0,604,631,3,5,0,0,637,10259,89,32,4,5,10391
SED25205,304,90,48,0,0,446,116,36,17,0,0,161,65,26,17,0,0,107,141,44,23,0,0,212,218,88,56,0,0,362,543,190,180,3,0,917,660,293,243,0,0,1196,1173,505,378,0,0,2060,908,331,181,3,0,1426,1179,314,119,0,0,1606,839,184,56,0,0,1075,405,123,97,0,0,621,6559,2219,1410,17,3,10202
SED25302,437,40,17,0,0,495,125,16,4,0,0,149,106,8,4,0,0,115,190,17,3,0,0,217,256,18,13,0,0,292,703,50,28,0,0,791,872,80,40,0,0,995,1654,103,52,0,0,1810,1215,41,24,0,0,1278,1290,28,10,0,4,1329,1141,31,10,0,0,1183,525,18,13,0,0,558,8519,448,222,0,4,9194
SED25402,432,11,9,0,0,451,291,13,8,0,0,315,306,9,5,0,0,318,753,8,16,5,0,782,985,14,20,0,0,1018,2207,33,22,0,4,2264,1567,17,3,0,0,1591,1125,5,5,0,0,1135,379,0,0,0,0,384,267,0,0,0,0,270,175,0,0,0,0,172,578,7,6,0,0,600,9060,124,91,6,6,9294
SED25501,448,47,56,0,0,552,83,16,14,0,0,100,65,11,12,0,0,88,79,15,11,0,0,111,110,15,29,0,0,154,290,44,79,0,0,409,314,54,99,0,0,469,614,115,204,0,0,932,411,84,149,0,0,648,858,162,182,0,0,1203,1327,107,80,0,0,1515,381,65,57,0,0,506,4976,740,975,0,0,6684
SED25605,423,37,23,0,0,477,114,7,15,0,0,129,93,9,3,0,0,104,148,13,13,0,0,181,197,31,28,0,0,254,588,78,56,0,0,723,681,121,71,0,3,877,1032,215,61,0,0,1312,681,120,17,0,0,820,901,76,14,0,0,988,655,39,3,0,0,694,472,44,13,0,0,532,5974,796,318,0,4,7086
SED25704,417,5,0,0,0,421,242,3,0,0,0,248,279,4,0,0,0,284,608,16,0,0,0,627,815,17,5,0,0,837,1768,30,3,3,0,1808,1273,18,0,4,0,1296,922,3,0,0,0,937,231,0,0,0,0,237,173,0,0,0,0,180,164,3,0,3,0,173,486,9,3,5,0,501,7386,107,16,26,8,7543
SED25802,410,14,7,0,0,430,237,9,8,0,0,251,252,6,5,0,0,258,470,11,6,0,0,495,652,31,15,0,0,691,1818,50,28,0,5,1911,2229,18,17,0,0,2263,2158,18,3,0,5,2183,801,0,0,0,0,798,576,4,0,0,0,579,378,0,0,0,0,382,651,17,6,0,0,666,10633,173,96,5,11,10927
SED25905,472,37,7,0,0,507,166,9,0,0,0,178,159,6,3,0,0,172,283,22,0,0,0,314,359,17,9,0,0,389,1042,127,23,0,0,1186,1446,168,23,0,0,1637,2186,205,13,0,0,2401,921,85,0,0,0,1010,651,36,0,0,0,689,413,25,0,0,0,438,669,68,9,0,0,748,8764,803,85,0,3,9660
SED26005,556,25,0,0,0,579,210,13,0,0,0,215,189,0,0,0,0,197,326,13,3,0,0,345,421,28,7,0,0,450,1587,84,14,0,0,1684,2158,174,12,0,0,2343,3369,177,9,0,0,3557,1549,43,0,0,0,1593,923,32,0,0,0,956,496,10,0,0,0,509,864,50,0,0,0,917,12647,646,46,6,5,13345
SED26102,426,32,9,0,0,466,160,10,0,0,0,173,138,14,0,0,0,155,205,10,0,0,0,215,278,25,0,0,0,303,824,50,3,0,0,881,1028,55,6,0,0,1088,1550,53,12,0,0,1616,800,27,6,0,0,838,662,28,4,0,0,688,580,11,6,0,0,595,486,27,4,0,0,514,7133,331,58,10,0,7529
SED26207,342,87,10,0,0,435,104,22,6,0,0,135,87,24,0,0,0,114,115,48,3,0,0,169,152,33,9,0,0,196,488,154,28,3,0,669,557,218,26,3,0,802,1003,371,35,0,0,1414,721,264,7,0,0,990,855,235,24,0,0,1114,699,158,7,0,0,868,471,117,11,0,0,593,5596,1721,170,10,8,7498
SED26303,320,97,52,0,0,473,81,28,21,0,0,128,60,19,14,0,0,94,77,31,45,0,0,155,124,49,71,3,0,248,330,155,327,5,0,819,369,180,384,7,0,941,691,352,412,8,0,1459,488,322,142,5,0,955,807,376,95,0,0,1289,1092,275,54,5,0,1427,282,105,53,4,0,449,4731,1992,1684,29,5,8436
SED26406,313,87,55,0,0,456,62,25,23,0,0,105,65,24,17,0,0,102,104,36,34,0,0,183,127,46,77,0,0,248,360,157,326,0,0,848,359,186,409,0,0,957,701,406,503,6,0,1604,544,321,162,0,0,1032,787,335,110,0,0,1235,834,205,50,0,0,1091,328,101,93,0,0,524,4573,1933,1865,9,3,8382
SED26504,336,11,0,0,0,354,213,6,0,0,0,221,193,3,0,0,0,201,393,18,0,0,0,407,614,25,4,0,5,644,1581,45,3,3,0,1630,1391,15,5,0,0,1417,1045,9,0,3,0,1064,335,0,0,0,3,338,252,4,0,0,0,260,191,3,0,0,0,201,424,16,0,3,0,438,6980,160,13,16,15,7182
SED26603,326,107,13,4,0,448,108,31,15,0,0,148,89,25,9,0,0,119,151,66,12,0,0,229,219,93,24,0,0,338,555,338,121,4,3,1021,651,551,159,0,0,1359,1337,1029,108,4,3,2485,908,493,22,0,0,1426,1010,291,27,0,0,1330,612,129,10,0,0,749,429,177,29,0,0,631,6385,3336,541,12,9,10284
