SED_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
SED20106,0,125,..,1101,29,1130,3,1136,..,436,24,455,8,463,..,198,30,229,7,233,..,13,0,11,0,11,..,299,54,355,3,359,..,65,6,70,0,70,..,70,5,79,0,79,..,197,15,213,0,213,..,132,17,150,0,150,..,259,20,279,8,279,..,266,94,361,10,368,..,6,0,6,0,6,..,93,11,105,0,105,..,120,0,120,0,120,..,333,13,343,0,344,..,141,3,143,0,143,..,94,0,94,0,94,..,682,16,697,3,704,..,1010,88,1095,12,1111,..,123,6,125,0,131,..,205,36,238,0,238,..,111,21,137,0,138,..,362,59,417,0,425,..,955,113,1069,20,1091,..,10898,1323,12222,101,12328,..,135,17,156,2243,2397,26239,11039,1342,12377,2340,40958,52980,..,..,..,..,52980,..,75,0,75,0,75,..,504,43,548,4,550,..,10,0,10,0,10,..,1004,118,1124,12,1137,..,3231,545,3770,29,3798
SED20207,3,430,..,5615,396,6008,68,6078,..,525,55,578,0,581,..,155,11,163,0,169,..,92,34,124,0,127,..,252,78,326,0,328,..,414,66,480,9,482,..,298,22,319,4,325,..,200,24,223,4,228,..,174,21,193,0,193,..,178,18,197,3,196,..,167,19,183,0,187,..,241,8,247,0,246,..,266,52,318,0,321,..,437,10,446,4,447,..,518,53,568,15,585,..,543,20,564,3,566,..,186,11,197,3,202,..,1689,92,1777,21,1804,..,476,64,538,0,538,..,619,35,655,11,662,..,166,39,207,0,208,..,93,10,107,0,110,..,658,278,935,12,948,..,3031,411,3438,66,3508,..,20509,3227,23736,269,24004,..,271,50,321,2153,2473,28191,20774,3285,24057,2415,54672,56453,..,..,..,..,56453,..,353,5,356,3,363,..,1421,181,1597,18,1613,..,12,0,13,0,13,..,1313,383,1692,13,1713,..,4777,1857,6633,72,6705
SED20302,7,141,..,5514,528,6046,84,6135,..,240,38,276,8,285,..,47,6,56,0,56,..,118,27,143,0,143,..,45,11,58,0,58,..,19,3,18,0,18,..,614,47,665,7,672,..,79,19,98,4,105,..,74,11,76,0,81,..,53,5,54,0,54,..,49,4,53,0,53,..,147,14,165,0,165,..,71,12,81,0,81,..,327,7,336,5,340,..,80,12,94,0,96,..,332,12,340,0,343,..,116,6,127,0,127,..,857,38,898,8,908,..,283,27,316,0,316,..,454,47,498,3,503,..,117,14,135,0,136,..,66,14,80,0,80,..,141,47,191,0,191,..,2022,431,2450,51,2499,..,12471,1657,14123,181,14309,..,313,55,371,2883,3259,41546,12782,1716,14502,3065,59110,81160,..,..,..,..,81160,..,125,0,129,0,129,..,738,72,804,7,811,..,6,0,11,0,11,..,196,72,271,0,273,..,682,324,1013,12,1024
SED20401,0,79,..,1124,103,1225,9,1233,..,124,12,135,3,139,..,63,7,67,0,67,..,49,34,81,0,78,..,116,51,175,3,173,..,12,0,16,0,16,..,103,8,115,0,115,..,157,26,184,0,181,..,68,21,85,3,91,..,26,0,29,0,28,..,52,7,58,0,58,..,15,0,15,0,15,..,40,9,48,0,48,..,125,3,131,0,131,..,97,11,104,3,109,..,138,3,150,0,146,..,48,0,44,4,52,..,410,20,429,7,437,..,157,24,182,5,186,..,129,7,142,0,140,..,126,11,135,0,135,..,18,3,21,0,21,..,207,86,287,5,293,..,624,180,804,30,832,..,5952,1272,7226,107,7330,..,134,13,150,1271,1417,24331,6087,1285,7373,1372,33082,48066,..,..,..,..,48066,..,51,0,51,0,51,..,162,22,188,4,195,..,11,0,11,0,15,..,1174,347,1525,23,1545,..,2025,739,2764,38,2806
SED20508,0,3,..,100,4,108,0,108,..,209,15,224,11,239,..,33,0,37,0,37,..,6,0,6,0,6,..,5,0,5,0,5,..,13,0,13,0,13,..,25,4,26,0,26,..,3,0,3,0,3,..,36,6,41,0,41,..,21,0,20,0,21,..,17,0,23,0,23,..,7,0,8,0,7,..,13,0,12,0,12,..,37,5,39,0,39,..,15,0,19,0,14,..,62,0,60,0,60,..,16,0,16,0,16,..,129,4,133,0,132,..,65,9,71,0,70,..,5,0,8,0,8,..,44,0,42,0,42,..,21,0,21,0,21,..,36,10,42,0,45,..,346,27,365,11,379,..,1656,166,1823,34,1854,..,66,0,65,1727,1789,33400,1723,170,1888,1756,37050,64516,..,..,..,..,64516,..,34,0,34,0,34,..,29,6,35,0,35,..,0,0,0,0,3,..,37,6,44,0,44,..,170,54,222,9,227
SED20604,0,6,..,299,64,362,9,366,..,84,3,79,4,91,..,16,0,16,0,16,..,8,5,10,0,10,..,12,0,18,0,18,..,3,0,3,0,3,..,49,3,49,0,49,..,8,0,8,0,8,..,11,3,14,0,14,..,14,0,14,0,10,..,7,0,7,0,7,..,0,0,0,0,0,..,21,0,28,0,28,..,70,0,73,0,73,..,15,0,15,0,20,..,85,0,83,0,83,..,9,0,16,0,16,..,181,7,190,0,189,..,44,3,51,0,51,..,10,4,12,0,12,..,37,4,45,0,45,..,0,0,0,0,0,..,54,45,106,0,108,..,367,113,482,6,486,..,1628,315,1946,31,1970,..,100,22,121,1794,1914,31897,1728,334,2060,1823,35781,62617,..,..,..,..,62617,..,37,0,37,0,39,..,72,3,77,0,82,..,25,0,27,0,27,..,33,7,38,0,39,..,125,50,177,5,179
SED20704,0,6,..,370,25,397,7,401,..,79,4,86,0,86,..,13,0,13,0,13,..,6,0,11,0,11,..,21,0,29,0,29,..,0,0,0,0,0,..,148,12,156,0,160,..,8,0,12,0,12,..,8,0,8,0,8,..,11,5,14,4,15,..,14,0,14,0,14,..,0,0,0,0,0,..,5,0,5,0,5,..,69,0,75,0,75,..,24,0,27,0,27,..,68,4,74,4,79,..,27,8,33,0,33,..,202,9,209,4,212,..,34,3,39,0,39,..,24,0,24,0,24,..,39,8,45,0,45,..,6,3,8,0,8,..,31,10,38,0,41,..,554,231,784,21,803,..,2029,401,2423,40,2464,..,85,20,105,1713,1816,32915,2111,417,2526,1757,37200,63791,..,..,..,..,63791,..,75,3,76,0,76,..,147,8,155,0,156,..,41,0,41,0,41,..,79,16,96,7,104,..,275,95,374,3,370
SED20804,0,14,..,226,13,242,4,241,..,28,0,28,0,28,..,23,0,22,0,22,..,11,0,11,0,11,..,0,5,10,0,10,..,3,0,3,0,3,..,85,3,86,0,89,..,7,0,8,0,10,..,6,0,6,0,11,..,6,0,6,0,6,..,12,4,11,0,11,..,0,0,0,0,0,..,11,0,10,0,10,..,61,0,61,0,60,..,25,4,30,0,30,..,72,3,71,0,71,..,37,8,41,0,41,..,190,13,200,0,204,..,44,3,48,0,47,..,17,0,17,0,17,..,33,4,37,0,37,..,7,0,7,0,7,..,47,11,60,0,64,..,412,231,643,3,644,..,1480,357,1836,14,1852,..,95,23,116,2015,2128,28728,1577,375,1951,2032,32709,55534,..,..,..,..,55534,..,25,0,25,0,25,..,56,0,60,4,60,..,12,0,12,0,12,..,53,7,60,0,67,..,150,62,212,0,212
SED20906,0,71,..,784,33,817,8,825,..,416,54,471,4,473,..,205,30,233,4,240,..,24,6,31,0,31,..,180,45,223,0,223,..,24,6,25,0,25,..,57,0,56,0,56,..,74,7,85,0,85,..,183,14,198,0,198,..,104,7,107,3,113,..,1011,148,1158,3,1165,..,5,0,5,0,5,..,114,12,128,0,129,..,77,0,74,0,74,..,96,3,100,0,100,..,78,0,82,0,82,..,32,0,31,0,31,..,282,6,285,0,285,..,265,19,283,0,282,..,145,3,150,4,151,..,85,15,102,0,102,..,51,9,64,0,66,..,256,43,301,0,301,..,1114,96,1209,23,1234,..,9471,1563,11033,76,11107,..,127,19,148,988,1138,22056,9595,1585,11176,1066,34303,43466,..,..,..,..,43466,..,92,0,92,0,96,..,301,29,327,0,329,..,4,0,3,0,3,..,708,169,875,3,876,..,3575,1063,4641,39,4673
SED21001,0,79,..,1161,63,1225,8,1234,..,326,50,377,0,380,..,157,20,177,0,177,..,21,4,23,0,23,..,224,89,314,3,315,..,34,3,37,0,37,..,102,7,108,0,108,..,195,29,222,6,222,..,53,4,59,0,58,..,25,0,25,0,25,..,33,3,40,0,40,..,4,0,4,0,4,..,35,4,40,0,40,..,115,4,114,0,114,..,181,17,194,0,194,..,136,4,141,0,143,..,45,3,48,0,48,..,481,23,501,0,498,..,151,17,167,0,167,..,145,4,144,0,147,..,116,30,139,0,139,..,27,5,29,0,29,..,371,97,467,0,469,..,530,71,602,16,618,..,11740,3616,15354,118,15469,..,98,23,118,1388,1505,21153,11840,3637,15471,1499,38131,41485,..,..,..,..,41485,..,25,0,25,0,25,..,214,29,239,0,240,..,3,0,3,0,3,..,2948,1008,3958,36,3990,..,9091,4413,13502,96,13600
