SED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SED20106,243,68,561,255,143,108,25,88,24,1511,7,0,7,7,5,4,4,6,0,33,183,274,47,91,112,62,24,30,22,838,100,112,55,55,57,41,23,46,163,653,8460,17456,2894,3014,4335,2018,591,1369,763,40901
SED20207,207,84,517,279,230,149,149,149,29,1794,5,5,0,4,10,0,4,9,0,30,106,138,66,84,115,48,59,41,20,675,93,98,109,54,97,59,72,71,242,890,5942,13079,4715,4012,5108,2104,1891,1745,863,39463
SED20302,282,65,786,369,261,237,302,316,31,2639,3,3,0,0,0,5,4,6,0,30,91,83,64,110,74,40,79,63,18,628,122,63,199,100,102,102,114,142,204,1142,4581,8717,6396,5424,4151,2223,2383,2674,675,37214
SED20401,133,41,342,180,152,122,57,126,14,1160,0,3,0,0,3,0,3,3,0,13,49,71,50,49,39,16,11,23,13,326,42,52,98,53,71,30,41,50,87,534,2965,7281,3866,2868,2981,1276,801,1202,355,23586
SED20508,146,37,453,202,128,120,55,118,13,1271,6,4,0,6,0,0,0,7,0,22,70,92,36,52,60,21,22,25,7,384,68,59,108,73,69,49,31,65,82,601,3371,6856,3878,3049,2473,1102,706,1210,386,23030
SED20604,171,43,457,240,160,131,101,191,8,1487,0,0,3,7,3,8,0,12,0,37,47,64,50,45,37,23,35,37,13,344,79,40,94,67,46,48,76,103,103,655,3524,5660,3793,3346,2470,1041,1150,1596,350,22939
SED20704,132,40,416,207,156,111,64,151,18,1299,0,3,0,3,4,0,0,6,0,20,50,68,31,35,35,17,36,21,5,314,50,47,96,64,41,43,56,69,78,543,2927,7340,3557,3333,2499,1138,954,1383,311,23445
SED20804,131,17,364,192,108,97,57,147,12,1126,6,0,6,0,0,0,4,10,0,24,59,81,31,45,54,25,26,28,19,361,50,48,72,64,38,36,59,73,97,535,2347,5834,3064,2824,1969,944,764,1332,294,19368
SED20906,145,52,325,127,112,107,31,62,11,970,4,0,9,0,0,5,0,0,0,22,104,174,43,46,69,44,13,23,19,524,69,86,56,36,58,34,16,31,79,465,5375,10456,2550,2132,3278,1491,440,741,402,26867
SED21001,111,41,272,147,84,89,34,108,14,897,4,6,8,10,0,3,0,5,0,32,76,134,32,39,74,41,15,21,16,456,52,69,62,53,55,43,24,32,127,516,4775,12242,2280,2364,3342,1624,565,997,479,28675
