SED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED20106,1948,5077,4492,10284,4689,11425,9180,21706,2054,3227,4151,6657,5465,8868,15891,27509,28,66,27585,46326,0,0,3,7,0,6,434,720,443,728,97,184,39252,74021,11092,..,50347,74021
SED20207,30306,90827,2243,4955,2284,5650,4532,10597,1006,1818,66,76,298,454,0,0,15,33,1378,2380,0,0,0,0,0,0,25,45,25,45,15,27,36253,103877,2812,..,39071,103877
SED20302,37043,102205,2061,3428,851,1891,2915,5322,417,684,46,58,13,21,0,6,13,22,490,793,46,61,170,220,0,0,13,35,234,319,51,112,40725,108750,11942,..,52668,108750
SED20401,18788,49977,3147,6202,1568,3412,4714,9613,598,1033,237,368,58,89,0,0,21,47,914,1543,0,0,0,0,0,0,10,18,10,18,22,42,24446,61202,1463,..,25916,61202
SED20508,25676,62829,1197,1856,407,810,1603,2668,144,221,9,17,0,3,0,0,11,13,160,255,22,28,136,175,4,10,20,38,176,254,24,47,27642,66041,7930,..,35571,66041
SED20604,24419,60492,1636,2396,86,170,1730,2573,341,480,7,17,3,5,9,13,10,20,363,539,77,110,17,29,6,12,55,126,156,281,62,141,26732,64021,2672,..,29400,64021
SED20704,24791,63512,1737,2710,239,466,1976,3177,94,160,19,39,0,0,0,0,5,3,120,205,16,27,27,43,4,5,22,52,65,126,57,134,27006,67146,2037,..,29048,67146
SED20804,23510,55114,1319,1992,230,418,1549,2411,309,487,4,5,0,0,0,0,14,20,329,510,37,47,17,29,0,3,41,92,95,170,45,80,25534,58288,2424,..,27954,58288
SED20906,15796,44918,2057,4305,2252,6503,4310,10805,2674,5305,561,1025,1054,1804,91,161,11,31,4392,8323,0,0,0,0,0,0,77,154,73,155,32,61,24604,64256,2145,..,26743,64256
SED21001,15190,43325,4812,9670,2596,6568,7400,16242,1489,2879,1104,1964,1288,2105,1513,2779,7,19,5405,9746,0,0,0,0,0,0,27,55,27,55,34,55,28061,69426,3491,..,31555,69426
