SED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SED20106,0,0,0,0,0,8,17,9,0,0,0,0,0,19,0,64,0,0,0,0,0,10,13,11,4,4,8,4,5,0,0,62,0,4,8,19,22,20,59,61,22,25,27,22,12,9,4,316,0,7,5,4,118,245,797,754,237,231,176,210,80,18,54,2936,0,0,42,15,5,27,12,11,3,0,0,0,0,0,0,120,0,18,39,19,11,12,8,19,9,9,7,3,0,0,3,157,0,0,0,8,36,33,28,10,0,0,0,9,0,0,4,123,30,43,33,21,36,37,94,82,24,20,28,44,17,6,10,510,3,149,523,84,17,3,11,30,12,8,0,7,3,0,29,885,0,0,14,27,67,93,110,77,25,27,27,28,10,13,9,523,5,6,29,35,50,111,472,439,231,320,501,621,198,42,38,3093,0,0,8,5,17,138,218,142,54,46,50,72,39,9,10,814,0,0,4,0,31,34,97,150
SED20207,0,0,0,0,7,20,18,21,7,0,3,0,5,0,0,80,0,0,0,0,5,21,181,89,16,6,19,8,7,8,3,355,0,0,7,6,14,14,40,33,4,4,8,8,3,0,0,150,0,3,3,11,155,354,1982,1171,299,230,222,276,94,13,74,4895,0,41,157,54,17,81,16,7,0,0,0,0,0,0,7,378,3,14,35,18,19,23,61,23,5,6,28,10,4,3,8,255,0,0,0,8,68,61,102,61,15,0,12,19,6,0,4,349,50,78,33,13,15,16,81,29,6,6,5,11,3,0,0,366,9,57,225,85,30,9,11,40,7,4,0,0,0,4,18,492,0,0,3,7,40,89,114,70,19,10,12,33,6,6,0,412,0,3,30,44,99,393,3932,3062,802,929,939,1003,289,105,148,11788,0,0,3,11,33,281,417,125,28,32,39,26,28,3,13,1043,0,0,0,5,20,17,108,231
SED20302,0,0,0,0,9,93,297,215,45,41,37,45,19,8,12,826,0,0,0,0,3,23,112,44,6,8,4,4,4,0,0,215,0,0,9,4,20,12,27,11,0,7,0,3,10,0,0,111,0,5,9,0,25,29,246,135,32,58,42,51,14,4,19,672,0,13,41,28,6,16,3,4,0,0,0,0,0,0,3,113,0,10,17,9,4,15,104,137,7,10,11,5,0,4,4,335,0,0,0,9,40,63,104,40,11,18,14,6,6,0,10,332,40,135,74,27,39,21,34,15,6,3,4,4,4,0,11,419,0,25,64,26,5,0,3,19,3,0,0,0,0,0,6,155,0,0,3,5,18,25,18,14,3,0,4,4,0,0,3,100,4,5,39,33,75,167,3693,2104,540,470,486,535,180,43,118,8489,0,7,0,0,7,32,58,37,7,4,12,8,7,0,3,192,0,0,0,0,3,8,44,64
SED20401,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,13,9,0,0,5,0,5,0,0,32,0,0,3,9,10,15,31,7,3,3,0,0,0,0,0,88,0,6,5,9,91,169,946,504,111,119,91,93,19,3,26,2191,0,0,23,16,7,12,0,0,0,0,0,0,0,0,6,74,0,9,23,3,7,6,13,18,0,5,0,0,0,0,3,98,0,0,3,3,30,20,19,3,3,4,4,3,0,0,3,97,42,169,86,46,42,10,38,14,9,0,0,3,3,0,80,544,3,9,58,22,3,0,0,0,0,0,0,0,0,0,4,107,0,4,5,15,86,138,170,65,9,7,3,9,8,7,4,526,0,7,30,46,61,137,680,461,101,105,110,82,37,14,3,1886,0,5,4,4,11,43,86,17,5,0,3,14,12,0,0,208,0,0,0,3,22,28,66,119
SED20508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,13,27,12,15,25,21,3,4,8,4,0,0,0,133,3,0,0,4,9,10,58,25,0,8,13,9,6,0,0,154,0,23,58,12,3,9,0,0,0,0,0,0,0,0,7,121,10,23,20,7,0,0,0,0,0,0,0,0,0,0,0,54,0,0,3,7,10,6,0,8,0,0,0,0,3,0,0,40,81,127,42,26,29,20,17,6,6,0,3,4,0,0,17,370,4,40,96,31,0,0,0,0,0,0,0,0,0,0,6,190,0,0,6,7,0,3,9,5,4,0,0,4,0,0,0,32,3,4,23,19,10,12,80,66,12,6,14,14,7,0,14,282,0,3,6,3,4,6,8,7,6,3,3,0,9,0,9,54,0,0,3,3,5,5,0,7
SED20604,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,7,0,0,0,0,0,0,0,23,0,0,10,12,9,14,16,13,0,0,0,4,0,0,0,85,0,0,3,0,9,9,35,18,8,6,0,9,3,0,12,110,5,25,65,10,6,9,0,0,0,0,0,0,0,0,4,121,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,22,5,0,4,3,14,6,9,10,0,0,0,0,0,0,0,47,71,196,62,32,23,15,19,10,0,0,0,3,0,4,11,450,0,3,13,6,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,4,9,8,5,5,0,0,0,4,0,0,0,36,6,0,8,8,4,5,186,129,25,27,35,31,11,0,10,474,0,3,0,3,4,3,16,3,4,8,0,0,0,0,0,51,0,0,0,0,0,0,6,7
SED20704,0,0,0,0,0,0,4,12,5,0,3,0,0,0,0,30,0,0,0,3,0,3,25,13,0,3,4,0,5,0,0,50,0,0,4,9,10,5,20,13,3,0,0,3,3,4,0,75,0,0,0,0,8,15,91,49,14,11,18,13,6,3,14,236,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,3,5,17,18,0,0,4,6,6,0,0,67,0,0,0,0,3,5,19,0,0,0,0,0,0,0,0,32,14,38,12,22,11,4,12,0,0,5,0,0,0,0,11,138,0,6,6,0,5,0,0,5,0,0,0,0,0,0,3,19,0,0,3,0,0,0,4,8,0,0,0,0,0,0,3,27,0,0,7,11,0,17,251,168,60,37,59,53,29,0,11,708,0,0,0,3,5,11,14,6,0,0,5,0,4,0,0,52,0,0,0,0,0,0,6,9
SED20804,0,0,0,0,0,0,5,31,4,11,9,0,0,0,0,57,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,19,0,0,3,13,5,12,21,11,0,0,0,0,0,0,5,76,0,0,0,0,8,7,56,37,5,4,11,8,3,0,16,150,0,0,16,3,4,6,0,0,0,0,0,0,0,0,0,32,0,0,6,0,0,0,4,4,0,0,0,0,0,0,7,20,0,0,0,0,5,3,15,3,0,0,0,0,0,0,0,30,30,48,23,12,23,7,10,4,0,0,0,0,0,0,0,163,0,5,24,9,0,0,0,3,0,0,0,0,0,0,4,49,0,5,0,5,7,6,6,3,5,3,0,3,0,0,3,43,5,0,10,7,5,11,149,128,47,41,63,64,25,8,23,584,3,0,0,0,5,6,20,7,0,4,0,0,3,0,0,54,0,0,0,0,0,0,11,17
SED20906,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,15,0,0,0,0,5,3,19,3,0,3,5,0,0,0,0,37,0,0,7,19,12,23,33,16,4,0,6,5,0,0,3,127,3,14,16,13,222,342,1276,748,182,179,212,257,64,17,54,3597,0,19,52,12,5,17,7,0,0,0,0,0,0,0,0,119,6,22,56,14,11,18,3,5,4,3,0,9,0,0,6,159,0,6,3,6,20,20,13,10,0,5,0,6,0,0,0,76,33,52,27,26,22,24,54,29,3,0,0,5,0,0,9,283,3,188,628,137,27,13,8,48,0,3,8,6,0,0,26,1092,0,3,9,30,53,34,46,38,6,10,16,18,15,8,8,294,8,10,62,91,111,214,719,423,126,133,154,160,49,5,41,2316,0,0,3,3,14,70,73,19,0,9,10,5,6,4,3,221,0,0,0,0,15,13,38,52
SED21001,0,0,0,0,3,0,4,4,0,0,0,0,0,0,3,13,0,0,0,0,0,6,16,15,6,11,4,13,9,0,0,77,0,7,4,20,20,20,21,19,3,0,8,0,4,0,0,132,3,10,28,36,654,1112,3029,2366,668,882,855,846,256,62,270,11081,0,13,23,7,3,0,0,0,0,0,0,0,0,0,0,47,3,20,17,7,7,10,9,10,0,0,0,3,6,0,4,95,3,4,3,12,34,21,12,8,0,0,0,0,0,0,0,102,34,56,37,22,23,16,25,10,7,0,0,4,0,0,6,240,8,108,224,29,12,7,8,6,6,0,0,5,0,0,9,425,0,9,14,72,269,268,188,144,34,33,39,43,33,15,28,1182,8,7,40,43,99,157,531,387,183,202,275,352,108,31,30,2437,0,3,14,12,33,130,110,52,5,9,16,19,14,0,0,423,0,0,0,3,41,23,81,165
