SED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED20106,0,46,405,843,524,98,15,9,1948,0,249,1928,1748,466,60,9,38,4492,12,203,1071,2533,715,93,15,41,4689,14,456,2990,4280,1179,156,25,82,9180,159,719,946,177,16,4,4,30,2054,101,1532,2048,376,18,3,0,56,4151,85,1679,2891,707,30,5,7,58,5465,38,4803,8888,1917,76,8,8,153,15891,3,7,6,8,7,0,0,0,28,392,8732,14782,3186,148,12,27,300,27585,10,181,192,41,6,0,0,10,443,0,27,37,14,4,0,0,8,97,425,9449,18407,8365,1867,274,67,405,39252
SED20207,17,65,1611,11748,14451,1830,187,398,30306,4,80,943,695,465,28,3,27,2243,5,20,457,1248,450,78,8,23,2284,8,102,1406,1941,910,109,9,56,4532,10,79,610,258,25,3,0,18,1006,0,57,9,0,0,0,0,3,66,0,36,249,11,0,0,0,3,298,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,10,168,866,278,25,3,8,21,1378,0,7,8,3,0,0,0,0,25,0,4,3,4,3,0,0,0,15,36,350,3897,13970,15388,1941,198,471,36253
SED20302,48,263,2976,14585,16198,2055,332,587,37043,4,170,1262,409,138,10,4,66,2061,0,8,189,517,109,9,0,11,851,6,179,1452,924,246,19,5,76,2915,0,80,201,109,13,0,0,9,417,5,9,21,11,0,0,0,0,46,0,4,0,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,11,3,0,7,0,0,0,13,4,98,230,124,17,0,0,9,490,12,96,97,13,4,0,0,17,234,0,5,11,16,12,0,0,3,51,69,645,4765,15668,16474,2081,338,688,40725
SED20401,17,136,2079,9823,5293,1045,189,210,18788,5,178,1617,1007,239,40,9,49,3147,0,24,715,699,115,4,0,7,1568,5,202,2334,1710,351,42,10,57,4714,4,117,308,156,3,0,6,12,598,0,49,169,15,0,0,0,10,237,0,20,34,0,0,0,0,3,58,0,0,0,0,0,0,0,0,0,0,4,5,3,0,5,0,0,21,4,198,515,169,4,5,6,24,914,0,0,4,5,0,0,0,0,10,3,6,4,5,4,0,0,3,22,28,539,4937,11712,5653,1088,203,289,24446
SED20508,12,148,2257,12394,9118,1226,212,301,25676,4,89,690,353,39,3,0,19,1197,0,0,93,241,61,3,0,6,407,4,89,782,592,94,10,4,25,1603,0,3,61,72,3,0,0,5,144,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,3,72,74,3,0,0,6,160,11,70,63,28,3,3,0,4,176,0,0,4,10,7,0,0,0,24,32,316,3180,13098,9228,1235,216,337,27642
SED20604,38,272,2345,11870,8327,992,169,409,24419,5,237,1065,227,13,0,0,90,1636,0,3,46,38,3,0,0,0,86,5,242,1111,264,18,4,0,86,1730,0,65,235,23,0,0,0,8,341,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,0,3,0,3,0,0,0,0,10,4,71,243,32,4,0,0,9,363,16,37,22,25,16,0,3,41,156,0,7,8,18,11,7,3,9,62,63,630,3727,12208,8371,1004,174,553,26732
SED20704,20,214,2415,11685,8900,1086,204,253,24791,13,214,1072,356,32,3,0,37,1737,0,11,69,132,28,0,0,4,239,13,227,1146,488,60,3,0,38,1976,0,3,72,19,5,0,0,0,94,0,0,3,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,11,76,23,3,0,0,0,120,5,7,28,23,5,0,0,4,65,3,7,12,9,17,3,0,0,57,40,474,3674,12223,8986,1095,208,305,27006
SED20804,47,437,3821,12260,5738,751,145,317,23510,5,303,740,214,10,0,0,40,1319,0,30,95,86,11,0,0,6,230,3,336,832,298,29,6,0,43,1549,11,88,149,55,3,0,0,14,309,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,14,11,91,154,61,4,0,0,10,329,10,31,24,18,4,0,0,3,95,5,13,11,9,9,0,0,0,45,74,909,4849,12649,5782,757,146,371,25534
SED20906,15,63,1708,7421,5218,1094,155,127,15796,8,88,1033,819,82,11,0,21,2057,0,11,343,997,835,45,5,19,2252,4,88,1374,1814,921,47,9,39,4310,5,303,1456,700,147,8,5,48,2674,0,79,415,52,3,0,0,4,561,10,269,687,74,0,0,0,10,1054,0,13,79,0,0,0,0,0,91,0,5,3,3,9,0,0,0,11,15,671,2634,826,161,14,8,63,4392,0,15,43,9,3,0,0,0,73,0,0,9,16,0,0,0,0,32,37,843,5769,10085,6304,1159,169,228,24604
SED21001,6,83,1270,6544,5403,1554,226,111,15190,5,216,2671,1605,178,29,0,110,4812,13,34,584,1359,523,46,6,29,2596,15,247,3259,2968,697,71,8,135,7400,5,167,1080,184,35,7,3,18,1489,40,300,659,83,7,0,0,16,1104,44,509,671,38,0,0,0,22,1288,5,416,1035,42,0,0,0,17,1513,0,4,0,0,0,0,0,0,7,93,1398,3452,352,43,4,3,60,5405,0,6,9,9,0,0,0,5,27,0,8,14,3,4,0,0,0,34,120,1737,8001,9872,6148,1634,239,314,28061
SED21106,3,71,1094,4420,4581,1462,202,101,11939,17,132,1229,921,138,17,0,23,2475,0,54,577,1336,446,47,8,21,2486,14,184,1805,2262,588,65,7,43,4963,38,567,1731,400,29,3,4,33,2800,28,1008,2067,380,16,3,0,39,3547,4,347,664,108,9,0,0,6,1136,0,8,52,8,0,0,0,0,74,0,0,0,0,3,0,0,0,5,65,1926,4513,891,60,10,7,79,7558,0,25,67,15,3,0,0,0,114,0,3,7,6,0,0,0,0,19,92,2205,7489,7596,5228,1530,219,230,24592
SED21203,26,220,1504,12115,3346,678,118,414,18416,4,160,613,752,63,9,0,40,1638,0,31,885,709,101,10,0,31,1770,9,191,1495,1462,166,12,0,66,3405,0,110,350,386,23,9,0,16,896,0,0,0,0,0,0,0,0,0,17,21,56,14,0,0,0,3,108,0,0,0,0,0,0,0,0,0,0,10,3,7,0,0,0,0,21,18,136,408,410,25,9,0,20,1029,7,95,18,4,0,0,0,7,127,0,6,7,14,0,0,0,3,37,55,643,3441,14006,3542,696,119,513,23021
SED21303,8,127,2527,6444,2731,459,83,125,12506,9,324,2168,998,173,34,6,22,3731,9,212,1782,1702,348,94,11,39,4199,22,538,3947,2704,518,128,17,64,7928,40,1266,1979,228,28,0,7,57,3606,31,498,999,77,13,0,0,21,1636,67,1874,2699,205,10,0,4,38,4892,6,655,758,33,0,0,4,11,1470,0,3,3,3,9,0,0,0,18,138,4298,6433,545,67,4,7,124,11617,3,31,99,61,12,8,3,4,217,0,8,11,6,0,0,0,3,31,173,5003,13018,9756,3331,594,110,314,32306
SED21401,7,44,611,6567,7546,1847,329,154,17106,0,64,637,607,140,8,3,17,1485,0,16,339,1393,1038,115,8,29,2938,4,81,978,2004,1183,129,13,52,4428,4,54,356,228,19,0,0,5,660,0,62,274,67,3,0,0,5,413,0,207,621,128,0,0,0,16,975,10,207,836,184,3,0,0,10,1248,0,0,3,0,0,0,0,0,5,14,531,2081,604,23,3,0,41,3306,0,0,8,3,0,0,0,0,5,0,4,7,8,5,0,0,0,25,27,661,3681,9181,8760,1980,337,241,24872
SED21503,18,93,1088,9580,5523,1011,205,199,17710,8,123,849,456,89,6,6,23,1560,0,34,602,785,259,23,4,22,1731,6,162,1452,1243,352,35,8,42,3300,0,59,200,94,24,0,0,7,390,21,143,239,12,0,0,0,6,421,11,155,256,18,0,0,0,14,459,0,18,59,6,0,0,0,0,79,0,5,3,0,0,0,0,0,14,33,388,758,134,23,6,0,26,1366,0,0,3,0,0,0,0,0,6,0,0,0,4,3,0,3,4,20,62,636,3298,10962,5901,1051,220,266,22395
SED21608,44,251,2459,10996,7333,1019,213,293,22607,3,234,1000,685,121,9,8,41,2103,0,3,56,48,11,3,0,4,119,3,240,1055,729,136,10,8,49,2220,0,54,125,77,0,0,0,0,254,0,0,14,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,16,0,57,140,81,5,0,0,0,285,0,16,19,14,4,0,0,5,65,0,6,0,7,8,0,0,0,32,56,575,3674,11826,7486,1037,218,346,25214
SED21706,13,86,1615,6515,5904,1587,250,147,16120,11,191,1553,909,132,19,0,39,2862,0,20,355,1335,690,69,0,19,2480,14,209,1905,2239,824,81,7,56,5337,22,223,730,631,87,8,4,36,1742,33,172,316,50,4,0,0,9,580,15,251,344,37,0,0,0,10,658,0,73,100,3,0,0,0,5,180,0,11,0,3,6,0,0,0,24,75,731,1489,719,94,11,3,56,3183,0,18,28,14,3,3,0,0,68,0,0,5,3,7,0,0,3,30,101,1050,5047,9492,6835,1687,264,268,24735
SED21805,29,185,1547,10367,6174,933,130,241,19604,10,269,1957,1363,182,10,0,73,3865,3,27,739,1506,253,30,3,24,2581,8,290,2692,2871,437,37,6,90,6445,5,145,416,196,6,0,0,21,798,0,9,187,27,0,0,0,4,226,0,11,81,30,0,0,0,3,120,0,0,0,0,0,0,0,0,0,0,8,8,0,3,0,0,0,25,9,169,685,258,13,0,0,27,1165,16,114,103,16,5,0,0,18,267,3,6,8,6,0,0,0,0,27,63,768,5045,13517,6630,976,142,375,27508
SED21906,10,68,954,3710,3422,1099,279,97,9634,12,183,2013,1790,235,29,6,52,4314,12,60,735,1517,488,60,7,17,2897,21,249,2749,3308,723,86,17,67,7207,30,1738,2908,555,57,9,12,73,5396,10,703,1987,237,8,0,0,36,2975,15,477,1080,79,7,0,0,12,1665,0,169,200,13,0,0,0,5,385,0,4,3,11,4,0,0,0,17,59,3090,6176,885,74,9,15,126,10439,3,48,86,37,6,0,0,4,188,0,5,15,10,6,0,0,0,26,91,3460,9977,7952,4224,1192,311,294,27499
SED22005,28,94,1554,9910,4727,965,227,235,17739,4,249,2089,1305,149,11,9,72,3892,5,32,502,1400,606,80,11,48,2673,9,278,2590,2707,752,91,18,119,6567,3,237,999,209,35,8,0,34,1523,0,85,329,25,0,0,0,4,448,0,73,280,10,0,0,0,3,369,0,0,0,0,0,0,0,0,0,0,9,0,6,4,0,0,0,11,6,399,1608,252,39,8,0,36,2349,0,0,8,6,0,0,0,0,16,4,3,8,10,0,0,0,0,23,47,779,5760,12878,5522,1056,246,392,26692
SED22105,24,99,1206,13163,17382,1995,251,436,34541,5,40,1207,1147,520,37,7,68,3018,0,22,156,499,128,14,0,9,824,5,58,1362,1641,646,53,9,74,3844,0,18,423,42,15,0,0,14,512,0,16,5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,13,0,42,434,42,15,0,0,11,551,0,0,4,0,0,0,0,0,0,0,4,5,13,7,0,0,0,36,32,197,3003,14859,18049,2044,255,528,38971
