SED_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
SED20106,3,0,4,83,8,6,0,0,0,107,0,23,291,1061,175,151,66,31,17,1813,0,0,0,18,12,20,6,9,0,59,0,3,0,22,6,14,11,15,4,72,16,54,88,695,252,241,185,86,24,1633,0,0,3,38,10,13,4,0,0,71,3,9,21,165,26,14,10,9,0,254,0,7,19,133,31,26,34,18,5,271,0,0,12,18,21,58,103,192,77,479,0,8,37,145,24,24,21,4,0,276,14,67,173,989,61,36,23,16,4,1390,0,9,99,284,42,17,18,0,0,465,3,3,13,174,16,10,8,5,0,231,0,0,0,17,4,0,0,0,0,23,5,0,9,316,33,22,15,6,7,418,0,4,11,115,17,38,50,39,18,298,0,6,19,148,44,16,10,0,0,245,0,3,24,297,40,12,0,0,0,381,0,0,3,3,13,10,8,0,0,38,0,5,92,435,64,73,49,14,5,732
SED20207,0,0,5,20,19,13,24,8,0,83,21,116,122,1455,347,325,224,39,10,2655,0,0,0,26,22,50,56,41,14,209,0,12,14,34,13,19,20,10,6,129,15,120,95,305,256,203,203,132,51,1367,0,0,6,73,40,29,24,11,5,190,0,0,0,26,3,7,3,0,3,49,4,3,7,48,34,16,44,30,18,204,0,3,5,17,23,60,61,57,18,246,3,19,15,88,30,25,16,4,0,194,74,588,320,3823,334,213,165,47,7,5569,3,20,25,369,68,28,43,3,0,566,0,12,10,147,25,17,5,0,0,216,0,8,10,31,14,8,8,3,0,77,0,9,8,72,26,15,20,8,5,172,0,10,7,45,30,57,99,56,46,349,0,7,11,81,34,7,3,0,0,143,5,21,23,161,52,13,3,3,0,282,0,0,8,61,46,36,21,4,0,170,5,56,74,376,109,82,68,13,3,790
SED20302,0,0,6,20,19,18,7,8,0,81,0,17,17,195,55,46,34,6,4,368,0,0,0,11,6,9,14,11,4,62,0,19,22,65,19,16,11,9,0,157,3,65,83,242,239,448,539,369,140,2128,0,8,13,90,32,29,10,0,0,177,0,0,0,20,3,9,8,3,0,31,0,3,5,34,6,38,68,43,16,216,0,4,3,6,11,11,12,25,3,72,0,0,0,24,6,17,9,0,0,50,24,246,286,2888,242,194,130,30,6,4053,0,9,4,54,24,10,10,4,0,118,0,4,10,39,9,10,0,0,0,72,0,3,5,17,6,0,0,0,0,33,0,23,3,28,7,14,24,21,4,131,0,3,0,15,8,30,47,60,32,198,0,3,5,17,16,4,3,0,0,53,0,0,3,42,5,5,0,0,0,57,0,0,3,14,5,3,0,0,0,40,5,39,25,87,39,31,10,7,0,239
SED20401,0,0,0,5,10,7,7,9,0,36,4,39,61,624,203,172,87,31,12,1225,0,0,0,0,0,9,11,8,5,38,0,3,0,11,4,4,19,3,0,43,0,22,33,139,146,247,277,192,109,1164,0,0,3,16,11,16,8,0,5,55,0,0,0,13,4,5,5,0,0,28,0,7,4,23,21,23,59,79,87,293,0,0,0,0,7,11,16,12,4,51,0,10,10,127,45,51,25,0,0,273,13,57,66,563,93,60,42,19,9,924,0,5,3,73,18,10,5,9,0,126,0,14,4,95,19,17,9,5,0,164,0,3,3,0,0,0,0,0,0,10,0,9,8,9,10,15,24,9,3,88,0,5,0,12,10,21,35,27,18,124,0,0,7,23,18,6,5,3,0,65,0,4,11,64,26,23,7,3,0,138,0,0,0,4,3,7,0,0,0,19,7,26,43,210,60,53,59,19,0,477
SED20508,0,0,0,5,0,3,5,0,0,10,0,4,12,42,20,10,9,0,0,95,0,0,0,0,8,6,20,9,8,54,0,0,0,0,0,3,8,7,0,18,10,45,46,182,171,353,457,288,122,1668,0,0,0,5,3,7,0,0,0,22,0,0,0,13,10,5,0,5,0,31,0,0,0,24,10,25,78,35,33,204,0,0,0,0,9,16,18,33,4,79,0,4,0,10,3,0,0,0,0,17,4,6,4,64,9,16,14,9,7,134,0,0,0,18,6,4,7,3,3,34,0,0,0,7,0,3,0,0,0,9,0,0,0,6,0,0,0,0,0,5,0,0,6,17,22,14,15,8,4,89,0,0,0,7,9,22,62,36,22,156,0,0,0,17,6,4,4,3,0,32,0,3,0,5,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,7,14,8,6,0,0,48
SED20604,0,0,0,6,0,6,0,0,0,11,0,0,3,38,7,10,5,0,0,71,0,0,0,0,0,18,13,22,15,70,0,4,3,5,0,0,0,3,0,15,3,22,24,93,112,178,173,138,42,779,0,0,0,7,3,4,0,0,0,21,0,0,3,10,0,5,7,0,0,21,4,3,3,15,18,32,86,50,22,237,0,0,0,0,3,0,0,3,0,11,0,0,0,5,0,3,3,0,0,18,0,12,16,150,13,7,9,10,0,219,0,0,3,14,9,5,0,0,0,35,0,0,0,4,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,10,0,4,0,10,0,10,8,3,3,37,0,0,0,0,0,10,18,13,12,56,0,3,0,9,7,0,0,0,0,20,0,0,0,10,3,0,0,0,0,11,0,0,0,3,0,0,0,0,0,6,0,3,3,18,7,7,5,3,0,54
SED20704,0,0,0,0,0,0,0,0,0,6,0,0,11,73,19,23,7,0,0,133,0,0,0,0,0,9,3,4,0,17,0,5,3,14,0,0,0,0,0,28,0,32,28,61,90,141,127,88,46,617,0,0,0,7,4,0,0,0,0,16,0,0,0,12,0,0,4,0,0,18,0,0,6,0,10,11,17,14,8,69,0,0,0,5,0,0,6,0,0,10,0,3,0,3,0,0,5,0,0,17,5,18,38,211,24,16,14,6,0,327,0,0,0,12,10,9,6,0,0,41,0,4,3,4,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,7,0,0,0,9,3,3,5,6,5,29,0,0,0,4,3,11,19,7,5,48,0,0,0,9,0,4,0,0,0,22,0,0,0,25,0,3,0,0,0,33,0,0,0,0,0,0,0,0,0,4,0,3,8,40,16,9,9,4,0,83
SED20804,0,0,0,0,0,0,0,0,0,4,0,0,16,43,20,8,4,0,0,97,0,0,0,3,4,3,0,6,0,23,0,0,0,3,0,4,0,0,0,3,4,13,16,72,91,182,187,132,50,733,0,0,3,7,5,0,0,0,0,19,0,0,0,9,0,0,4,0,0,19,0,0,0,10,7,18,30,14,3,86,0,0,0,0,0,5,7,4,4,24,0,0,6,4,3,0,3,0,0,21,5,17,18,179,15,14,3,0,0,257,0,0,0,9,8,9,0,0,0,35,0,3,0,4,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,5,0,0,0,9,4,3,11,0,4,38,0,0,0,4,0,9,17,6,0,32,0,0,0,14,4,0,3,0,0,25,5,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,4,6,28,16,19,10,0,0,85
SED20906,0,0,0,9,11,5,0,5,0,39,4,113,145,946,349,260,131,47,13,2005,0,0,0,13,6,7,15,15,5,65,0,0,0,11,4,15,24,23,7,82,5,89,72,195,180,139,137,89,58,968,0,0,0,20,8,8,4,0,0,42,0,5,7,29,20,8,12,5,3,82,0,0,7,27,25,14,41,25,14,153,0,8,6,18,32,70,140,244,83,602,0,15,3,56,21,22,12,7,3,150,7,85,56,600,131,79,52,54,11,1077,0,0,7,82,18,6,4,4,0,126,0,0,5,53,10,0,3,0,0,78,0,0,0,3,3,0,0,0,0,12,0,7,9,85,22,27,9,15,10,178,0,3,6,24,19,44,64,96,60,323,0,31,6,66,58,15,12,4,0,203,0,28,21,99,46,9,3,0,0,214,0,0,0,8,13,14,16,9,0,57,6,16,22,153,57,46,31,14,5,351
SED21001,0,0,0,6,5,8,5,0,0,22,22,268,690,2706,960,739,479,204,89,6160,0,0,0,4,0,0,3,10,3,29,0,5,0,7,5,8,10,10,6,48,5,53,49,102,104,134,109,133,81,771,0,0,0,17,6,11,11,4,0,61,0,0,3,9,8,11,4,0,8,39,0,3,4,17,6,17,39,35,15,134,0,0,3,7,8,26,50,104,37,237,3,30,47,241,83,84,94,18,11,616,14,86,123,636,86,64,59,33,9,1093,0,0,24,120,41,26,19,8,0,242,0,18,22,116,37,10,17,4,0,224,0,3,0,6,4,0,0,0,0,11,0,3,3,17,8,18,9,9,13,70,0,0,0,23,11,24,61,84,59,257,0,4,19,58,38,8,10,3,0,144,0,12,19,164,53,14,9,3,9,287,0,0,0,3,0,3,3,0,3,16,3,28,140,560,234,163,152,74,24,1376
