SED_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SED20106,829,131,977,9368,2763,187,12319,55544,4851,72719
SED20207,1026,68,1101,24082,3724,423,28231,50401,4393,83020
SED20302,1607,343,1961,22162,5109,633,27910,56890,5656,90453
SED20401,1325,346,1681,11579,3301,285,15168,35508,2613,53290
SED20508,1686,403,2100,11088,4585,391,16063,39961,3334,59362
SED20604,1343,186,1548,11353,3844,447,15647,37829,3721,57194
SED20704,1466,206,1692,12316,4249,429,16988,37623,3303,57912
SED20804,1442,436,1885,9633,3630,379,13643,35132,4290,53061
SED20906,1685,127,1821,13476,2513,216,16208,35663,2039,53903
SED21001,2258,325,2597,12141,2916,211,15269,44121,2965,62349
SED21106,1679,243,1930,10716,2985,195,13896,35772,2475,52137
SED21203,1360,136,1506,10202,2181,185,12570,41088,5228,58886
SED21303,1359,102,1476,10045,2250,238,12534,50216,2595,65349
SED21401,2549,241,2811,10832,3346,164,14343,40541,2158,57040
SED21503,1356,112,1477,9972,2679,176,12818,36104,2265,51188
SED21608,1052,205,1266,11291,3642,413,15346,35651,3456,54457
SED21706,1862,213,2091,12076,2630,205,14905,40052,2529,57485
SED21805,1176,177,1360,12729,3516,397,16646,38193,2871,57707
SED21906,1565,168,1750,10966,3208,282,14458,39375,2890,56728
SED22005,2001,295,2321,11533,2562,184,14281,46409,3676,64367
SED22105,1049,119,1176,27363,4955,709,33026,57196,5095,95316
SED22201,1365,212,1585,10991,3505,322,14826,33835,1963,50618
SED22305,1362,142,1513,11061,2521,210,13794,43287,5230,62313
SED22404,1182,119,1315,9322,3560,389,13274,34666,4121,52053
SED22501,905,123,1039,11554,3982,278,15810,31265,1423,48500
SED22607,1331,116,1454,11047,2895,189,14125,42291,2824,59245
SED22704,1660,268,1940,9040,3543,366,12952,39360,5261,57571
SED22802,883,71,964,11141,3645,394,15179,32431,1701,49311
SED22901,1374,227,1608,10401,3342,256,13998,33967,1901,49873
SED23007,1212,232,1455,12074,2606,229,14904,51364,5104,71367
SED23101,1947,297,2256,10740,2976,156,13878,35444,2005,51325
SED23205,1414,354,1776,10138,3286,372,13795,34360,3909,52067
SED23308,1424,244,1688,10666,3568,320,14557,38462,3036,56060
SED23402,1140,145,1303,16521,4216,491,21222,41758,3356,66337
SED23502,1508,305,1826,8041,3421,384,11840,37435,4532,53811
SED23602,1349,213,1574,8270,3401,375,12046,33714,4520,50279
SED23702,1127,152,1298,12313,4337,516,17162,38575,3014,58759
SED23806,1431,96,1543,10195,2949,186,13327,39554,2052,54928
SED23901,1866,136,2023,11875,3015,240,15128,38597,2277,56001
SED24006,1834,174,2027,11300,3168,164,14640,37035,1850,53517
SED24105,1342,115,1479,12088,2995,203,15280,44198,2915,62404
SED24207,626,96,735,18963,3686,332,22979,49053,6977,79009
SED24308,1473,157,1635,10581,3677,359,14616,38702,4789,58107
SED24408,1779,275,2075,8202,3102,348,11654,33456,3475,48584
SED24504,993,192,1202,11333,3451,365,15149,34533,3301,52988
SED24606,1646,219,1891,9385,2819,170,12369,36894,2243,51505
SED24703,804,74,890,9670,2645,182,12500,93542,9469,115506
SED24808,923,82,1020,18331,4444,517,23293,45622,5065,73975
SED24904,1561,258,1833,9421,3210,359,12994,36593,5019,54597
SED25003,788,339,1128,12424,2984,215,15625,39047,3071,57732
SED25102,834,60,900,11075,3560,406,15037,30684,1662,47384
SED25205,1599,123,1736,12649,3032,311,15997,35655,1913,53566
SED25302,2080,406,2509,11335,4050,321,15705,35355,2547,53599
SED25402,1414,271,1690,10084,3994,429,14512,37044,4407,55962
SED25501,2017,204,2230,11753,2686,116,14553,37740,2297,54589
SED25605,1903,321,2241,9945,2903,169,13015,37453,3002,53464
SED25704,1824,375,2206,9016,3563,345,12922,36112,4401,53432
SED25802,1545,237,1795,11996,4468,505,16971,41517,4255,62742
SED25905,1105,160,1273,10894,3045,265,14209,37781,3271,55261
SED26005,556,33,596,16416,3385,405,20211,43540,3253,67011
SED26102,2284,408,2714,8754,4390,314,13462,39453,4692,57610
SED26207,1978,143,2133,10500,3024,171,13701,35615,2024,51337
SED26303,1248,175,1441,11243,2269,245,13760,41071,2340,57167
SED26406,1631,175,1820,11452,2279,154,13886,45784,3089,62761
