SED_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
SED20106,5,3,7,17,3,0,0,0,0,33,1420,2101,2318,7354,3173,2683,1740,837,186,21808,0,0,7,21,0,0,0,0,0,32,0,0,0,22,3,6,7,0,0,39,0,3,17,190,16,4,0,0,0,229,0,0,3,7,4,0,0,5,0,19,3,4,8,68,25,16,12,4,0,134,0,4,6,71,13,7,6,0,0,104,3,28,243,627,56,80,58,26,4,1121,0,0,0,17,10,14,8,3,0,62,0,0,3,29,6,14,10,13,5,79,8,52,92,848,382,318,203,106,24,2038,0,0,0,27,18,4,0,6,0,52,5,9,15,182,26,18,11,6,0,266,5,3,12,107,35,25,35,17,0,237,0,0,3,38,20,74,67,144,59,406,0,14,44,133,16,21,16,3,4,249,21,46,176,1290,84,43,29,12,4,1706,5,5,88,211,22,5,10,0,0,348,0,5,10,189,33,10,10,3,0,253
SED20207,0,4,0,28,4,6,0,0,0,44,3800,6513,3625,6250,3301,2173,1126,469,129,27389,0,16,16,94,41,13,7,0,0,184,0,0,0,26,22,22,16,0,0,90,0,9,0,70,14,3,0,0,0,98,0,0,0,11,15,20,13,3,0,80,0,7,4,20,16,5,0,0,0,63,0,5,0,23,16,13,18,10,0,81,14,130,168,1149,265,232,217,37,18,2235,0,0,0,17,17,46,44,38,6,172,0,16,12,37,12,21,21,5,4,129,7,109,126,340,296,244,188,112,29,1454,0,0,15,69,42,21,13,3,0,164,0,4,0,29,11,7,3,3,0,55,0,0,10,30,28,20,34,23,6,157,0,8,10,18,28,53,63,50,26,248,7,20,14,106,27,31,22,0,0,215,69,645,417,4172,574,146,143,42,9,6220,4,15,36,272,87,25,34,8,0,481,3,14,19,160,41,5,8,0,0,250
SED20302,0,33,67,241,57,31,8,5,0,440,4307,6924,4230,8748,3775,3683,3325,1668,467,37124,0,7,7,64,16,5,6,0,0,103,0,4,0,19,12,7,0,0,0,37,0,3,3,11,5,7,0,0,0,29,0,5,3,40,12,10,4,7,0,84,4,10,0,21,8,11,11,5,0,56,0,0,4,18,15,9,11,7,0,65,0,18,20,143,43,31,33,7,3,300,0,0,0,7,3,13,7,14,4,49,0,25,27,71,23,11,19,3,0,181,5,62,96,252,239,382,493,349,93,1969,3,3,14,74,25,9,11,3,0,152,0,0,0,13,5,10,0,0,0,34,0,0,8,26,8,28,57,49,15,196,0,0,0,7,10,16,21,22,6,80,0,0,4,15,4,11,13,0,0,46,18,229,383,3156,373,138,108,31,4,4441,0,6,5,35,14,11,3,0,0,71,0,8,4,30,11,0,0,0,0,67
SED20401,0,0,0,3,0,0,0,0,0,6,1829,3474,2984,5977,2841,2375,1662,853,283,22269,0,0,0,5,5,0,0,0,0,20,0,0,0,15,3,10,0,0,0,29,0,0,0,12,0,0,0,0,0,11,0,0,0,12,19,7,16,6,0,59,0,0,0,16,15,12,5,0,0,48,0,0,3,4,10,5,10,6,0,43,4,33,65,478,118,143,85,32,3,965,0,0,0,5,0,11,10,12,4,38,0,3,5,7,3,10,8,12,4,51,0,17,30,145,159,274,220,185,92,1119,0,0,0,10,8,12,0,4,0,40,0,0,4,13,4,6,3,0,0,33,0,3,3,14,16,19,49,90,51,244,0,3,0,0,5,13,12,13,9,50,0,8,16,110,43,41,27,0,0,251,7,55,73,570,119,65,47,16,4,962,0,0,4,41,18,7,0,5,0,83,0,6,9,96,27,19,12,4,0,172
SED20508,0,0,0,0,0,0,0,0,0,0,1716,4081,3093,5836,3305,3527,3971,1913,549,27995,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,7,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,22,15,9,9,0,0,60,0,0,0,6,0,0,0,0,0,6,0,3,7,21,10,8,9,4,0,56,0,0,0,3,8,14,16,18,8,68,0,0,0,0,0,6,15,12,3,34,5,38,44,154,192,316,408,305,79,1539,0,0,0,4,4,3,5,0,0,13,0,0,0,8,12,3,4,5,0,29,0,0,0,11,15,17,63,48,18,165,0,0,0,0,4,16,41,34,13,105,0,0,3,0,0,0,0,0,0,14,0,9,13,86,19,15,11,8,4,149,3,0,0,4,9,0,0,0,0,21,0,0,0,4,5,3,0,0,0,16
SED20604,0,0,0,3,0,0,0,0,0,3,1866,4239,3589,6705,3548,3771,3296,1500,394,28911,0,0,0,6,3,0,0,0,0,14,0,0,0,0,0,0,0,4,0,11,0,0,0,3,0,0,0,0,0,6,0,4,3,3,0,0,0,0,0,9,0,0,0,13,13,3,10,0,0,41,0,0,0,0,0,0,0,0,0,0,0,4,0,20,4,7,0,3,0,42,0,0,0,0,7,12,9,19,8,52,0,0,0,3,3,0,0,0,0,12,0,14,24,83,114,192,215,127,30,806,0,0,0,10,7,0,0,5,0,22,0,0,4,5,3,3,7,3,0,24,0,0,3,4,8,29,105,48,14,217,0,0,0,0,0,0,3,4,0,15,0,0,3,7,8,0,0,0,0,19,0,15,27,163,26,5,11,3,0,254,0,0,0,4,0,0,0,0,0,7,0,0,0,9,0,4,0,0,0,16
SED20704,0,0,4,12,4,0,0,0,0,19,2145,4650,3870,7070,3400,3528,3088,1527,545,29831,0,0,4,16,4,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,3,5,6,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,6,13,47,13,11,7,6,0,101,0,0,0,0,3,0,3,0,0,14,4,3,8,14,7,5,4,5,0,39,0,17,26,58,104,129,144,80,15,573,0,0,0,9,4,3,0,0,0,15,0,0,5,5,3,0,4,0,0,19,0,0,3,7,7,14,21,12,0,66,0,0,0,0,0,0,0,3,0,10,0,4,0,4,0,0,0,0,0,15,0,35,43,235,31,17,10,5,0,381,0,0,3,6,4,0,3,4,0,15,0,5,0,4,4,0,0,0,0,11
SED20804,0,0,4,13,3,0,0,0,0,25,1579,3442,2910,6076,3145,3308,3136,1644,549,25787,0,3,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,15,0,0,0,3,3,0,0,0,0,4,0,0,5,8,10,3,5,4,0,36,0,0,0,3,3,0,0,0,0,9,0,3,3,29,6,5,5,0,0,52,0,0,0,0,0,0,6,6,0,9,0,0,0,5,3,0,4,4,0,12,0,11,10,86,103,158,187,152,35,738,0,0,3,0,0,0,0,0,0,9,0,0,0,9,4,4,3,0,0,26,0,0,0,10,6,6,24,19,6,73,0,0,0,0,3,8,5,5,0,26,0,0,3,10,3,3,0,0,0,18,0,26,23,224,29,5,11,0,0,319,0,0,0,8,5,3,0,0,0,13,0,5,5,9,0,0,0,0,0,24
SED20906,0,0,0,3,0,0,0,0,0,6,1711,3980,3238,4388,2873,2122,1163,503,290,20278,0,0,0,16,3,4,0,0,0,21,0,0,0,12,9,9,0,0,0,30,0,3,5,35,5,0,0,0,0,48,0,0,0,12,4,3,0,0,0,28,0,10,3,16,19,8,0,0,0,57,0,5,0,9,15,4,0,3,0,35,6,151,172,658,217,210,128,36,10,1591,0,0,0,4,8,5,8,21,4,54,0,5,3,8,4,13,20,12,6,73,11,85,62,242,214,200,126,77,13,1029,0,0,0,13,4,5,3,0,0,35,0,9,6,33,22,11,7,0,0,90,0,4,8,19,26,9,25,21,7,125,0,4,11,18,31,67,116,167,65,490,3,27,19,38,19,14,17,8,5,140,9,88,136,633,175,97,52,33,13,1239,0,10,6,51,9,6,8,3,4,94,0,0,3,46,14,12,5,0,0,79
SED21001,0,0,0,5,0,0,0,0,0,6,1417,3273,3345,3980,2556,2218,1538,900,478,19699,0,7,11,15,6,0,0,0,0,41,0,0,0,0,0,3,6,3,0,11,0,0,0,6,4,0,0,0,0,15,0,0,6,3,11,6,9,4,0,40,0,7,7,17,16,14,6,0,0,69,0,0,0,4,0,3,5,0,0,14,18,246,754,2076,615,578,381,176,74,4919,0,0,0,0,3,9,0,5,4,21,0,3,3,9,3,5,9,11,3,46,8,50,58,148,154,176,150,121,45,919,0,0,0,11,8,10,5,6,0,43,0,3,5,14,7,5,4,0,0,46,0,0,3,22,7,15,24,21,4,109,0,6,0,8,7,25,37,71,28,183,8,41,51,237,69,71,65,17,4,568,10,96,198,758,145,52,54,31,6,1342,0,7,20,78,28,17,12,13,7,187,0,17,26,130,49,19,8,11,0,255
