SED_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SED20106,0,0,0,3,0,0,0,0,0,142,0,155,4,0,0,0,0,0,0,6,0,34,0,51,0,0,0,0,0,0,0,7,0,24,0,30,0,3,0,0,0,0,0,13,0,19,0,30,0,5,0,0,0,0,0,11,8,76,0,103,0,8,0,0,0,3,3,20,9,37,0,77,0,13,0,0,0,6,6,47,3,219,5,303,4,39,0,8,0,21,10,45,5,145,0,284,9,80,6,33,4,60,11,78,10,151,4,453,43,123,9,89,5,81,16,78,9,162,0,617,34,67,0,87,19,88,12,48,9,74,0,437,73,84,9,128,13,95,11,41,8,106,0,569,404,116,22,319,59,207,20,89,9,165,7,1411,563,64,7,265,34,90,4,44,14,100,3,1185,580,35,12,232,29,120,0,32,6,67,4,1121,580,16,3,132,30,36,4,27,4,36,0,865,1803,93,19,426,72,379,16,106
SED20207,0,0,0,0,0,0,0,3,0,395,0,403,0,3,0,0,0,4,0,9,0,61,0,75,0,0,0,0,0,0,0,10,0,60,0,80,0,0,0,0,0,3,0,11,0,34,0,53,0,6,0,0,0,0,0,15,0,179,0,214,0,0,0,0,0,9,0,27,6,84,3,132,0,9,0,0,0,25,3,38,5,607,4,702,6,25,0,8,0,40,9,59,9,303,6,464,5,47,0,31,0,95,3,65,13,264,0,530,22,52,4,82,9,134,13,80,16,221,8,631,46,33,6,81,11,103,5,34,13,51,0,375,65,33,6,91,19,90,5,22,6,60,0,398,376,52,9,254,37,209,8,43,9,88,0,1080,407,28,9,209,41,64,6,24,6,28,0,829,373,15,0,133,24,74,10,9,9,18,0,662,287,5,5,74,21,29,4,3,0,4,0,442,613,17,4,126,31,75,3,13
SED20302,0,3,4,4,0,0,0,5,0,322,11,346,3,7,0,0,0,0,0,4,4,78,3,103,0,0,0,0,0,0,4,27,8,50,0,87,0,0,0,0,0,0,0,17,3,53,0,82,3,4,6,0,0,0,0,22,4,273,0,323,4,6,0,5,0,10,0,44,9,151,3,231,3,19,0,7,0,32,0,90,11,1122,20,1327,6,40,0,20,0,78,3,117,23,587,10,889,21,88,10,51,4,114,14,129,21,545,0,1001,44,103,10,134,15,125,21,113,21,450,7,1052,69,59,12,154,10,111,11,63,13,80,6,578,148,69,7,212,29,107,25,50,15,137,4,796,643,93,17,406,61,160,19,59,17,131,0,1603,508,51,10,268,35,52,15,35,3,54,4,1044,322,29,7,143,31,34,3,17,3,34,0,622,205,3,10,62,7,10,4,0,0,15,0,312,278,26,0,92,23,63,5,16
SED20401,3,0,0,0,0,3,0,0,0,139,0,148,0,0,0,0,0,0,0,5,0,54,0,60,0,0,0,0,0,0,0,7,3,29,0,42,0,0,0,0,0,0,0,6,0,19,0,27,0,0,0,0,0,0,0,14,3,131,0,153,0,3,0,3,0,6,0,16,7,73,4,106,0,10,0,4,0,17,0,57,12,504,4,609,0,18,0,4,0,30,0,72,11,294,5,445,10,30,0,24,5,69,3,68,7,298,3,516,19,50,5,87,9,83,5,57,6,252,3,583,38,32,0,81,14,73,4,48,3,83,0,378,79,26,0,92,11,62,4,24,9,54,0,359,323,42,5,240,29,98,11,37,7,70,0,874,314,24,0,155,31,34,3,11,0,27,0,612,268,18,0,117,14,36,5,3,0,18,0,474,205,8,3,40,11,9,3,7,0,11,0,288,293,13,0,61,15,41,0,15
SED20508,0,0,0,0,0,3,0,0,3,205,0,215,0,0,0,0,0,0,0,11,5,83,3,98,0,0,0,0,0,0,0,14,0,34,0,57,0,0,0,0,0,5,0,8,0,37,0,52,0,10,0,3,0,3,0,29,3,240,4,291,0,8,4,0,0,3,0,43,3,151,0,214,0,20,0,13,0,15,5,79,13,979,15,1135,5,29,0,5,0,37,6,92,16,655,4,851,4,39,0,26,0,60,7,117,15,718,3,997,17,88,7,88,13,68,14,123,26,615,3,1057,32,42,3,73,13,66,12,75,11,160,0,472,42,48,6,84,8,55,8,56,11,213,3,531,219,81,16,257,30,108,12,75,18,225,3,1043,226,53,10,208,31,51,19,42,9,91,0,739,176,20,10,126,14,49,5,19,10,62,0,493,147,20,0,68,18,19,4,12,0,20,0,308,270,44,7,136,31,104,17,50
SED20604,4,0,0,0,0,0,0,3,0,81,4,94,4,8,0,0,0,0,0,0,0,44,3,55,0,0,0,0,0,0,0,3,0,21,0,38,0,0,0,0,0,0,0,8,0,15,0,29,6,6,0,4,0,3,0,19,4,148,0,205,4,9,0,0,0,6,3,27,0,91,0,130,5,15,4,8,0,25,10,70,9,761,19,929,19,24,6,13,3,43,13,103,7,430,3,660,29,52,0,45,3,104,12,96,7,381,0,735,69,89,9,124,10,79,16,84,22,371,8,873,53,29,3,121,4,66,16,40,13,120,0,476,101,45,8,153,14,67,12,36,3,134,3,573,411,69,8,325,39,118,28,56,29,110,6,1202,294,37,15,200,34,51,17,20,3,54,3,720,193,15,3,119,17,43,6,13,0,33,5,448,138,9,4,47,11,17,0,6,0,10,0,241,192,22,6,95,13,44,13,13
SED20704,0,0,0,0,0,3,0,0,0,99,5,108,0,3,0,0,0,0,0,7,0,50,0,51,0,0,0,0,0,0,0,0,0,31,0,32,0,0,0,0,0,0,0,6,0,18,0,25,0,4,6,0,0,0,0,12,0,136,7,171,0,4,0,0,0,3,0,23,0,90,0,132,0,18,0,9,0,21,3,65,6,723,16,862,6,18,4,13,4,35,3,99,15,436,0,632,16,45,0,39,3,90,7,86,14,396,10,704,44,67,7,93,19,73,9,89,21,368,3,785,44,47,0,104,12,66,5,56,14,103,0,452,88,38,9,135,15,58,12,35,3,118,0,502,312,63,14,276,24,140,12,48,20,124,3,1024,310,31,4,168,32,40,8,17,0,57,0,675,226,17,10,125,19,24,7,13,6,25,0,472,150,12,3,51,6,4,6,3,0,12,0,252,183,18,9,94,19,37,5,18
SED20804,0,0,0,0,0,0,0,0,0,74,0,84,0,4,0,0,0,0,0,0,0,56,0,60,0,0,0,0,0,0,0,6,4,28,0,43,0,0,0,0,0,0,0,3,0,25,0,34,0,0,0,0,0,4,0,17,5,160,3,187,0,5,0,0,0,4,4,51,14,77,0,154,4,12,0,10,0,18,4,65,5,809,14,937,6,20,0,11,0,53,3,93,18,412,6,630,17,50,5,34,4,75,4,83,9,410,8,690,30,84,7,108,7,77,23,81,17,307,7,752,33,38,5,104,11,67,8,49,13,83,0,411,70,38,7,106,14,45,4,44,5,85,6,433,284,57,10,239,31,106,10,53,12,107,3,918,216,35,5,166,10,39,8,25,9,51,0,565,173,22,3,93,12,24,4,10,5,32,0,382,98,11,3,57,8,7,3,0,0,8,0,198,172,15,3,73,15,31,7,22
SED20906,0,0,0,0,0,4,0,3,0,151,0,164,0,0,0,0,0,0,0,5,0,55,0,61,0,0,0,0,0,0,0,7,0,34,0,44,0,0,0,0,0,0,0,6,0,16,0,25,0,0,0,0,0,0,0,9,4,114,0,134,0,0,0,0,0,3,0,19,3,70,3,103,8,9,0,0,0,10,0,33,7,414,4,487,0,19,4,4,0,18,0,56,9,211,0,322,4,23,0,16,0,50,0,51,0,222,0,378,13,48,0,46,9,50,4,66,4,213,6,464,10,26,0,27,4,43,5,31,5,68,0,229,29,18,4,56,8,66,3,22,5,78,0,289,163,40,9,146,11,84,7,36,7,82,0,586,243,29,3,146,11,34,8,21,4,30,0,534,228,17,0,111,17,41,4,3,0,24,0,437,226,9,4,53,16,13,4,11,0,14,3,354,547,16,9,140,17,86,5,17
SED21001,0,0,0,0,0,0,0,6,0,304,0,313,0,0,0,0,0,0,0,6,0,87,0,94,0,5,0,0,0,0,0,20,7,52,0,82,0,0,0,0,0,0,0,19,0,27,0,51,0,10,0,0,0,0,0,20,4,139,0,168,0,6,0,0,0,3,9,26,10,82,0,134,3,27,0,7,0,14,3,48,4,387,5,501,0,32,3,13,0,49,6,74,10,251,4,438,12,57,7,18,4,62,0,73,10,275,5,525,20,74,0,75,6,71,12,78,4,308,0,654,29,30,4,70,11,53,3,39,4,109,0,347,51,44,6,99,6,58,8,37,8,143,3,469,217,55,0,195,19,117,11,56,9,175,0,848,224,41,7,125,24,49,3,43,3,92,0,604,189,28,4,103,10,40,4,30,8,70,0,493,182,9,0,60,11,19,4,19,0,32,0,332,441,27,4,157,20,109,4,38
