SED_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SED20106,7976,7709,19800,13763,10181,8223,5669,3047,932,77302,7,5,4,16,18,12,17,11,3,95,9,20,53,23,32,27,13,0,0,172,190,315,514,376,278,262,165,58,17,2184,3,9,21,19,26,32,19,4,4,135,0,0,3,6,3,0,4,6,0,26,0,5,9,8,10,10,9,0,0,43,0,3,8,6,3,3,0,0,0,25,5,0,0,0,0,0,0,0,0,12,0,3,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,206,354,614,435,352,336,211,69,24,2606,212,359,622,447,368,347,231,79,26,2701,8189,8067,20421,14207,10553,8570,5907,3125,955,79998
SED20207,25256,11252,15089,21120,13936,9397,6550,2985,1073,106664,8,6,0,12,12,8,4,6,5,64,9,10,15,8,12,15,8,0,0,64,172,202,247,149,129,88,97,41,21,1135,0,3,3,10,8,10,3,5,0,42,0,4,4,0,3,0,3,0,0,14,0,0,5,5,4,4,0,0,0,18,3,3,3,3,0,0,0,0,0,20,0,0,0,6,0,0,3,0,0,10,0,0,0,5,3,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,182,219,280,178,158,124,113,45,24,1315,187,225,279,192,172,132,113,50,27,1374,25443,11474,15373,21310,14105,9530,6662,3040,1095,108043
SED20302,25054,11387,17120,17041,12248,11272,10265,5584,1868,111839,6,9,10,12,20,26,25,14,11,129,11,7,9,7,3,11,11,4,0,59,359,436,448,316,334,451,396,149,64,2952,5,0,3,6,3,13,8,4,0,38,4,4,0,0,3,5,0,0,0,22,0,4,5,0,5,3,5,0,0,24,0,0,0,0,5,5,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0,0,379,456,459,330,352,483,429,158,64,3113,387,460,474,344,377,501,453,171,72,3246,25445,11851,17587,17382,12626,11776,10718,5751,1942,115081
SED20401,11242,6684,8878,9597,8348,7269,5849,3502,1621,62990,3,5,4,4,6,4,10,8,3,46,0,0,5,0,3,4,4,0,0,21,147,195,179,120,127,75,63,64,53,1029,0,0,0,0,4,7,8,0,0,26,0,0,0,0,0,3,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,154,196,191,123,140,92,78,72,53,1099,157,203,199,127,144,97,86,80,60,1145,11395,6886,9079,9725,8494,7369,5928,3584,1677,64132
SED20508,11746,6189,6119,7795,8473,9490,10259,5617,1997,67692,10,4,8,13,8,15,27,30,10,130,9,3,10,5,7,5,9,3,0,49,267,288,292,222,237,380,316,146,53,2196,4,3,5,0,0,10,7,5,0,36,0,0,0,0,0,4,0,4,0,10,0,3,0,0,0,0,0,0,0,8,0,0,4,0,0,3,8,0,0,13,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,278,304,308,233,247,412,340,154,48,2325,288,309,315,247,259,424,365,186,61,2452,12033,6493,6437,8043,8728,9921,10627,5799,2055,70144
SED20604,12956,7334,7821,8071,8523,9010,7911,4084,1463,67177,11,12,10,3,12,24,23,19,6,126,35,120,85,53,46,50,26,20,6,441,272,466,354,308,279,279,211,73,45,2291,4,88,49,24,14,18,26,3,0,216,4,64,35,12,6,15,9,0,0,152,3,26,9,4,10,10,8,0,0,58,0,12,3,0,0,5,0,0,0,24,0,3,3,5,0,0,0,0,0,13,0,0,0,6,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,323,779,535,402,353,370,284,100,52,3206,334,791,546,406,369,395,310,119,61,3332,13288,8125,8370,8484,8892,9406,8226,4199,1525,70506
SED20704,13984,8466,8924,8542,8392,8517,7197,3852,1618,69481,11,8,3,16,6,8,23,28,5,108,0,19,3,6,0,6,7,10,4,49,184,418,277,151,180,153,106,47,20,1540,0,0,5,0,5,4,8,0,0,34,0,6,3,7,5,3,5,0,0,35,0,3,0,0,0,7,7,0,0,16,0,6,0,6,0,5,6,0,0,20,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,186,461,286,173,191,185,143,61,23,1713,198,474,295,187,198,197,159,86,31,1817,14182,8934,9217,8731,8589,8711,7355,3934,1647,71303
SED20804,10508,6322,7448,7387,7687,8140,7663,4463,1795,61416,3,3,9,7,9,21,16,20,6,88,5,8,7,0,9,14,13,12,0,72,191,326,371,264,262,289,210,126,109,2145,0,7,3,4,4,3,8,0,0,36,0,3,0,0,3,0,4,4,0,21,0,0,5,5,0,3,7,0,0,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,195,349,394,284,281,321,230,139,110,2310,202,356,396,284,294,339,248,156,119,2399,10708,6677,7844,7675,7981,8483,7907,4622,1910,63815
SED20906,12669,7787,7196,9852,10212,7467,5144,3184,1737,65240,8,0,7,5,0,3,12,8,8,51,0,11,5,0,4,3,0,0,0,27,112,137,154,113,120,112,98,70,73,984,0,4,3,0,6,3,6,0,0,24,0,0,6,0,0,0,5,0,0,8,0,0,0,0,0,3,0,5,0,7,0,0,4,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,113,148,170,115,124,122,115,79,74,1066,115,154,174,117,128,129,123,90,83,1108,12784,7940,7367,9969,10342,7594,5261,3269,1820,66352
SED21001,10923,10020,10474,9510,9716,8081,6233,4070,2483,71508,0,4,7,5,9,14,14,6,9,54,0,9,10,4,7,4,7,3,0,50,178,219,281,197,183,157,162,149,92,1613,4,4,5,4,0,7,8,0,0,36,0,3,0,0,3,0,0,0,0,4,0,10,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,183,245,300,208,197,176,188,153,89,1736,180,246,302,213,199,187,199,157,95,1794,11104,10273,10772,9724,9918,8269,6436,4225,2577,73299
