SED_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
SED25003,3,0,0,3,0,0,5,4,49,0,58,0,0,0,0,0,4,4,0,10,0,15,0,7,0,8,4,0,3,10,27,0,32,0,11,0,10,4,0,6,20,47,4,66,0,16,0,15,5,8,11,30,80,0,116,0,50,10,62,9,12,19,81,122,0,198,12,80,9,98,8,8,19,118,130,0,251,54,110,11,174,6,7,15,187,136,0,323,100,85,7,192,9,5,6,202,133,0,330,88,73,7,171,0,7,11,178,104,3,287,116,65,7,181,7,0,5,190,80,0,268,91,49,5,149,0,3,3,150,67,0,220,165,60,17,241,0,3,6,247,64,0,311,101,28,0,133,4,6,6,140,35,0,169,59,12,4,77,0,0,0,78,18,0,94,41,8,0,54,0,0,0,57,10,0,69,49,9,3,60,0,0,0,61,12,0,68,63,37,13,107,5,0,5,110,71,8,188,4,10
SED25102,6,0,0,5,3,3,4,12,20,0,28,0,0,0,0,0,0,0,0,8,0,11,0,10,0,11,0,0,4,10,11,0,26,0,7,0,10,0,4,4,13,15,0,31,4,11,4,20,3,4,7,24,44,0,70,3,36,9,45,3,4,9,55,62,3,114,11,80,8,99,4,9,7,110,59,0,166,36,87,10,133,6,3,3,137,94,0,232,33,76,5,119,0,3,4,124,97,0,222,79,69,9,164,0,0,4,164,73,0,238,72,54,7,133,0,0,0,139,37,0,174,72,33,10,114,0,0,0,114,26,0,145,154,49,8,205,0,0,0,211,45,0,251,67,19,7,96,0,0,0,99,27,0,126,63,13,0,80,0,0,0,80,12,0,87,24,6,0,31,0,0,0,31,12,0,38,52,11,0,66,0,0,0,66,12,0,80,72,42,12,122,0,0,0,121,32,4,156,0,0
SED25205,0,3,0,3,0,6,4,7,40,0,49,0,4,0,3,0,0,0,7,12,0,18,0,7,0,7,0,0,0,6,11,0,17,0,9,3,12,0,0,4,13,31,0,42,0,24,0,26,0,3,3,29,39,0,68,4,40,5,51,3,5,10,60,69,0,129,7,56,5,76,3,8,6,79,65,0,146,35,82,7,120,4,0,4,124,104,0,235,53,80,15,145,7,5,12,156,134,0,292,92,92,9,189,4,0,7,198,76,0,276,124,66,6,191,0,0,0,192,51,0,244,84,47,15,147,0,0,0,147,48,0,193,191,74,12,283,4,0,6,288,71,0,353,79,34,5,120,0,0,0,121,31,0,149,67,25,3,93,0,0,0,92,7,0,104,32,11,0,42,0,0,0,43,7,0,54,120,12,3,137,0,0,3,138,12,0,155,96,39,7,147,0,0,0,142,57,0,204,4,4
SED25302,0,0,0,0,0,0,0,0,23,0,23,0,0,0,3,0,0,0,7,11,0,14,0,0,0,5,0,3,3,6,16,0,20,0,10,0,11,3,0,3,14,26,0,41,4,10,6,27,0,7,7,28,36,0,66,11,39,7,58,0,0,3,62,64,0,124,15,59,12,79,3,3,9,88,58,0,143,22,79,10,112,3,0,8,112,91,0,210,53,96,12,154,0,0,0,156,73,3,238,72,81,7,159,3,0,7,160,75,0,239,83,59,10,150,0,0,0,152,45,0,192,81,36,6,124,0,6,6,122,33,0,159,160,54,9,222,0,0,0,223,53,0,280,74,29,8,112,0,0,0,113,32,0,143,51,20,0,75,0,0,0,75,6,0,82,21,14,0,31,0,0,0,31,4,0,37,76,12,0,86,0,0,0,86,18,0,114,78,61,12,151,4,0,9,155,45,3,201,0,0
SED25402,0,0,0,4,0,4,4,7,42,3,51,0,8,0,13,0,0,0,8,16,0,27,0,12,0,12,10,0,12,23,24,0,43,0,21,5,27,7,6,12,38,61,0,103,0,28,5,27,14,6,24,57,128,0,189,5,72,12,100,17,15,39,134,181,6,317,32,114,15,156,13,16,29,190,166,4,355,62,138,11,216,11,7,17,234,235,0,474,84,106,12,204,7,8,18,220,164,4,388,94,124,13,230,0,0,6,235,109,3,346,101,55,9,171,8,0,8,171,51,0,225,91,27,12,126,6,0,6,129,32,0,163,147,36,12,193,3,0,4,199,47,0,249,57,20,0,84,3,0,3,86,18,0,100,32,10,0,47,0,0,0,47,7,0,54,12,3,0,14,0,0,0,18,4,0,21,28,11,0,40,0,0,0,40,9,0,54,79,47,16,140,7,4,12,149,64,9,220,6,7
SED25501,5,3,3,12,4,3,10,20,142,0,162,0,8,0,5,0,7,7,12,31,0,42,3,24,3,29,3,3,7,32,23,0,56,4,33,11,46,0,5,3,47,29,0,74,4,17,0,27,0,10,9,44,38,0,82,7,37,5,46,5,7,11,55,69,0,125,4,51,3,59,4,3,6,63,66,0,128,39,50,3,98,3,3,7,100,103,0,205,42,57,3,110,0,3,0,113,92,0,202,66,59,6,124,0,4,5,128,83,0,214,54,26,8,85,0,0,0,87,62,0,153,66,32,3,100,0,0,0,97,42,0,143,122,42,14,173,0,3,4,176,84,0,262,62,25,0,95,0,0,0,94,42,0,135,51,12,0,68,0,3,3,72,18,0,92,17,9,0,31,0,0,0,36,12,0,48,67,22,3,92,0,0,0,92,37,0,130,54,35,7,96,0,0,4,98,58,3,162,0,0
SED25605,0,0,3,9,4,7,5,14,69,0,84,0,4,0,4,0,0,0,5,22,0,28,0,6,0,6,3,6,5,18,22,0,39,0,9,0,12,4,3,4,17,32,0,49,0,27,3,33,0,7,3,34,78,0,113,3,43,6,50,3,4,12,61,65,0,127,16,48,8,71,0,0,0,69,77,0,150,42,53,4,108,7,4,13,118,151,0,266,69,63,7,140,4,7,10,150,133,0,284,73,66,11,145,3,0,7,153,129,0,284,58,49,11,115,0,4,4,116,66,0,191,72,22,0,93,0,0,0,93,58,0,154,127,41,5,172,0,4,6,176,118,0,295,65,27,4,98,0,5,5,103,47,0,145,44,12,3,62,0,0,0,62,23,0,88,21,5,0,29,0,0,0,30,6,0,32,44,11,0,61,0,0,0,63,21,0,85,39,25,9,74,0,8,10,89,64,11,162,0,0
SED25704,0,0,0,3,0,0,3,3,27,0,33,0,0,0,0,0,3,3,5,5,0,13,3,7,0,13,0,0,0,16,21,0,36,0,19,4,27,3,8,13,31,55,0,87,4,29,3,41,4,3,8,42,95,0,131,18,76,15,106,10,6,17,127,135,0,257,23,108,14,149,3,5,10,159,112,3,277,61,108,17,184,3,0,7,192,164,0,359,94,75,7,183,5,4,8,194,123,0,321,94,65,12,166,0,5,5,166,79,3,253,63,48,10,112,0,0,3,115,47,0,166,63,24,4,94,0,0,0,93,38,0,128,97,26,8,136,0,0,0,135,41,0,170,37,8,4,46,0,0,0,46,21,0,68,24,7,5,41,0,0,0,41,4,0,42,7,0,0,14,0,0,0,14,0,0,16,18,8,0,26,0,0,0,26,12,0,34,56,40,13,100,3,0,8,107,70,4,178,3,5
SED25802,0,5,3,5,0,5,6,9,20,0,28,0,7,3,9,0,0,5,9,11,0,23,0,11,0,10,3,4,4,17,28,0,46,0,19,5,25,3,10,13,36,42,0,80,7,30,4,37,12,8,23,64,115,0,179,13,83,15,111,10,14,23,137,146,0,283,32,114,19,157,9,10,17,175,133,0,313,49,146,16,210,10,9,17,229,164,4,392,83,140,9,233,0,5,6,238,150,3,387,111,79,15,207,3,0,3,213,102,0,318,89,56,11,153,4,5,9,159,54,0,214,83,40,8,134,5,0,4,135,34,0,169,146,51,9,200,6,0,6,210,59,0,267,50,26,7,78,0,0,0,78,20,0,97,42,17,0,61,0,0,0,61,3,0,66,18,4,0,25,0,0,0,25,3,0,27,31,3,9,42,0,0,0,45,11,0,55,70,59,12,143,6,0,9,154,69,7,227,8,3
SED25905,0,4,0,4,7,6,10,8,55,0,64,0,0,0,5,3,0,5,5,14,0,18,0,3,4,4,3,3,10,13,34,0,46,0,10,6,13,0,6,9,16,38,0,55,0,17,7,27,6,4,13,38,79,0,117,7,49,7,63,3,10,10,73,113,0,184,19,79,5,109,6,8,15,121,86,0,213,40,73,14,127,3,3,15,135,151,3,286,90,76,14,170,0,10,12,184,116,0,297,85,74,8,167,8,0,10,175,128,0,310,91,45,7,139,8,0,7,148,67,0,215,92,45,3,144,0,0,0,141,53,0,196,153,61,12,226,3,8,6,228,74,0,303,66,25,3,96,0,0,5,98,36,0,140,46,13,3,65,6,0,4,70,13,0,77,23,4,0,27,0,0,0,29,19,0,43,43,9,0,54,0,0,6,54,17,0,70,70,26,10,109,3,6,3,112,55,11,180,3,0
SED26005,0,0,0,0,6,7,15,13,68,0,89,0,5,0,6,0,0,5,11,17,0,25,0,8,0,11,0,3,4,22,27,0,47,3,9,0,15,6,0,4,22,52,0,72,3,26,4,37,4,5,13,49,64,0,111,5,54,7,74,6,5,18,88,115,0,211,37,80,14,129,4,12,13,140,126,3,266,67,106,9,184,4,3,12,193,143,0,339,127,102,17,241,4,0,9,248,143,0,388,129,86,9,228,5,4,13,238,109,0,352,129,52,3,191,6,0,5,191,79,0,272,106,39,9,151,0,4,4,154,57,0,212,207,71,10,290,4,3,5,297,113,0,408,130,34,6,167,3,0,6,171,46,0,221,89,18,7,113,0,0,0,115,29,0,143,29,7,0,36,0,0,0,36,14,0,49,51,15,4,71,0,0,0,71,15,0,83,77,44,9,132,3,0,4,141,64,7,210,4,5
SED26102,0,0,0,0,4,0,8,5,23,0,27,0,4,0,5,3,0,3,5,10,0,20,0,10,0,15,0,4,4,18,21,0,33,0,9,3,15,4,3,11,25,39,0,64,0,17,7,30,3,12,14,37,73,0,119,9,64,18,86,3,6,6,95,81,0,177,11,91,8,113,6,10,15,121,99,0,223,35,111,19,166,4,4,7,171,159,5,328,78,100,18,188,0,4,11,195,153,0,354,66,91,22,178,3,3,7,192,84,0,275,67,55,14,136,0,0,0,132,62,0,201,76,37,5,124,0,0,0,124,38,0,168,125,44,10,178,0,0,0,181,50,0,233,52,13,6,74,0,0,0,74,19,0,94,30,9,6,45,0,0,0,41,9,0,48,12,3,4,24,0,0,0,24,9,0,30,48,13,0,63,0,0,0,63,16,0,72,86,62,13,162,0,3,5,161,90,5,258,4,0
SED26207,0,0,0,0,3,3,6,4,37,0,44,0,3,0,5,0,4,3,9,11,0,20,0,8,0,4,0,3,5,13,19,0,29,0,10,0,17,4,5,6,21,29,0,45,0,7,0,10,0,0,3,14,54,0,74,0,23,7,36,4,0,9,43,55,0,99,17,48,9,72,3,0,9,82,71,0,150,28,71,8,110,9,3,13,116,115,0,231,59,66,17,145,6,9,10,149,136,4,287,72,66,12,153,0,4,7,153,114,0,268,73,67,11,148,7,3,5,159,75,0,228,76,37,3,120,0,0,0,120,67,0,186,174,65,5,248,3,0,6,249,83,0,336,104,32,5,141,0,3,5,146,44,0,188,69,18,0,90,0,0,0,91,19,0,111,33,12,0,49,0,0,0,49,6,0,57,93,16,4,115,0,0,0,111,28,0,141,67,41,9,123,0,0,3,128,48,7,179,3,0
SED26303,0,0,0,0,3,0,6,5,32,0,38,0,0,0,0,0,0,0,0,6,0,6,0,3,0,0,4,0,5,5,20,0,26,0,9,0,9,0,6,8,17,21,0,42,0,21,0,27,0,8,8,33,52,0,83,0,33,7,43,0,9,7,49,58,0,106,8,29,3,44,0,0,3,47,68,0,112,16,58,5,84,0,0,0,84,120,0,199,28,57,10,100,3,0,3,101,90,0,188,53,65,4,114,0,0,0,115,73,0,193,61,63,0,120,0,0,0,122,66,0,187,79,35,9,124,3,0,3,128,36,0,165,171,49,6,230,0,0,0,232,57,0,294,44,16,0,63,0,0,0,65,40,0,106,67,14,0,85,3,0,3,90,16,0,109,19,9,0,27,0,0,0,27,7,0,34,117,16,0,135,0,0,0,135,27,0,161,61,41,9,112,3,0,3,120,44,0,165,3,0
SED26406,0,0,3,4,0,3,3,3,57,0,67,0,3,0,3,0,0,4,7,13,0,22,0,12,0,12,0,0,3,17,26,0,37,0,6,0,14,0,3,6,16,20,0,39,3,19,4,26,4,6,8,33,31,0,63,5,36,5,42,4,8,14,57,71,0,127,9,46,3,63,9,4,10,80,66,0,141,32,62,9,99,0,8,8,103,102,3,202,49,74,4,127,6,3,4,135,112,3,245,75,60,9,139,3,0,3,142,95,5,242,74,39,5,128,7,0,7,131,63,0,192,81,36,0,119,0,0,0,119,56,0,174,161,37,8,204,0,0,0,210,76,0,284,65,20,0,94,0,4,4,98,38,0,133,75,17,6,94,0,0,0,95,21,0,119,24,5,0,28,0,0,0,27,14,0,44,83,12,3,105,0,0,0,105,10,0,113,56,23,10,82,0,0,3,86,45,6,143,5,0
SED26504,0,0,4,5,5,0,3,9,18,0,26,0,3,0,3,0,0,0,4,3,0,9,0,6,0,10,0,0,5,12,13,0,29,5,15,8,25,3,7,7,33,32,0,60,0,24,0,27,3,3,5,31,75,0,108,10,76,14,98,9,12,18,113,95,0,213,33,92,11,130,5,5,6,141,111,0,249,44,112,12,167,5,6,14,177,138,0,316,85,87,17,186,4,4,3,197,123,0,315,83,76,7,164,0,7,3,169,88,0,253,71,41,3,114,0,0,0,111,42,0,155,59,25,0,88,4,0,6,89,36,0,128,106,41,7,151,0,0,0,152,39,0,193,37,11,0,46,0,0,0,46,16,0,63,20,7,3,30,0,0,0,30,3,0,30,3,3,0,6,0,0,0,6,0,0,9,22,9,7,33,4,0,5,39,0,0,40,64,40,9,113,0,6,6,117,65,4,191,0,0
SED26603,0,0,0,0,5,5,4,7,55,4,68,0,0,0,0,3,0,5,7,11,0,14,0,8,0,6,3,3,4,12,26,0,38,3,11,0,18,5,6,9,34,46,0,71,0,17,4,20,5,5,14,35,89,0,124,11,35,5,53,0,10,17,66,109,0,176,14,65,12,91,0,7,9,97,101,0,204,30,70,4,106,3,8,8,120,176,4,298,84,95,9,189,3,0,3,190,161,0,354,85,70,11,163,4,8,10,173,133,0,308,94,50,14,165,0,0,4,164,101,0,272,88,41,3,135,0,0,3,138,65,0,200,211,48,12,271,3,0,3,272,102,3,376,80,19,3,109,4,0,4,108,64,3,181,80,15,4,101,0,0,0,101,19,0,114,27,11,0,40,0,0,0,42,14,0,53,48,11,3,68,0,0,0,69,25,0,93,56,25,14,97,4,0,0,100,73,5,178,5,0
SED26708,3,0,0,0,0,0,0,0,23,0,25,0,0,0,0,0,0,0,0,10,0,12,0,4,0,3,0,0,0,7,15,0,25,0,9,0,16,0,5,3,18,26,0,44,3,22,6,33,0,4,10,37,56,0,98,9,58,10,77,6,3,5,81,106,0,192,12,100,16,129,0,5,5,129,76,0,209,38,96,7,141,0,0,5,143,128,0,270,70,113,4,185,0,4,4,184,100,0,288,59,62,3,122,0,0,0,125,63,0,189,67,50,3,124,0,0,0,125,41,0,167,43,38,9,86,0,0,0,86,24,0,109,92,45,0,139,0,0,3,139,34,0,173,37,29,3,72,0,0,0,72,13,0,84,30,5,3,40,0,0,0,40,6,0,46,8,0,0,6,0,0,0,6,3,0,11,38,10,0,49,0,0,0,53,10,0,62,64,47,11,122,0,3,8,121,60,12,193,3,4
SED26806,0,5,0,8,4,3,5,13,64,0,74,0,0,0,3,0,0,0,6,10,0,17,0,3,0,9,3,0,4,11,17,0,23,0,6,0,6,0,0,0,9,23,0,29,3,8,0,12,0,0,5,16,45,0,61,10,21,3,33,3,4,9,39,62,0,105,5,29,5,47,5,0,8,52,41,0,95,23,21,3,49,0,0,3,53,72,3,125,32,38,9,78,0,3,8,82,75,0,158,37,36,9,81,0,0,4,86,55,0,135,36,32,8,75,0,0,0,78,32,0,106,42,23,3,67,0,0,0,67,33,0,100,130,40,4,175,5,0,0,176,51,0,227,35,19,3,53,0,0,0,57,22,0,74,59,17,5,74,0,0,0,77,3,0,82,16,0,0,17,0,0,0,17,5,0,25,128,29,4,159,0,0,0,159,22,0,183,47,18,7,73,0,4,9,80,50,4,130,0,0
SED26903,0,0,0,3,4,5,5,7,56,0,63,0,3,0,3,0,0,0,8,15,0,27,0,0,0,3,0,0,0,8,41,0,48,0,19,7,24,9,10,14,36,51,0,90,5,12,4,21,3,6,4,27,79,0,111,8,54,5,68,8,14,15,84,125,0,207,16,67,11,91,7,3,11,97,119,0,216,40,73,3,117,11,4,12,134,196,0,333,63,90,9,163,6,7,7,175,157,0,336,97,82,13,183,3,0,5,193,138,0,327,88,46,4,140,0,0,0,141,85,0,226,80,28,0,109,3,8,8,117,74,0,193,134,39,6,175,5,0,7,183,105,0,286,57,20,3,85,3,0,3,87,63,0,150,53,18,5,68,0,0,0,67,10,0,82,12,10,0,18,0,0,0,18,17,0,37,43,12,0,57,0,0,0,51,28,0,84,35,38,8,82,0,0,3,90,91,10,188,4,0
SED27003,0,0,0,0,7,0,7,8,46,0,52,0,0,0,0,0,4,6,5,20,0,26,0,10,9,13,4,0,10,26,44,0,65,0,23,0,23,0,10,10,28,62,0,89,0,18,5,23,12,4,14,34,91,0,127,0,26,4,32,6,10,9,39,87,0,130,6,38,0,48,3,7,12,57,102,3,167,9,46,3,67,4,3,10,74,138,0,212,29,39,3,68,3,3,11,78,89,0,170,32,35,0,66,4,0,4,66,79,0,145,45,31,3,75,0,0,0,77,51,0,123,48,31,0,78,0,0,0,78,39,0,120,116,36,3,161,4,0,5,167,49,0,220,30,12,3,45,0,0,0,44,37,0,81,55,6,0,67,5,0,3,69,18,0,84,15,5,0,21,0,0,0,21,6,0,27,135,22,4,156,0,0,0,156,10,0,170,57,27,7,91,0,0,3,92,51,7,149,0,0
SED27101,0,0,0,0,7,0,3,8,67,0,71,0,0,0,7,0,3,3,7,14,0,23,0,4,0,5,5,3,5,7,25,0,35,0,16,4,17,0,7,6,24,24,0,45,5,16,0,20,0,0,0,24,52,0,75,5,32,6,39,3,3,8,43,56,3,103,13,62,7,80,5,7,10,92,74,0,166,32,62,6,105,0,0,0,109,113,0,225,64,78,11,148,0,8,9,162,99,0,260,98,79,11,182,3,0,3,184,97,0,285,81,44,0,125,6,0,7,134,56,0,194,76,48,6,124,0,0,0,127,35,0,163,171,54,7,232,5,0,9,234,63,0,298,75,26,10,111,0,0,0,111,24,0,133,67,8,0,76,0,0,0,80,20,0,98,22,10,0,33,0,0,0,33,3,0,38,74,11,4,88,0,0,3,89,14,0,107,79,40,9,134,6,8,7,141,48,7,190,0,0
SED27208,0,0,0,0,5,0,5,4,35,0,39,0,0,0,0,4,0,4,0,10,0,15,0,12,4,10,0,0,3,17,21,0,37,6,14,4,21,10,0,10,30,34,0,69,0,19,0,27,9,3,14,41,104,0,150,18,72,12,103,10,12,23,116,140,0,253,20,103,13,138,11,3,11,148,132,0,284,55,104,10,171,8,3,13,184,200,0,389,79,93,11,183,3,10,16,194,162,5,361,92,62,11,164,0,4,4,165,110,0,276,71,52,7,129,5,0,4,138,46,7,190,64,36,3,100,0,0,0,105,37,0,136,79,30,3,118,0,0,0,115,55,0,167,40,10,0,53,0,0,0,53,14,0,70,17,4,0,26,0,0,0,26,4,0,26,5,4,0,13,0,0,0,13,5,0,13,17,6,4,26,0,0,0,26,9,0,32,74,42,10,122,0,0,4,128,73,3,200,5,4
SED27305,0,0,0,4,0,0,7,3,23,0,34,0,0,0,0,0,0,0,0,10,0,9,0,4,0,3,0,0,0,3,7,0,14,0,7,0,10,0,5,4,15,23,0,40,0,24,0,22,7,5,4,30,41,0,71,4,29,7,39,0,4,4,38,42,0,91,8,44,6,60,3,6,14,74,46,0,116,24,50,5,83,3,6,9,93,63,0,150,62,74,4,132,0,0,3,141,80,0,222,80,62,3,144,0,0,0,148,62,0,213,67,29,8,105,3,0,0,106,40,0,148,60,26,0,89,3,0,3,96,31,0,130,127,50,8,184,0,0,3,188,49,0,237,94,22,0,114,0,0,0,114,27,0,145,46,11,0,64,3,0,3,67,16,0,83,34,10,3,51,0,3,3,50,10,0,61,78,14,0,95,5,0,5,99,11,0,103,62,26,6,96,4,0,4,98,38,0,137,0,5
SED27406,0,3,0,5,7,0,6,10,30,0,45,0,5,0,5,0,0,3,6,3,0,10,0,6,0,3,4,0,11,9,14,0,30,0,5,0,9,5,5,8,18,19,0,34,3,10,3,14,5,3,3,17,49,0,66,9,24,4,37,0,0,6,40,45,0,88,13,38,6,52,3,5,11,63,43,0,108,24,62,4,85,6,0,8,92,87,0,177,61,64,9,130,3,0,3,138,81,0,218,54,62,4,122,0,0,0,123,57,0,181,78,37,6,122,0,0,4,122,40,0,162,79,43,4,126,0,0,0,126,33,0,160,169,52,8,229,6,0,6,234,50,0,282,58,18,6,81,0,0,0,81,29,0,112,72,20,5,94,0,0,0,94,13,0,111,21,9,0,33,0,0,0,33,11,0,44,138,25,12,175,3,0,6,181,17,0,194,101,37,9,144,0,4,3,148,47,0,195,4,0
SED27504,0,0,4,7,4,3,3,12,38,0,55,0,4,0,5,0,0,0,8,6,0,14,0,9,4,15,5,4,9,18,22,0,42,0,15,4,19,0,3,4,28,70,0,97,6,34,4,49,11,11,21,67,109,0,171,8,73,9,94,6,14,20,115,165,4,282,33,125,20,178,4,9,11,191,143,0,343,80,126,10,222,3,12,14,238,202,3,442,111,129,19,255,0,6,7,262,159,0,421,108,92,12,212,3,3,10,216,111,4,328,99,54,9,153,5,4,12,161,53,0,215,95,29,7,138,3,0,7,140,44,0,187,141,53,6,204,0,0,0,203,45,0,254,48,19,4,74,4,0,4,74,16,0,90,29,7,0,35,0,0,0,35,11,0,46,9,0,0,10,0,0,0,10,5,0,12,28,7,0,29,0,0,0,29,13,0,42,80,46,4,131,5,0,5,135,80,13,230,5,7
SED27608,0,0,0,3,6,4,8,5,25,0,34,0,0,0,3,0,0,0,5,10,0,17,0,3,0,11,0,0,0,13,19,0,36,4,12,4,11,0,0,4,14,18,0,32,4,28,7,43,5,4,9,51,44,0,98,3,73,9,90,3,11,15,103,85,0,180,14,85,7,113,6,7,7,125,74,0,197,59,133,12,200,3,6,9,215,100,0,307,90,151,13,249,0,4,0,255,109,0,363,131,109,9,246,10,0,12,258,87,0,349,127,77,6,209,0,0,4,213,48,0,261,110,57,4,174,0,0,0,172,32,0,209,218,61,13,291,0,0,0,293,54,0,350,89,23,6,118,0,0,0,122,18,0,136,70,23,0,93,0,0,0,93,11,0,99,17,10,0,29,0,0,0,29,0,0,30,70,18,6,94,0,0,0,94,11,0,107,110,40,12,160,0,4,4,166,56,0,218,5,4
