SED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED20106,901,1282,2182,2121,2438,4562,0,5,3,231,266,499,4,0,0,6503,7587,14085,11,20,30,1658,1809,3465,33,40,75,21,24,44,98,120,216,76,72,150,103,117,221,229,258,486,350,387,735,3,11,19,13,27,42,495,599,1092,674,848,1525,19,23,39,12638,14650,27282,1510,1320,2824,867,810,1678,402,388,794,0,4,3,101,65,167,149,173,329,258,243,502,19797,18838,38635,214,169,384,86,144,232,20100,19153,39250,3322,3113,6429,39988,40958,80946
SED20207,1511,2001,3516,2061,2603,4666,3,0,7,653,729,1382,3,0,5,11345,12585,23929,67,74,140,2013,1955,3974,121,144,260,136,147,281,162,190,348,147,150,296,279,318,594,582,640,1217,553,639,1193,27,46,70,67,71,143,546,767,1310,1724,1939,3670,29,32,59,20510,23021,43536,6354,5978,12328,3175,2973,6148,28,28,56,0,0,3,1145,1019,2159,219,256,476,1364,1274,2640,17233,16041,33279,142,96,242,65,74,140,17444,16218,33657,3472,3180,6653,53859,54672,108534
SED20302,1852,2077,3931,3947,4877,8827,0,0,0,871,1051,1918,8,13,17,9320,10600,19916,68,83,153,576,568,1144,136,167,302,148,171,315,101,141,242,264,241,507,179,201,379,704,829,1532,768,909,1673,66,100,161,175,188,360,1074,1490,2566,1587,1864,3457,49,48,95,20039,23540,43573,2816,2645,5458,1904,1808,3710,30,24,55,10,0,14,2722,2457,5179,154,223,372,2884,2676,5563,22998,22126,45122,166,135,301,77,136,209,23238,22393,45632,3949,3942,7890,56705,59110,115817
SED20401,869,1147,2014,1878,2499,4387,0,0,0,798,916,1713,33,32,69,4934,5739,10667,157,179,338,421,429,850,54,84,137,115,142,255,130,164,297,45,48,91,105,123,227,379,480,858,454,554,1002,49,81,125,92,103,195,606,858,1465,969,1181,2154,104,120,223,11315,13742,25052,938,923,1857,320,288,609,17,22,39,0,0,0,191,196,388,177,209,388,367,409,778,15604,14401,30007,122,77,202,54,109,164,15778,14592,30374,1991,1967,3955,31604,33082,64685
SED20508,148,295,439,3349,4244,7590,0,0,0,517,616,1136,0,0,0,7278,8253,15529,33,40,78,381,357,739,73,87,160,11,15,25,130,191,323,0,0,6,66,73,142,179,210,388,670,765,1435,63,67,131,19,21,40,1400,2066,3468,608,757,1364,22,20,41,14808,17776,32585,107,105,210,98,93,190,22,23,43,6,0,6,43,33,82,48,95,141,99,126,226,16562,15951,32522,124,86,212,38,112,153,16732,16154,32883,2288,2477,4763,34296,37050,71339
SED20604,215,253,468,4005,4800,8800,0,0,0,463,549,1007,12,10,18,6316,7156,13471,19,23,38,113,111,224,180,221,394,36,37,71,339,413,753,10,4,14,101,122,221,268,318,584,625,716,1345,42,71,111,70,92,157,1126,1510,2636,787,885,1680,14,25,35,14512,17045,31560,281,273,553,118,82,201,19,19,37,4,4,13,102,92,197,80,107,186,193,210,398,16286,15262,31544,107,85,191,54,77,137,16448,15422,31871,2843,2483,5325,34619,35781,70404
SED20704,348,454,800,3128,3872,7001,0,0,0,713,819,1535,23,31,54,6707,7661,14368,37,40,80,92,90,185,49,70,118,44,52,93,104,122,228,41,41,79,58,76,130,357,449,807,533,602,1134,33,59,97,103,109,210,1493,2054,3545,732,837,1564,12,14,21,14256,16987,31245,257,232,493,233,219,457,9,21,29,0,8,8,119,106,229,63,127,190,192,235,428,17111,16604,33720,114,91,204,28,65,91,17256,16759,34015,2356,2299,4653,34915,37200,72117
SED20804,364,455,820,2508,3318,5829,0,0,0,590,694,1288,111,103,217,4345,5099,9438,63,77,146,144,94,234,74,82,156,35,39,72,67,101,162,22,12,32,45,72,112,257,296,549,411,515,928,49,74,125,44,48,94,1297,1698,2998,543,713,1254,11,15,24,10615,13059,23670,200,173,373,178,149,330,26,41,60,12,6,15,113,85,190,94,166,260,219,251,477,16207,15863,32068,130,95,219,50,94,141,16383,16044,32427,3066,2528,5595,31050,32709,63757
SED20906,631,870,1494,1638,2045,3683,3,0,3,189,235,423,0,0,0,6133,7155,13289,19,37,55,2378,2632,5007,48,67,115,18,27,44,67,104,175,87,74,159,56,81,133,95,131,222,297,327,623,12,26,39,20,18,36,497,765,1266,491,619,1101,23,26,49,12061,14368,26429,1173,1016,2189,260,234,500,2487,2649,5137,0,0,0,114,77,184,121,157,277,234,234,464,13800,13021,26825,119,91,212,39,75,116,13958,13182,27143,1663,1755,3419,32467,34303,66780
SED21001,1676,2166,3839,2101,2647,4744,0,0,0,769,960,1727,8,3,8,5211,6202,11415,101,138,231,907,1044,1949,32,37,72,27,24,54,122,161,282,33,45,82,178,198,371,246,310,557,499,628,1129,53,74,129,65,92,159,784,1177,1958,884,1142,2019,21,38,61,12028,14912,26946,1270,1083,2355,563,461,1027,61,54,109,5,0,5,186,170,365,137,158,297,329,332,660,17098,16721,33816,143,121,263,49,82,130,17283,16919,34205,2107,2196,4302,35316,38131,73444
