SED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED20106,3025,1780,1224,759,312,30,11534,60,648,619,621,474,321,89,8,2834,1611,8286,5283,3210,2226,1421,539,118,22692,575,1668,1461,1224,1042,721,322,57,7073,416,1497,923,825,809,405,194,55,5119,64,107,60,62,42,33,13,0,381,56,136,161,191,175,131,73,18,940,532,1734,1147,1081,1027,561,282,70,6446,41,199,126,65,71,58,36,8,605,487,1507,1053,775,700,529,420,191,5659,3568,18189,12710,8755,6759,4373,1995,501,56842
SED20207,4302,1381,505,250,47,7,8966,60,397,765,573,247,135,34,6,2218,911,4510,6904,3013,1335,752,222,35,17685,481,1631,2448,1930,1070,528,170,38,8302,853,2070,2272,2141,1563,862,317,91,10165,114,129,105,110,80,46,5,4,591,74,146,258,307,214,136,31,5,1172,1035,2344,2635,2554,1859,1042,354,100,11930,35,118,161,101,71,61,28,3,579,713,1124,1264,781,566,444,290,128,5304,3322,12519,18476,10333,5656,3209,1141,319,54978
SED20302,1639,560,397,299,96,4,4404,56,423,534,375,310,310,78,15,2090,604,3648,3870,1796,1189,1038,390,64,12600,514,2521,2720,1649,1286,1063,436,104,10307,1305,4102,3404,2888,2545,1736,810,217,16992,188,224,204,144,153,97,30,12,1044,96,211,257,267,260,246,100,23,1466,1589,4541,3864,3295,2960,2071,938,248,19505,31,128,148,75,53,82,53,15,594,767,1184,1043,853,888,1074,869,475,7160,3611,13798,13823,8607,7089,5933,2864,926,56661
SED20401,1171,529,306,175,58,13,3242,31,305,419,310,246,178,59,10,1556,481,2571,2726,1586,919,633,270,60,9250,323,1055,1298,1221,842,639,295,89,5765,717,1799,1756,1703,1573,993,508,183,9231,89,96,115,96,65,48,12,0,526,51,77,136,159,188,146,80,31,863,857,1974,2001,1959,1831,1190,606,214,10629,11,49,65,31,37,49,33,24,298,308,479,463,436,386,427,492,506,3498,2047,7388,8143,6064,4563,3278,1813,925,34223
SED20508,569,501,551,521,178,24,2721,20,219,363,377,469,471,116,16,2059,297,1606,2008,1728,1559,1524,593,121,9433,220,714,1059,1262,1338,1455,653,136,6842,678,1827,2109,2013,2088,1682,746,190,11333,89,69,111,107,88,104,29,5,599,46,81,114,163,185,250,139,37,1018,811,1979,2330,2281,2368,2037,910,231,12943,10,24,34,31,42,85,80,23,328,348,296,405,437,616,933,905,548,4480,1718,5198,6767,6625,6950,7019,3434,1101,38814
SED20604,392,377,309,268,50,3,1721,26,241,355,354,351,265,82,9,1678,193,1412,1595,1280,1025,867,275,61,6702,228,799,1097,1118,1203,914,356,63,5766,1168,2654,2417,2361,2173,1374,518,114,12784,145,155,128,110,122,100,22,4,778,76,94,105,183,208,193,92,21,970,1381,2905,2651,2663,2509,1662,628,137,14530,13,21,30,38,42,53,33,22,248,597,545,582,600,668,765,652,291,4696,2451,6215,6695,6428,6104,4790,2074,588,35346
SED20704,514,412,330,254,97,10,2214,31,317,435,422,373,265,67,13,1924,466,2081,2020,1521,1048,839,297,94,8364,256,887,1001,1038,985,875,385,88,5511,987,2556,2152,2006,1936,1169,483,131,11420,172,142,141,106,106,80,16,3,764,67,92,127,145,179,166,66,26,866,1227,2787,2424,2259,2219,1415,556,160,13041,5,42,25,36,42,40,29,17,227,495,562,537,555,659,607,580,353,4346,2538,7197,6963,6241,5656,4298,2012,733,35635
SED20804,487,471,427,391,147,17,2413,25,207,353,371,352,322,82,10,1725,279,1467,1531,1268,976,931,404,77,6927,185,689,824,886,915,807,382,72,4757,728,1997,1801,1823,1733,1179,549,148,9948,115,118,120,84,108,82,13,4,648,39,76,85,141,175,144,76,30,761,882,2190,2006,2047,2013,1408,635,173,11357,6,32,22,30,42,43,41,15,240,471,587,546,587,626,789,762,606,4983,1899,5604,5768,5663,5354,4691,2455,969,32406
SED20906,1960,1406,683,310,84,28,5774,28,225,502,574,432,212,51,12,2039,830,2833,3846,3338,1853,968,375,137,14179,314,691,1096,1417,1000,634,273,102,5529,360,818,826,1099,1020,603,323,125,5177,75,39,59,59,58,45,17,0,360,41,72,125,171,192,142,81,33,861,483,929,1012,1329,1277,790,430,157,6404,11,48,76,78,71,66,48,21,424,247,387,432,416,347,347,354,269,2788,1968,6364,8921,8555,5659,3319,1620,730,37132
SED21001,2196,1517,1037,568,272,64,8190,32,333,469,615,550,376,157,43,2563,1384,3883,3685,3367,2193,1553,737,291,17093,493,1018,949,1148,1034,825,509,217,6188,505,723,581,795,812,446,298,131,4291,80,59,58,57,69,32,19,5,373,51,70,89,163,160,142,104,51,834,625,850,725,1016,1044,618,419,193,5492,34,49,67,73,87,74,53,27,455,508,708,451,425,353,397,447,572,3862,3228,9223,8545,8157,6289,4412,2599,1396,43841
