SED_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SED20106,13,48,41,277,66,252,34,155,11,883,221,869,340,870,511,569,118,297,71,3863,2268,6975,1536,1611,1826,1002,342,941,329,16825,2923,4730,757,647,1298,499,181,320,227,11572,2438,3043,426,441,998,435,122,194,145,8238,1570,1965,320,305,791,276,113,168,94,5599,429,795,70,67,218,99,31,50,42,1800,64,122,17,7,24,19,0,7,25,290,0,3,0,0,0,0,0,0,4,12,9925,18551,3493,4227,5719,3156,932,2127,945,49076
SED20207,25,73,202,306,106,836,90,463,40,2137,179,457,614,604,451,648,341,430,94,3821,1177,3405,1487,1190,1513,772,891,775,302,11507,2897,5873,1654,1399,2276,864,861,728,412,16969,1998,2667,1190,1014,1751,587,872,693,235,11007,775,1080,683,602,1013,377,612,577,110,5837,139,225,110,109,190,75,111,122,27,1125,12,13,16,3,8,6,9,13,8,85,0,0,0,0,0,0,0,0,0,4,7205,13797,5966,5225,7302,4177,3791,3799,1233,52488
SED20302,42,46,374,409,70,903,61,614,66,2587,209,380,912,756,439,641,263,592,91,4274,1336,2752,2556,1748,1462,986,1168,1348,275,13629,1813,3032,2064,1758,1676,822,1222,1155,247,13786,1466,1647,1363,1231,1305,715,852,975,182,9739,1001,1051,870,809,1028,551,712,855,133,7002,411,338,214,144,264,163,140,227,56,1961,96,37,18,11,22,18,6,32,19,263,18,0,3,0,0,0,0,0,6,27,6382,9279,8378,6866,6273,4798,4426,5804,1077,53279
SED20401,15,28,193,224,38,582,43,346,5,1488,119,319,555,423,296,500,126,322,46,2708,738,2302,1244,822,941,455,304,497,140,7446,1197,2458,1169,729,1068,470,322,467,137,8017,964,1490,1003,784,1051,433,436,529,100,6783,609,862,734,590,865,315,436,500,77,4983,136,235,152,126,239,72,106,147,16,1230,18,35,19,8,20,5,9,20,0,139,0,0,0,0,0,0,0,3,3,14,3792,7737,5076,3706,4518,2840,1786,2825,530,32811
SED20508,22,17,245,380,56,674,42,426,30,1906,89,204,508,499,180,394,89,276,28,2266,527,1390,1154,697,479,329,210,394,77,5259,1063,1902,1100,768,775,360,234,423,115,6742,1234,1737,997,837,1004,424,342,483,140,7199,975,1437,693,778,945,473,403,477,96,6283,321,516,196,162,318,131,110,163,59,1972,70,61,16,10,25,11,8,20,19,242,9,3,3,0,0,0,0,0,7,24,4302,7273,4910,4133,3783,2797,1446,2672,575,31894
SED20604,48,26,397,395,89,743,56,509,52,2306,125,196,712,591,207,308,180,338,45,2700,611,1378,1263,961,599,384,442,693,110,6446,1012,1574,992,848,727,352,442,604,114,6670,1253,1418,852,785,934,455,558,665,120,7040,1052,1050,675,710,886,379,533,726,90,6095,565,322,163,165,201,109,188,219,33,1977,191,26,15,13,24,14,14,32,26,350,23,0,0,0,0,4,0,0,7,40,4878,5996,5064,4458,3673,2748,2409,3794,604,33619
SED20704,36,19,277,350,86,831,62,593,29,2284,143,404,594,680,299,487,160,478,51,3294,563,2133,1257,983,703,458,390,736,107,7335,997,2050,969,812,863,372,359,574,90,7081,1115,1647,753,809,997,404,455,536,94,6819,780,1137,626,735,895,348,461,580,90,5649,284,346,139,148,179,89,132,144,32,1490,72,26,11,5,10,16,13,22,8,179,10,0,0,0,0,3,0,0,0,17,3994,7750,4623,4525,4044,3000,2026,3671,516,34145
SED20804,20,12,217,228,54,615,60,407,32,1647,91,254,462,443,210,320,116,386,50,2322,491,1417,1032,786,551,410,286,669,83,5738,806,1533,796,682,649,308,298,605,91,5765,831,1429,763,761,771,353,351,562,105,5946,690,1092,579,692,697,348,417,645,82,5252,249,389,133,144,228,96,105,169,30,1541,57,30,14,9,16,12,9,16,10,177,4,0,0,0,0,0,0,0,3,14,3242,6166,3996,3742,3179,2465,1639,3463,495,28396
SED20906,22,48,103,386,103,638,47,323,23,1689,122,501,346,471,381,599,71,220,37,2738,848,2359,719,495,742,424,160,251,111,6120,1995,3275,660,503,972,474,144,198,150,8368,2119,2871,707,612,1247,521,172,252,123,8616,990,1614,530,453,885,305,187,291,74,5327,205,411,148,127,226,104,56,108,19,1397,20,33,24,15,23,14,4,26,7,158,6,3,0,0,3,0,0,0,4,11,6314,11117,3229,3060,4584,3074,843,1672,541,34435
SED21001,23,90,74,356,104,614,35,318,11,1622,170,778,415,720,457,707,134,366,93,3849,803,3428,887,751,908,582,247,453,206,8261,1449,3307,605,493,860,405,173,246,166,7697,1776,2794,574,563,1066,403,158,307,113,7744,1022,1866,452,450,784,284,166,309,75,5409,248,593,108,101,248,80,44,113,20,1562,33,76,13,12,34,13,3,26,6,222,3,6,0,0,0,0,0,0,8,25,5519,12939,3130,3441,4472,3083,962,2134,698,36381
SED21106,5,61,55,479,87,446,32,225,9,1396,130,495,190,558,349,460,80,134,24,2420,894,2330,539,492,593,419,86,170,106,5625,1932,2669,364,308,587,383,52,95,118,6508,2655,3020,342,372,869,467,63,99,150,8038,1530,2275,315,343,717,367,68,109,103,5826,469,825,113,86,307,143,32,68,39,2088,92,143,16,9,50,36,5,15,20,390,14,11,0,0,0,4,0,0,7,32,7710,11829,1935,2645,3560,2723,416,926,575,32320
SED21203,15,22,138,80,34,378,32,205,35,939,118,362,519,467,317,512,271,435,129,3131,529,1670,1170,929,746,475,755,852,251,7367,561,1227,865,705,614,252,570,504,161,5465,403,606,644,594,528,223,592,596,103,4294,232,333,436,384,414,189,550,513,77,3131,36,77,71,58,72,37,90,98,21,553,0,8,3,3,3,0,3,14,7,46,0,0,0,0,0,0,0,0,3,5,1896,4301,3849,3222,2729,2068,2865,3220,783,24934
SED21303,15,46,58,243,52,388,26,226,10,1061,188,1008,437,1061,594,712,127,371,55,4550,1905,7699,1467,1617,1812,867,331,581,233,16519,2224,5262,767,569,1136,333,187,270,175,10938,1572,2891,547,440,884,272,173,213,105,7094,719,1647,351,294,622,182,150,184,57,4217,129,391,85,66,155,47,36,83,17,1015,23,36,7,10,4,9,3,11,0,105,0,3,0,0,0,0,0,0,5,11,6776,18986,3719,4310,5264,2813,1036,1943,664,45504
SED21401,16,62,82,257,83,483,19,221,17,1247,169,626,299,401,342,592,76,215,44,2752,794,2478,694,492,832,476,141,249,148,6307,1424,2505,639,440,815,444,139,201,150,6751,1423,1902,647,530,992,487,186,305,134,6601,1021,1399,538,466,763,434,191,334,91,5237,289,469,149,129,300,140,59,117,38,1696,78,98,26,15,44,31,10,17,21,347,9,3,0,0,9,0,0,0,0,22,5221,9538,3077,2726,4175,3087,825,1656,647,30955
