SED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED20106,16,31,5,2825,66,9,3,36,5,27,0,11,0,12,176,349,9,3,5,3,0,4,0,0,5,5,9,38,1599,243,57,1436,316,1094,78,235,70,388,200,5712
SED20207,19,38,7,3873,105,18,16,74,22,65,13,36,17,56,455,885,11,0,6,11,0,4,0,0,3,5,61,117,4675,645,158,4108,689,3336,175,827,230,1083,566,16491
SED20302,9,16,5,1489,119,29,22,145,22,76,15,32,21,54,408,935,11,0,9,11,0,7,0,0,8,10,69,135,3245,912,191,4406,783,2664,244,736,220,867,544,14795
SED20401,8,16,0,1420,65,12,11,83,13,40,4,15,6,31,161,443,3,0,4,13,0,4,0,0,6,8,20,50,1733,392,75,2827,401,1298,128,393,99,553,192,8090
SED20508,9,22,0,1511,102,30,4,113,12,51,14,15,9,50,199,595,3,4,4,13,3,0,0,0,0,5,17,57,1543,496,84,2903,400,946,156,319,99,482,229,7674
SED20604,7,7,0,966,102,18,9,109,13,34,4,19,4,28,283,636,9,0,7,8,0,0,0,0,0,5,23,59,1916,338,94,2500,401,912,109,311,82,405,310,7382
SED20704,7,9,7,1258,80,17,10,94,13,34,0,20,11,33,242,566,7,0,6,11,0,6,3,0,5,4,15,52,1770,451,91,2826,425,1094,131,382,110,475,275,8029
SED20804,4,6,0,743,69,17,8,71,9,34,12,16,8,33,195,467,6,0,10,4,0,4,3,0,4,8,16,56,1169,399,79,2135,291,829,145,330,94,462,227,6143
SED20906,12,38,10,3921,104,12,5,81,18,32,8,21,6,23,173,486,10,4,3,8,0,9,0,0,0,5,16,58,2801,457,68,3110,436,1386,113,398,77,565,211,9633
SED21001,16,48,10,3481,94,27,9,77,9,49,5,18,5,42,245,572,7,0,0,7,0,0,3,0,0,5,25,50,2371,479,56,2694,308,1349,102,529,84,744,287,9011
SED21106,23,99,9,4668,109,29,12,106,14,55,7,24,9,20,198,579,12,0,5,9,0,4,0,4,0,6,21,58,2162,367,57,2352,323,1315,74,364,60,397,229,7701
SED21203,5,64,0,607,27,10,6,36,11,45,4,38,31,134,202,545,4,3,4,3,0,3,0,0,3,37,87,156,786,374,59,1180,204,1923,95,1149,259,2597,344,8983
