SED_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SED20106,0,0,0,0,1214,1214,23,0,0,0,2638,2666,1617,93,106,3,8209,10032,2941,201,470,12,3592,7213,2420,267,680,23,1885,5271,2125,233,854,68,1128,4402,1663,149,550,100,532,2989,977,48,240,126,208,1601,234,5,34,106,48,421,11998,1001,2933,437,19457,35812,3,0,0,0,1266,1274,72,6,0,0,2849,2926,2121,116,251,3,7925,10408,2935,232,655,25,3210,7062,2396,268,948,66,1752,5429,2056,178,986,158,1009,4384,1516,122,769,369,411,3186,693,34,307,520,124,1676,108,5,71,352,20,556,11887,959,3990,1503,18564,36907,3,0,0,0,2482,2489,95,8,0,4,5491,5593,3734,211,361,11,16133,20445,5873,431,1127,40,6801,14274,4816,533,1626,89,3636,10699,4178,414,1839,225,2131,8793,3177,268,1312,470,944,6174,1666,85,545,648,327,3277,331,7,102,454,72,977,23881,1960,6921,1934,38022,72719
SED20207,0,0,3,0,3033,3040,58,4,0,0,2830,2890,2631,84,89,3,4563,7369,7990,256,434,7,1946,10646,4937,332,694,23,1123,7118,3143,235,653,68,599,4699,2301,147,412,115,209,3179,1017,35,123,160,53,1384,243,6,22,127,8,397,22322,1098,2422,500,14372,40720,3,0,0,0,2806,2814,170,17,5,0,2538,2732,3998,162,174,6,3721,8061,8008,374,601,21,1761,10768,4442,412,950,122,1140,7079,3015,299,816,288,484,4900,2045,160,552,631,183,3570,688,38,197,716,38,1683,133,8,37,518,13,698,22508,1466,3336,2302,12692,42303,5,0,3,0,5844,5853,222,19,5,5,5369,5620,6635,245,258,6,8284,15432,16001,627,1042,30,3708,21413,9389,749,1639,149,2270,14192,6152,531,1469,355,1081,9594,4345,307,957,743,390,6750,1709,74,320,871,90,3072,377,12,59,639,20,1101,44830,2566,5759,2800,27063,83020
SED20302,0,0,0,0,3062,3067,69,7,6,0,2809,2895,3321,115,125,12,4795,8367,6130,236,437,10,1836,8646,3959,319,751,38,1186,6257,3573,292,912,107,772,5655,3684,260,824,221,339,5333,2028,94,319,335,86,2851,418,16,52,279,17,788,23186,1343,3424,1008,14899,43859,0,0,0,0,2907,2908,202,6,3,3,2704,2918,4544,214,202,20,4251,9221,5940,415,563,53,1757,8723,3687,382,1039,109,1146,6357,3707,352,1287,372,626,6341,3409,222,1104,848,275,5858,1460,64,413,1083,76,3101,217,4,72,854,21,1173,23160,1658,4681,3338,13757,46599,0,0,0,0,5965,5970,267,20,11,7,5517,5815,7861,324,324,31,9048,17584,12072,649,999,58,3594,17368,7648,699,1791,151,2333,12615,7277,649,2198,477,1390,11993,7098,483,1926,1070,610,11190,3484,157,729,1418,163,5951,633,24,124,1137,37,1961,46347,3003,8105,4348,28662,90453
SED20401,0,5,0,0,1764,1774,26,0,0,0,1789,1814,1272,43,40,5,3053,4414,3078,140,208,3,1406,4836,2503,219,441,14,1020,4204,2168,193,636,57,580,3630,1899,122,420,129,197,2770,1157,45,197,201,62,1667,309,11,52,228,31,632,12414,767,2003,645,9915,25740,0,0,0,0,1571,1574,58,7,0,0,1686,1754,1762,78,86,7,2772,4707,3155,184,286,21,1299,4939,2439,270,652,67,924,4359,2140,220,881,169,437,3855,1810,131,733,485,180,3343,862,36,291,724,62,1972,188,8,74,764,23,1051,12422,934,2996,2234,8958,27548,3,4,0,0,3334,3345,78,7,3,0,3481,3572,3037,121,122,13,5826,9122,6237,325,490,23,2705,9776,4944,487,1097,84,1950,8567,4307,414,1521,230,1016,7481,3709,248,1159,616,383,6116,2019,78,488,927,120,3635,497,17,126,989,55,1681,24835,1701,5000,2883,18873,53290
SED20508,0,0,0,0,1867,1874,12,0,0,0,1480,1495,847,44,25,4,2167,3090,2349,123,199,9,1105,3783,2633,199,469,25,785,4111,3152,205,632,76,491,4568,4161,188,628,199,274,5450,2183,67,241,342,64,2890,497,11,55,271,18,856,15843,844,2252,925,8264,28119,0,0,0,0,1731,1731,23,4,0,3,1369,1395,1178,62,54,3,2007,3303,2589,183,302,22,1160,4258,2800,273,691,66,826,4659,3384,266,1079,234,599,5561,3992,162,877,563,311,5907,1712,56,384,946,99,3190,259,9,67,873,34,1241,15935,1013,3454,2707,8133,31242,0,0,0,0,3596,3600,38,4,0,3,2847,2890,2022,108,79,11,4180,6395,4936,313,504,31,2262,8042,5432,472,1162,90,1614,8775,6541,475,1717,311,1093,10130,8148,354,1510,758,589,11357,3892,120,621,1279,160,6074,755,22,117,1142,55,2100,31774,1854,5707,3634,16397,59362
SED20604,0,0,0,0,2250,2249,39,0,0,0,1796,1837,1148,78,61,6,2762,4054,2245,166,269,12,1283,3981,2452,217,584,33,1011,4289,2850,210,814,86,646,4599,2850,184,687,195,318,4243,1455,55,224,254,114,2103,337,10,37,186,21,594,13373,921,2685,763,10207,27943,3,0,0,0,2009,2018,66,11,0,0,1626,1700,1469,108,90,8,2423,4102,2497,271,355,33,1251,4416,2558,258,797,98,864,4576,2929,276,948,235,531,4923,2642,160,737,581,202,4321,1060,47,287,768,81,2242,182,3,48,695,26,955,13412,1133,3268,2413,9022,29251,3,0,0,0,4263,4265,103,13,3,0,3423,3539,2614,189,153,10,5187,8156,4740,447,632,42,2538,8401,5011,472,1384,123,1877,8863,5782,484,1760,321,1176,9520,5491,347,1427,773,528,8557,2520,98,511,1020,192,4341,521,13,87,881,50,1548,26787,2050,5952,3177,19225,57194
SED20704,0,0,0,0,2227,2230,38,5,3,4,2148,2191,1262,77,53,8,3021,4423,2485,169,208,16,1268,4141,2462,220,491,36,908,4121,2648,219,676,91,566,4194,2616,152,510,164,294,3729,1337,51,166,248,85,1881,376,8,30,224,19,659,13228,893,2133,776,10540,27573,0,0,0,0,2164,2165,68,11,0,3,2168,2252,1659,118,91,8,2942,4828,2667,264,361,27,1337,4654,2532,270,798,82,875,4560,2794,241,948,226,500,4710,2329,159,752,532,227,3992,1064,47,246,723,75,2157,205,8,51,738,29,1029,13316,1112,3253,2343,10316,30343,0,0,0,0,4392,4395,108,13,4,5,4312,4442,2919,198,153,17,5965,9251,5147,429,574,42,2605,8796,5002,490,1286,115,1781,8677,5440,458,1626,318,1069,8905,4944,304,1256,697,518,7723,2399,93,414,970,154,4031,582,18,79,961,56,1692,26550,2002,5390,3116,20856,57912
SED20804,0,0,0,0,1668,1668,38,8,0,0,1626,1669,970,76,48,6,2760,3858,1889,164,191,4,1468,3717,1985,240,467,19,1139,3855,2203,226,711,79,793,4008,2366,200,697,176,436,3880,1431,73,289,248,117,2168,392,6,48,249,45,735,11272,988,2442,783,10049,25544,0,0,0,0,1682,1684,54,7,0,7,1504,1574,1195,107,72,5,2521,3900,1948,218,268,16,1429,3884,1973,262,638,74,1129,4082,2316,279,1013,225,697,4530,2249,183,927,523,351,4233,1125,35,371,821,137,2486,199,6,91,794,56,1152,11065,1096,3386,2469,9505,27517,0,0,0,0,3346,3346,92,13,0,7,3131,3247,2165,178,118,14,5278,7756,3836,388,461,23,2896,7601,3962,498,1103,98,2268,7935,4516,499,1721,299,1491,8535,4620,381,1621,701,784,8112,2553,107,661,1070,255,4646,594,18,137,1047,94,1885,22338,2085,5830,3258,19551,53061
SED20906,0,3,0,0,2268,2269,9,0,0,0,1917,1935,957,28,32,0,2663,3683,3325,122,187,4,1016,4647,3510,191,392,23,852,4976,2556,147,455,38,535,3736,1733,89,297,83,264,2464,1002,31,123,165,75,1396,380,8,29,199,23,642,13479,620,1513,520,9610,25743,0,0,0,0,2048,2048,20,3,0,0,1707,1737,1338,39,65,4,2261,3711,3759,168,326,16,1082,5356,3630,297,665,47,782,5422,2361,208,706,164,502,3938,1614,118,502,364,267,2870,800,37,264,695,98,1891,208,10,76,849,34,1182,13744,878,2598,2141,8800,28157,0,3,0,0,4313,4321,32,8,5,0,3626,3672,2289,73,98,3,4924,7389,7079,292,517,22,2100,9999,7145,482,1060,75,1638,10398,4922,354,1158,205,1038,7677,3353,212,795,451,535,5335,1803,71,381,859,172,3287,599,13,104,1050,58,1821,27222,1496,4108,2661,18412,53903
SED21001,0,0,0,0,2284,2289,59,0,0,0,2930,2988,1465,44,92,3,3792,5402,3193,120,238,3,1077,4635,3420,170,316,26,707,4638,2862,127,436,45,518,3979,2238,80,290,102,297,3005,1350,48,151,182,84,1812,544,11,39,282,40,910,15130,597,1563,647,11724,29662,0,0,0,0,2204,2206,90,9,3,0,2687,2785,1844,76,147,3,3293,5365,3505,173,347,19,1022,5068,3666,246,591,54,718,5271,2849,151,739,150,505,4390,2113,96,555,422,320,3507,1098,51,298,794,176,2417,323,9,97,1137,117,1685,15500,799,2774,2580,11043,32687,3,0,0,0,4490,4495,147,9,3,0,5618,5774,3309,117,244,8,7090,10761,6700,291,585,20,2105,9698,7090,415,901,75,1425,9907,5702,274,1177,193,1014,8367,4351,173,846,522,620,6507,2449,97,449,977,260,4236,869,20,133,1423,153,2597,30627,1398,4337,3226,22775,62349
