LGA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA20110,8,0,0,146,12,8,6,28,4,6,0,3,0,0,48,119,0,0,0,0,0,0,0,0,5,0,11,14,247,95,27,466,58,125,33,71,20,60,58,1261
LGA20260,0,0,0,87,25,0,0,23,3,4,0,5,0,9,41,108,0,0,0,3,0,0,0,0,0,0,5,10,231,47,9,318,46,121,19,65,20,75,48,1001
LGA20570,6,23,0,2002,125,25,11,135,16,72,12,25,11,34,356,829,4,0,0,15,0,0,0,4,0,8,34,72,2509,597,102,4181,596,1691,178,582,133,747,417,11742
LGA20660,24,85,3,5534,134,27,13,151,22,74,14,30,19,71,347,906,10,0,10,13,5,5,0,0,3,11,36,102,3907,811,139,5712,833,2368,232,751,168,1126,417,16457
LGA20740,0,8,3,396,42,17,5,68,6,18,3,19,9,31,119,331,0,5,3,0,0,0,0,0,0,0,19,34,635,303,69,1134,166,448,78,216,72,295,152,3565
LGA20830,9,9,4,919,66,12,6,111,11,47,13,16,4,34,199,519,11,0,9,7,7,3,3,0,0,4,31,85,1242,343,94,2248,375,961,119,304,89,390,245,6408
LGA20910,30,141,13,7938,181,46,12,174,23,92,5,34,15,46,324,958,9,4,7,11,8,9,0,4,3,9,33,91,3877,632,103,4428,583,2251,139,571,115,719,384,13810
LGA21010,0,0,0,116,14,7,4,17,6,5,0,4,5,8,53,126,0,0,0,3,0,0,0,0,0,0,9,19,257,68,21,368,53,151,23,63,29,88,71,1197
LGA21110,50,232,3,11943,229,33,15,222,35,149,19,58,13,102,687,1556,25,3,9,24,5,21,0,6,3,5,43,152,6190,1090,153,6464,797,3491,221,1144,182,1585,758,22080
LGA21180,19,131,3,3051,143,43,34,137,42,156,14,70,59,194,598,1492,8,0,6,13,7,0,0,3,10,35,127,221,4296,1090,221,4899,862,4742,304,2152,489,4051,825,23938
LGA21270,0,0,0,63,12,5,0,14,0,3,0,0,0,8,12,62,0,0,0,0,0,0,0,0,0,0,0,4,124,21,9,212,24,80,6,14,6,39,15,554
LGA21370,4,8,0,410,66,10,10,58,6,21,5,11,5,21,144,368,9,0,6,4,0,0,3,0,0,5,14,43,862,173,60,1340,164,457,66,163,66,243,170,3775
LGA21450,6,35,3,2154,170,32,16,193,29,86,9,37,16,48,362,996,19,0,11,21,3,9,0,5,0,14,68,154,3582,748,172,5235,860,2956,249,717,219,854,486,16071
LGA21610,35,148,9,6851,433,74,61,390,74,295,44,145,85,250,1418,3278,30,14,46,45,18,23,4,10,32,28,226,468,12475,2537,488,14595,2212,10805,670,3494,852,4627,1800,54550
LGA21670,0,5,0,60,8,6,0,14,0,8,0,9,0,16,42,102,0,0,0,0,0,0,0,0,0,0,8,15,170,69,10,296,41,142,20,75,23,137,59,1050
LGA21750,0,3,0,223,34,4,5,23,4,11,0,6,5,8,75,189,3,0,3,3,0,0,0,0,0,6,6,22,451,137,25,813,94,230,44,99,26,135,89,2151
LGA21830,4,0,0,178,35,4,6,37,3,8,4,9,3,6,60,171,4,0,3,3,5,4,0,0,0,0,10,28,385,78,36,544,68,194,22,59,29,84,67,1574
LGA21890,20,79,7,5037,92,31,17,108,23,59,13,30,26,110,314,816,12,3,8,16,6,0,0,0,4,19,37,112,3539,1000,142,4985,816,2392,268,920,204,1587,396,16246
LGA22110,4,11,0,359,54,13,3,64,10,46,4,14,4,44,155,410,7,3,0,5,0,7,0,5,0,3,7,44,743,272,65,1367,171,494,102,257,51,401,179,4111
LGA22170,17,31,0,2754,191,19,16,175,21,94,19,44,18,78,395,1067,22,5,12,21,10,8,5,0,7,11,43,149,3562,763,189,5610,965,2493,289,685,181,1034,473,16241
LGA22250,0,0,0,83,22,6,0,16,0,3,0,0,0,8,30,85,0,0,0,3,0,0,0,0,0,0,12,19,218,53,15,325,33,134,9,37,10,73,44,947
LGA22310,28,82,14,8354,188,34,10,209,33,91,18,48,17,53,368,1069,22,6,10,27,3,12,6,3,11,15,37,160,5338,989,152,6147,860,2833,246,829,172,1041,454,19064
