LGA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA20110,74,209,48,61,3,485,54,64,213,145,154,16,652,12,13,36,31,40,3,133,0,0,18,15,97,4,133,10,4,18,23,63,22,135,317,259,1139,763,1800,156,4431
LGA20260,31,140,33,34,4,275,40,59,157,172,225,20,665,3,3,15,11,21,6,53,0,0,4,14,76,0,99,0,3,3,7,36,19,76,157,132,670,585,1406,156,3109
LGA20570,664,2175,538,680,43,5075,1119,812,3028,1415,1984,201,8548,58,26,217,104,201,18,618,69,32,159,230,798,30,1318,49,13,185,148,423,132,954,3668,2217,10555,5778,13549,931,36692
LGA20660,935,2655,586,478,75,6576,1946,871,3735,1261,1208,191,9218,108,52,382,134,155,14,852,165,60,371,288,712,25,1621,210,36,538,218,378,182,1574,8589,3371,19241,7034,10145,1142,49510
LGA20740,206,537,162,173,15,1276,203,162,640,434,567,66,2067,22,13,110,77,134,10,369,11,10,63,64,313,17,479,7,9,64,64,172,56,370,708,615,2660,1966,4815,445,11214
LGA20830,290,900,299,437,36,2312,301,261,1009,704,933,109,3317,9,12,63,62,116,6,271,20,9,60,123,609,19,844,13,12,77,77,326,94,601,1091,835,3973,3091,8394,616,17999
LGA20910,528,1727,403,238,60,4170,1275,452,2435,721,468,144,5487,111,46,382,119,119,18,794,116,49,327,199,341,34,1057,273,65,712,224,216,168,1657,7158,2549,18050,5397,5248,979,39378
LGA21010,58,164,66,88,3,433,54,49,205,187,264,32,789,7,5,9,7,26,4,56,0,3,15,12,121,4,155,0,0,12,17,76,40,149,222,182,810,762,1924,201,4104
LGA21110,935,3142,475,296,75,7799,3660,1031,5896,1060,603,278,12531,185,75,613,173,117,27,1188,248,80,601,284,413,36,1659,489,110,1199,274,250,249,2577,16740,4817,34033,7439,6255,1442,70726
LGA21180,522,1929,601,609,96,4618,961,494,3067,1427,1765,224,7943,40,15,304,138,184,33,719,102,38,426,476,1066,85,2198,236,28,701,401,826,515,2715,5468,1941,17936,9291,15009,2154,51805
