LGA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA20110,1957,1091,1110,1374,1660,1983,1806,995,373,12351,0,0,5,0,3,10,8,4,4,32,9,13,13,7,13,12,7,4,0,82,142,126,164,170,114,117,83,33,8,950,4,25,13,4,3,0,5,0,0,54,7,7,4,5,0,3,6,0,0,33,3,3,9,6,0,7,0,0,0,31,0,4,0,0,0,0,6,0,0,13,0,0,0,3,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,168,182,196,189,133,138,112,39,8,1173,168,185,203,193,133,148,122,42,12,1208,2128,1281,1314,1566,1793,2135,1929,1034,382,13556
LGA20260,1773,1059,1391,1280,1471,1668,1540,871,362,11414,0,8,3,9,3,5,8,0,0,27,0,0,3,0,0,0,0,0,0,7,25,65,57,30,47,56,48,24,6,364,3,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,65,59,34,50,67,55,27,3,391,39,74,63,38,51,68,56,29,3,425,1809,1130,1457,1318,1521,1740,1596,901,366,11839
LGA20570,20899,13506,14958,13670,13417,12699,11182,6412,2728,109471,16,19,14,12,17,29,40,35,18,195,5,16,18,10,7,13,9,0,3,74,390,711,530,368,358,309,278,160,115,3223,4,9,10,4,18,10,18,0,0,80,0,4,4,0,0,3,7,0,0,30,3,3,0,3,10,0,9,0,0,28,0,0,0,0,0,3,3,0,0,12,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,747,567,386,389,341,315,167,120,3443,410,767,584,400,406,377,360,196,135,3641,21312,14276,15540,14077,13822,13075,11540,6613,2863,113111
LGA20660,22069,13442,15761,17737,16533,14358,12124,7399,3259,122683,20,10,19,17,14,23,21,16,5,133,8,10,15,8,6,6,11,0,0,73,241,348,465,351,306,314,303,240,197,2772,3,25,20,11,3,12,16,3,0,95,0,13,8,0,3,4,3,0,0,30,0,3,9,0,4,3,4,0,0,22,4,0,4,7,0,0,5,0,0,21,0,5,3,5,0,0,0,0,0,12,0,0,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,254,409,525,381,324,340,339,250,201,3037,275,415,548,399,344,365,358,265,208,3173,22340,13854,16312,18133,16874,14719,12487,7666,3470,125852
LGA20740,6010,3104,3374,4059,4564,6096,6455,3382,1160,38205,3,0,0,6,16,19,19,4,3,72,6,3,3,3,6,5,6,0,0,41,189,248,239,199,258,369,324,117,50,1982,5,0,3,5,3,11,4,0,0,31,0,0,0,0,3,0,0,0,0,8,0,0,5,0,5,3,7,0,0,18,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,202,253,253,206,275,385,346,120,50,2083,209,258,254,210,291,403,362,123,51,2161,6218,3360,3627,4267,4855,6498,6821,3507,1210,40367
LGA20830,10741,5817,6838,6413,6701,7205,6568,3709,1298,55282,3,8,8,5,13,11,14,12,5,80,6,3,3,4,0,3,0,0,5,15,164,243,242,120,123,119,114,57,29,1206,0,0,6,4,6,3,6,0,0,24,0,4,0,0,0,4,0,0,0,5,0,0,0,0,5,5,4,0,0,11,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,247,254,125,132,132,126,57,35,1277,170,259,258,128,151,148,137,70,38,1353,10916,6073,7096,6539,6847,7353,6706,3770,1330,56635
LGA20910,17265,11712,7567,11486,15788,13440,10443,6582,3294,97583,9,9,5,7,8,10,13,8,7,84,0,18,17,5,7,17,10,3,3,80,261,265,258,206,215,217,165,138,66,1786,0,0,0,0,9,9,9,9,0,40,0,4,0,0,0,4,0,0,0,13,0,0,0,5,0,0,9,0,0,11,0,0,0,0,0,8,5,3,0,16,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,258,293,285,215,230,257,197,151,68,1959,275,305,290,226,239,266,214,157,80,2040,17540,12015,7856,11716,16027,13705,10659,6737,3373,99625
LGA21010,2006,1279,1315,1302,1657,2251,2213,1320,531,13882,3,3,5,0,8,7,6,0,10,34,0,3,7,0,5,13,0,0,0,33,52,54,66,58,53,62,53,23,13,436,0,0,0,3,4,4,0,0,0,11,0,0,0,0,0,4,0,0,0,9,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,61,74,68,56,81,60,23,13,492,55,66,76,70,60,87,67,25,23,525,2066,1342,1393,1367,1721,2341,2276,1345,555,14409
LGA21110,26326,23299,20254,19860,23180,19914,15138,9380,4778,162118,8,6,3,12,8,9,15,12,14,95,12,39,15,10,13,16,14,6,5,127,268,514,536,352,314,347,306,221,124,2976,4,11,7,10,12,8,16,4,3,71,0,4,3,0,0,0,4,4,5,23,0,4,3,4,0,0,5,0,0,26,0,10,8,5,5,0,5,3,0,36,0,6,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,288,585,584,381,343,384,343,235,135,3276,302,590,588,391,350,393,359,249,144,3371,26624,23886,20842,20252,23529,20303,15493,9629,4930,165491
LGA21180,33353,24063,29875,25920,24133,22679,17877,9460,3585,190940,21,19,17,20,33,31,48,36,12,241,0,10,11,14,9,8,6,3,0,55,382,358,541,445,370,288,225,146,78,2837,3,4,7,0,11,9,6,4,0,42,4,4,6,3,7,0,4,0,0,30,4,0,0,3,0,0,0,0,0,14,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,402,375,569,467,397,315,244,148,77,2996,419,393,587,488,425,353,298,187,85,3239,33771,24459,30457,26413,24558,23030,18172,9642,3673,194181
