LGA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
LGA20110,1772,1222,395,38,3423,1339,111,4870,48,16,14,0,79,144,11,238,6,3,0,0,8,3,0,15,56,23,14,0,90,145,12,252,13,0,5,0,17,21,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,18,6,5,0,19,23,0,45,3,3,0,0,5,10,0,14,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,4,4,0,0,10,9,0,19,5,6,0,0,18,14,0,31,9,4,0,0,15,6,0,20,1858,1250,420,38,3567,1528,131,5222
LGA20260,1361,974,456,43,2833,1236,116,4179,37,11,24,8,78,209,6,294,0,0,0,0,3,3,0,8,42,12,24,6,82,210,8,300,3,0,0,0,3,0,0,4,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,7,0,12,4,3,0,0,0,11,0,14,0,0,0,0,9,6,0,12,0,0,0,0,0,0,0,0,4,3,0,0,7,0,0,7,10,4,0,0,15,15,0,28,4,3,0,0,5,3,3,12,1412,1001,478,51,2939,1473,127,4541
LGA20570,10460,11156,4947,374,26940,9610,1436,37980,850,408,501,58,1816,2789,204,4802,110,54,85,5,251,247,48,544,959,465,584,59,2069,3029,244,5344,129,39,85,8,263,717,36,1021,20,3,3,0,28,54,3,88,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,3,0,8,6,0,14,152,40,92,8,302,775,44,1121,6,0,4,0,14,15,0,34,10,0,0,0,13,33,0,46,0,0,0,0,0,0,0,6,14,6,9,0,25,17,4,49,33,12,12,0,52,66,7,126,15,9,5,0,34,34,5,75,11625,11684,5643,449,29393,13525,1742,44654
LGA20660,9505,14500,3843,368,28215,6999,984,36197,878,563,449,51,1944,2136,169,4252,943,973,450,46,2407,908,176,3493,1826,1540,901,97,4357,3043,346,7746,471,241,166,21,907,905,84,1895,144,37,35,11,222,244,16,476,296,55,48,17,413,478,46,932,55,19,33,3,110,179,14,299,3,5,0,0,12,16,0,29,968,360,289,48,1661,1828,147,3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,15,20,3,37,9,5,4,0,15,21,3,40,18,3,10,0,26,19,0,49,12323,16409,5045,508,34279,11903,1484,47666
LGA20740,5349,3423,1504,102,10382,4466,376,15225,115,26,38,0,181,477,8,671,101,55,31,0,192,94,10,293,221,77,68,3,369,572,21,961,36,17,20,0,69,137,8,214,10,0,0,0,10,20,0,27,4,0,0,0,4,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,49,20,18,0,85,171,8,257,5,0,0,0,7,41,0,43,30,4,3,0,42,85,0,127,0,0,0,0,0,0,0,0,3,4,0,0,5,0,0,16,41,4,8,0,53,124,0,183,10,8,4,0,18,17,0,36,5668,3532,1599,110,10909,5347,411,16662
LGA20830,6313,6274,2154,170,14912,4313,385,19615,159,44,86,13,295,532,20,848,5,4,5,0,13,32,0,45,160,48,94,13,303,561,24,891,116,31,50,4,195,379,15,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,0,6,117,29,50,4,194,386,15,595,7,0,0,0,9,5,0,16,78,5,5,0,94,180,3,282,0,0,0,0,0,0,0,0,7,0,0,0,8,7,0,9,93,6,8,0,109,196,3,311,9,8,0,0,18,13,0,34,6692,6363,2304,184,15542,5467,427,21441
LGA20910,6165,11142,2108,145,19564,3865,296,23722,1185,804,424,33,2454,1922,124,4494,1297,1321,425,36,3077,965,75,4115,2481,2121,848,68,5528,2884,195,8612,536,225,208,15,980,1071,82,2140,449,119,102,14,688,624,46,1362,400,113,119,9,644,879,41,1559,73,21,20,4,113,129,5,240,4,4,6,0,11,11,0,18,1461,483,453,36,2430,2713,175,5317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,21,36,5,130,103,19,252,66,21,36,5,130,107,19,253,11,12,7,0,26,5,0,36,10185,13780,3452,255,27673,9581,680,37936
LGA21010,1932,1160,553,48,3693,1553,144,5391,94,16,41,6,152,408,20,581,0,0,0,0,6,0,0,3,95,16,41,6,161,409,20,583,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,0,0,0,5,22,0,29,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,7,10,3,6,0,14,25,0,43,4,3,4,0,8,3,0,15,2038,1183,600,47,3873,1999,160,6033
LGA21110,8366,16952,3294,334,28945,4989,839,34771,1989,1874,702,101,4671,2721,343,7738,1260,1698,595,48,3605,968,186,4763,3255,3576,1298,149,8277,3689,529,12501,1291,603,366,97,2360,2529,462,5346,1296,409,217,88,2013,2421,454,4894,1207,372,255,73,1907,2107,253,4271,156,47,27,7,235,359,40,636,0,7,0,0,8,10,0,18,3951,1438,874,264,6521,7429,1206,15162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,36,9,0,100,83,37,218,56,36,9,0,100,83,37,218,12,10,4,0,32,34,5,74,15643,22008,5479,747,43878,16223,2617,62715
LGA21180,11735,20490,8096,906,41221,9140,1754,52121,993,1250,769,95,3107,1738,200,5046,846,1217,649,114,2824,839,245,3908,1842,2467,1415,205,5927,2578,443,8955,381,402,296,53,1132,1051,115,2295,29,16,9,3,55,78,8,141,41,11,10,3,67,77,5,145,11,6,6,4,27,53,14,91,10,7,3,0,30,24,4,54,468,442,328,62,1308,1284,138,2731,0,0,0,0,0,0,0,0,0,0,0,0,4,30,0,29,0,0,0,0,0,0,0,6,12,17,3,0,35,17,3,53,16,15,7,0,40,48,3,87,14,12,8,3,38,23,3,61,14076,23429,9853,1179,48529,13077,2348,63949
