LGA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA20110,1405,1185,552,165,7208
LGA20260,1002,802,387,116,5326
LGA20570,8198,6612,3211,1211,56552
LGA20660,10403,7767,3899,1352,70544
LGA20740,4245,4145,1888,585,21286
LGA20830,4705,3865,1833,505,28290
LGA20910,11196,7873,4373,1881,59043
LGA21010,1446,1263,686,229,7319
LGA21110,17125,12066,6579,2763,103483
LGA21180,10413,6647,2971,1076,83120
LGA21270,580,426,205,108,2778
LGA21370,3190,2374,1262,520,17448
LGA21450,6890,4411,2131,651,56624
LGA21610,19979,11096,4748,1511,167206
LGA21670,1136,1107,604,149,5895
LGA21750,1912,1667,680,219,10530
LGA21830,1390,1015,492,198,7278
LGA21890,9763,5252,2232,1149,84397
LGA22110,4748,4836,2443,683,24247
LGA22170,10121,6869,3436,1337,69705
LGA22250,847,788,357,127,4519
LGA22310,12326,8903,3941,1847,89018
LGA22410,1837,1486,601,201,9210
LGA22490,2045,1461,505,113,12253
LGA22620,9448,7363,3660,1398,59679
LGA22670,7135,5128,2689,985,67159
LGA22750,20284,16649,8154,2878,140374
LGA22830,4620,3303,1710,695,30320
LGA22910,2040,1841,740,227,9435
LGA22980,495,321,181,102,2452
LGA23110,6886,4000,1661,672,47436
LGA23190,1547,1100,548,232,9430
LGA23270,12064,6532,2628,736,104702
LGA23350,1918,1542,632,151,9292
LGA23430,12292,8308,4156,1791,84692
LGA23670,12753,8560,4228,1607,83315
LGA23810,6176,4652,2271,847,36372
LGA23940,788,614,274,123,3599
LGA24130,4898,3698,1657,419,27195
LGA24210,11013,7769,4989,1846,68630
LGA24250,1130,991,385,114,5378
LGA24330,4839,2442,901,470,49395
LGA24410,8923,6146,3416,1431,61320
LGA24600,7095,4757,2204,698,109335
LGA24650,7821,4416,1577,408,78940
LGA24780,3912,2733,1301,483,24978
LGA24850,3347,2175,950,283,22802
LGA24900,2316,2051,1114,353,13438
LGA24970,14104,9411,5915,2762,108717
LGA25060,9351,5986,2715,1003,67124
LGA25150,2792,2001,854,205,18154
LGA25250,9971,5318,2347,1254,98711
LGA25340,15849,14588,8590,3019,89268
LGA25430,2326,2261,1108,377,11623
LGA25490,1576,1271,506,154,8492
LGA25620,1714,1430,610,165,8153
LGA25710,6699,4434,1693,399,34599
LGA25810,1048,972,480,187,5667
LGA25900,8977,5705,2615,817,70260
LGA25990,675,681,259,75,3606
LGA26080,465,617,364,106,2205
LGA26170,2973,2658,1183,318,15123
LGA26260,1409,1221,578,241,7877
LGA26350,8561,6600,3783,1450,70989
LGA26430,1176,1178,514,184,5854
LGA26490,3708,3214,1325,438,21680
LGA26610,1421,1006,475,201,8897
LGA26670,739,546,251,97,3220
LGA26700,2607,2097,1052,395,14786
LGA26730,2770,2071,1049,430,17334
LGA26810,3892,3377,1363,425,21862
LGA26890,346,291,123,43,1791
LGA26980,13403,9372,5604,2632,97578
LGA27070,11267,6825,2841,1005,105361
LGA27170,3046,2338,1043,302,20736
LGA27260,12292,6911,2448,667,143573
LGA27350,6343,4328,1855,477,63285
LGA27450,13141,9477,4323,1178,80367
LGA27630,610,465,248,119,2920
LGA29399,59,39,11,6,648
LGA29499,779,411,85,18,5907
LGA29799,15,4,0,0,40
