LGA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
LGA20110,0,0,0,0,0,0,0,0,0,17,0,20,0,0,0,0,0,0,0,0,0,15,3,18,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,5,0,9,0,3,0,8,0,0,0,4,0,33,0,52,0,3,0,0,0,0,0,15,0,20,0,38,0,0,0,3,0,0,5,20,3,190,7,235,3,13,0,5,0,7,0,26,4,91,0,162,7,17,3,8,0,11,0,23,4,80,0,158,19,27,5,26,0,14,6,28,7,81,4,221,8,13,0,27,3,15,3,20,3,24,0,114,29,10,0,26,6,10,5,11,3,31,3,139,72,20,8,66,13,17,11,14,4,23,0,233,53,16,0,27,5,9,3,3,0,16,0,131,46,0,0,23,8,6,6,0,6,12,0,97,26,5,0,3,0,0,0,0,0,0,0,41,44,8,0,27,3,12,0,3
LGA20260,0,3,0,5,0,0,0,0,0,18,0,27,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,5,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,4,0,0,0,5,0,37,0,51,0,3,0,0,0,0,0,9,3,9,0,23,4,5,0,0,0,0,0,13,0,142,0,171,4,4,0,5,0,4,0,24,0,90,0,141,4,12,3,15,0,9,0,12,0,83,0,138,11,5,3,18,3,6,0,15,0,67,0,128,9,10,0,16,0,10,0,5,0,13,0,69,19,10,3,25,0,18,3,11,6,16,0,107,67,17,4,35,3,24,9,7,4,22,0,189,39,10,0,35,10,5,0,0,0,4,0,98,35,0,0,14,0,3,0,0,0,4,5,65,24,0,0,4,0,0,0,0,0,3,0,34,27,3,0,19,4,9,0,0
LGA20570,0,0,0,0,0,0,0,4,0,147,8,158,0,0,0,0,0,0,0,12,0,57,0,69,0,0,0,0,0,0,0,5,0,32,0,47,0,0,0,0,0,0,0,9,5,29,0,45,0,5,0,0,0,0,0,26,0,206,4,251,0,13,0,0,0,10,0,41,15,138,4,222,7,24,7,12,0,15,10,99,13,1175,27,1380,5,46,3,19,5,61,7,128,9,662,3,951,22,73,6,55,3,120,15,160,27,569,4,1051,54,118,9,175,15,150,22,130,23,541,13,1252,66,46,3,194,13,118,14,74,11,163,4,705,161,77,9,194,19,96,8,61,18,158,0,807,560,100,10,422,43,168,27,62,10,148,3,1553,438,58,11,287,28,58,14,22,6,63,0,994,325,14,5,180,26,58,11,9,3,38,0,674,231,7,3,68,16,28,5,10,0,13,4,384,358,37,15,158,21,73,10,25
LGA20660,3,0,0,0,0,6,0,5,0,255,0,272,0,6,0,0,0,4,0,3,0,95,0,108,0,0,0,0,0,0,0,20,0,51,0,72,0,0,0,0,0,0,0,13,0,36,0,50,4,6,0,0,0,7,0,23,5,248,4,287,0,0,0,3,0,4,3,33,5,128,0,179,4,13,0,8,0,21,8,79,7,812,23,976,6,29,0,16,0,42,10,95,11,532,6,739,10,52,4,22,5,76,11,120,17,596,3,919,21,81,3,84,14,85,11,125,14,588,3,1037,22,37,3,102,9,116,19,92,14,223,3,636,61,54,3,134,17,93,4,55,10,229,0,658,357,92,12,370,56,181,25,109,26,263,7,1494,550,71,9,294,50,103,7,64,14,132,0,1301,505,39,7,193,36,93,11,41,7,70,0,996,470,20,4,131,26,33,0,15,5,34,0,744,939,54,19,238,46,172,7,57
LGA20740,0,0,0,4,0,0,0,0,0,115,6,129,3,4,0,0,0,0,0,3,0,50,0,68,0,0,0,0,0,0,0,15,3,37,0,61,0,0,0,0,0,0,0,11,0,37,0,51,3,3,6,0,0,0,0,20,4,186,0,225,4,4,0,0,0,6,0,17,10,98,0,142,3,13,3,0,0,18,0,57,3,690,15,807,0,28,0,8,0,29,0,73,18,396,6,576,16,58,3,25,3,36,7,72,18,372,0,607,17,62,6,66,8,46,13,72,12,313,4,622,19,30,6,69,3,33,3,35,9,50,6,259,41,34,6,85,6,39,12,32,9,111,3,372,139,47,11,137,18,73,7,35,10,101,0,567,97,23,7,81,9,22,10,18,3,34,0,313,72,13,7,57,12,20,6,11,0,29,0,227,56,3,5,26,3,3,4,0,0,16,0,112,108,20,0,50,13,36,5,18
LGA20830,4,5,0,6,0,0,0,0,0,118,0,136,0,8,0,0,0,0,0,7,0,55,0,67,3,0,0,0,0,0,0,9,3,26,0,39,0,0,0,0,0,0,0,9,4,18,0,33,4,3,0,6,0,0,0,15,4,150,10,199,0,7,0,0,0,4,0,30,7,81,0,132,5,13,4,12,0,17,3,62,14,709,9,846,14,32,0,19,4,33,9,80,11,391,8,592,15,45,6,27,0,76,4,82,13,357,4,631,44,57,3,101,4,78,9,70,16,295,5,668,27,22,3,84,3,68,11,38,13,77,3,352,79,41,7,105,15,55,11,33,4,88,5,450,293,47,7,218,16,98,14,32,19,97,4,845,244,24,7,151,21,37,5,22,5,37,0,551,190,14,0,94,15,24,0,9,10,18,4,375,91,7,6,51,3,7,4,6,0,10,0,178,187,20,3,87,14,47,0,20
LGA20910,3,0,0,0,0,5,0,4,0,163,0,176,0,0,0,0,0,3,0,6,0,67,0,82,0,0,0,0,0,5,0,11,0,55,0,68,0,0,0,0,0,0,0,12,0,17,0,37,0,8,0,0,0,0,0,11,3,138,4,159,0,4,0,0,0,5,0,29,0,81,0,126,4,10,0,0,0,8,0,34,4,397,0,464,3,22,0,3,0,28,5,61,8,328,0,460,14,35,0,10,0,28,0,78,17,429,0,622,15,46,3,43,6,75,13,112,4,454,8,784,18,25,0,49,3,49,4,93,5,212,0,451,28,37,11,52,6,57,11,84,6,282,0,562,153,64,4,180,12,135,12,131,16,357,3,1071,252,63,4,187,26,85,15,90,9,230,0,959,258,39,7,150,16,93,7,64,3,149,0,791,252,33,0,111,8,30,9,28,0,99,0,567,1057,128,10,439,44,362,19,169
LGA21010,0,0,0,0,0,0,0,0,0,26,0,28,0,0,0,0,0,0,0,0,0,11,0,18,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,11,0,18,0,0,0,0,0,5,0,5,0,48,0,73,0,0,0,0,0,0,0,12,3,16,0,39,4,0,0,9,0,5,0,16,0,251,7,291,7,11,0,6,0,14,0,28,5,130,4,207,7,16,0,8,0,19,0,26,5,105,0,196,15,27,3,36,0,25,10,22,4,87,0,225,10,11,3,29,0,13,0,10,3,19,0,109,26,15,4,31,3,14,0,6,4,21,0,120,60,18,0,59,11,24,6,7,0,18,0,214,75,9,7,41,5,13,3,4,0,9,0,161,41,4,5,26,7,3,0,0,0,13,0,91,33,4,0,12,0,0,0,0,0,5,0,57,48,7,0,19,3,5,0,0
LGA21110,3,6,0,3,0,7,0,5,4,368,0,392,0,0,0,0,0,0,0,6,0,114,0,130,0,0,0,0,0,0,0,13,0,57,0,76,0,0,0,0,0,0,0,5,0,37,3,47,3,8,0,0,0,0,0,31,0,199,3,245,3,7,0,3,0,11,3,47,3,119,0,199,5,19,0,3,0,15,6,77,14,557,5,702,0,39,0,14,0,38,7,71,24,398,5,599,11,86,4,31,5,67,17,117,24,497,5,864,29,113,5,95,6,96,9,124,17,596,5,1100,28,59,0,116,12,110,5,101,10,250,0,701,62,69,9,128,14,96,16,117,12,380,5,900,362,126,7,345,40,244,19,193,19,571,4,1925,536,89,10,297,33,124,13,108,12,356,0,1589,529,77,8,250,28,144,12,83,14,259,0,1401,508,32,4,160,22,53,10,67,0,126,0,987,1550,181,19,632,60,491,22,259
LGA21180,0,0,3,0,0,9,0,4,5,719,16,763,0,4,0,0,0,6,0,15,0,145,0,174,0,0,0,0,0,0,0,23,0,120,0,151,0,0,0,3,0,5,0,32,6,79,0,123,0,7,0,0,0,8,0,49,6,600,8,681,0,10,0,3,0,25,0,78,13,235,3,363,0,24,0,4,0,76,3,148,26,2162,30,2488,13,42,0,25,3,162,13,186,31,828,16,1327,14,104,6,43,7,251,11,152,31,514,9,1149,64,109,16,204,23,255,24,153,33,506,15,1400,77,71,6,178,22,178,9,66,13,102,6,731,162,60,10,173,17,161,10,42,18,104,4,766,587,94,17,389,62,221,34,60,24,105,6,1598,541,53,9,241,38,88,14,20,8,40,0,1045,368,24,3,157,31,63,4,19,4,18,3,697,304,7,0,82,17,11,6,4,0,4,0,438,442,23,4,103,16,64,3,18
