LGA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA20110,5226,5306,10526,289,305,589,59,66,127,358,351,711,30,30,62,11,11,16,5,5,12,5,0,10,6,7,15,10,14,27,0,0,0,489,495,982,18,13,33,6,11,18,802,828,1630,488,491,978,6515,6621,13135
LGA20260,4481,4478,8958,276,281,557,12,21,27,255,297,553,11,14,21,4,7,12,7,3,9,0,8,3,3,3,10,0,0,0,0,0,0,290,354,643,28,33,64,21,12,31,612,684,1292,1138,376,1512,6226,5537,11766
LGA20570,42600,46187,88791,1549,1643,3197,114,128,246,6285,6792,13075,128,123,250,47,46,96,43,60,105,26,33,65,27,25,47,11,18,28,0,0,0,6687,7233,13918,203,225,428,161,128,292,8600,9229,17831,2897,2960,5857,54096,58384,112478
LGA20660,51625,54616,106240,1086,1145,2237,160,148,309,5110,5594,10707,161,102,264,40,23,63,42,31,77,12,20,34,18,17,37,35,20,58,0,0,0,5581,5963,11544,342,345,689,57,70,127,7070,7526,14600,2029,1995,4027,60722,64141,124863
LGA20740,15276,16031,31306,1106,1200,2308,33,43,81,1603,1741,3344,25,33,61,4,10,15,14,14,29,11,11,30,9,4,8,8,0,14,0,0,0,1715,1863,3580,53,55,107,45,29,73,2918,3149,6071,1482,1602,3083,19670,20790,40461
LGA20830,22352,23401,45755,1058,1246,2303,49,51,97,2344,2530,4871,59,72,132,9,17,26,23,16,37,5,13,20,8,6,13,4,0,7,0,0,0,2498,2704,5201,50,86,135,42,41,84,3647,4074,7724,1678,1744,3420,27681,29215,56896
LGA20910,39831,43579,83408,1171,1252,2427,116,131,250,4541,4854,9395,80,87,174,24,18,43,34,34,68,15,6,17,9,12,17,18,24,37,0,0,0,4832,5168,10004,434,457,894,50,64,117,6489,6944,13439,1669,1953,3621,47986,52478,100462
LGA21010,5620,6012,11629,293,319,610,26,21,54,361,369,730,11,15,24,8,15,22,3,6,7,4,0,7,3,10,10,0,0,0,0,0,0,412,434,846,4,9,12,16,19,38,723,782,1504,643,630,1269,6986,7420,14404
LGA21110,65468,71454,136925,1655,1809,3464,239,277,510,8798,9237,18033,127,164,291,67,61,124,77,75,155,50,39,92,22,21,41,43,43,88,0,0,0,9423,9916,19339,843,881,1727,105,108,213,12031,12713,24742,2401,2618,5014,79895,86784,166681
LGA21180,80851,81682,162532,1704,1678,3383,125,114,232,6760,6240,13002,118,93,215,29,38,71,15,13,33,50,41,88,11,12,24,9,6,19,0,0,0,7117,6569,13682,589,624,1212,212,173,382,9621,9043,18664,5924,5421,11342,96392,96144,192540
