LGA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA20110,2327,70,8,13,0,2416,1508,29,3,7,5,1558,444,73,13,5,3,544,38,20,0,0,0,61,15,4,0,0,0,14,276,32,16,3,3,332,25,0,4,0,7,39,7,0,0,0,0,13,813,135,32,11,9,996,125,3,0,3,5,133,107,7,0,0,4,119,4870,252,45,31,20,5222
LGA20260,1919,71,3,12,5,2008,1275,20,0,3,4,1305,419,107,3,6,4,538,65,36,0,0,0,104,3,6,0,0,0,8,233,21,0,4,0,258,50,5,0,8,0,60,4,3,0,0,0,8,781,176,5,6,9,981,122,20,0,3,0,142,88,14,0,6,0,102,4179,300,12,28,12,4541
LGA20570,13100,1182,201,67,10,14557,13807,799,94,20,19,14741,7334,2071,584,10,21,10019,861,462,68,0,3,1393,140,152,37,0,3,338,1652,335,85,6,6,2086,132,38,13,22,3,205,47,20,0,0,0,75,10166,3077,789,38,40,14112,459,154,14,4,4,639,451,127,23,4,6,609,37980,5344,1121,126,75,44654
LGA20660,15196,1633,634,5,13,17479,13738,2283,689,9,8,16725,4399,2379,1696,13,19,8508,704,604,111,0,5,1427,79,133,116,0,0,328,1091,377,203,15,0,1684,220,48,9,0,0,285,28,20,5,0,0,49,6517,3563,2142,28,26,12280,391,158,131,0,4,689,356,100,36,0,3,493,36197,7746,3636,40,49,47666
LGA20740,7185,399,59,136,11,7786,4607,130,35,6,8,4781,1877,176,81,0,10,2146,91,105,30,0,0,225,23,31,20,0,0,81,810,44,14,0,3,866,54,7,4,14,3,85,15,0,5,3,0,19,2875,374,148,19,15,3436,262,28,4,10,5,311,296,32,11,14,0,355,15225,961,257,183,36,16662
LGA20830,7727,270,168,223,6,8397,8073,134,76,6,12,8295,2126,294,181,11,3,2614,172,76,46,0,0,293,15,9,8,0,0,39,790,71,46,0,4,910,88,6,3,33,0,131,17,4,0,0,0,28,3205,463,289,45,4,4006,304,9,53,27,0,404,299,19,16,5,4,348,19615,891,595,311,34,21441
LGA20910,10986,3168,1437,56,8,15659,9079,2451,1206,49,7,12792,2378,2015,1769,100,5,6279,149,296,246,0,0,693,8,15,94,0,0,118,581,405,224,31,5,1244,41,19,30,4,0,96,5,11,10,0,0,26,3160,2756,2373,136,11,8446,261,146,207,4,0,619,230,94,98,0,0,425,23722,8612,5317,253,36,37936
LGA21010,2534,113,0,8,4,2662,1709,39,0,5,0,1747,523,249,0,4,0,775,136,76,0,0,0,214,12,13,0,0,0,26,216,30,6,0,0,250,29,10,0,3,0,37,9,4,0,0,0,11,923,382,9,8,7,1316,94,31,0,0,0,124,128,27,0,25,0,175,5391,583,6,43,15,6033
LGA21110,16916,4637,2682,38,21,24290,12226,3252,3138,21,15,18643,3740,3399,7450,106,13,14716,103,92,209,0,0,408,21,77,90,0,3,194,874,648,915,33,7,2476,65,36,74,9,0,186,22,15,23,0,0,59,4828,4272,8760,153,28,18036,490,251,401,3,0,1153,309,88,177,8,4,591,34771,12501,15162,218,74,62715
LGA21180,20909,1818,382,9,10,23130,18031,2732,475,4,8,21252,6861,2782,1186,12,17,10862,797,265,168,0,0,1235,150,90,108,0,0,355,2730,622,213,13,9,3592,628,146,62,36,10,870,102,31,19,0,0,153,11268,3935,1759,66,43,17067,777,255,41,4,0,1076,1138,217,74,3,4,1430,52121,8955,2731,87,61,63949
LGA21270,1369,40,4,23,0,1432,539,13,0,0,0,547,67,8,5,0,0,86,21,5,22,0,0,44,4,0,7,0,0,10,183,5,0,4,0,195,47,0,0,0,0,56,0,0,0,0,0,3,324,24,36,0,0,388,97,0,3,0,0,101,72,5,4,3,0,83,2399,80,44,27,5,2555
LGA21370,5893,267,5,103,10,6281,4661,82,0,17,6,4764,1187,417,27,0,4,1629,295,189,4,0,0,492,40,43,0,0,0,85,764,89,0,11,9,875,141,13,4,54,4,212,15,10,0,0,0,27,2439,768,33,68,7,3316,307,44,0,5,0,360,294,58,0,11,0,362,13593,1224,37,200,31,15079
LGA21450,8414,697,91,65,10,9283,19102,672,46,8,16,19841,6128,981,116,0,6,7235,154,68,36,0,0,256,24,36,3,0,0,63,1185,98,19,5,3,1307,131,18,0,51,0,206,37,8,4,0,0,43,7660,1204,178,58,11,9107,396,374,25,0,0,798,479,82,9,0,0,577,36059,3028,340,140,37,39607
LGA21610,23023,2280,215,25,10,25543,54295,3567,223,6,23,58123,17122,2535,279,13,31,19975,1042,269,64,0,0,1376,119,78,27,0,0,218,3361,371,49,4,4,3792,617,76,5,77,5,781,124,19,0,0,0,154,22385,3345,426,97,43,26297,983,575,120,0,8,1683,1453,235,24,0,8,1724,102149,9995,1007,122,91,113365
LGA21670,2521,120,4,51,8,2705,1539,17,5,11,4,1575,456,102,17,5,0,586,92,67,9,0,0,163,18,23,9,0,0,52,317,28,8,8,0,357,24,0,0,6,5,35,10,0,0,0,0,16,918,213,44,23,5,1209,97,25,0,4,0,126,131,13,6,5,0,158,5207,386,62,97,21,5774
LGA21750,3637,146,8,22,0,3819,2716,36,0,10,5,2773,716,220,9,6,0,952,155,69,5,0,0,224,26,25,5,0,0,60,444,45,5,0,6,495,76,24,0,29,8,142,12,8,0,0,0,17,1424,385,25,40,11,1889,147,24,0,4,3,181,142,33,3,3,0,185,8063,637,36,81,24,8848
LGA21830,2863,47,5,6,7,2919,1812,23,0,6,0,1839,362,69,0,4,0,441,47,61,0,0,0,105,9,0,0,0,0,7,390,24,4,5,0,427,131,5,0,0,4,136,9,0,0,0,0,12,946,162,6,7,3,1132,302,0,0,0,3,310,128,9,0,3,0,145,6053,239,12,23,15,6343
LGA21890,14054,2606,796,46,8,17502,10828,4589,2138,52,4,17605,5476,6386,4850,165,15,16891,607,944,586,3,0,2136,104,125,130,0,0,367,1441,880,500,49,4,2877,183,83,55,13,0,334,34,41,22,0,0,104,7850,8454,6152,231,21,22711,427,285,100,9,3,831,479,238,105,9,9,842,33636,16180,9283,341,44,59488
LGA22110,9028,408,28,196,19,9685,5227,111,9,6,13,5363,1534,376,62,10,0,1985,276,147,22,0,0,442,103,62,9,0,4,178,911,80,12,11,10,1023,108,24,13,42,4,186,23,16,0,5,0,40,2955,702,122,65,26,3863,310,77,5,6,0,399,374,48,4,22,12,459,17897,1340,168,297,68,19771
LGA22170,12510,1865,127,60,14,14579,19217,2476,190,11,8,21907,7091,2978,642,17,18,10746,708,367,76,0,3,1154,112,116,33,3,3,273,1580,498,85,13,0,2179,167,67,20,181,0,435,40,29,15,7,0,83,9696,4061,867,214,26,14866,332,520,56,4,0,923,526,175,34,10,3,745,42288,9090,1284,307,50,53019
LGA22250,2150,59,0,22,3,2234,1067,6,0,6,5,1083,278,67,0,0,0,347,55,32,3,0,0,83,0,4,0,0,0,6,245,24,0,0,3,270,60,3,0,4,0,70,10,0,0,0,0,10,647,124,7,9,3,785,130,0,0,4,0,136,91,8,0,15,4,119,4083,196,7,55,19,4359
LGA22310,12075,3934,2216,24,13,18266,10201,4411,3962,39,8,18615,3603,3902,8258,101,22,15886,55,162,212,0,0,432,28,60,161,0,0,255,902,842,970,29,3,2750,63,46,79,0,0,183,21,26,35,0,0,84,4672,5037,9716,138,29,19594,318,240,305,3,6,874,261,156,198,5,0,627,27526,13778,16397,208,56,57971
LGA22410,3629,98,17,36,7,3792,2435,36,3,8,3,2483,530,140,43,7,0,724,155,79,4,0,0,241,21,7,3,0,0,32,423,38,4,3,0,472,64,12,7,20,0,99,9,5,0,0,0,15,1200,286,62,29,4,1582,182,3,7,3,0,189,128,14,0,6,0,152,7578,435,87,74,16,8190
LGA22490,3020,26,0,4,5,3057,4375,27,5,3,0,4409,280,35,5,0,0,316,0,0,0,0,0,0,7,0,0,0,0,7,204,7,0,0,0,215,54,0,0,0,0,52,0,0,0,0,0,0,544,43,5,3,0,593,128,0,0,0,0,126,104,0,0,0,0,102,8169,95,7,14,4,8287
LGA22620,15385,603,56,89,33,16172,16217,380,47,18,27,16683,6388,1399,163,18,10,7978,873,405,81,0,0,1365,225,117,24,0,0,364,2213,233,38,12,14,2508,184,21,8,15,6,232,53,11,3,0,0,66,9941,2189,312,41,34,12514,529,50,5,5,0,589,549,70,15,10,4,643,42612,3291,436,162,95,46599
LGA22670,13448,1353,657,36,4,15503,12620,2469,1044,7,7,16145,6129,3539,2479,13,23,12187,789,575,317,0,0,1682,91,92,98,0,4,283,1948,557,288,11,11,2810,589,176,82,129,7,978,71,32,25,3,0,131,9618,4971,3286,158,42,18071,523,171,194,6,0,895,709,194,149,10,3,1063,36911,9162,5323,215,61,51670
LGA22750,32200,2469,456,224,23,35370,33754,1708,348,23,29,35858,15137,3836,1283,43,33,20334,1583,880,114,0,0,2577,337,347,76,5,9,774,3561,711,169,24,17,4480,348,113,26,169,8,660,108,51,9,4,0,169,21072,5939,1676,239,70,28994,1214,521,30,57,3,1828,1168,230,50,12,4,1462,89397,10866,2558,556,132,103508
LGA22830,7861,411,9,233,6,8516,8074,157,3,19,13,8264,2856,1002,16,10,5,3896,606,226,10,4,0,843,119,64,25,14,0,224,1265,145,3,26,3,1441,262,59,0,88,4,412,58,24,0,5,0,84,5165,1515,53,146,18,6899,379,83,0,94,0,552,427,83,0,42,5,557,21909,2241,66,528,44,24795
LGA22910,3168,47,21,38,6,3276,2262,21,4,7,5,2299,383,33,20,8,0,441,29,24,35,0,0,88,7,22,4,0,0,34,354,14,3,10,4,389,30,0,0,9,0,42,4,3,0,0,0,6,814,99,57,32,4,1004,122,9,12,0,0,158,95,5,9,0,0,110,6470,177,100,80,20,6846
LGA22980,1194,22,5,10,8,1235,617,0,0,0,0,623,147,35,13,0,0,193,18,7,0,0,0,23,0,0,7,0,0,10,126,3,0,0,0,136,31,6,0,0,0,35,3,0,5,0,0,4,316,49,25,4,0,393,85,0,0,0,0,87,31,3,0,0,0,34,2241,74,30,14,7,2367
LGA23110,9547,1904,346,5,9,11808,8509,2840,480,13,8,11849,4017,2548,980,37,12,7592,234,293,253,0,0,781,60,65,67,0,0,193,899,321,122,10,3,1358,115,45,12,0,5,184,38,14,8,0,0,59,5364,3289,1444,48,20,10164,251,109,35,3,0,396,304,96,41,0,4,443,23967,8236,2350,69,43,34663
LGA23190,3097,71,50,14,0,3237,2598,17,13,0,3,2625,973,125,181,5,0,1284,178,65,45,0,0,288,12,5,18,0,0,36,323,19,28,0,0,368,30,4,12,5,0,52,6,4,5,0,0,14,1527,220,288,6,0,2036,130,29,11,0,0,171,119,15,13,0,0,146,7469,351,371,21,8,8216
LGA23270,17133,973,401,9,7,18528,33348,2101,457,0,16,35925,9758,2605,808,0,14,13189,1045,295,226,0,3,1561,126,45,68,0,0,241,2478,371,158,11,6,3027,674,106,36,93,6,909,112,21,5,5,5,140,14185,3443,1300,107,36,19067,691,146,32,0,0,874,1131,157,45,7,6,1343,66487,6828,2242,123,67,75740
LGA23350,2772,64,3,33,6,2879,2410,35,7,13,10,2470,437,60,17,5,0,517,57,24,4,0,0,80,11,12,0,0,0,24,303,19,5,5,6,335,34,4,0,3,0,37,4,4,0,0,0,6,838,126,20,9,7,1001,126,4,7,3,3,143,109,8,5,5,0,131,6253,236,37,68,22,6615
