LGA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA20110,13,16,34,29,34,31,11,3,0,171,12,14,33,48,40,25,29,5,0,214,349,389,963,1187,1414,1408,525,77,7,6320
LGA20260,9,4,33,30,23,31,7,0,0,132,14,20,26,10,22,44,19,6,4,157,281,388,957,860,1006,1008,392,62,12,4973
LGA20570,76,231,458,359,336,282,87,5,3,1835,97,177,400,294,331,289,76,29,8,1699,3397,5312,11977,11078,10639,8330,2119,231,28,53104
LGA20660,68,174,435,437,451,341,123,15,4,2049,58,192,486,548,491,349,133,28,8,2285,2734,5309,13447,15169,13867,9943,3058,350,38,63920
LGA20740,21,48,136,123,154,119,42,0,0,643,55,50,96,101,140,130,71,15,3,670,921,1034,2693,3211,3543,3685,1217,162,16,16498
LGA20830,42,126,259,204,245,230,72,9,0,1198,62,78,223,214,213,188,67,19,4,1063,1556,2257,5603,5149,5402,4783,1533,288,30,26602
LGA20910,58,126,196,235,361,271,112,21,0,1376,81,158,318,436,600,407,185,49,10,2240,2793,4109,6539,9772,13417,9837,3408,588,40,50508
LGA21010,17,21,32,31,50,49,18,3,0,217,12,22,44,35,58,59,31,13,0,281,350,439,1037,1012,1260,1450,594,97,12,6251
LGA21110,98,254,431,334,446,398,139,25,6,2138,121,295,725,714,737,515,184,45,10,3346,4070,9132,17632,16815,19137,14222,5044,857,78,86987
LGA21180,63,332,938,784,721,493,123,12,0,3467,166,579,1602,1190,1103,814,182,15,5,5653,3357,8705,21396,17983,16373,12238,2714,196,10,82979
LGA21270,6,9,17,12,10,20,11,0,0,81,8,10,11,10,19,18,19,5,0,103,139,171,398,369,573,652,293,50,6,2654
LGA21370,46,83,152,121,151,160,42,8,0,762,52,57,120,113,157,141,56,27,9,724,1147,1384,2963,3032,3777,3651,1193,192,29,17368
LGA21450,113,227,721,537,466,305,81,11,0,2457,102,259,737,758,604,420,120,33,3,3037,3243,5316,14702,13941,11614,7697,1921,241,32,58709
LGA21610,186,670,1642,1594,1296,881,219,14,0,6505,339,993,2592,2577,1928,1451,287,45,12,10216,8280,16844,41305,44923,34518,22510,4739,397,33,173556
LGA21670,9,25,39,29,29,36,12,5,0,177,11,11,46,29,52,55,11,11,0,230,300,361,798,737,1038,1067,342,48,5,4693
LGA21750,16,40,76,72,71,52,27,0,0,342,31,19,82,60,89,69,42,20,6,424,734,794,2023,1959,2160,2031,795,122,22,10642
LGA21830,11,32,39,28,39,36,13,3,0,210,25,29,44,48,59,56,45,19,0,325,468,584,1202,1241,1616,1644,640,169,10,7583
LGA21890,50,186,737,596,525,333,81,10,0,2534,72,320,1039,782,590,354,106,25,3,3285,2408,6580,23206,19369,15798,9412,2125,170,18,79087
LGA22110,32,72,147,129,167,143,63,0,0,750,60,59,123,123,155,163,78,35,3,801,1163,1275,3189,3315,4023,4328,1577,289,34,19190
LGA22170,91,260,680,583,534,411,111,13,0,2683,102,247,716,780,717,549,153,32,8,3300,3508,5683,15133,15612,14690,10938,2692,271,16,68545
LGA22250,9,14,38,30,14,34,14,0,0,156,9,17,34,24,51,48,21,13,0,223,221,304,658,756,949,1035,377,89,11,4391
LGA22310,59,174,526,489,510,360,126,19,0,2267,97,249,862,879,684,378,162,38,12,3366,3080,6815,18674,18484,16880,11191,3921,511,65,79628
LGA22410,21,38,65,61,68,46,24,0,0,313,29,30,49,53,79,57,49,14,6,373,561,607,1402,1527,1952,1935,685,153,16,8834
LGA22490,42,39,78,126,103,66,31,6,0,494,31,38,87,103,107,94,25,3,0,490,838,857,2090,2771,3012,2084,591,83,7,12341
LGA22620,88,196,517,431,382,372,114,8,0,2101,120,186,404,401,363,353,90,42,10,1965,3604,5336,12206,11565,11248,9493,2521,296,32,56299
LGA22670,52,286,762,745,609,365,104,16,0,2929,123,581,1730,1348,1056,765,171,22,7,5795,2256,7156,19477,15894,12058,8529,2134,181,14,67704
LGA22750,193,510,1136,941,812,674,177,35,0,4480,198,463,1119,983,948,690,234,64,15,4723,7338,12699,30254,27591,25772,19949,5346,587,54,129587
LGA22830,60,132,293,237,286,216,68,13,0,1306,61,115,297,285,283,203,76,16,10,1362,1876,2596,6369,5876,6238,5262,1656,228,26,30136
LGA22910,9,13,47,53,53,43,19,0,0,244,19,19,36,40,74,77,32,13,0,307,303,325,969,1313,1782,1757,599,102,3,7159
LGA22980,6,5,12,9,8,13,3,3,0,61,6,8,23,12,15,20,12,6,0,97,120,162,487,366,467,577,158,58,11,2402
LGA23110,40,112,305,370,339,255,65,4,0,1494,56,143,468,449,390,252,81,17,9,1854,1793,3203,9716,11466,10109,7067,1518,144,12,45021
LGA23190,30,44,98,78,75,71,23,6,0,426,15,28,80,59,51,49,20,18,4,325,612,839,2023,1805,1956,1902,582,131,14,9857
LGA23270,104,401,1034,916,705,493,112,17,0,3787,212,620,1663,1411,1060,685,144,8,4,5808,4726,10597,27527,25405,18647,13083,2703,202,11,102892
LGA23350,11,25,47,36,73,45,11,6,0,257,30,26,35,45,72,60,33,15,0,311,531,447,1164,1550,2027,1864,640,131,21,8366
LGA23430,94,251,568,637,649,495,160,28,0,2880,94,257,805,822,864,601,166,41,11,3671,3778,6333,16342,19035,18886,12852,3632,399,28,81284
LGA23670,82,310,668,641,764,593,163,16,3,3233,107,289,805,962,853,706,192,28,5,3942,4084,7322,16499,18322,17536,13869,3577,310,12,81521
LGA23810,72,151,323,245,212,187,54,9,0,1254,63,116,295,234,282,207,88,21,0,1312,2093,2884,7027,6406,6434,5655,1457,168,18,32139
LGA23940,3,4,14,16,11,10,7,0,0,67,14,14,23,16,31,32,23,8,4,166,147,163,432,494,643,762,346,79,17,3085
LGA24130,54,81,158,210,219,170,50,6,0,946,48,62,145,190,240,164,64,24,9,939,1529,1648,3607,5601,6503,4699,1417,255,20,25279
LGA24210,63,151,355,428,508,400,121,19,0,2052,76,214,548,616,572,423,154,39,7,2646,2725,5358,10567,12695,13072,10262,3214,592,38,58529
LGA24250,5,16,38,33,45,29,22,0,0,181,11,5,22,36,42,35,28,5,5,192,242,228,703,922,972,1056,428,59,7,4610
LGA24330,25,101,483,349,276,171,52,0,0,1462,32,189,713,499,340,218,54,11,0,2059,1240,3847,15379,12360,8335,4816,1000,74,3,47058
LGA24410,70,214,466,498,502,398,110,18,0,2279,72,202,617,582,543,365,115,27,15,2533,2985,5039,12414,13896,12592,9342,2403,281,31,58987
LGA24600,43,304,975,468,214,192,60,9,0,2272,73,627,1688,671,320,226,73,33,0,3709,2278,13963,40117,17774,8463,5475,1932,323,22,90347
LGA24650,110,289,809,728,594,293,95,9,0,2923,168,412,1048,1177,802,407,85,8,5,4118,4265,7444,19969,22573,16611,8703,1767,109,5,81442
LGA24780,47,107,257,179,138,152,49,3,0,932,72,119,285,197,275,180,56,24,4,1223,1505,2185,5444,4878,5146,4490,1287,141,24,25101
LGA24850,40,71,232,202,188,127,39,9,0,911,51,113,269,240,218,167,54,13,6,1124,1397,2064,5340,5060,4858,3652,1009,116,9,23504
LGA24900,34,58,107,92,77,79,31,6,3,476,39,42,89,88,106,92,36,18,4,514,829,973,2316,2297,2730,2682,881,143,19,12870
LGA24970,74,276,631,575,655,470,168,33,0,2874,117,414,1283,1035,867,559,179,50,15,4508,3813,10184,22349,20670,18404,12586,3507,512,52,92075
LGA25060,36,133,477,412,408,331,105,20,4,1933,73,208,621,591,556,362,112,25,6,2559,2749,5873,15164,14558,13712,9341,2534,265,10,64208
LGA25150,36,74,177,157,161,95,31,0,0,734,49,73,140,167,184,123,51,15,3,803,1055,1495,3781,4113,4017,3028,801,117,15,18429
