LGA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA20110,48,8,117,48,28,32,15,44,0,343,0,0,0,0,0,0,0,6,0,4,15,10,9,14,8,7,4,8,3,79,21,4,26,12,13,11,17,22,12,138,839,1060,776,546,387,223,184,366,56,4431
LGA20260,25,5,59,38,17,15,4,28,0,197,0,0,0,0,0,0,0,0,0,0,8,15,4,6,7,0,5,7,0,38,10,10,6,16,13,12,14,37,22,132,622,645,376,545,275,116,121,343,65,3109
LGA20570,240,47,662,357,245,211,84,230,14,2089,0,6,3,4,4,3,0,11,0,28,91,120,70,76,86,38,45,41,21,596,82,72,141,92,85,65,68,109,109,828,4593,11436,5525,5204,4190,1964,1312,2008,460,36692
LGA20660,205,83,488,260,243,161,58,130,15,1632,0,0,4,4,3,4,0,8,0,30,171,261,82,115,138,39,28,38,22,888,108,135,141,74,97,56,40,60,156,878,8148,19924,5710,4561,5722,2187,1029,1558,676,49510
LGA20740,122,17,258,106,61,95,33,102,8,801,0,0,0,0,0,0,0,3,0,6,28,35,15,37,13,8,7,15,7,168,60,19,85,38,35,49,28,63,43,427,1714,2800,1980,1530,1092,715,374,811,195,11214
LGA20830,114,30,299,167,114,102,54,121,10,1016,0,0,0,6,3,5,0,0,0,14,38,37,31,46,32,12,23,32,9,267,87,34,81,53,49,30,51,83,79,542,2565,4369,3251,2522,1866,870,871,1421,266,17999
LGA20910,215,71,272,129,143,125,18,49,20,1036,0,4,4,5,4,0,0,0,0,16,213,250,50,66,115,47,12,27,28,803,132,112,51,31,48,62,3,22,142,609,10388,15849,2641,2381,4209,2204,354,686,660,39378
LGA21010,36,3,82,48,24,15,9,31,3,249,0,0,0,0,0,0,0,3,0,0,12,14,10,9,14,6,5,10,0,72,26,9,32,14,16,11,15,32,23,175,668,912,710,616,399,194,181,342,77,4104
LGA21110,293,79,457,221,205,158,29,86,20,1553,8,9,5,4,8,7,0,10,0,53,311,433,59,106,204,104,24,32,38,1309,149,189,58,47,113,88,8,40,211,903,15064,33214,3832,4089,7627,3696,686,1387,1123,70726
LGA21180,265,86,896,556,389,305,304,435,53,3282,3,0,5,12,5,5,12,17,0,65,90,146,113,109,148,43,130,93,34,919,115,120,247,205,176,102,206,236,414,1817,5231,12930,7676,6578,7111,3058,3995,3993,1234,51805
