LGA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA20110,19,0,0,0,23,0,0,23,379,78,10,6,481,0,0,0,486,33,0,520,710,160,25,7,900,9,0,9,907,36,0,946,71,17,15,0,106,0,0,0,106,4,0,107,0,0,3,19,30,0,0,0,31,0,0,35,1166,262,56,31,1512,8,0,15,1529,79,0,1603,16,3,0,0,14,0,4,4,17,0,0,17,4,0,0,4,5,0,4,4,12,0,0,12,13,3,0,3,18,0,6,6,22,0,0,22,1182,262,56,36,1536,8,14,23,1557,79,0,1632,158,55,15,5,231,0,0,0,231,37,0,266,5,0,0,0,5,0,0,0,5,4,11,22,1346,319,68,39,1770,8,14,23,1790,115,11,1916
LGA20260,9,0,0,0,8,0,0,10,357,45,8,0,408,3,0,3,415,18,3,434,474,72,25,8,577,11,0,11,583,29,4,621,71,18,14,0,97,0,0,0,100,4,0,102,7,0,0,9,13,0,0,0,13,4,0,16,911,131,47,13,1098,10,0,10,1112,52,6,1166,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,6,0,0,0,6,0,0,4,3,0,0,0,5,0,0,0,5,6,0,6,914,132,47,17,1105,10,0,10,1113,56,6,1179,178,64,12,0,253,0,0,0,253,58,0,310,0,0,0,0,0,0,0,0,0,3,7,12,1090,198,57,17,1356,10,0,10,1367,111,12,1493
LGA20570,241,0,4,4,245,24,0,270,3942,536,71,14,4561,50,20,70,4632,250,0,4890,6877,892,127,37,7926,54,40,99,8026,246,8,8281,841,98,89,16,1041,12,0,7,1052,31,4,1086,61,0,0,44,98,0,0,0,98,9,14,122,11721,1524,286,108,13635,113,62,173,13813,537,29,14374,66,5,0,5,80,15,5,16,100,9,0,109,161,28,0,5,200,10,3,21,216,5,0,226,230,34,0,6,280,31,9,35,315,12,0,334,11956,1564,286,118,13916,142,69,211,14131,550,29,14706,2345,423,81,44,2888,86,8,98,2984,472,5,3464,11,5,0,5,21,0,5,5,23,4,45,70,14306,1989,362,169,16829,227,83,309,17137,1033,82,18250
LGA20660,852,4,5,17,867,108,0,974,6145,772,140,16,7074,103,29,133,7203,346,13,7566,8865,1156,121,48,10181,98,22,120,10306,295,11,10609,1108,129,124,5,1361,20,4,23,1386,39,0,1421,68,7,0,74,150,5,0,5,157,4,7,167,16186,2063,386,139,18772,222,50,276,19047,685,32,19767,106,20,5,0,134,19,4,19,149,8,0,160,237,38,0,5,276,11,6,20,295,19,0,313,339,59,5,5,410,28,11,40,447,31,0,476,16530,2123,392,145,19184,249,64,318,19500,717,32,20243,2860,455,59,56,3435,86,22,105,3537,406,9,3950,19,4,0,19,41,0,0,0,41,0,55,92,19406,2581,450,215,22659,334,87,418,23080,1117,89,24286
LGA20740,53,0,0,0,53,0,0,49,969,185,31,0,1185,11,11,25,1215,97,0,1310,1718,426,47,28,2212,17,6,21,2239,132,3,2373,228,46,70,5,357,0,0,0,355,14,4,373,8,4,3,35,55,0,0,0,55,4,3,62,2928,666,146,68,3805,33,18,48,3856,242,12,4114,3,4,0,0,7,9,0,9,12,4,0,19,20,7,5,0,30,3,0,3,35,9,0,43,23,9,5,0,35,13,0,13,52,14,0,59,2952,676,150,68,3851,43,18,59,3906,253,12,4173,633,148,49,37,873,18,0,16,887,165,10,1061,10,3,0,0,12,0,0,0,16,0,41,54,3592,828,201,107,4728,62,20,76,4808,428,60,5295
LGA20830,162,0,0,0,162,10,0,176,1919,293,52,16,2282,12,7,24,2306,130,0,2439,3577,498,68,43,4192,30,7,39,4231,141,4,4374,501,65,48,7,623,3,0,6,626,10,7,644,38,0,0,74,107,0,3,3,112,7,4,124,6043,855,173,137,7203,52,20,74,7279,297,16,7584,34,3,0,0,33,0,0,0,34,5,0,41,97,8,3,0,111,3,0,7,118,7,0,123,127,12,3,0,148,5,0,4,151,5,0,162,6169,867,175,140,7350,55,23,80,7432,300,16,7749,1491,228,50,37,1808,34,11,44,1849,179,7,2034,12,0,0,8,18,0,0,0,18,4,30,53,7670,1094,232,184,9178,90,34,125,9299,481,48,9830
LGA20910,1000,12,8,21,1016,106,6,1123,6477,656,85,21,7242,125,13,137,7379,359,7,7750,6974,835,108,35,7954,100,12,116,8073,182,9,8266,747,85,84,3,925,0,0,0,931,28,5,957,92,3,0,67,166,0,0,0,166,12,13,192,14302,1584,278,130,16293,227,28,254,16546,587,29,17160,103,8,0,3,110,13,3,10,130,4,0,131,234,11,0,0,250,8,5,14,260,16,0,272,339,23,0,3,359,18,3,24,390,20,0,408,14635,1605,278,132,16654,247,30,277,16933,604,29,17568,2944,313,50,39,3349,52,13,68,3411,377,8,3795,31,8,0,22,56,0,0,0,56,0,33,94,17608,1926,328,191,20054,301,43,343,20396,980,73,21450
LGA21010,15,0,0,0,15,0,0,15,369,38,8,7,426,3,0,3,433,16,0,446,569,96,13,3,683,3,0,9,691,22,0,710,68,4,25,0,97,0,0,0,97,3,0,100,5,0,0,15,20,0,0,0,20,0,0,20,1012,139,51,25,1225,12,0,8,1239,39,0,1279,3,0,0,0,5,0,0,0,10,0,0,10,3,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,15,0,0,0,10,0,0,10,1022,143,51,28,1238,11,0,12,1247,39,0,1293,205,47,6,20,283,0,0,0,283,47,0,332,0,0,0,0,0,0,0,0,0,0,22,22,1226,194,56,46,1521,11,0,12,1532,87,26,1647
LGA21110,1801,37,13,49,1850,270,3,2122,10399,1034,147,43,11624,210,45,259,11883,587,16,12488,10304,1563,111,55,12030,110,27,134,12172,421,12,12598,996,117,116,0,1238,10,4,17,1255,41,0,1293,66,16,0,116,197,4,0,4,202,11,19,234,21768,2733,381,212,25095,332,81,415,25510,1056,50,26616,208,26,6,0,240,26,0,26,269,13,0,279,315,45,0,7,369,20,13,34,405,25,0,427,525,66,9,5,608,49,13,62,672,35,0,702,22295,2799,391,220,25704,379,95,480,26181,1089,50,27320,4322,690,91,64,5171,98,37,136,5309,964,13,6291,37,6,0,39,86,4,0,4,83,6,40,132,26655,3501,482,326,30958,482,138,617,31574,2058,110,33741
LGA21180,1197,39,13,56,1257,313,6,1577,6184,899,128,57,7270,140,36,179,7445,654,6,8107,6718,1573,187,66,8555,167,49,215,8769,808,20,9600,985,157,139,11,1292,12,6,22,1316,63,0,1377,83,14,5,168,276,6,11,14,294,32,48,370,13982,2644,460,309,17393,331,102,433,17821,1551,78,19455,282,96,3,7,392,114,10,126,518,58,0,579,343,129,18,5,499,89,46,138,634,97,0,736,624,220,22,13,887,206,58,268,1157,157,4,1317,14607,2859,488,326,18281,538,160,696,18980,1710,83,20768,6093,2009,293,276,8680,353,98,447,9129,2576,89,11793,68,17,0,82,160,0,0,0,166,29,160,357,20774,4891,781,684,27124,888,254,1148,28269,4314,331,32919
