LGA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA24210,11,17,63,78,135,347,1044,1889,1282,4861,5,18,82,78,88,190,231,339,254,1285,154,195,462,529,513,475,586,689,504,4105,2409,7321,13378,16050,16697,15894,13037,10144,4558,99492
LGA24250,11,5,18,3,12,34,71,100,51,304,0,0,8,0,9,8,3,0,4,30,34,32,70,108,103,155,148,79,33,761,192,304,869,1127,1229,1703,1645,762,239,8067
LGA24330,27,20,103,134,229,463,726,801,468,2969,4,24,84,124,175,322,302,237,165,1435,157,344,1228,777,526,474,422,317,297,4540,1341,5566,19246,15245,10919,8209,5241,2668,1345,69790
LGA24410,24,54,225,258,235,297,533,816,609,3054,5,24,155,139,125,156,136,75,51,873,142,170,519,544,464,433,453,526,475,3738,2164,6435,15026,16861,15360,13605,10754,6575,2880,89663
LGA24600,9,42,168,117,132,191,244,238,193,1344,5,75,340,158,122,125,95,80,41,1035,440,1765,4020,1877,981,777,605,372,225,11056,4703,25146,52918,23151,11729,9226,6581,3135,1188,137774
LGA24650,73,96,400,491,576,906,1608,1057,317,5531,9,40,200,286,340,362,356,245,73,1912,604,680,1882,1658,1199,855,694,463,184,8217,4533,11085,28295,30496,22457,15084,10735,4315,1152,128158
LGA24780,44,41,156,168,230,409,738,848,520,3163,4,37,108,97,95,106,77,84,42,651,263,245,670,624,615,651,634,497,296,4502,1448,3171,7615,6710,7073,7370,6132,3506,1525,44540
LGA24850,22,23,72,102,127,255,447,434,198,1674,6,8,25,25,29,27,41,23,8,199,213,167,412,404,382,416,315,244,122,2675,1279,2888,7015,6539,6356,5922,4485,2189,730,37394
LGA24900,21,17,45,68,96,181,425,522,332,1703,0,4,17,16,14,28,24,26,9,124,118,99,273,251,283,314,421,352,179,2292,689,1300,3050,3036,3659,4405,4579,2735,1052,24503
LGA24970,22,40,118,151,287,532,1490,2362,1507,6509,12,48,164,158,160,280,439,488,308,2067,312,862,1725,1060,824,738,730,951,941,8140,4392,16166,29227,25871,23715,19905,16234,12257,6198,153980
