LGA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA20110,1116,90,40,3,0,0,8,1261
LGA20260,853,79,46,8,0,0,6,1001
LGA20570,10113,913,536,108,16,13,55,11742
LGA20660,15346,741,283,58,3,0,22,16457
LGA20740,3085,281,146,17,5,0,29,3565
LGA20830,5407,542,348,59,10,4,39,6408
LGA20910,12835,686,230,45,0,0,12,13810
LGA21010,990,113,59,16,0,0,9,1197
LGA21110,20864,822,276,84,10,0,29,22080
LGA21180,21497,1276,644,389,31,20,90,23938
LGA21270,496,26,22,0,0,0,5,554
LGA21370,3188,310,198,37,8,0,27,3775
LGA21450,14031,1135,688,119,20,6,69,16071
LGA21610,48827,3114,1713,655,57,37,147,54550
LGA21670,851,103,70,6,4,0,17,1050
LGA21750,1896,148,73,15,0,0,22,2151
LGA21830,1385,98,81,9,0,0,7,1574
LGA21890,15157,703,258,86,6,0,32,16246
LGA22110,3465,361,201,41,4,3,36,4111
LGA22170,13875,1420,732,121,26,9,56,16241
LGA22250,810,81,43,9,4,0,8,947
LGA22310,17943,791,252,49,9,0,21,19064
LGA22410,1579,160,85,10,4,0,14,1852
LGA22490,3094,236,157,35,7,0,15,3541
LGA22620,11001,1028,586,107,14,10,74,12826
LGA22670,17207,1000,457,342,30,27,72,19135
LGA22750,26149,2177,1045,192,23,14,109,29719
LGA22830,6292,534,307,74,11,7,45,7258
LGA22910,1239,107,71,4,4,0,8,1434
LGA22980,464,34,20,10,0,0,0,525
LGA23110,10664,611,256,56,5,3,26,11623
LGA23190,1817,173,115,13,0,3,12,2139
LGA23270,32247,1594,813,343,30,15,85,35130
LGA23350,1653,138,77,10,0,0,9,1886
LGA23430,18907,1146,437,112,6,3,35,20643
LGA23670,19978,1283,535,151,13,4,50,22010
LGA23810,6125,753,445,59,7,7,70,7471
LGA23940,587,48,24,5,0,0,10,671
LGA24130,6137,381,195,34,4,4,17,6774
LGA24210,16372,720,247,106,12,5,36,17484
LGA24250,789,72,27,4,3,0,7,896
LGA24330,8334,453,140,65,9,5,31,9039
LGA24410,13798,862,362,91,10,0,35,15161
LGA24600,6142,348,73,20,4,4,11,6608
LGA24650,23330,1505,882,320,34,16,99,26188
LGA24780,4777,465,293,64,12,5,55,5667
LGA24850,5293,488,300,53,12,8,35,6184
LGA24900,2337,223,157,36,4,0,23,2783
LGA24970,23108,936,307,174,9,3,37,24572
LGA25060,14073,665,226,74,3,5,29,15068
LGA25150,4048,363,220,35,9,0,22,4703
LGA25250,17334,715,265,102,4,4,30,18455
LGA25340,15922,1426,642,79,15,7,79,18170
LGA25430,1596,128,57,8,0,0,4,1798
LGA25490,1695,118,91,22,8,0,24,1950
LGA25620,1197,135,63,8,0,0,7,1414
LGA25710,8874,562,224,43,0,0,21,9717
LGA25810,907,70,51,12,0,3,6,1042
LGA25900,7039,524,140,24,4,0,7,7752
LGA25990,539,46,32,3,0,0,11,641
LGA26080,232,15,6,0,0,0,0,249
LGA26170,2605,238,137,17,6,4,19,3026
LGA26260,1448,95,56,8,0,0,17,1631
LGA26350,8615,421,110,23,0,0,10,9180
LGA26430,814,89,41,6,4,0,0,958
LGA26490,4285,290,108,13,0,0,7,4700
LGA26610,1805,150,89,22,7,0,14,2086
LGA26670,501,37,21,4,0,0,3,567
LGA26700,2579,217,144,18,10,3,32,3002
LGA26730,3188,294,135,18,6,0,17,3654
LGA26810,3726,364,210,33,6,0,27,4370
LGA26890,327,16,15,0,0,0,4,359
LGA26980,20317,873,288,103,10,0,38,21628
LGA27070,30006,1603,833,334,20,10,81,32887
LGA27170,3863,408,261,51,5,5,29,4628
LGA27260,40246,2132,1148,547,57,17,131,44282
LGA27350,5765,354,95,23,3,0,13,6254
LGA27450,18023,1545,763,151,16,8,70,20583
LGA27630,469,28,27,0,0,0,4,537
LGA29399,23,0,0,0,0,0,0,24
LGA29499,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0
