LGA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA20110,2026,1182,1194,1459,1760,2151,1982,1080,396,13235
LGA20260,1804,1121,1438,1312,1520,1745,1644,915,371,11880
LGA20570,21321,14126,15533,14072,13845,13314,11927,6743,2877,113763
LGA20660,22430,13841,16254,18164,16921,14862,12694,7678,3400,126236
LGA20740,6166,3273,3585,4242,4815,6672,7185,3641,1218,40789
LGA20830,10964,6098,7130,6567,6921,7577,7078,3940,1359,57626
LGA20910,17682,12177,7912,11814,16260,14041,11081,6937,3422,101306
LGA21010,2071,1347,1389,1350,1725,2350,2342,1392,566,14528
LGA21110,26933,24255,21044,20408,23812,20747,15917,9829,4961,167900
LGA21180,33764,24536,30553,26419,24555,23114,18308,9714,3664,194618
LGA21270,930,568,550,490,805,1051,945,547,286,6178
LGA21370,6613,4085,3902,3885,4918,5716,5143,3201,1273,38735
LGA21450,26774,14348,18597,17514,14459,11663,8701,4640,1494,118194
LGA21610,83045,47470,55683,58004,45253,36204,23658,11711,4207,365239
LGA21670,1967,1238,1185,1108,1678,2111,2260,1433,501,13483
LGA21750,3734,2237,2573,2463,2814,3223,3071,1651,651,22423
LGA21830,2681,1679,1571,1591,2065,2536,2154,1322,517,16115
LGA21890,22358,16148,28587,23888,20391,15323,10566,7356,3949,148570
LGA22110,7290,4125,4378,4496,5618,7752,8664,4873,1516,48715
LGA22170,25833,15585,19076,19695,18983,16928,12919,7236,3017,139281
LGA22250,1677,932,884,1013,1293,1670,1744,1068,409,10683
LGA22310,26069,17799,22436,21899,20378,16099,13025,7220,3979,148908
LGA22410,3092,1949,1865,2050,2667,3330,3059,1545,594,20152
LGA22490,5507,2813,2547,3348,3693,3234,2568,1007,258,24985
LGA22620,22735,14265,15687,14674,14673,15299,13545,7499,3097,121470
LGA22670,27409,19987,27782,23041,18472,16646,13369,8102,3400,158208
LGA22750,47777,32292,38200,34409,32985,32161,29684,16706,6844,271057
LGA22830,13223,7966,8899,8176,8527,8503,7214,4255,1649,68409
LGA22910,2354,1192,1297,1748,2432,2927,2881,1311,467,16604
LGA22980,850,520,610,533,664,918,784,537,282,5698
LGA23110,16938,9032,12426,14248,12897,11063,8051,4548,2115,91322
LGA23190,3742,2346,2557,2267,2421,2759,2266,1425,656,20429
LGA23270,54750,31810,40097,37187,28715,24719,16262,7891,2473,243901
LGA23350,3039,1572,1463,1945,2453,2796,2468,1232,394,17368
LGA23430,27206,16935,19848,22756,22848,19205,15387,9541,4401,158129
LGA23670,27114,18981,20219,22280,21548,20530,15998,8898,3540,159103
LGA23810,13697,8639,9809,8868,9314,10657,9321,5066,1947,77318
LGA23940,1155,655,618,694,988,1388,1299,651,308,7759
LGA24130,10228,5410,4469,6672,7838,7007,5937,2999,893,51458
LGA24210,20146,14700,13388,16055,16718,15921,13063,10148,4558,124700
LGA24250,1747,868,870,1127,1229,1703,1645,762,239,10178
LGA24330,13259,9001,19257,15258,10931,8225,5253,2669,1348,85209
LGA24410,21021,12920,15033,16863,15364,13610,10760,6580,2883,115043
LGA24600,10100,31487,52962,23170,11740,9236,6589,3141,1188,149615
LGA24650,43589,22684,28329,30533,22490,15104,10748,4321,1154,178960
LGA24780,10544,6455,7619,6720,7076,7383,6137,3505,1526,56972
LGA24850,10327,5890,7015,6535,6369,5923,4491,2186,730,49460
LGA24900,5053,2947,3055,3039,3661,4402,4581,2735,1050,30522
LGA24970,29584,27264,29254,25886,23735,19929,16273,12266,6204,190397
LGA25060,19574,14211,18488,17538,16887,14095,10867,6913,3274,121851
LGA25150,7585,4071,4763,5124,5068,4642,3898,1861,628,37632
LGA25250,26507,19639,37163,28624,20756,15806,10596,7581,4682,171357
LGA25340,27514,17256,14555,17834,22616,23203,24115,15833,6029,168948
LGA25430,2853,1550,1730,2258,2808,3292,3353,1755,644,20253
LGA25490,3298,1770,1729,1879,2273,2606,2377,1062,381,17374
LGA25620,2202,1375,1291,1579,2145,2650,2410,1204,346,15197
LGA25710,11669,8400,5573,7660,9874,9297,6646,2909,880,62895
LGA25810,1800,1120,1348,1117,1458,1891,1804,1022,384,11948
LGA25900,11625,8838,23118,18287,14681,11604,8050,4268,1468,101942
LGA25990,1125,683,645,778,1123,1228,1302,602,195,7671
LGA26080,310,217,153,226,311,574,798,512,175,3276
LGA26170,5135,2815,2628,3123,3917,4840,4817,2454,857,30577
LGA26260,2819,1721,1660,1700,2006,2398,2342,1349,585,16588
LGA26350,12012,12798,23743,15042,12626,10682,8975,6073,2749,104703
LGA26430,1625,925,911,1137,1337,1947,2090,1068,433,11455
LGA26490,7430,3651,3662,5371,5178,4936,4628,2099,738,37694
LGA26610,4004,2293,3074,2672,2335,2852,2250,1321,597,21403
LGA26670,965,491,484,625,772,1116,1031,533,217,6223
LGA26700,5205,3069,3051,3303,3859,4135,3858,2379,952,29808
LGA26730,6179,3945,4509,4233,4444,4592,4080,2362,1065,35406
