LGA_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
LGA21270,0,0,0,0,0,0,0,0,0,0,136,291,301,427,343,454,422,219,78,2670,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,20,5,3,51,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21370,0,0,0,0,0,0,0,0,0,0,908,2162,1952,3084,2025,2410,2095,1220,390,16249,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,15,6,8,0,0,0,26,0,0,0,0,0,0,3,3,0,6,0,4,0,0,0,0,0,0,4,13,3,0,4,20,30,68,77,82,24,306,0,0,0,3,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,11,0,4,0,3,3,6,13,13,4,38,0,0,0,0,0,0,3,7,0,14,0,0,0,0,0,0,0,0,0,5,0,3,3,50,7,0,0,0,0,69,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
LGA21450,0,7,21,114,28,15,3,5,0,190,4400,7875,5846,11087,4667,3713,2524,1205,320,41639,0,5,11,64,14,5,8,0,0,108,0,0,0,22,9,3,4,0,0,39,0,3,6,11,6,0,0,0,0,28,0,0,3,22,16,6,0,5,0,54,0,6,6,20,12,11,3,0,0,61,0,0,3,23,13,15,20,3,0,82,0,20,20,145,37,34,25,12,4,291,0,0,0,17,7,30,12,22,0,92,3,18,25,41,26,16,5,9,0,145,4,55,145,306,351,443,384,286,82,2047,0,3,7,64,21,9,3,0,0,110,0,0,0,5,5,5,4,0,0,25,0,3,4,29,19,34,53,51,12,198,0,0,6,9,8,7,14,9,3,59,0,8,6,11,3,10,0,0,0,36,21,146,200,1922,218,74,76,32,0,2694,0,3,4,33,5,0,0,4,0,60,0,8,6,25,15,8,0,0,0,55
LGA21610,41,586,1363,4051,1176,538,190,57,8,8014,13347,22573,15218,22569,9598,7464,4387,1986,599,97744,0,17,30,207,70,28,16,0,0,378,0,7,22,233,110,138,67,29,0,610,0,0,0,24,11,4,4,0,0,47,0,47,80,380,196,148,104,27,5,982,0,20,15,39,28,9,10,5,0,123,0,7,8,94,132,112,89,51,5,498,13,119,168,1044,430,401,257,79,22,2526,0,0,4,138,79,156,148,92,23,641,6,38,94,182,77,114,86,48,16,656,5,151,226,577,669,945,682,565,149,3971,0,25,64,385,225,214,97,31,3,1050,0,5,9,32,23,14,8,7,3,99,0,6,15,65,53,66,115,101,31,463,0,7,33,59,60,100,108,92,29,489,3,19,22,123,41,45,33,7,0,284,76,958,1650,9872,2221,1064,644,211,41,16733,0,26,34,185,86,39,34,13,0,421,4,132,255,405,78,57,24,4,3,957
LGA21670,0,0,0,0,0,0,0,0,0,0,251,673,583,938,691,809,861,516,157,5477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,11,20,39,70,66,11,220,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,5,0,18,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,4,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21750,0,3,0,17,0,0,0,0,0,16,542,1228,1067,1933,1123,1339,1197,620,173,9224,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,16,10,56,6,4,4,0,0,95,0,0,0,0,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,4,22,26,49,81,46,9,243,0,0,0,4,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,7,0,0,0,0,3,0,13,9,3,24,0,0,0,4,0,5,7,3,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,36,7,0,0,0,0,45,0,0,0,8,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0
LGA21830,0,0,0,0,0,0,0,0,0,0,370,913,804,1299,852,1052,914,491,169,6863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,14,28,42,27,3,136,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,11,7,0,19,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,0,0,19,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA21890,0,0,3,20,6,5,0,0,0,40,3794,6572,6246,15776,6788,4264,2088,737,303,46556,0,8,17,96,6,7,0,0,0,142,0,0,0,29,9,16,16,12,0,76,0,3,8,78,4,3,0,0,0,93,0,3,9,8,14,5,11,0,3,49,4,7,4,91,39,12,7,0,0,163,0,4,0,43,21,14,11,5,0,96,7,33,246,733,224,293,189,54,32,1821,0,0,0,8,13,37,34,45,16,154,0,7,7,41,10,24,44,32,3,162,18,66,71,724,379,301,149,85,25,1810,0,4,0,30,22,22,12,9,3,91,0,0,3,90,36,16,11,4,0,164,3,14,9,78,39,39,24,21,5,227,0,4,24,78,96,294,422,680,307,1907,0,3,31,80,15,12,18,0,0,161,18,89,309,1536,142,58,45,25,8,2235,0,7,9,67,16,10,4,9,0,125,0,7,15,186,31,7,6,0,0,246
LGA22110,0,0,0,0,0,0,0,0,0,0,1050,2315,1914,3392,2125,2959,3273,1670,422,19119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,9,4,5,0,36,0,0,0,0,3,0,0,0,0,5,0,4,0,18,3,4,7,0,0,36,0,0,0,0,0,0,6,4,0,7,0,0,0,8,0,3,7,0,0,19,0,11,12,52,71,175,277,246,60,897,0,0,0,3,0,4,0,0,0,18,0,4,5,7,3,0,0,0,0,13,0,0,0,4,7,22,58,48,11,137,0,0,0,0,0,3,15,3,0,24,0,0,4,4,0,0,0,0,0,11,0,0,9,69,4,3,9,8,0,107,0,0,0,3,3,0,3,0,0,9,0,0,0,3,0,0,0,0,0,7
LGA22170,0,0,0,30,10,17,4,4,0,73,4133,7964,6702,14227,6443,5218,3593,1688,525,50489,0,0,4,14,5,0,4,0,0,27,0,0,0,26,19,40,22,6,0,114,0,4,0,24,4,0,0,0,0,32,0,7,11,14,12,3,8,0,0,52,0,0,8,49,23,19,9,6,0,114,0,0,4,10,34,16,13,12,4,90,3,32,55,145,78,68,49,16,0,448,0,0,4,20,15,28,30,26,3,130,0,0,8,12,3,11,14,20,0,65,9,89,169,538,570,841,690,492,192,3591,0,0,11,37,30,24,10,4,0,122,4,4,5,24,12,14,8,9,0,81,0,0,13,44,35,64,86,81,30,356,0,5,7,29,22,46,48,62,25,247,0,0,29,22,8,6,9,3,0,81,5,33,78,416,130,99,59,32,10,865,0,4,6,29,8,8,13,3,0,64,0,0,5,44,11,4,5,0,0,79
