LGA_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
LGA22250,0,0,0,0,0,0,0,0,0,0,218,543,437,790,552,692,746,442,147,4562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,3,21,26,18,4,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA22310,0,0,0,12,0,0,0,0,0,19,3698,7741,6750,10940,5807,4491,2908,1125,499,43958,0,0,8,49,6,4,0,0,0,65,0,0,0,27,4,5,6,4,0,46,4,9,12,82,17,5,0,0,0,126,0,0,6,10,6,7,0,0,3,38,0,18,9,56,45,24,16,8,0,178,0,6,0,31,28,11,4,7,0,96,14,184,404,1286,333,355,210,68,26,2882,0,0,0,16,10,14,20,29,3,96,0,4,8,25,5,17,37,29,11,139,21,130,117,596,427,357,296,182,53,2170,0,0,5,21,14,10,6,0,0,60,0,37,35,136,58,26,35,20,10,361,0,6,15,51,49,30,127,58,29,360,0,5,16,43,59,124,179,318,165,907,5,38,46,115,33,33,32,11,5,320,49,259,351,2303,302,154,97,58,15,3590,0,11,24,120,27,11,14,9,0,218,0,3,0,89,21,12,4,0,0,132
LGA22410,0,0,0,0,0,0,0,0,0,0,440,1001,941,1604,1098,1360,1233,563,162,8415,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,12,16,54,81,61,5,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,0,22,0,0,0,3,0,6,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,23,6,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA22490,0,0,0,0,0,0,0,0,0,0,768,1956,1390,2585,1576,1272,987,355,62,10945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,7,4,0,23,0,0,0,0,0,0,0,0,0,0,0,11,20,32,68,111,114,51,16,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,6,6,24,15,4,58,0,0,0,0,3,0,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LGA22620,0,6,5,29,3,0,0,0,0,47,3411,7318,6204,11852,5857,6016,5346,2798,976,49778,0,3,4,22,3,3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,6,0,14,6,0,0,0,0,26,0,0,0,0,0,0,0,0,0,5,0,3,3,13,8,3,7,3,0,47,0,0,0,0,0,0,0,0,0,3,0,6,14,69,20,14,4,4,0,145,0,0,0,0,0,7,6,7,0,24,4,3,8,15,7,3,6,7,0,50,0,18,34,108,158,231,257,173,42,1025,0,0,4,7,6,3,0,0,0,26,0,0,5,9,4,5,10,3,0,32,0,0,3,14,11,14,39,34,6,120,0,0,0,0,3,13,3,7,3,32,0,3,3,9,3,0,0,0,0,30,0,57,74,438,61,21,19,6,0,678,0,0,4,3,7,3,3,4,0,18,0,8,3,10,3,0,0,0,0,26
LGA22670,15,178,396,1732,423,144,67,9,5,2971,4422,6846,5390,6749,2321,1797,1471,846,270,30121,0,26,21,164,44,22,12,0,0,290,0,4,19,213,116,177,112,62,12,713,0,4,0,13,0,0,0,0,0,16,8,117,483,1477,745,604,408,145,29,4020,4,4,11,21,4,9,3,0,0,46,0,0,10,43,46,42,58,51,12,257,7,82,171,860,286,349,265,121,76,2216,0,0,0,64,42,78,86,67,24,362,0,11,23,26,12,26,42,28,7,169,4,8,30,92,76,142,163,166,63,753,0,0,13,87,57,64,32,12,3,269,0,0,0,15,7,9,4,6,3,50,0,5,8,26,10,20,38,55,26,194,0,12,21,46,75,115,192,283,83,830,3,6,7,124,22,27,21,5,0,226,52,223,1096,3737,659,354,255,136,49,6562,6,17,33,221,79,34,43,10,0,446,0,37,87,199,37,17,10,4,0,396
LGA22750,0,35,72,186,45,19,4,0,0,355,7594,14771,13568,26458,12351,11307,9672,4682,1540,101940,0,0,11,62,12,9,0,0,0,90,0,0,7,77,17,61,36,21,5,230,0,0,8,36,8,0,3,0,0,50,0,0,4,3,4,4,4,0,0,21,4,14,19,65,36,25,17,5,4,180,0,0,0,16,5,0,0,4,0,30,0,56,112,347,75,66,68,27,4,753,0,3,4,62,59,141,142,163,70,647,5,16,12,39,10,14,19,22,3,131,20,149,192,627,603,885,885,680,228,4258,0,3,8,37,21,6,11,0,0,84,5,8,9,48,19,22,11,6,4,114,3,11,15,45,59,43,205,154,64,590,0,0,7,8,23,33,76,81,36,264,0,21,27,31,5,6,18,0,0,114,22,111,484,2178,139,52,46,24,10,3063,3,12,15,55,18,7,11,0,0,115,3,27,47,122,39,28,10,6,5,282
LGA22830,0,35,67,177,83,51,17,0,0,431,1987,3993,3260,5380,3200,3157,2603,1400,422,25416,0,3,0,15,0,4,0,0,0,24,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,0,0,0,8,0,3,4,3,6,3,8,3,0,29,0,0,0,4,0,0,0,0,0,4,0,0,3,46,11,13,10,3,0,94,0,0,0,4,0,7,9,10,0,20,0,5,6,8,3,0,0,0,0,22,0,14,24,64,50,97,106,86,12,462,0,0,3,15,10,8,0,0,0,43,0,0,0,10,0,0,0,0,0,20,0,0,3,9,10,12,18,17,0,60,0,5,4,4,0,13,23,20,12,80,0,0,0,15,0,0,5,0,0,20,5,53,93,668,121,62,46,3,4,1066,0,0,4,19,3,0,0,0,0,29,0,11,24,16,4,3,3,0,0,61
LGA22910,0,0,0,0,0,0,0,0,0,0,311,789,555,1142,925,1045,1020,428,111,6333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,3,4,7,3,7,4,0,27,0,0,0,4,6,0,0,0,0,3,0,0,0,14,0,5,0,0,0,23,0,0,0,0,4,0,5,3,0,12,0,0,0,0,0,0,0,3,0,0,0,5,4,31,58,90,112,66,19,386,0,0,0,0,3,0,0,0,0,3,0,0,0,3,4,0,3,0,0,10,0,0,0,5,4,9,18,8,5,43,0,0,0,0,0,0,7,4,0,10,0,0,0,3,0,0,0,0,0,10,0,0,0,16,0,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22980,0,0,0,0,0,0,0,0,0,0,134,240,243,440,252,409,354,210,90,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,22,9,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA23110,0,0,0,8,4,0,0,0,0,12,2837,4879,3767,7847,4072,3287,1844,740,248,29514,0,0,0,33,9,4,0,0,0,43,0,0,0,20,13,14,10,9,0,68,0,8,4,54,7,3,3,0,0,79,0,0,3,15,13,16,13,5,3,63,0,4,3,25,14,11,6,5,0,66,0,0,0,25,17,8,14,3,0,72,0,15,20,151,52,65,48,24,16,389,0,0,0,17,22,46,64,63,21,237,0,3,3,14,9,19,19,9,4,84,7,73,72,417,305,308,239,122,44,1586,0,0,0,13,4,11,3,0,0,41,0,0,3,41,12,8,10,6,0,81,0,3,15,32,38,22,43,33,11,205,0,6,5,9,22,82,134,145,71,471,3,6,4,31,10,9,9,0,0,69,10,73,137,968,80,47,39,20,9,1378,6,8,10,84,14,7,10,0,0,140,0,7,4,62,23,6,4,0,0,110
LGA23190,0,0,0,0,0,0,0,0,0,0,530,1257,1087,1969,1009,1181,935,539,209,8712,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,10,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,14,14,25,28,16,0,105,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,4,0,14,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,3,7,11,55,8,6,3,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA23270,0,12,34,134,22,27,3,4,0,239,9071,14430,10842,16825,6337,5154,2872,1160,287,66983,0,20,22,139,41,21,16,3,0,263,0,0,3,54,23,39,26,12,10,166,0,0,0,19,4,0,0,0,0,26,0,3,4,15,0,5,0,0,0,29,0,14,7,20,9,11,8,0,0,74,0,0,0,13,25,24,10,13,0,85,0,16,27,154,62,88,39,29,5,419,0,0,0,25,37,69,78,96,14,322,3,33,31,130,53,94,112,53,18,526,5,65,76,231,191,340,282,177,54,1423,0,11,45,194,112,90,58,11,0,517,0,0,0,13,4,10,4,0,0,45,0,6,5,36,31,29,69,51,17,242,0,5,17,48,38,110,148,126,42,544,0,3,5,32,6,6,9,0,0,77,52,444,909,5881,742,337,278,90,24,8769,0,7,15,65,31,9,10,0,3,138,4,24,61,293,52,54,31,9,3,525
LGA23350,0,0,0,0,0,0,0,0,0,0,426,1045,711,1446,994,1117,981,489,108,7329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,16,48,70,78,46,13,274,0,0,0,6,0,0,0,3,0,11,0,0,0,0,3,0,5,0,0,8,0,0,0,0,3,8,21,13,6,44,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA23430,0,0,4,23,7,6,4,0,0,42,4146,8315,6846,12494,6900,5379,3628,1829,762,50295,0,3,3,39,13,10,14,0,0,82,0,0,4,46,15,30,9,7,0,112,0,10,11,59,12,6,4,3,0,105,0,10,26,73,110,95,79,30,8,413,0,17,7,48,35,22,17,4,0,148,0,0,0,32,35,15,17,19,3,131,5,100,193,858,222,292,186,56,29,1937,0,0,0,20,14,38,53,52,15,204,0,3,3,21,18,25,61,48,8,186,11,181,175,716,633,486,429,329,108,3066,0,0,5,43,29,37,18,6,0,134,0,4,10,51,26,21,20,0,4,128,0,7,15,62,54,44,68,82,17,350,0,20,31,84,94,220,294,450,167,1360,4,13,28,110,21,31,26,6,0,246,15,134,372,1612,332,292,188,102,29,3071,0,4,17,58,11,4,14,10,0,123,0,3,5,60,17,10,13,6,0,109
LGA23670,0,0,3,51,20,29,13,4,0,116,4094,8528,7816,12524,6226,5474,3742,1843,550,50800,0,0,5,25,8,7,4,0,0,50,0,0,0,20,9,12,4,3,0,45,0,0,0,16,0,3,0,0,0,28,0,3,3,47,68,58,52,16,6,256,0,4,6,31,23,10,3,9,0,83,0,0,0,6,18,25,15,15,0,86,17,188,283,1842,503,493,373,98,36,3821,0,0,0,16,13,26,27,31,8,126,0,12,15,53,20,64,62,50,11,282,7,53,95,309,358,602,511,400,145,2476,0,0,3,33,30,30,16,10,4,125,0,0,9,17,10,13,7,3,3,62,0,7,9,37,34,51,91,172,79,485,0,8,4,22,31,69,88,73,21,312,9,36,58,291,101,144,97,14,3,763,14,135,231,1156,456,316,190,75,29,2599,0,11,24,118,60,27,17,20,5,291,0,26,33,250,87,58,34,9,3,496
LGA23810,0,0,0,6,0,0,0,0,0,5,1992,4402,3824,7356,3669,4009,3092,1384,371,30110,0,0,0,15,0,3,0,0,0,23,0,0,0,0,0,3,5,5,0,18,0,0,0,3,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,6,0,0,0,12,9,9,7,0,0,44,0,0,0,0,7,5,5,3,0,19,0,9,6,31,12,14,7,7,4,85,0,0,0,5,0,8,13,11,0,38,0,0,0,5,0,3,4,0,6,12,0,7,8,74,80,207,299,210,66,950,0,0,0,18,7,0,3,0,0,33,0,0,0,0,0,4,0,0,0,11,0,0,0,13,7,6,99,66,22,213,0,0,0,3,0,8,10,9,5,39,0,0,0,3,0,4,0,3,0,15,10,17,35,168,25,12,12,5,3,283,0,0,0,9,0,0,4,3,0,22,0,0,0,6,0,0,0,0,0,11
LGA23940,0,0,0,0,0,0,0,0,0,0,150,361,283,523,404,572,533,238,96,3148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,28,23,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,16,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA24130,0,0,0,0,0,0,0,0,0,0,1379,3492,2562,4364,2953,2583,2049,998,242,20625,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,11,5,0,0,56,0,0,0,4,4,0,6,0,0,9,0,4,4,7,0,9,0,3,0,31,0,0,0,3,4,17,11,10,0,42,0,0,4,0,0,4,7,3,0,18,4,35,41,146,212,264,231,152,33,1118,0,0,0,5,0,0,0,0,0,7,0,0,5,10,4,6,6,0,0,32,0,0,5,8,17,17,47,43,9,134,0,0,0,0,3,6,9,10,0,29,0,5,3,5,3,3,0,0,0,19,0,4,10,44,4,14,5,8,0,90,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
LGA24210,0,0,0,8,3,3,4,0,0,14,2587,5879,5616,6279,4372,3631,2126,1870,721,33089,0,3,0,17,3,4,3,4,0,39,0,0,0,11,3,8,9,9,0,36,5,4,0,15,7,4,4,0,0,43,0,3,0,5,14,9,12,0,4,43,0,6,9,23,18,24,0,6,0,82,0,0,3,11,10,10,9,3,0,41,36,388,549,2510,708,922,747,228,137,6233,0,0,0,5,10,18,35,53,18,143,3,23,26,101,30,76,64,57,21,395,6,50,82,162,198,240,198,198,79,1206,0,0,0,16,12,23,17,5,8,90,0,0,3,11,12,3,4,4,3,55,0,9,3,27,26,25,53,86,21,243,0,18,21,35,64,188,309,515,205,1353,16,155,124,521,285,321,292,80,16,1814,3,84,105,632,157,107,108,57,10,1260,0,11,21,99,40,20,33,23,6,248,8,140,160,649,308,158,80,44,9,1554
LGA24250,0,0,0,0,0,0,0,0,0,0,175,606,362,772,498,660,650,276,65,4073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,11,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,20,20,28,51,29,9,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,11,18,7,41,0,0,0,0,0,5,0,0,0,6,0,5,5,6,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA24330,0,0,4,44,7,3,4,0,0,59,2398,3783,3144,9100,2857,1812,902,322,139,24462,0,13,26,158,29,4,3,0,0,227,0,0,0,30,9,14,20,16,8,102,0,0,9,69,7,3,0,0,0,88,0,0,4,6,8,16,15,0,0,54,0,0,3,61,18,16,0,0,0,99,0,6,0,31,31,18,20,20,0,130,4,15,32,320,91,110,93,37,20,725,0,0,0,18,10,37,26,46,12,155,0,0,5,20,0,10,17,4,0,63,9,39,43,463,231,165,69,34,6,1047,0,0,0,18,12,3,7,0,0,48,0,0,0,41,14,4,5,0,0,66,0,0,4,53,14,13,23,17,0,127,0,0,0,13,21,58,57,126,55,322,0,6,8,112,19,9,13,6,0,174,15,66,256,1453,88,33,29,4,3,1941,0,6,14,123,21,5,13,5,0,174,0,5,3,79,9,6,3,0,0,110
LGA24410,0,0,0,9,0,4,3,0,0,13,3344,6425,5555,10119,5193,4441,2992,1702,606,40382,0,0,0,18,5,3,0,0,0,27,0,0,0,9,0,8,5,0,0,29,0,0,0,20,3,5,3,0,0,27,0,0,0,21,25,19,13,6,0,93,0,6,5,29,13,16,10,4,0,83,0,6,5,7,13,11,11,5,3,60,11,114,167,872,234,200,175,66,12,1845,0,0,0,3,5,12,19,14,7,63,0,9,9,25,0,15,19,19,4,97,4,40,81,274,291,448,424,310,143,2032,0,0,0,14,14,3,6,4,0,46,0,0,0,28,8,5,9,5,3,61,0,0,13,21,26,33,57,75,19,246,0,0,5,4,9,14,25,20,8,86,0,17,27,137,40,47,45,8,0,315,13,93,95,768,165,73,51,25,3,1290,0,7,4,63,20,9,12,9,3,133,0,29,30,211,57,37,10,13,3,390
LGA24600,3,3,17,37,3,0,0,0,0,64,1818,1933,5247,12681,2946,2343,1646,829,195,29633,0,0,51,109,9,4,0,0,0,171,0,0,0,27,8,9,7,0,0,50,0,5,18,333,17,3,0,0,0,378,0,0,45,43,5,4,0,0,0,102,5,7,22,134,29,22,0,4,0,220,0,6,10,149,15,11,14,5,0,209,18,102,2732,3373,230,246,181,72,48,6997,0,0,0,19,8,8,9,5,0,58,0,3,7,62,11,9,19,10,4,127,10,31,214,918,293,276,181,84,27,2033,0,0,9,53,12,3,5,4,0,84,0,0,34,255,23,19,7,3,0,350,0,5,31,146,32,24,31,27,6,306,0,0,6,34,16,21,29,12,5,130,4,36,236,484,58,49,39,7,4,917,121,194,766,4279,148,61,42,18,3,5640,3,13,672,686,37,15,29,6,0,1465,0,7,34,387,40,15,7,4,0,489
LGA24650,0,8,21,96,23,23,9,0,0,177,6837,12109,8111,14410,5835,3289,1998,726,176,53494,0,29,18,211,55,13,5,0,0,337,0,4,12,158,56,78,28,9,3,354,0,0,8,20,11,0,0,0,0,37,0,0,0,7,8,0,0,0,0,19,0,12,9,16,13,9,0,0,0,56,0,3,12,70,66,59,53,31,4,294,0,15,24,176,58,58,40,13,8,392,0,3,10,59,60,105,98,56,15,395,0,39,75,167,75,62,59,37,0,517,5,45,67,200,205,295,243,169,38,1260,0,9,26,170,78,57,11,6,0,357,0,0,3,13,6,12,0,0,0,35,3,0,10,34,25,19,79,44,11,227,0,7,10,22,37,66,52,35,3,231,0,4,4,45,16,14,15,0,0,95,46,394,655,5049,770,295,218,65,9,7492,0,10,17,80,21,15,9,3,0,155,0,15,19,98,33,10,8,0,0,181
LGA24780,0,15,30,55,20,25,9,0,0,157,1517,3252,2744,4835,2658,2806,2311,1188,381,21688,0,0,0,7,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,3,0,0,17,0,0,0,4,0,8,0,0,0,12,0,0,0,5,0,0,0,0,0,3,0,0,10,45,19,10,8,0,0,94,0,0,0,0,0,4,7,14,7,32,0,4,0,4,4,0,0,0,0,14,0,5,9,56,34,77,82,58,15,332,0,0,3,22,6,0,5,0,0,37,0,0,0,13,0,4,0,0,0,13,0,0,3,3,6,7,22,13,0,52,0,0,0,0,0,10,14,21,7,59,0,3,7,17,0,3,0,0,0,31,6,24,29,225,30,16,13,3,0,352,0,0,0,17,6,0,0,0,0,32,0,0,3,12,3,0,0,0,0,20
LGA24850,0,0,0,0,0,0,0,0,0,6,1739,3172,2676,5034,2412,2183,1626,706,186,19741,0,0,4,4,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,3,6,3,5,5,0,0,19,0,0,0,0,4,0,0,0,0,9,3,3,70,26,9,3,0,0,0,122,0,0,0,3,5,9,7,5,0,19,0,0,0,0,0,3,0,8,0,18,0,27,39,75,89,157,119,79,20,605,0,3,0,16,6,4,4,0,0,35,0,0,0,3,0,5,0,0,0,17,0,0,0,9,9,11,23,19,4,80,0,0,0,3,5,13,13,3,0,42,0,0,5,0,0,0,0,0,0,9,3,23,44,513,37,16,8,5,3,659,0,0,4,3,0,0,0,0,0,11,0,0,0,6,4,0,0,0,0,9
LGA24900,0,0,0,3,0,0,0,0,0,3,691,1665,1353,2315,1529,1809,1788,1011,316,12477,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,6,9,4,3,0,0,0,19,0,0,0,0,0,4,3,8,0,16,0,0,0,0,0,0,0,4,0,5,0,6,0,31,20,53,82,83,26,306,0,0,0,9,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,4,18,17,0,48,0,0,0,0,0,4,5,0,0,9,0,0,0,6,0,0,0,0,0,7,0,0,3,71,8,6,4,7,0,100,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0
