LGA_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
LGA20110,0,14,0,18,..,4,0,4,0,4,..,10,0,10,0,10,..,0,0,0,0,0,..,24,0,30,0,31,..,13,0,15,0,15,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,47,10,52,5,60,..,363,48,406,9,416,..,16,4,20,424,445,5702,383,51,429,426,6562,5725,..,..,..,..,5725,..,6,0,6,0,6,..,3,0,3,0,5,..,9,0,6,0,6,..,3,3,8,0,8,..,13,3,17,0,22,..,0,0,3,0,3,..,19,9,28,0,25,..,10,3,12,0,12,..,16,0,15,0,18,..,38,0,38,0,38,..,16,5,14,0,14,..,0,0,0,0,0,..,5,0,4,0,4,..,3,0,3,0,3,..,9,0,9,0,9,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
LGA20260,0,12,0,12,..,7,0,4,0,4,..,8,0,8,0,8,..,4,0,4,0,4,..,27,3,27,0,27,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,7,0,8,0,8,..,60,10,65,5,71,..,253,40,292,8,297,..,10,0,15,1101,1113,4859,262,40,308,1108,6273,4971,..,..,..,..,4971,..,4,0,4,0,4,..,10,0,10,0,10,..,3,0,3,0,3,..,0,5,8,0,8,..,20,23,42,0,42,..,0,0,0,0,0,..,24,25,52,0,52,..,3,0,6,0,6,..,4,0,0,0,0,..,11,0,11,0,11,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,4,0,4,..,25,0,26,0,26,..,3,0,3,0,3,..,16,3,15,0,15,..,3,0,3
LGA20570,0,96,0,100,..,31,0,31,0,33,..,89,0,89,0,89,..,33,3,37,0,37,..,254,7,259,4,262,..,116,3,114,0,119,..,74,0,74,3,80,..,42,10,50,0,47,..,16,0,16,0,16,..,74,7,79,0,79,..,560,75,629,24,655,..,3526,325,3850,66,3914,..,138,13,152,2607,2766,48059,3661,338,4008,2673,54740,52116,..,..,..,..,52116,..,38,0,35,0,35,..,83,3,82,0,87,..,19,0,19,0,19,..,65,19,83,0,83,..,390,125,519,4,522,..,19,5,24,0,24,..,473,148,623,9,632,..,54,8,57,0,57,..,75,5,85,0,83,..,105,0,106,0,107,..,68,8,79,0,79,..,56,6,62,0,62,..,49,7,56,0,55,..,147,17,166,0,162,..,100,6,101,0,101,..,323,24,354,5,363,..,81,6,86,0,90,..,95,9,107,0,107,..,24,0,24
LGA20660,0,102,0,102,..,80,13,92,0,92,..,87,4,90,0,92,..,44,0,45,0,45,..,311,20,331,0,337,..,295,24,318,4,322,..,257,10,264,3,273,..,85,10,97,5,96,..,76,6,78,0,78,..,341,53,396,3,399,..,1344,148,1495,43,1536,..,11255,1541,12798,143,12940,..,213,20,236,1829,2061,46398,11470,1568,13035,1967,61405,48237,..,..,..,..,48237,..,53,0,53,0,53,..,500,94,595,5,601,..,18,0,18,0,20,..,644,146,796,7,804,..,1975,668,2650,22,2670,..,94,25,118,0,118,..,2719,845,3561,29,3589,..,271,27,300,0,299,..,187,4,189,0,187,..,198,0,194,4,207,..,1123,161,1285,8,1289,..,44,0,44,0,44,..,58,3,64,0,64,..,357,13,369,4,379,..,67,6,74,3,76,..,148,8,158,0,161,..,242,18,256,0,256,..,83,3,82,0,85,..,85,0,85
LGA20740,0,16,0,16,..,6,0,6,0,6,..,7,0,7,0,7,..,4,0,4,0,4,..,30,0,33,0,33,..,45,0,49,0,49,..,10,0,10,0,10,..,16,3,20,0,20,..,5,0,5,0,5,..,23,8,23,0,23,..,131,23,160,3,159,..,855,89,943,15,958,..,56,4,63,1261,1321,17553,917,91,1003,1275,19834,18430,..,..,..,..,18430,..,9,0,9,0,9,..,13,0,14,0,14,..,6,0,6,0,6,..,18,9,25,0,25,..,39,15,62,0,60,..,6,0,6,0,6,..,62,27,94,0,95,..,7,0,11,0,11,..,29,0,32,0,32,..,72,3,76,0,76,..,68,10,82,4,81,..,3,0,3,0,3,..,4,0,4,0,4,..,17,0,17,0,16,..,15,0,14,0,14,..,37,0,40,0,40,..,17,0,17,0,11,..,7,0,7,0,7,..,0,0,0
LGA20830,0,20,0,18,..,17,0,17,0,17,..,14,0,14,0,14,..,10,0,10,0,10,..,57,0,61,0,59,..,47,0,48,0,48,..,10,0,13,0,16,..,11,9,17,0,17,..,7,0,7,0,7,..,24,13,46,0,46,..,260,23,279,5,283,..,1157,141,1298,10,1311,..,66,9,74,1534,1603,25121,1226,145,1369,1546,28035,26484,..,..,..,..,26484,..,35,6,36,0,36,..,20,5,20,0,18,..,3,0,3,0,3,..,14,4,19,0,19,..,115,28,145,0,145,..,3,3,8,0,7,..,133,38,170,0,169,..,20,3,20,0,20,..,16,0,21,0,21,..,63,0,66,0,66,..,29,0,34,0,34,..,0,0,0,0,0,..,10,0,10,0,10,..,40,0,40,0,40,..,0,0,0,0,0,..,70,9,77,0,77,..,58,5,59,0,59,..,26,5,23,0,23,..,3,0,3
LGA20910,0,14,0,14,..,51,4,53,0,53,..,29,0,29,0,29,..,20,0,20,0,21,..,116,0,116,0,120,..,292,18,313,4,317,..,47,0,48,0,48,..,35,7,35,0,37,..,107,5,115,0,117,..,91,12,101,0,101,..,763,61,823,23,841,..,6303,656,6962,78,7040,..,140,20,163,1501,1661,39675,6446,677,7120,1583,48378,42455,..,..,..,..,42455,..,99,0,99,0,97,..,163,9,173,4,179,..,10,0,12,0,12,..,221,49,275,4,273,..,1135,423,1558,4,1559,..,46,15,55,0,56,..,1397,489,1886,11,1898,..,84,3,89,0,89,..,287,9,298,0,298,..,338,15,350,4,348,..,918,145,1059,0,1062,..,9,0,15,0,15,..,30,0,30,0,30,..,153,3,159,0,159,..,23,0,23,0,21,..,38,4,46,0,42,..,46,0,51,0,51,..,23,0,23,0,23,..,17,0,17
LGA21010,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,6,0,6,..,4,0,4,0,4,..,8,0,8,0,8,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,37,0,37,0,36,..,219,19,241,8,247,..,16,0,16,575,588,6222,233,19,252,580,7052,6578,..,..,..,..,6578,..,3,0,3,0,3,..,8,7,12,0,12,..,0,0,0,0,0,..,6,0,6,0,6,..,11,4,16,0,16,..,0,4,4,0,4,..,16,9,22,0,22,..,0,0,0,0,0,..,11,0,11,0,11,..,15,0,18,0,18,..,7,0,7,5,12,..,4,0,4,0,4,..,0,0,0,0,0,..,10,0,10,0,10,..,5,0,9,0,10,..,20,0,18,0,18,..,5,0,5,0,5,..,6,0,6,0,7,..,0,0,0
LGA21110,0,49,0,49,..,247,15,262,0,262,..,55,0,57,0,55,..,70,0,71,0,71,..,420,19,436,5,441,..,453,35,491,4,494,..,344,12,353,0,353,..,112,10,118,0,118,..,91,7,98,4,102,..,800,115,915,6,923,..,993,92,1083,37,1121,..,19091,2677,21768,194,21962,..,222,26,246,2205,2458,56094,19314,2704,22021,2398,80517,58468,..,..,..,..,58468,..,54,0,54,0,54,..,315,22,345,4,346,..,9,0,9,0,9,..,2342,456,2793,8,2802,..,7304,2391,9691,56,9748,..,407,101,506,6,510,..,10050,2941,12993,60,13058,..,99,11,109,0,109,..,438,9,446,5,451,..,276,9,279,9,287,..,2080,335,2422,4,2428,..,113,3,114,0,114,..,243,21,258,3,268,..,646,13,663,7,671,..,77,3,83,0,83,..,147,10,158,0,158,..,335,5,343,3,344,..,121,3,125,0,125,..,169,4,176
LGA21180,18,866,7,878,..,120,17,134,3,137,..,1264,33,1302,9,1306,..,193,15,208,0,208,..,2424,87,2508,20,2526,..,1026,183,1205,9,1213,..,491,94,583,6,593,..,114,18,131,0,134,..,887,180,1070,6,1075,..,11574,5137,16705,142,16854,..,7728,1841,9574,120,9690,..,42952,11054,54005,477,54481,..,626,175,800,5713,6511,36496,43574,11230,54806,6186,97491,34160,..,..,..,..,34160,..,18,0,20,0,19,..,1771,385,2159,5,2170,..,9,0,9,0,9,..,1325,736,2059,8,2072,..,959,469,1424,12,1442,..,413,234,648,0,650,..,2694,1442,4133,21,4156,..,1190,312,1506,11,1514,..,108,13,112,0,112,..,140,9,149,0,150,..,1907,504,2413,7,2426,..,198,19,216,0,223,..,79,3,81,0,82,..,752,71,823,3,827,..,432,29,458,3,466,..,1753,181,1936,16,1950,..,405,32,440,0,444,..,573,85,656,6,666,..,91,9,100
