LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA22670,1458,1367,2828,3963,3769,7723,1160,1078,2241,677,677,1354,5805,5539,11341,3479,3118,6598,794,1015,1809,650,618,1265,4937,4754,9687,654,562,1213,597,757,1351,366,224,593,691,896,1592,4,5,12,2314,2449,4760,2151,2469,4620,849,948,1801,204,243,446,434,575,1014,18,11,26,3661,4246,7905,5982,6713,12691,657,647,1308,629,928,1554,18,26,39,1307,1606,2904,4913,4331,9240,24395,24304,48701
LGA22750,3167,2811,5978,7205,6807,14010,2511,2536,5050,1153,1085,2242,10879,10434,21316,4158,3781,7944,2179,2622,4796,1979,1765,3743,8324,8172,16493,473,547,1021,440,692,1133,1035,552,1593,1105,1415,2519,17,11,30,3072,3218,6293,2540,3472,6017,1114,1390,2502,357,532,891,1010,2036,3047,15,17,34,5043,7452,12487,8119,10679,18803,413,404,817,553,895,1448,15,8,20,985,1304,2289,7592,6611,14214,39073,40009,79080
LGA22830,779,656,1435,2072,1855,3925,707,784,1492,151,148,299,2937,2788,5722,1106,1069,2183,964,853,1816,338,295,637,2419,2226,4642,85,154,239,74,183,260,301,198,495,237,419,653,10,9,18,698,964,1661,190,362,553,92,186,273,30,96,127,173,350,516,0,3,8,484,991,1478,1189,1965,3152,96,100,198,151,225,377,13,5,11,259,327,587,2835,2505,5343,10411,10466,20879
LGA22910,126,118,238,419,345,762,103,106,205,45,30,77,564,481,1042,272,249,521,86,84,173,71,107,175,428,441,870,12,9,25,13,23,40,31,15,48,72,85,154,5,0,3,124,141,271,27,59,85,30,60,91,9,13,17,48,125,175,0,0,0,106,266,370,236,405,644,12,13,19,26,58,83,0,0,0,33,71,104,648,709,1353,2030,2224,4255
LGA22980,45,55,104,109,113,223,20,26,48,30,39,74,160,178,342,160,131,292,0,0,5,11,17,30,178,149,324,4,6,7,0,6,5,13,13,19,16,26,48,0,0,0,39,49,82,12,15,31,6,14,20,0,0,0,8,24,23,0,0,0,20,61,78,55,110,164,10,11,18,11,21,28,0,0,0,19,29,46,193,186,380,655,701,1360
LGA23110,1136,1017,2152,2638,2604,5237,877,880,1759,260,254,517,3782,3738,7519,1512,1331,2844,784,936,1721,379,405,788,2685,2679,5361,154,158,312,170,225,395,250,95,355,320,478,801,5,0,4,907,961,1861,889,1080,1967,305,450,761,123,140,263,391,758,1153,3,5,10,1716,2427,4144,2625,3388,6018,168,169,337,260,348,612,3,6,6,438,518,955,2177,2032,4209,12845,13365,26213
LGA23190,194,212,413,575,484,1058,150,136,283,142,171,313,870,786,1663,489,449,945,111,108,215,88,91,182,689,656,1347,30,34,57,14,17,33,64,37,101,55,104,160,0,0,0,164,192,354,49,73,129,22,62,84,13,33,43,56,138,197,0,0,3,136,308,452,300,507,807,28,19,47,43,85,130,0,5,6,74,106,178,593,556,1153,2725,2823,5550
LGA23270,3118,2851,5965,7642,7068,14711,2643,2581,5224,1726,1750,3480,12039,11418,23461,5221,4862,10085,1821,1822,3647,1667,1867,3534,8721,8580,17301,857,679,1535,719,997,1719,815,354,1173,1014,1503,2522,14,11,28,3434,3548,6982,2473,3397,5866,838,1145,1982,292,377,678,585,1113,1698,8,18,27,4203,6040,10242,7651,9615,17259,905,966,1871,823,1343,2170,23,16,39,1750,2327,4077,7020,6503,13520,40299,41284,81582
LGA23350,175,152,329,486,472,959,124,145,265,73,53,129,685,676,1358,312,320,630,161,189,355,97,106,204,577,623,1193,13,21,35,11,30,41,81,52,132,71,112,187,0,0,0,177,223,400,34,66,95,15,35,50,6,19,24,45,139,183,3,0,7,104,254,353,281,476,755,21,20,39,15,42,62,0,4,3,32,66,99,666,513,1177,2416,2492,4910
LGA23430,1845,1776,3621,4380,4280,8661,1486,1322,2800,439,457,894,6307,6061,12367,2882,2905,5785,1489,1247,2740,864,911,1773,5242,5066,10311,362,285,650,266,367,634,518,215,735,578,824,1405,5,3,10,1736,1700,3428,1743,2118,3863,546,732,1273,243,305,551,633,1093,1721,9,8,13,3168,4257,7431,4909,5961,10872,264,219,487,366,549,915,6,3,9,633,774,1411,2721,2788,5508,21660,22437,44094
LGA23670,1756,1566,3324,4954,4516,9467,935,900,1830,575,532,1104,6465,5957,12413,3289,3192,6474,1270,1067,2334,871,814,1686,5432,5075,10510,305,331,638,206,370,575,632,261,893,616,944,1563,7,4,10,1766,1912,3677,1878,2215,4089,484,666,1156,258,317,570,589,923,1520,5,10,9,3208,4127,7333,4989,6048,11037,233,249,481,421,582,1001,13,3,13,669,836,1501,2524,2622,5147,21829,22103,43933
LGA23810,757,682,1439,2088,1912,4000,785,809,1594,189,149,337,3069,2871,5943,1537,1404,2944,533,584,1122,224,221,445,2295,2209,4508,80,136,211,71,198,264,275,211,487,257,445,703,6,3,10,694,990,1681,255,436,687,136,254,396,52,97,150,194,412,600,6,6,7,640,1197,1844,1335,2195,3528,93,80,173,143,229,368,6,6,13,241,314,556,2935,2981,5913,10633,11250,21884
LGA23940,54,52,106,209,227,433,33,26,59,9,15,23,248,272,520,162,193,358,23,27,51,18,17,30,204,240,445,3,0,9,8,17,23,14,5,25,16,28,44,0,0,0,43,59,103,11,35,47,5,15,18,8,4,6,6,31,31,0,0,0,23,84,104,70,147,208,4,6,7,10,14,22,4,0,4,13,17,33,432,426,860,1020,1148,2168
LGA24130,650,572,1223,1691,1634,3322,591,562,1152,195,194,389,2476,2389,4867,764,775,1533,661,641,1298,542,482,1024,1965,1896,3859,66,63,127,25,63,87,221,85,306,144,238,377,3,0,3,457,446,905,304,441,742,60,144,208,46,65,114,165,411,576,0,0,0,582,1067,1646,1039,1509,2548,29,42,72,90,123,222,5,0,5,124,168,296,1320,1348,2662,7574,7886,15459
LGA24210,1256,1144,2404,3650,3414,7065,825,780,1608,513,573,1089,4996,4771,9768,2534,2229,4763,935,848,1785,1073,1077,2152,4549,4162,8710,211,134,341,213,269,483,325,121,446,398,605,1003,6,0,5,1151,1131,2287,2136,2249,4388,541,618,1156,267,279,546,481,680,1163,3,12,16,3425,3839,7265,4585,4979,9560,172,169,337,346,553,905,3,6,15,518,732,1255,1847,2019,3863,17749,17801,35555
LGA24250,92,87,178,261,233,494,83,83,168,65,57,123,409,373,782,197,207,402,30,38,62,107,187,296,328,430,757,12,9,19,4,8,14,33,20,47,32,60,88,0,0,0,75,98,166,18,23,39,5,21,20,3,9,14,18,52,72,0,0,0,40,100,143,114,197,306,5,3,16,23,35,60,3,0,5,36,34,69,398,395,796,1371,1528,2896
LGA24330,910,832,1744,2190,1950,4141,624,563,1186,127,149,271,2942,2662,5611,1324,1224,2545,442,485,931,238,258,502,2013,1973,3985,202,183,382,385,384,764,147,88,231,458,540,1003,4,10,13,1196,1198,2394,1195,1309,2504,824,859,1683,164,155,320,613,928,1541,3,12,12,2795,3256,6050,3988,4459,8449,279,231,508,314,423,730,10,3,15,601,658,1258,2416,2095,4504,12871,12677,25546
LGA24410,1534,1342,2879,3638,3437,7078,731,709,1442,533,515,1053,4908,4662,9573,2291,2093,4382,762,739,1496,914,852,1767,3971,3686,7657,197,238,439,173,254,423,519,200,719,460,663,1122,7,8,13,1351,1371,2718,1033,1260,2294,340,500,835,177,212,388,487,854,1344,4,4,7,2041,2822,4869,3400,4200,7604,158,139,300,296,513,804,0,6,8,462,655,1115,1787,1969,3754,16055,16519,32576
LGA24600,659,592,1250,1416,1236,2650,234,235,465,242,274,509,1886,1741,3626,967,872,1833,114,178,292,401,439,837,1483,1482,2974,639,722,1364,1118,1558,2680,303,269,573,1158,1518,2679,3,8,18,3223,4083,7308,7288,8908,16196,3411,3470,6882,460,587,1044,1447,1712,3161,21,28,44,12622,14707,27331,15866,18804,34667,752,967,1714,879,1166,2050,3,5,13,1643,2141,3775,5720,5405,11126,27255,30165,57423
LGA24650,2442,2452,4893,6536,6020,12560,1975,2054,4029,1261,1358,2620,9788,9446,19232,4195,4096,8291,1442,1627,3071,1119,1115,2239,6771,6848,13621,406,334,735,321,482,799,567,233,800,603,1052,1658,8,5,7,1902,2101,4004,1623,2210,3832,457,794,1251,233,269,505,439,856,1292,4,9,11,2757,4138,6892,4670,6241,10915,455,502,955,511,848,1364,8,13,14,970,1362,2330,6541,4929,11466,31186,31274,62461
LGA24780,617,569,1182,1729,1638,3366,375,432,806,203,190,390,2307,2258,4564,1335,1283,2617,275,320,593,121,123,247,1741,1729,3466,100,128,224,69,134,205,203,127,332,195,382,580,4,5,6,575,773,1341,102,230,335,59,139,194,30,50,79,98,256,352,0,3,3,291,681,969,862,1450,2308,80,78,157,117,199,311,8,6,20,206,285,485,2432,2301,4730,8160,8584,16740
LGA24850,689,561,1254,1631,1524,3156,608,579,1188,98,83,188,2340,2195,4538,1005,930,1935,487,478,959,121,135,254,1618,1546,3164,110,94,206,47,127,179,229,120,355,141,306,446,3,0,9,543,650,1190,203,308,514,71,156,229,26,50,79,152,320,472,0,0,0,448,840,1288,992,1499,2488,74,74,145,112,168,282,4,0,6,197,243,434,1575,1492,3068,7407,7528,14937
LGA24900,294,250,543,624,536,1159,470,461,936,79,76,156,1171,1078,2252,429,449,873,318,362,684,96,124,215,849,935,1779,28,33,65,23,64,81,132,85,217,99,175,269,7,3,11,284,361,647,53,91,143,24,48,70,7,23,32,34,143,173,0,0,3,123,308,429,407,666,1075,23,18,39,37,79,116,4,0,3,62,96,159,1196,1184,2379,3977,4206,8187
LGA24970,1895,1656,3544,5443,4902,10344,1108,1053,2169,650,728,1376,7205,6694,13895,3583,3128,6717,1380,1451,2831,1277,1361,2646,6253,5953,12212,545,389,935,588,609,1201,465,176,636,798,1016,1811,7,3,13,2397,2194,4592,5377,5334,10712,1941,1735,3677,401,414,815,877,1101,1977,21,19,36,8628,8596,17225,11042,10795,21833,591,472,1057,598,729,1325,11,8,23,1194,1204,2399,4134,3761,7890,31727,30054,61777
LGA25060,1261,1237,2498,2205,1943,4144,1877,1789,3669,466,577,1035,4553,4314,8870,1703,1389,3089,1429,1410,2840,780,910,1694,3919,3714,7629,264,201,458,225,325,553,348,112,457,394,517,908,4,4,14,1225,1166,2388,1733,2097,3833,600,772,1374,248,258,510,670,1010,1681,9,3,14,3256,4151,7407,4494,5323,9815,194,176,372,286,420,708,9,10,17,487,609,1092,2282,2358,4638,16995,17551,34548
LGA25150,426,473,902,1318,1122,2441,283,280,561,216,217,434,1820,1628,3444,628,632,1261,314,294,609,310,339,645,1255,1270,2522,52,59,106,55,72,120,165,64,231,122,213,337,0,0,0,390,403,792,179,315,494,44,161,205,25,52,77,94,255,347,0,0,0,342,784,1125,730,1188,1920,65,55,115,66,117,183,0,5,3,127,176,308,966,900,1866,5322,5629,10958
LGA25250,1858,1679,3540,3714,3508,7221,1390,1300,2687,631,719,1353,5742,5534,11277,2602,2337,4938,900,1092,1989,656,676,1338,4171,4115,8281,601,405,1002,619,690,1305,473,228,703,822,990,1812,16,7,21,2532,2317,4846,2250,2985,5236,1529,1889,3417,332,429,761,1199,2144,3342,14,16,33,5325,7469,12791,7872,9793,17664,407,338,747,505,669,1174,10,9,16,919,1014,1940,3784,3732,7511,24340,25872,50212
LGA25340,1732,1530,3264,4985,4569,9549,849,801,1652,675,734,1413,6513,6111,12618,2892,2680,5572,1205,1228,2435,1308,1416,2720,5401,5334,10737,312,290,604,146,316,464,697,248,945,448,822,1273,11,10,17,1607,1687,3292,899,1325,2226,180,448,629,150,214,363,419,913,1334,10,7,14,1660,2913,4572,3274,4603,7874,182,122,303,260,470,725,5,13,20,443,599,1045,4642,4996,9640,22012,23172,45182
LGA25430,179,131,314,524,517,1035,52,62,112,61,60,126,640,639,1271,421,324,754,69,63,134,96,116,216,590,506,1100,20,23,46,22,34,60,42,20,63,77,89,164,0,0,5,167,169,337,47,60,108,30,94,124,3,20,19,64,195,255,0,4,4,148,364,514,311,537,853,6,10,20,24,62,92,3,0,4,34,77,113,1232,851,2079,2994,2735,5727
LGA25490,183,169,353,513,438,947,243,256,495,20,27,46,771,717,1496,319,353,675,194,231,427,66,50,121,583,637,1218,21,37,55,6,35,41,83,38,124,63,108,167,0,0,5,177,218,391,26,85,109,11,27,34,4,14,15,27,107,136,0,5,3,77,225,305,251,443,694,10,17,27,16,28,48,0,0,4,29,44,77,590,568,1159,2412,2583,4996
LGA25620,139,102,243,376,336,713,110,126,237,8,5,17,500,469,967,337,306,641,43,45,90,44,35,78,421,385,814,19,24,41,16,23,39,63,30,93,31,85,118,4,0,4,130,167,299,25,55,76,14,40,48,6,20,26,37,80,114,0,0,0,76,187,258,205,353,558,8,5,7,19,42,68,0,0,4,29,51,76,734,645,1378,2029,2000,4031
LGA25710,732,736,1469,2280,2083,4359,364,376,744,217,176,389,2869,2640,5506,1591,1480,3071,590,699,1288,466,472,940,2651,2651,5304,117,116,232,50,89,136,411,106,516,220,269,494,3,4,4,796,587,1375,739,999,1742,128,231,358,113,124,245,223,480,704,5,5,5,1212,1839,3053,2007,2426,4437,36,43,83,118,213,327,5,3,7,162,259,418,845,850,1692,9261,9566,18822
LGA25810,110,95,209,289,241,529,111,115,230,9,10,19,405,367,772,230,217,444,56,66,123,19,20,35,298,304,602,5,10,11,9,18,23,40,26,64,21,57,84,0,0,0,75,110,182,13,30,48,5,15,21,9,11,16,11,52,62,0,0,0,43,107,146,120,217,336,9,16,26,22,36,58,0,0,5,35,51,90,583,537,1119,1547,1568,3122
LGA25900,784,788,1568,1823,1726,3550,277,263,542,391,383,776,2495,2378,4873,1038,917,1957,197,224,426,728,771,1498,1959,1914,3873,176,136,318,315,358,670,122,101,222,576,790,1368,0,0,0,1198,1389,2581,1082,1331,2416,677,937,1612,189,234,427,760,1324,2082,6,12,14,2711,3843,6553,3907,5234,9140,156,168,327,353,481,835,7,4,16,517,657,1176,3345,3268,6620,13016,14240,27257
LGA25990,59,66,120,214,208,419,21,14,36,7,18,22,246,239,480,137,114,248,40,41,81,38,42,82,208,196,405,0,13,21,0,9,10,26,15,43,11,38,49,6,0,5,42,80,120,14,31,39,7,19,22,0,9,9,12,34,51,0,0,0,30,88,120,74,168,246,5,8,10,9,18,27,0,0,0,6,23,31,645,343,988,1243,1028,2272
LGA26080,24,17,42,45,53,99,13,20,31,3,11,13,67,87,148,26,11,38,33,25,58,17,17,34,77,55,131,3,3,6,0,3,5,5,3,15,10,13,21,0,0,0,24,22,42,21,26,44,0,11,13,0,0,0,13,14,31,0,0,0,41,51,99,66,73,137,0,0,0,3,10,8,0,0,0,3,9,13,121,111,230,354,347,702
LGA26170,307,263,570,1033,926,1963,141,120,263,68,71,136,1245,1121,2363,659,635,1298,189,242,432,68,70,142,921,953,1872,28,36,70,12,39,54,125,51,173,66,147,214,5,5,5,238,277,517,47,122,167,18,67,86,11,23,32,53,159,214,0,0,5,134,372,504,367,649,1023,41,26,64,28,72,99,4,0,5,73,101,173,1048,1038,2092,3962,4121,8084
LGA26260,163,167,332,365,346,714,141,119,259,141,128,271,648,598,1243,201,189,387,179,186,371,164,150,309,541,522,1066,7,29,40,8,19,34,67,39,104,36,83,123,0,3,3,128,167,297,26,36,66,15,27,44,4,21,27,36,72,111,0,0,0,86,165,248,212,333,540,18,15,29,22,33,49,0,4,5,42,39,83,492,522,1019,2098,2183,4281
LGA26350,873,749,1621,1320,1268,2587,488,459,951,800,827,1631,2619,2558,5181,400,438,835,642,578,1215,1443,1540,2980,2485,2555,5039,176,168,341,271,257,529,116,95,207,446,538,988,4,0,5,1010,1057,2065,2048,2557,4604,788,1017,1803,243,321,570,844,1230,2078,10,5,18,3937,5135,9073,4948,6196,11144,132,175,307,247,413,656,5,7,11,380,590,972,2411,2625,5031,13715,15270,28981
LGA26430,106,96,196,244,202,449,102,104,200,13,12,27,360,324,679,181,159,343,57,82,139,33,32,68,277,277,550,10,9,19,6,19,20,26,13,40,26,74,95,0,0,0,63,112,173,22,27,47,6,16,19,6,5,14,18,60,77,0,0,0,53,110,162,119,216,336,11,7,19,16,27,45,0,0,0,28,35,64,526,524,1052,1408,1477,2884
LGA26490,514,424,946,1311,1186,2503,277,291,568,185,151,338,1781,1631,3410,584,517,1096,355,375,731,399,354,748,1335,1248,2579,43,44,88,33,44,72,157,59,218,129,190,323,0,0,5,366,339,704,228,348,578,87,150,238,40,59,96,152,341,494,0,3,3,507,900,1404,870,1237,2106,12,18,35,71,108,182,0,0,4,90,132,214,1008,1008,2013,5602,5674,11274
LGA26610,218,213,429,538,434,969,330,354,683,22,28,49,889,812,1705,420,410,831,164,190,359,20,24,52,613,630,1240,17,39,56,17,35,52,77,46,124,62,149,207,3,3,8,179,269,449,46,84,130,7,35,46,10,21,31,21,96,123,0,0,0,89,239,324,269,507,775,26,23,50,35,55,88,5,0,5,60,79,145,968,892,1859,3014,3140,6151
LGA26670,58,45,106,161,147,313,47,41,88,15,6,24,224,199,419,145,160,301,9,10,17,12,17,25,165,185,347,8,14,18,7,10,12,13,16,25,14,35,47,0,0,0,39,69,110,10,21,30,0,17,17,3,6,6,8,21,36,0,0,0,22,71,86,58,138,193,0,5,9,8,14,21,0,0,0,12,21,32,281,260,541,797,845,1638
