LGA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA20110,0,0,0,7,0,0,8,0,0,4,6,0,0,10,6,25,9,34,0,0,78,26,21,4,56,6,3,120,39,4,3,38,11,0,99,89,4,0,63,5,0,163,160,0,0,58,6,0,222,140,0,0,34,0,0,178,54,0,0,11,0,0,66,12,0,0,0,0,0,12,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,13,0,3,0,19,3,4,31,544,61,14,332,39,13,996
LGA20260,0,0,0,10,8,0,20,0,8,0,11,0,0,17,6,43,0,42,6,0,107,61,17,0,48,7,0,138,40,9,3,51,6,0,105,171,13,0,38,5,0,226,150,3,0,25,6,0,183,75,4,0,11,8,0,93,14,0,0,0,5,0,17,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,9,8,0,15,16,0,49,538,104,8,258,60,8,981
LGA20570,12,64,6,19,8,0,107,6,80,6,18,3,0,113,99,554,70,130,26,6,887,491,219,94,240,18,10,1068,428,137,48,227,22,3,863,1741,167,64,447,19,17,2452,3601,42,32,547,23,7,4264,2896,17,3,263,23,0,3205,482,9,0,56,9,0,545,58,0,0,23,0,0,80,26,0,0,10,0,0,34,20,0,0,3,0,0,23,3,6,0,0,3,0,6,8,0,0,10,8,0,24,150,90,12,102,39,29,436,10019,1393,338,2086,205,75,14112
LGA20660,12,68,3,21,6,0,108,3,66,5,15,0,0,88,33,512,59,67,13,0,688,31,178,89,89,14,5,409,29,105,23,80,5,0,241,96,113,60,147,74,4,495,1107,83,23,326,77,5,1619,3661,112,22,460,38,7,4299,2087,37,4,214,23,0,2370,819,5,0,95,0,4,921,248,6,0,40,0,0,290,111,0,0,16,0,0,127,44,0,0,8,0,0,52,85,0,3,15,3,0,111,141,144,26,102,32,23,469,8508,1427,328,1684,285,49,12280
LGA20740,6,8,0,12,0,0,26,0,11,0,4,0,0,18,10,105,3,45,10,0,176,33,32,28,76,12,0,180,57,22,16,95,3,0,195,296,12,4,152,16,6,487,768,10,15,235,11,3,1053,702,3,0,132,8,4,850,191,0,0,41,0,0,239,23,0,0,5,0,0,35,7,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,10,11,0,0,4,0,0,16,30,17,5,56,17,7,136,2146,225,81,866,85,19,3436
LGA20830,4,18,5,14,8,0,38,0,13,0,8,0,0,23,19,125,15,53,25,9,236,55,56,8,93,22,4,232,73,22,0,110,17,0,227,250,20,7,151,19,7,444,843,20,3,224,8,3,1105,1118,5,0,146,8,3,1283,155,0,0,23,5,0,185,29,0,0,6,0,0,32,10,0,0,5,0,0,9,0,0,0,3,0,0,4,0,0,0,0,0,0,0,6,0,0,4,0,0,14,55,27,3,60,20,8,169,2614,293,39,910,131,28,4006
LGA20910,5,46,3,17,0,0,68,5,36,0,5,0,0,50,9,306,8,31,10,0,367,14,109,35,48,10,0,215,6,49,15,46,7,0,115,54,42,28,64,4,0,192,323,26,5,122,4,0,473,1140,29,4,206,13,3,1398,1239,15,5,210,13,0,1478,918,4,0,111,4,0,1041,635,0,0,82,4,0,724,485,0,0,66,0,0,552,382,0,0,46,0,0,428,908,0,0,108,6,0,1022,143,40,7,89,18,18,318,6279,693,118,1244,96,26,8446
LGA21010,0,0,0,5,3,0,10,0,10,0,5,0,0,17,8,79,6,26,0,0,119,83,45,10,34,10,0,178,79,14,3,42,0,0,143,172,23,0,35,0,3,241,234,10,0,51,0,0,308,137,0,0,19,4,0,167,31,0,0,3,0,0,37,4,0,0,6,0,0,7,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,21,3,19,17,7,80,775,214,26,250,37,11,1316
LGA21110,13,22,4,21,7,0,64,3,23,16,15,0,0,61,34,189,45,65,8,3,342,92,39,36,99,7,3,277,138,40,36,93,11,0,316,268,20,27,139,15,0,463,1520,12,9,306,20,3,1871,4306,17,5,524,33,0,4886,2995,3,5,426,16,5,3458,1632,0,0,216,10,0,1863,1114,0,0,127,6,0,1253,822,0,0,85,3,0,917,530,0,0,55,0,0,590,1020,0,0,125,5,5,1152,227,43,9,179,38,31,531,14716,408,194,2476,186,59,18036
LGA21180,15,69,8,21,3,0,116,18,57,10,20,3,0,106,46,343,31,140,35,4,602,90,225,106,225,43,10,694,162,101,33,159,40,7,501,621,135,64,362,76,10,1269,3211,123,51,1239,293,37,4950,5210,67,20,857,207,24,6384,890,9,4,151,38,0,1092,128,5,0,41,3,0,178,37,4,0,18,0,0,65,48,0,0,4,0,0,51,16,0,0,0,0,0,19,89,0,0,32,10,0,126,284,101,31,317,110,65,912,10862,1235,355,3592,870,153,17067
