LGA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
LGA20110,0,0,0,0,359,359,0,0,0,0,260,265,119,10,6,0,472,605,354,15,35,0,292,702,503,29,83,4,228,850,657,42,181,20,177,1079,681,40,164,31,94,1008,344,17,56,55,19,489,101,0,4,53,3,156,2767,157,522,159,1901,5513,0,0,0,0,306,303,6,0,0,0,254,255,191,5,16,0,380,590,424,30,54,3,247,756,540,41,121,18,197,919,662,46,181,71,122,1079,621,25,148,121,46,967,269,9,64,219,23,590,53,3,14,168,4,239,2763,171,589,597,1578,5699,0,0,0,0,665,666,5,0,0,0,515,516,314,12,15,0,849,1194,779,54,89,3,540,1459,1046,77,196,23,427,1760,1320,87,356,89,298,2151,1305,69,312,151,140,1982,612,30,125,272,40,1080,153,9,16,212,6,396,5533,332,1107,757,3475,11211
LGA20260,0,0,0,0,290,290,6,0,0,0,281,293,214,11,8,0,592,818,341,43,23,0,319,732,381,36,88,10,290,814,484,49,159,14,213,923,550,46,114,42,110,863,292,21,37,48,50,457,76,0,4,59,13,154,2355,214,441,179,2151,5334,0,0,0,0,269,269,5,0,0,0,258,268,197,22,11,0,389,620,304,41,51,0,194,588,367,53,121,13,152,706,470,42,147,54,110,820,494,39,101,100,39,779,223,8,40,166,23,465,44,0,3,166,6,222,2099,206,482,507,1444,4741,0,0,0,0,557,557,15,0,0,0,546,560,409,29,23,0,978,1438,645,86,71,0,508,1312,755,89,210,22,445,1520,951,94,313,75,324,1745,1047,87,212,142,150,1644,517,33,81,210,71,915,119,0,7,231,17,371,4452,418,917,686,3596,10072
LGA20570,0,0,0,0,3502,3508,60,6,0,8,3484,3558,1901,110,93,6,5575,7689,3731,268,356,8,2275,6634,3689,412,804,39,1639,6584,3775,339,981,111,1067,6276,3685,253,837,238,495,5499,2050,86,337,404,150,3027,560,15,48,365,39,1030,19447,1495,3454,1179,18218,43794,7,0,0,0,3419,3423,138,15,6,0,3490,3646,2428,177,142,18,5080,7844,4066,434,591,45,2306,7438,3751,555,1208,128,1627,7264,3765,458,1531,356,926,7039,3516,290,1339,894,399,6431,1600,68,457,1445,157,3717,324,15,89,1349,71,1848,19592,2005,5352,4225,17464,48643,8,3,0,0,6914,6927,195,24,5,3,6969,7198,4331,288,234,20,10656,15533,7791,703,942,53,4576,14072,7435,972,2013,171,3263,13845,7543,796,2510,466,1999,13314,7198,539,2170,1133,887,11927,3646,151,792,1848,307,6743,885,28,142,1714,109,2877,39034,3498,8813,5404,35687,92434
LGA20660,0,0,0,0,3624,3621,26,0,0,0,3604,3625,1983,50,74,9,5872,7983,5663,231,372,10,2555,8836,5361,371,720,36,1726,8224,4555,294,925,99,1142,7010,4211,208,708,246,516,5883,2585,80,287,377,154,3487,754,18,59,409,43,1279,25122,1257,3149,1189,19238,49949,0,3,0,4,3208,3207,53,3,3,0,3315,3380,2727,104,131,11,5297,8269,6067,310,519,30,2399,9329,5364,418,1117,103,1693,8698,4682,377,1408,319,1068,7849,3978,244,1190,860,530,6811,1995,86,536,1401,174,4194,428,12,123,1512,48,2121,25294,1551,5023,4238,17741,53856,0,0,0,4,6831,6832,74,4,6,0,6918,7008,4714,156,206,20,11166,16254,11728,549,891,45,4952,18164,10725,792,1838,140,3423,16921,9235,666,2331,413,2213,14862,8190,452,1899,1115,1042,12694,4576,167,823,1778,332,7678,1181,27,177,1914,95,3400,50422,2811,8175,5425,36975,103806
LGA20740,0,0,0,0,929,935,5,0,3,0,736,744,415,32,31,0,1221,1699,1073,64,137,5,747,2025,1245,132,322,15,622,2339,1872,155,525,57,515,3122,2390,187,555,145,242,3523,1240,59,215,211,56,1787,250,13,42,190,12,504,8497,637,1832,624,5082,16670,0,0,0,0,908,908,21,0,0,0,661,684,564,54,56,9,1210,1886,1189,127,170,12,715,2215,1304,131,413,27,603,2480,2073,181,716,147,435,3549,2210,150,679,423,206,3664,929,38,256,582,47,1852,130,4,43,514,10,706,8427,689,2338,1711,4789,17951,0,0,0,0,1838,1842,29,0,4,0,1398,1427,977,82,86,5,2435,3585,2264,193,306,19,1460,4242,2553,265,729,46,1219,4815,3950,335,1240,205,945,6672,4599,334,1237,567,443,7185,2174,99,470,788,108,3641,383,20,88,703,24,1218,16926,1321,4167,2338,9871,34626
LGA20830,0,0,0,0,1589,1590,36,5,0,4,1418,1455,1118,65,53,3,2140,3377,1887,124,189,6,979,3186,1944,195,400,29,738,3304,2317,160,541,57,509,3583,2454,134,482,146,246,3461,1429,58,170,207,66,1935,295,10,26,191,15,537,11482,748,1863,640,7698,22429,0,0,0,0,1613,1615,57,4,0,0,1369,1437,1425,102,76,8,2137,3758,1953,174,292,22,939,3378,2140,228,556,72,622,3620,2460,180,766,201,376,3989,2291,130,583,433,185,3618,1057,23,222,667,39,2008,138,8,44,606,18,817,11528,851,2539,2012,7303,24236,0,0,0,0,3202,3208,95,5,0,4,2781,2884,2550,170,129,11,4276,7130,3837,293,487,35,1920,6567,4083,420,957,101,1357,6921,4781,350,1303,264,881,7577,4742,258,1068,579,432,7078,2487,77,394,876,105,3940,434,19,74,794,33,1359,23007,1594,4402,2658,14998,46666
LGA20910,3,0,0,0,3588,3596,7,0,0,0,2754,2766,783,26,29,0,2966,3806,3616,117,254,13,1438,5443,5602,271,645,31,1091,7639,4955,203,750,89,707,6700,3850,168,610,140,360,5125,2343,60,259,299,125,3097,707,15,72,357,76,1225,21868,862,2627,932,13110,39406,5,0,0,0,3373,3369,15,0,0,0,2425,2442,1183,42,68,0,2809,4101,4305,193,382,27,1469,6372,6041,397,915,73,1195,8621,4821,305,1206,231,774,7337,3606,173,1110,655,411,5952,1822,64,555,1206,185,3838,367,14,170,1549,101,2201,22159,1193,4406,3736,12733,44233,4,0,0,0,6959,6965,27,0,3,0,5178,5212,1967,62,103,0,5772,7912,7923,308,638,35,2909,11814,11636,669,1557,104,2284,16260,9780,509,1952,317,1482,14041,7462,341,1717,792,771,11081,4162,134,822,1506,310,6937,1072,33,240,1906,173,3422,44026,2058,7034,4672,25846,83632
LGA21010,0,0,0,0,396,396,0,0,0,0,319,320,177,11,6,0,498,693,330,28,45,0,239,637,416,48,125,7,206,805,640,53,197,35,190,1118,770,49,197,46,101,1157,445,27,88,79,22,662,125,4,19,62,3,219,2897,222,684,230,1968,5999,0,0,0,0,343,343,17,0,0,0,270,287,229,22,11,0,434,694,351,41,62,4,252,712,485,54,159,22,200,925,674,77,263,76,153,1237,700,57,210,166,57,1189,354,16,91,241,22,728,67,5,18,249,19,345,2876,268,810,752,1749,6459,0,0,0,0,739,739,19,0,0,0,591,608,402,32,22,4,931,1389,683,68,106,4,492,1350,900,109,286,30,404,1725,1317,129,461,109,343,2350,1468,103,411,212,157,2342,803,46,180,324,46,1392,195,8,33,312,24,566,5771,485,1496,984,3720,12460
LGA21110,0,0,0,0,6096,6100,34,3,0,6,6184,6229,2053,59,94,3,8220,10424,6333,186,407,12,2532,9469,8313,373,716,52,1558,11016,7609,259,842,116,1091,9915,5795,177,592,215,636,7420,3322,86,316,358,270,4347,1095,24,67,533,105,1820,34560,1160,3027,1298,26689,66732,3,0,0,0,5845,5853,58,9,0,0,6009,6075,2770,81,160,10,7601,10620,7393,288,631,33,2586,10937,9377,492,1171,124,1631,12800,7542,337,1484,320,1147,10831,5448,208,1240,903,698,8499,2597,80,646,1695,468,5479,538,10,189,2124,279,3143,35731,1513,5524,5204,26268,74237,3,0,0,0,11943,11950,97,10,0,8,12192,12306,4819,144,251,12,15817,21044,13733,474,1038,40,5112,20408,17694,867,1885,177,3190,23812,15148,598,2332,437,2243,20747,11252,383,1830,1113,1336,15917,5911,164,957,2049,738,9829,1634,34,259,2660,377,4961,70289,2676,8552,6497,52954,140967
LGA21180,10,5,0,0,5630,5640,199,8,10,0,6835,7056,4685,244,359,6,10651,15946,7779,504,865,39,4059,13239,7203,648,1351,68,2574,11849,7514,648,1620,175,1446,11396,6354,422,1069,411,576,8831,3382,158,352,571,187,4643,811,34,55,469,28,1391,37927,2665,5675,1738,31978,79991,16,0,0,4,5472,5489,514,38,17,7,5776,6349,6166,425,561,33,7423,14610,7966,768,1265,96,3087,13179,7416,873,2134,274,2007,12708,7052,665,2150,746,1100,11706,5665,386,1283,1699,440,9475,2206,104,390,2266,104,5071,399,18,88,1733,43,2271,37404,3275,7886,6848,25454,80858,21,5,0,3,11099,11131,714,46,26,5,12615,13406,10849,672,918,39,18079,30553,15743,1267,2130,132,7144,26419,14621,1522,3488,347,4583,24555,14573,1309,3764,916,2544,23114,12018,812,2347,2115,1015,18308,5588,264,738,2831,293,9714,1209,44,140,2196,69,3664,75327,5936,13563,8587,57431,160852
