LGA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
LGA20110,6562,6671,13235,283,251,539,769,716,1488,359,303,666,265,255,516,605,590,1194,702,756,1459,850,919,1760,1079,1079,2151,1008,967,1982,489,590,1080,156,239,396,6109,6244,12351,454,427,881,61,73,125,0,0,0,4,0,4,68,73,137,5171,5162,10335,886,990,1877,5702,5725,11428,416,499,916,5819,5929,11751,90,76,168,717,664,1384,265,254,518,61,80,147,126,290,414,2382,2881,5260,876,865,1742,1094,868,1959,400,325,723,266,251,518,20,26,46,5868,5963,11832,843,880,1723
LGA20260,6273,5606,11880,293,283,578,646,579,1225,290,269,557,293,268,560,818,620,1438,732,588,1312,814,706,1520,923,820,1745,863,779,1644,457,465,915,154,222,371,6054,5363,11414,222,240,459,143,74,214,7,0,13,5,0,3,151,76,225,5083,4641,9720,762,576,1342,4859,4971,9836,297,299,595,4887,4981,9866,101,76,175,582,536,1120,165,186,354,41,44,86,82,169,249,1627,2057,3686,880,822,1702,1473,791,2270,450,390,845,313,269,574,48,27,74,5016,5114,10131,1238,470,1707
LGA20570,54740,59025,113763,3324,3281,6608,7614,7101,14719,3508,3423,6927,3558,3646,7198,7689,7844,15533,6634,7438,14072,6584,7264,13845,6276,7039,13314,5499,6431,11927,3027,3717,6743,1030,1848,2877,52551,56920,109471,2185,2101,4289,955,1022,1975,41,35,75,26,18,44,1020,1080,2094,45759,49457,95207,6185,6685,12871,48059,52116,100172,3914,4062,7976,49339,53459,102797,1004,993,1998,7123,6742,13862,2585,2663,5247,1087,1461,2551,1622,2828,4450,21089,25648,46733,6339,6780,13119,7867,7370,15233,3503,3368,6865,2094,2329,4432,185,163,354,50727,54802,105529,3668,3919,7583
LGA20660,61405,64835,126236,3625,3426,7052,7827,7556,15381,3621,3207,6832,3625,3380,7008,7983,8269,16254,8836,9329,18164,8224,8698,16921,7010,7849,14862,5883,6811,12694,3487,4194,7678,1279,2121,3400,59642,63035,122683,1754,1798,3558,418,403,814,15,13,32,14,14,25,437,425,866,44755,46675,91428,14677,16241,30915,46398,48237,94634,12940,14605,27548,54384,57213,111589,1261,1158,2420,7530,7290,14819,3110,2870,5981,1712,1863,3580,2134,3077,5200,32683,36271,68956,5381,5127,10513,5254,5064,10320,2406,2350,4761,1805,2505,4312,408,511,918,58285,61644,119930,2916,3011,5924
LGA20740,19834,20955,40789,920,921,1841,2243,2084,4328,935,908,1842,744,684,1427,1699,1886,3585,2025,2215,4242,2339,2480,4815,3122,3549,6672,3523,3664,7185,1787,1852,3641,504,706,1218,18533,19677,38205,1298,1278,2583,232,206,431,10,3,15,3,8,18,247,218,465,15355,16162,31517,2986,3192,6178,17553,18430,35984,958,1102,2060,17677,18533,36214,260,250,512,2063,1890,3956,661,686,1350,171,211,382,302,673,982,6628,8333,14970,2809,2662,5474,3504,3098,6595,1464,1366,2831,783,885,1663,85,77,164,17816,18876,36701,1789,1888,3669
LGA20830,28035,29590,57626,1764,1746,3507,3841,3610,7454,1590,1615,3208,1455,1437,2884,3377,3758,7130,3186,3378,6567,3304,3620,6921,3583,3989,7577,3461,3618,7078,1935,2008,3940,537,817,1359,26815,28466,55282,1217,1120,2342,345,353,698,9,9,17,5,9,13,363,367,724,23015,24173,47188,3283,3665,6945,25121,26484,51600,1311,1506,2819,25265,26676,51936,498,447,938,3571,3326,6891,1178,1298,2470,341,493,834,504,1212,1718,8688,11711,20399,3788,3741,7530,4988,4214,9199,2106,1748,3852,1248,1159,2411,92,86,173,25907,27340,53248,1608,1782,3389
LGA20910,48378,52930,101306,2208,2246,4450,6770,6461,13225,3596,3369,6965,2766,2442,5212,3806,4101,7912,5443,6372,11814,7639,8621,16260,6700,7337,14041,5125,5952,11081,3097,3838,6937,1225,2201,3422,46590,50995,97583,1794,1938,3726,139,121,258,5,4,5,0,4,0,140,125,269,33999,36585,70582,12823,14611,27436,39675,42455,82132,7040,8604,15645,42676,46514,89186,817,848,1669,6442,6176,12623,3266,3121,6394,1684,1524,3213,1081,1918,3004,28934,31857,60792,3606,4157,7765,3044,3600,6641,1290,1376,2666,857,1110,1973,135,170,304,45706,49638,95340,1840,2445,4280
LGA21010,7052,7472,14528,325,326,649,725,692,1418,396,343,739,320,287,608,693,694,1389,637,712,1350,805,925,1725,1118,1237,2350,1157,1189,2342,662,728,1392,219,345,566,6708,7177,13882,346,296,644,126,145,270,4,3,4,0,3,3,130,152,284,5785,6090,11878,618,729,1347,6222,6578,12802,247,278,529,6257,6645,12902,64,77,143,623,608,1232,261,244,501,51,67,123,110,219,334,2122,2722,4843,1092,1070,2160,1212,1152,2366,560,504,1062,407,364,765,19,14,42,6338,6738,13076,653,681,1333
LGA21110,80517,87386,167900,3408,3246,6653,10377,9907,20281,6100,5853,11950,6229,6075,12306,10424,10620,21044,9469,10937,20408,11016,12800,23812,9915,10831,20747,7420,8499,15917,4347,5479,9829,1820,3143,4961,77731,84387,162118,2778,3003,5785,227,186,410,11,6,17,8,4,13,242,195,436,53096,55398,108493,25064,29454,54524,56094,58468,114556,21962,26261,48227,68474,73190,141659,1263,1228,2489,10029,9607,19640,5689,5518,11208,4009,3893,7907,3296,4282,7576,52750,57822,110572,4319,5067,9383,3661,4151,7813,1886,2005,3896,1375,1940,3310,349,459,811,75913,82022,157939,3451,4096,7550
LGA21180,97491,97124,194618,5714,5274,10994,11785,10989,22773,5640,5489,11131,7056,6349,13406,15946,14610,30553,13239,13179,26419,11849,12708,24555,11396,11706,23114,8831,9475,18308,4643,5071,9714,1391,2271,3664,95613,95325,190940,1878,1798,3672,408,397,806,10,7,19,12,11,30,434,417,853,45580,43689,89271,45821,47898,93716,36496,34160,70661,54481,56941,111421,75576,76613,152193,1463,1346,2806,10726,10012,20738,4527,4674,9198,3169,3146,6314,3707,4651,8362,44507,45097,89607,7406,6477,13882,9244,8037,17277,4176,4240,8415,5979,7918,13897,2628,3483,6107,91618,91337,182951,5691,5534,11224
