LGA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA20110,5513,5699,11211,2010,1156,3166,904,1637,2538,314,302,617,80,53,133,3313,3145,6456,1803,2160,3964,2.5,1.7,2.1,60.1,55.2,57.6,58.6,54.3,56.4,185,233,410,123,246,372,623,920,1545,449,678,1124,1523,690,2216,55,90,143,83,122,208,1661,905,2566,5226,5306,10526,802,828,1630,3591,3634,7224,2179,2281,4458
LGA20260,5334,4741,10072,1793,1059,2851,575,1145,1716,186,221,402,96,80,178,2650,2499,5151,2357,1934,4287,3.7,3.2,3.4,49.7,52.7,51.1,47.9,51.1,49.4,84,105,192,42,140,183,322,566,893,325,564,893,1168,625,1800,47,75,128,48,79,129,1264,785,2054,4481,4478,8958,612,684,1292,3095,3051,6153,1725,1866,3593
LGA20570,43794,48643,92434,18850,10858,29711,6242,13465,19708,1507,2175,3685,1437,1198,2639,28040,27704,55738,13365,18371,31738,5.1,4.3,4.7,64,57,60.3,60.7,54.5,57.4,2106,2525,4631,1001,2010,3010,5666,8120,13786,3453,5007,8463,10607,6399,17011,456,721,1177,492,755,1249,11559,7879,19439,42600,46187,88791,8600,9229,17831,26317,28483,54806,22072,24129,46197
LGA20660,49949,53856,103806,23531,14435,37965,7185,14703,21882,1636,2430,4070,1593,1286,2877,33948,32852,66800,14225,19269,33495,4.7,3.9,4.3,68,61,64.3,64.8,58.6,61.6,5028,5368,10389,1485,2967,4451,10948,13470,24414,4713,5580,10290,8775,3942,12716,302,456,760,641,1051,1689,9722,5452,15173,51625,54616,106240,7070,7526,14600,35828,38306,74130,19836,21008,40843
LGA20740,16670,17951,34626,5156,2845,7999,2409,4452,6863,761,872,1633,394,263,658,8725,8426,17155,6743,8198,14942,4.5,3.1,3.8,52.3,47,49.5,50,45.5,47.6,478,595,1074,313,659,976,1583,2512,4099,1364,2116,3473,4763,2190,6955,140,306,443,256,331,583,5160,2824,7981,15276,16031,31306,2918,3149,6071,9217,9593,18810,8157,8781,16942
LGA20830,22429,24236,46666,9892,5150,15037,2846,6689,9528,868,1168,2038,558,497,1052,14160,13500,27658,6939,9375,16319,3.9,3.7,3.8,63.1,55.7,59.3,60.6,53.6,57,569,811,1382,364,812,1171,1957,3336,5285,1686,2835,4521,6860,3621,10483,178,414,591,330,470,800,7366,4507,11874,22352,23401,45755,3647,4074,7724,13800,14324,28125,10741,11730,22470
LGA20910,39406,44233,83632,18237,11420,29660,6171,11643,17810,1187,1845,3038,1108,955,2064,26702,25864,52571,11334,16697,28032,4.1,3.7,3.9,67.8,58.5,62.9,65,56.3,60.4,4645,4462,9110,1290,2283,3572,11378,12720,24102,3715,5111,8823,4218,2066,6287,153,303,457,535,942,1474,4905,3308,8210,39831,43579,83408,6489,6944,13439,27047,29800,56851,17394,18803,36197
LGA21010,5999,6459,12460,2242,1235,3478,714,1520,2235,244,295,539,133,89,224,3329,3141,6471,2168,2782,4952,4,2.8,3.4,55.5,48.7,51.9,53.3,47.3,50.2,132,169,296,94,197,287,392,739,1133,461,718,1181,1633,883,2515,57,122,178,92,99,189,1782,1104,2879,5620,6012,11629,723,782,1504,3834,4058,7892,2234,2417,4648
LGA21110,66732,74237,140967,30537,21151,51690,11169,19301,30470,2071,2763,4832,2121,1832,3953,45894,45042,90942,18718,26788,45507,4.6,4.1,4.3,68.8,60.7,64.5,65.6,58.2,61.7,10879,10427,21309,2418,4217,6638,21550,24174,45721,5223,7160,12383,4790,2654,7447,273,402,679,663,1112,1779,5727,4173,9903,65468,71454,136925,12031,12713,24742,43629,48053,91684,31016,33293,64305
LGA21180,79991,80858,160852,30591,17446,48036,11610,17113,28719,2972,3246,6221,3795,3303,7097,48961,41114,90074,25494,34702,60192,7.8,8,7.9,61.2,50.8,56,56.5,46.8,51.6,3461,3235,6695,753,1629,2382,10440,12338,22778,6040,7166,13204,12680,6765,19446,654,934,1588,1075,1423,2502,14407,9125,23533,80851,81682,162532,9621,9043,18664,57929,59888,117814,27821,26444,54266
