LGA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
LGA20110,58,476,337,3991,66,4938,0,0,4,111,3,117,62,0,18,51,0,129,29,7,5,12,4,54,164,42,31,96,0,336,789,455,304,3700,61,5316,95,0,21,4,0,114,45,7,4,31,0,92,219,54,38,405,8,720,29,7,3,18,0,52,19,8,0,8,0,32,37,3,3,4,5,48,147,106,54,1301,27,1645,575,112,47,502,13,1259,5,0,0,0,0,0,10,10,5,4,0,23,3,0,0,4,0,7,14,5,6,14,0,41,19,6,7,7,0,41,42,26,17,17,0,107,54,11,6,35,0,105,18,3,0,9,0,29,0,0,0,0,0,0,203,103,105,1111,23,1543,12,0,0,0,0,8,8,0,6,0,0,21,20,4,3,15,0,43,3,0,0,0,0,6,7,3,0,0,0,13,30,8,7,38,0,86,459,99,56,156,17,792,13,0,10,79,813,914,2608,904,635,8108,990,13235
LGA20260,76,261,203,4075,92,4706,5,3,5,140,3,147,80,0,9,16,0,99,13,4,0,7,0,28,57,21,14,48,0,136,410,256,194,3602,86,4541,83,0,15,0,0,99,7,4,4,26,0,38,79,37,32,471,9,630,6,4,0,9,0,16,19,0,5,7,0,23,121,0,5,4,0,125,60,63,45,1091,12,1274,46,24,11,137,3,217,9,0,0,0,0,3,11,0,0,0,0,13,0,0,0,9,0,9,11,4,5,18,0,31,49,19,5,10,6,88,29,10,10,8,0,57,17,10,0,13,0,38,4,0,0,0,0,10,35,0,0,4,0,37,112,64,61,1266,15,1518,13,0,3,0,0,16,7,0,0,0,0,10,10,0,0,7,0,17,5,0,0,0,0,9,20,0,4,0,0,24,10,6,0,29,4,42,304,38,31,99,8,475,15,3,3,124,1377,1530,1405,497,372,8033,1568,11880
LGA20570,497,3354,2409,38109,472,44841,18,81,49,1822,26,1997,1336,55,96,429,10,1929,261,69,26,195,0,554,991,502,306,1361,15,3178,4263,3101,2287,37429,476,47549,688,26,135,27,14,891,145,39,24,294,0,506,678,312,237,3702,33,4963,213,68,27,296,0,601,123,39,12,81,0,261,1808,71,34,58,4,1969,1069,836,569,14629,103,17203,524,318,119,2046,25,3039,77,3,12,8,0,104,29,25,3,57,0,115,44,9,0,40,0,95,171,99,42,349,7,659,97,61,30,50,0,239,231,153,98,101,7,588,262,91,50,272,7,681,134,14,25,64,0,238,45,7,14,0,0,65,1179,948,613,11471,90,14302,107,31,15,39,0,186,153,44,24,27,4,253,133,18,17,96,0,264,133,32,18,27,0,215,185,6,12,6,0,215,161,78,50,407,4,699,4322,683,557,1531,51,7136,190,36,32,852,5027,6129,16558,6344,4486,80241,6127,113763
LGA20660,1124,4704,3460,27254,233,36776,22,53,26,732,10,850,7931,205,345,330,36,8846,801,140,79,327,9,1360,667,267,210,583,8,1732,6371,3858,2613,26423,245,39516,845,60,136,41,9,1084,340,74,53,284,4,747,1126,393,316,2359,27,4212,2701,573,264,1640,24,5203,252,61,52,118,0,481,2981,141,84,73,3,3286,1915,1115,709,11652,63,15453,5804,1557,612,5274,44,13289,320,7,39,10,0,386,653,119,85,240,7,1113,1072,228,92,452,10,1856,528,185,120,468,9,1310,148,45,32,30,5,257,416,196,127,88,0,831,658,129,109,317,8,1224,356,32,47,96,0,535,72,22,8,4,0,107,1828,1019,714,8470,52,12088,396,53,21,64,3,542,304,68,55,25,0,454,379,61,49,113,0,601,644,87,39,49,7,828,986,23,79,36,6,1127,213,96,56,320,0,698,10486,1316,1213,1808,84,14907,491,51,32,415,3485,4470,45170,9801,6728,60336,4200,126236
LGA20740,299,1632,1131,12241,261,15562,0,15,12,419,7,452,209,7,27,83,0,326,80,18,8,34,0,138,564,177,126,375,20,1254,3305,1496,1134,11448,306,17689,158,19,40,13,0,233,104,21,17,83,5,228,450,148,93,858,21,1566,186,43,16,88,5,342,69,13,15,22,3,124,196,23,8,19,0,241,690,335,224,3820,63,5139,722,226,80,953,28,2011,16,0,0,0,0,16,14,3,3,14,0,41,26,3,6,22,0,59,137,35,11,78,3,265,83,15,21,15,4,139,124,71,36,25,0,258,142,21,16,70,5,250,43,4,4,26,0,85,11,9,0,0,0,23,862,442,279,3407,64,5062,32,6,0,13,0,50,68,20,19,7,4,119,65,5,11,27,3,109,32,6,17,9,0,59,44,4,5,7,0,63,148,19,24,124,3,313,1242,261,190,477,21,2192,92,16,15,300,2431,2848,8197,2960,2073,24495,3065,40789
LGA20830,304,2176,1601,19914,246,24235,14,29,24,650,7,728,348,23,31,79,10,485,126,39,7,33,5,207,817,255,193,794,20,2079,3411,2033,1467,17683,269,24859,212,14,77,12,0,311,90,14,24,150,4,279,572,182,154,1507,24,2441,122,33,8,117,0,279,141,24,10,60,0,238,385,46,9,23,0,470,697,445,307,5117,72,6636,590,253,85,1111,13,2058,22,0,3,0,0,18,12,3,0,17,0,35,15,10,4,4,0,35,118,47,24,128,8,320,89,38,13,24,0,161,165,90,83,67,0,415,197,42,31,122,3,393,65,20,4,43,0,130,22,4,3,0,0,32,840,521,398,4822,57,6637,61,17,13,14,0,104,142,18,26,17,0,199,74,17,7,59,4,155,95,19,5,11,0,133,94,0,7,0,0,108,117,52,24,136,3,332,1779,321,280,749,32,3163,116,32,30,485,2877,3534,9554,3915,2822,37857,3475,57626
LGA20910,902,4501,3642,20765,215,30019,19,21,17,244,6,300,4171,141,233,247,20,4811,415,70,41,163,3,697,850,290,174,454,5,1771,9825,3928,2995,21483,231,38464,291,23,90,20,3,422,520,94,68,274,0,961,1595,439,315,1952,27,4327,2171,358,235,1330,6,4104,404,78,30,88,7,602,1264,72,66,71,3,1466,2726,1023,765,8847,67,13418,2303,672,401,2255,40,5663,152,15,12,0,0,184,225,43,36,116,3,430,157,47,30,57,0,294,220,81,49,178,0,529,143,31,23,25,0,222,566,136,174,51,4,931,1211,163,160,398,7,1949,1053,83,88,90,17,1322,37,9,6,11,0,51,2559,976,766,7243,40,11587,328,34,24,59,0,447,865,119,87,21,9,1098,369,40,34,84,0,529,296,69,57,64,3,483,338,17,36,19,0,414,420,74,45,270,3,806,7696,1259,1232,1526,70,11785,304,31,38,276,3244,3892,35622,8566,6740,46487,3900,101306
LGA21010,60,407,264,4942,97,5768,0,5,0,238,6,256,56,3,6,32,0,95,4,0,0,6,0,22,134,41,11,81,4,275,611,428,291,4779,125,6230,45,0,10,0,4,62,24,3,6,27,0,59,158,51,40,464,18,721,31,20,0,17,0,69,21,4,0,9,0,29,90,3,0,0,0,94,161,92,58,1736,29,2082,92,43,5,222,5,370,0,0,0,0,0,0,15,0,0,10,0,21,3,0,0,0,0,7,22,11,4,19,0,52,6,0,0,3,0,14,21,16,4,3,0,44,56,9,5,16,0,86,17,0,6,9,0,34,0,0,0,0,0,0,165,121,71,1540,17,1919,11,0,0,0,0,12,5,3,6,0,0,16,9,0,0,11,0,23,8,0,0,0,0,9,5,0,0,0,0,5,23,10,6,50,0,88,345,56,37,130,12,572,19,5,0,117,1052,1205,1775,778,490,10179,1300,14528
LGA21110,1417,5492,4631,28433,251,40218,26,37,17,363,6,441,28015,584,1076,722,119,30512,483,113,79,283,5,958,878,370,255,729,5,2242,8827,4835,3799,31030,238,48730,676,33,150,34,0,890,562,171,128,390,4,1254,1561,519,400,3026,20,5520,4366,713,344,2317,34,7771,408,84,66,209,3,772,5090,233,186,152,11,5677,2371,1388,1061,14916,95,19839,4544,1178,577,4547,37,10884,823,14,68,17,3,926,326,94,51,177,5,653,369,57,56,187,4,677,318,137,75,312,3,847,158,40,16,21,4,233,566,204,143,93,4,1002,931,199,198,491,12,1828,452,64,93,126,0,742,33,3,3,4,0,44,2377,1410,1092,11735,62,16674,294,40,28,45,0,407,542,107,93,38,3,779,428,43,47,106,4,630,1157,143,114,86,10,1501,2462,97,157,61,3,2787,322,110,80,510,4,1023,13256,1684,1708,2477,73,19198,532,59,48,323,4673,5635,73149,11629,9560,68087,5477,167900
LGA21180,5353,3059,2399,13410,326,24547,69,94,31,651,10,847,12509,159,300,232,76,13277,3648,301,173,637,34,4791,393,128,92,257,0,865,7492,1966,1593,11178,325,22557,7134,182,383,109,24,7836,319,31,21,115,4,491,1258,231,182,1131,24,2820,4268,644,294,1457,42,6705,368,50,21,79,6,520,7159,130,106,50,16,7465,1025,545,343,3829,40,5785,6692,1194,627,3548,83,12151,171,4,6,0,0,185,1261,223,121,188,10,1801,4281,387,171,563,35,5447,6830,760,501,1947,60,10095,679,85,40,25,12,841,444,87,68,42,6,644,1834,149,118,334,15,2444,346,30,39,55,0,469,1768,106,61,20,18,1975,1134,426,329,2927,41,4851,1756,131,77,126,21,2114,100,26,25,9,0,161,1215,68,49,79,12,1418,826,47,24,20,5,919,31422,340,609,328,160,32861,83,40,24,121,0,263,37232,1691,1306,1610,302,42139,5041,83,98,284,10759,16274,136778,8354,6275,31011,12198,194618
