LGA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA20110,27,42,21,16,10,6,0,125,30,38,37,26,31,6,3,171,37,56,33,19,26,6,0,180,368,392,232,198,230,51,16,1490,0,5,4,3,3,0,0,17,469,537,328,261,296,67,24,1982,4,0,0,5,0,0,0,17,0,8,4,12,10,3,0,36,0,14,7,12,12,0,0,39,30,53,58,55,54,9,0,270,3,3,3,6,0,0,0,13,44,80,74,79,76,16,0,379,514,617,404,343,372,84,24,2354
LGA20260,38,36,23,10,19,3,0,126,21,15,11,11,13,0,0,63,32,15,13,4,3,6,0,72,356,359,203,143,167,26,9,1257,0,0,0,0,3,0,0,3,446,432,253,164,196,29,10,1527,0,0,0,0,0,4,0,6,6,6,3,5,4,0,0,28,0,8,0,5,8,0,0,15,85,118,76,66,57,10,4,415,3,8,9,4,0,0,0,17,97,138,85,78,70,14,4,486,549,572,336,233,265,42,7,2007
LGA20570,602,607,300,148,219,70,45,1985,251,278,159,115,145,45,20,1014,292,289,171,112,111,42,10,1022,3958,4031,2418,1600,1893,633,206,14728,14,25,5,5,3,0,0,49,5119,5222,3049,1977,2361,788,283,18802,41,70,50,29,50,21,12,271,64,119,83,58,62,28,18,423,24,58,57,34,44,12,3,224,960,1325,912,680,820,189,86,4966,26,44,23,21,5,0,0,121,1112,1616,1113,825,983,254,112,6008,6229,6837,4162,2804,3341,1043,395,24807
LGA20660,1490,1664,801,433,560,410,243,5600,603,678,380,249,308,177,119,2514,668,688,316,206,246,135,77,2337,3518,3605,2136,1434,1894,1081,565,14229,24,23,13,4,3,5,0,68,6304,6661,3654,2319,3010,1802,1006,24756,89,179,129,99,161,95,85,841,79,93,87,77,89,48,26,503,34,74,47,37,62,44,26,329,272,495,425,369,472,231,127,2389,19,13,9,11,3,0,0,54,494,857,697,591,790,416,267,4109,6799,7512,4355,2914,3801,2221,1272,28861
LGA20740,109,100,41,34,27,9,3,320,100,129,72,56,64,13,5,437,124,123,72,38,52,13,0,423,1112,1166,694,496,556,154,44,4220,5,9,13,3,3,0,0,44,1453,1528,894,630,700,187,57,5445,3,11,8,7,12,0,0,49,20,41,32,32,15,0,0,148,8,22,22,18,24,6,3,105,196,314,216,171,190,48,15,1148,11,19,13,9,4,0,0,64,249,410,294,238,246,60,23,1508,1698,1933,1190,869,940,247,77,6950
LGA20830,184,228,104,72,95,57,16,763,150,158,97,81,77,32,13,596,168,146,82,66,70,26,6,566,2313,2146,1344,885,1013,315,143,8155,10,19,10,8,0,0,0,56,2829,2697,1642,1105,1255,424,174,10128,4,18,16,8,17,8,0,86,38,50,34,31,43,12,9,214,21,25,24,21,28,10,0,129,380,533,364,317,334,90,34,2044,15,26,9,5,4,0,0,68,462,653,448,386,427,119,46,2541,3288,3353,2084,1491,1682,546,223,12670
LGA20910,913,1160,793,516,662,453,252,4745,510,636,414,300,384,258,129,2637,565,698,464,315,382,229,126,2777,2044,2556,1891,1324,1900,1308,659,11681,10,12,14,3,5,0,0,46,4040,5067,3566,2460,3334,2251,1168,21881,42,120,148,113,146,106,69,749,38,84,71,66,108,71,39,471,24,69,76,41,58,53,33,351,113,228,212,181,308,236,124,1408,12,12,10,12,9,0,0,50,227,515,516,412,633,470,265,3035,4269,5578,4085,2871,3966,2721,1428,24916
LGA21010,34,25,11,3,13,4,3,92,11,15,13,6,8,5,0,56,24,24,20,15,10,4,0,98,399,370,240,166,224,49,11,1460,0,10,0,0,0,0,0,18,475,439,287,195,254,61,15,1720,0,3,0,0,5,0,0,6,4,11,7,12,10,4,0,45,3,9,5,3,9,0,0,25,92,133,90,63,78,13,3,473,11,7,10,0,0,0,0,30,109,158,113,82,98,20,8,576,582,599,398,272,345,79,22,2298
LGA21110,2020,3028,1730,1199,1444,1014,633,11069,633,681,525,343,513,350,197,3246,758,887,578,402,531,353,193,3695,2540,3088,2504,1951,2980,2216,1175,16455,22,29,21,7,3,5,0,86,5971,7711,5362,3906,5470,3932,2200,34551,146,412,364,300,477,342,209,2261,64,86,98,67,94,102,53,556,43,93,73,61,92,70,37,473,117,275,324,278,416,313,170,1895,23,13,9,6,0,7,4,72,393,878,867,709,1086,835,481,5249,6363,8589,6231,4615,6559,4769,2682,39805
LGA21180,4864,5219,2849,1814,2529,1800,1144,20216,719,672,343,213,336,168,117,2563,869,666,280,187,230,158,66,2448,2345,2006,1104,812,1032,592,277,8169,60,50,27,22,4,5,5,173,8852,8611,4607,3051,4121,2729,1607,33579,677,1210,809,639,920,669,417,5340,148,222,134,86,103,56,25,773,137,196,122,82,112,47,31,731,422,639,415,289,375,173,101,2410,76,92,48,33,39,17,11,307,1463,2358,1526,1131,1550,971,570,9565,10312,10971,6133,4186,5669,3695,2180,43146
LGA21270,15,12,11,4,4,0,0,45,4,5,0,0,3,0,0,16,13,6,6,3,7,3,0,32,207,179,125,110,140,30,9,807,0,0,0,0,0,0,0,0,232,197,146,117,156,41,11,904,0,0,4,4,0,0,0,9,3,9,7,0,0,0,0,11,0,8,0,4,0,0,0,11,26,52,31,32,23,0,0,163,0,0,3,0,0,0,0,0,32,65,39,31,22,0,0,196,262,266,188,152,178,43,13,1099
LGA21370,84,107,55,31,50,11,0,332,57,51,26,23,22,9,3,191,52,77,30,20,23,5,0,216,1241,1367,902,587,741,188,58,5083,12,10,4,5,0,0,0,32,1450,1608,1019,664,837,209,65,5857,0,8,10,3,9,0,0,30,26,26,24,10,12,0,0,97,10,16,10,16,12,0,0,56,292,416,280,206,243,39,7,1480,17,11,8,6,5,0,0,49,339,472,335,234,277,46,12,1714,1786,2076,1350,898,1113,260,76,7570
LGA21450,2240,2158,1044,589,756,406,195,7391,551,554,295,202,241,107,38,1999,509,459,243,148,166,78,39,1632,4363,4139,2310,1433,1827,635,259,14964,38,41,20,8,4,0,3,119,7697,7345,3906,2383,3000,1232,540,26097,145,225,143,98,135,62,42,853,119,153,99,72,80,42,15,584,48,85,60,44,72,26,11,356,653,998,579,427,529,190,104,3482,39,36,21,9,10,3,0,112,1004,1500,901,644,826,329,182,5386,8701,8845,4809,3031,3826,1564,716,31486
LGA21610,13717,14468,7856,4685,5994,3698,2271,52693,1635,1452,774,510,661,298,155,5493,1438,1414,718,474,561,253,125,4978,6891,6217,3497,2318,2998,1165,548,23627,104,108,51,35,32,8,3,334,23787,23654,12891,8027,10249,5420,3098,87124,776,1240,790,637,820,543,379,5189,335,406,240,179,238,84,53,1536,160,259,174,138,158,75,34,1002,1401,1750,1121,816,1037,367,158,6658,104,108,47,45,37,10,3,353,2771,3767,2377,1814,2288,1087,631,14735,26562,27420,15267,9836,12541,6510,3734,101860
LGA21670,21,18,9,4,3,4,0,58,14,24,13,3,10,5,0,75,14,5,8,3,12,0,0,42,304,334,239,171,199,43,12,1302,4,0,8,5,0,0,0,15,358,386,273,194,227,49,15,1498,0,7,3,0,3,0,0,19,8,14,5,0,9,0,0,41,3,6,9,6,0,0,0,16,119,184,112,93,66,21,3,607,3,11,6,3,0,0,0,19,138,216,139,101,84,19,3,704,493,605,411,298,313,74,19,2201
LGA21750,50,70,21,22,28,8,0,207,46,48,32,12,19,5,0,160,58,62,22,10,14,8,0,175,723,764,490,340,412,115,34,2874,0,4,4,0,0,0,0,12,881,950,571,378,476,134,38,3425,0,14,15,8,5,5,0,41,12,15,17,14,21,0,0,82,3,12,7,6,4,0,0,30,125,178,120,87,107,23,8,647,6,7,5,0,4,0,0,19,144,234,155,114,145,28,8,828,1028,1177,729,494,617,158,46,4254
LGA21830,30,25,23,10,16,5,0,111,30,25,9,11,6,0,0,90,25,44,17,14,15,0,0,122,523,567,396,297,343,69,17,2220,3,0,0,4,0,0,0,9,613,662,452,334,385,83,20,2552,4,4,6,0,4,0,0,12,9,11,6,5,9,0,0,31,10,5,4,3,3,0,0,20,75,142,87,80,70,21,0,473,4,3,0,9,0,0,0,17,87,162,97,93,83,25,7,562,702,828,551,428,466,102,25,3109
LGA21890,1783,1470,641,393,552,397,255,5484,885,752,398,285,378,213,124,3033,886,743,376,230,244,146,58,2675,3313,2964,1834,1285,1639,904,430,12366,20,14,18,5,5,0,0,58,6886,5938,3260,2193,2816,1657,866,23621,108,209,175,117,158,123,93,976,108,160,122,77,120,45,42,675,49,94,62,63,60,37,23,381,325,520,358,298,417,188,103,2198,20,30,11,16,5,4,4,90,612,1007,723,562,760,406,256,4319,7492,6949,3985,2752,3574,2062,1124,27940
LGA22110,90,115,65,33,37,12,6,358,79,84,52,39,53,5,5,315,100,94,72,42,30,4,5,352,1363,1408,845,573,674,129,27,5007,5,14,7,5,6,0,0,39,1638,1716,1044,689,806,144,38,6076,0,13,4,4,8,5,0,31,15,37,16,21,10,0,0,106,3,17,18,16,9,5,4,66,316,470,306,241,270,41,9,1642,15,19,15,11,5,0,0,61,359,551,357,286,300,44,11,1911,2001,2269,1398,974,1101,191,53,7983
