LGA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
LGA20110,0,0,0,0,8,3,11,13,11,10,12,5,5,3,0,85,5,0,5,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,9,8,0,0,0,4,6,0,0,0,46,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,15,26,73,133,90,57,41,66,21,3,3,6,5,0,0,28,555,0,0,6,8,3,7,8,14,0,0,0,3,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,37,45,35,30,15,25,15,8,5,8,9,3,0,0,237,75,322,301,211,183,134,225,132,44,42,62,48,11,3,81,1877
LGA20260,0,0,0,0,6,7,19,20,4,4,5,5,8,0,4,84,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,3,5,7,11,13,0,0,0,46,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,10,11,44,90,34,12,15,26,6,0,0,0,6,9,0,27,282,0,0,0,0,6,0,8,7,3,0,4,0,0,0,3,25,0,0,0,0,0,4,6,6,0,0,0,0,0,0,14,31,7,16,8,15,12,13,31,7,0,3,0,12,10,26,55,207,30,101,134,77,86,78,194,122,29,52,55,69,38,38,240,1342
LGA20570,0,0,0,21,49,62,127,177,43,30,43,66,16,0,15,631,8,3,0,10,18,9,3,6,0,0,0,0,0,0,0,56,0,4,0,11,13,4,19,5,3,3,5,8,0,0,3,76,0,3,6,19,23,46,85,29,3,7,7,12,13,8,8,268,0,0,3,6,14,20,75,70,14,21,15,8,8,0,0,249,0,0,0,0,0,10,10,15,0,10,3,0,3,0,0,53,0,0,0,3,4,16,43,33,22,8,4,7,3,0,0,159,101,389,783,438,290,177,320,232,25,35,44,33,30,9,109,3011,4,6,10,43,31,38,90,55,0,4,8,8,4,0,13,314,0,0,0,14,20,8,28,45,7,11,13,6,7,0,9,170,36,116,135,149,145,105,381,189,68,50,66,42,26,13,33,1546,251,1167,1259,1055,993,870,2622,1870,449,437,560,624,286,57,364,12871
LGA20660,0,6,9,41,144,71,130,84,26,33,45,54,33,10,10,696,19,8,22,23,89,56,18,6,0,5,3,0,0,0,8,251,0,0,12,26,38,44,100,41,18,13,5,18,5,0,3,339,0,0,12,55,77,83,159,61,25,18,13,16,3,5,5,537,3,20,28,61,206,155,166,115,28,39,35,50,17,4,6,930,0,0,0,0,26,51,49,40,5,9,4,6,0,0,5,192,0,0,0,17,37,38,105,60,15,9,24,17,6,0,5,316,114,387,857,533,502,383,754,344,45,54,62,42,26,12,80,4196,0,8,32,44,48,69,120,98,12,20,17,29,19,5,20,538,0,0,0,101,181,93,152,118,27,21,15,31,9,0,12,769,102,278,448,477,456,833,828,569,156,122,136,107,35,14,94,4657,497,2312,3365,2399,3454,3674,6369,4046,850,937,957,940,402,124,596,30915
LGA20740,0,0,0,9,25,14,23,33,10,4,13,11,0,0,16,153,0,3,0,7,13,4,3,0,0,0,0,0,0,0,0,40,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,14,0,0,7,28,22,13,38,12,4,0,0,0,0,0,0,133,0,5,12,22,12,3,9,10,7,7,3,0,0,0,0,82,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,8,17,27,4,0,12,0,3,4,3,82,100,409,749,435,281,107,177,83,12,14,5,12,8,0,120,2512,0,0,4,25,20,12,24,28,6,0,0,0,0,0,0,126,0,0,0,17,4,0,7,16,4,0,0,0,3,0,0,52,21,95,120,116,82,54,98,44,19,15,15,6,12,9,27,734,183,954,1217,873,728,399,678,466,100,66,92,87,50,12,259,6178
LGA20830,0,0,0,7,36,22,33,49,7,7,12,15,3,0,11,206,3,0,9,7,31,8,3,0,0,0,0,0,0,0,0,60,0,0,0,9,0,10,10,8,0,0,0,0,0,0,0,36,0,0,7,23,27,25,62,23,5,9,6,7,5,0,9,213,0,0,15,6,10,15,43,31,5,9,4,4,0,0,4,155,0,0,0,0,0,5,3,7,3,6,20,40,13,0,0,105,0,0,0,0,3,7,21,30,3,6,6,7,0,0,0,91,86,329,689,374,253,122,293,107,11,9,8,16,10,4,92,2390,3,4,8,29,12,21,28,15,7,15,6,4,0,0,5,137,0,0,0,0,6,8,13,15,0,0,0,23,11,0,6,86,24,84,141,121,146,73,168,75,13,35,13,48,11,8,25,966,202,868,1133,772,802,527,1096,571,117,151,129,236,91,21,225,6945
LGA20910,0,0,3,26,61,28,50,28,13,6,14,11,5,3,6,268,26,54,42,53,201,41,27,14,3,12,6,3,0,0,12,495,6,10,5,32,35,34,84,53,18,14,12,11,21,4,5,333,0,5,17,90,215,216,418,148,68,63,48,55,17,7,17,1379,9,7,44,66,82,54,27,18,3,0,8,4,0,0,4,320,0,0,0,0,15,9,9,11,5,0,4,7,0,0,0,57,0,0,4,8,10,20,61,49,6,5,8,12,8,0,9,197,152,438,891,724,723,685,1667,1066,157,192,157,163,80,26,133,7257,0,7,39,82,65,110,214,124,27,16,42,64,39,20,16,872,0,0,4,54,58,26,41,26,10,8,6,14,17,4,3,276,132,278,348,639,688,928,828,527,126,120,117,191,87,15,95,5125,530,1579,2506,2588,3336,3434,5565,3416,740,818,774,924,512,138,571,27436
LGA21010,0,0,0,0,10,4,11,7,5,3,3,3,3,0,5,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,0,11,0,0,0,0,0,0,0,0,21,0,0,3,0,0,4,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,68,153,68,24,14,36,17,0,0,4,5,4,0,18,440,0,0,0,16,0,0,4,3,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,5,26,33,13,11,4,25,8,0,5,9,17,0,4,3,170,58,213,246,147,100,70,166,96,23,39,59,53,25,7,50,1347
LGA21110,0,0,7,44,120,69,70,105,31,27,20,34,18,8,6,556,46,36,36,36,87,17,21,15,3,3,0,6,0,0,6,319,0,15,27,114,170,151,283,156,33,50,20,34,12,13,18,1108,4,6,31,120,177,159,281,93,31,32,23,30,10,4,4,998,0,13,60,152,325,211,257,143,29,41,58,60,35,7,13,1402,0,0,0,17,229,216,157,92,23,25,32,29,9,3,15,846,0,0,10,10,41,62,132,83,27,24,29,23,10,7,8,454,191,445,921,720,617,567,1049,561,89,75,111,97,60,13,127,5636,0,15,47,107,90,152,264,187,48,66,58,51,32,20,34,1178,0,0,12,505,552,160,183,182,86,56,84,108,56,5,42,2039,191,323,406,538,625,641,892,600,154,188,224,264,101,35,110,5283,775,2491,3737,4207,7211,6638,11018,7499,1915,1976,2138,2469,1174,332,938,54524
LGA21180,0,0,19,351,1270,963,1321,717,181,224,224,279,100,20,83,5759,54,64,95,116,367,112,42,14,3,4,0,0,0,0,24,895,0,0,0,14,45,34,95,23,0,3,9,4,0,0,4,235,0,0,3,17,27,24,64,23,7,6,12,6,6,4,0,213,0,5,36,36,187,208,346,369,42,75,111,127,28,3,28,1624,0,0,0,6,25,13,36,33,9,0,7,11,0,0,9,156,0,0,0,14,98,77,182,105,24,17,17,16,9,0,21,574,48,264,571,306,206,87,214,151,29,24,15,13,5,4,57,1999,0,0,3,10,30,36,77,46,8,9,11,8,0,4,7,243,0,4,29,1439,6863,5187,4592,3304,657,602,532,682,339,95,1070,25391,223,1495,2866,3239,2774,2918,3564,2192,459,448,500,576,144,73,514,22000,681,3752,8329,8520,14491,12392,16594,11863,2768,2818,3324,3889,1274,344,2688,93716
