LGA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
LGA26490,0,0,0,4,0,8,17,3,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,8,8,25,19,5,81,0,13,12,80,45,42,22,14,3,236,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6,0,0,4,16,8,9,4,0,0,36,0,0,0,7,7,0,3,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,5,19,15,25,24,9,6,104,0,4,0,0,3,3,0,0,0,13,0,5,10,34,23,13,11,0,0,101,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,3,17,6,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,4,10,12,34,13,11,12,3,0,96
LGA26610,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,9,0,0,0,4,0,0,0,0,0,3,0,0,3,10,0,0,0,0,0,14,0,0,0,3,0,6,6,0,5,13,0,5,0,33,7,8,3,6,0,64,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,6,9,47,25,20,9,5,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,5,4,0,14,0,0,0,4,0,0,0,0,0,3,5,8,5,13,3,3,0,0,0,38,0,5,0,8,3,0,0,0,0,20,4,0,6,33,0,0,0,0,0,40,0,3,0,55,11,8,3,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7
LGA26670,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,16,0,0,0,0,9,12,8,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,13
LGA26700,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,3,8,21,0,0,0,0,0,31,0,0,0,3,6,7,19,13,4,56,0,3,6,24,21,20,17,11,0,108,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,10,0,0,0,5,3,0,0,0,0,5,0,4,9,62,11,11,18,0,0,115,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,10,0,0,0,7,4,12,11,8,0,46,0,0,0,0,3,0,0,0,0,3,0,0,6,10,10,9,0,3,0,39,0,3,0,13,7,4,0,0,0,25,0,0,0,7,0,0,0,0,0,9,0,0,4,21,6,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,7,3,3,0,34
LGA26730,0,0,0,0,4,0,4,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,18,0,0,0,4,4,4,16,25,8,54,0,12,13,58,38,36,24,9,4,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,4,0,0,0,0,6,0,10,13,79,25,19,7,3,0,164,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,11,6,14,20,13,4,74,0,0,0,0,0,0,0,0,0,7,0,6,0,24,10,9,5,4,0,59,0,0,0,32,5,4,5,5,0,55,0,0,0,25,4,0,0,0,0,27,0,0,7,26,9,12,0,0,0,51,0,0,0,3,0,0,0,0,0,5,0,3,0,17,7,3,0,0,0,33
LGA26810,0,0,0,0,0,0,3,0,0,10,0,0,0,0,5,3,5,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,9,0,0,3,9,5,19,47,37,12,116,0,22,17,63,50,62,47,10,0,284,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,5,3,11,10,76,35,30,25,6,0,189,0,0,0,0,0,0,4,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,26,33,20,6,89,0,0,3,0,3,0,4,0,0,12,0,9,16,22,15,4,9,0,0,77,0,0,0,11,3,4,3,0,0,31,0,0,0,17,0,3,0,0,0,21,0,4,3,21,13,7,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,3,4,10,5,8,18,0,0,49
LGA26890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,3,0,0,0,4,3,5,7,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,7,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
LGA26980,0,0,0,0,0,3,18,25,5,62,0,6,9,43,14,20,17,8,0,116,0,0,18,32,18,6,7,0,6,91,0,4,76,134,7,0,0,0,0,214,0,8,4,9,7,17,32,64,31,178,4,72,124,227,159,136,69,38,19,849,0,0,0,3,4,11,14,8,10,48,3,23,25,128,20,12,9,4,0,214,0,0,0,0,17,15,0,4,0,41,4,36,64,445,109,110,66,13,7,853,0,0,4,33,30,46,51,36,24,218,0,0,0,4,0,3,4,0,0,11,0,0,4,22,37,49,57,83,30,290,7,66,85,190,114,80,68,29,11,647,4,15,50,134,81,54,41,35,8,429,5,37,163,478,146,132,144,74,45,1222,0,24,33,340,89,55,56,9,0,605,3,16,26,210,76,32,21,4,0,394,0,10,7,19,14,12,7,6,5,78,14,53,50,81,39,45,19,8,0,302
LGA27070,0,0,0,7,16,72,201,127,39,471,0,4,18,91,31,46,26,8,5,219,0,0,5,23,6,4,4,0,0,36,0,18,138,700,20,26,7,0,0,908,0,0,3,9,3,8,26,20,13,82,18,207,201,489,160,129,52,19,5,1282,0,16,53,506,418,687,795,338,124,2940,12,70,54,446,49,22,15,10,0,675,0,0,0,8,12,4,4,0,0,24,6,78,123,788,310,267,198,41,8,1826,0,0,0,35,23,28,49,12,4,148,0,10,32,57,46,46,25,8,3,230,3,3,8,29,25,41,41,33,12,203,3,40,36,108,54,32,12,6,0,286,0,24,45,101,68,30,12,4,0,294,3,71,126,833,281,229,146,51,22,1775,0,3,3,68,15,9,4,0,0,99,0,13,25,239,73,25,14,3,0,406,0,7,12,101,117,114,72,25,9,456,4,27,41,70,16,20,17,0,0,190
LGA27170,0,0,0,0,0,0,0,0,0,7,0,0,0,3,5,0,0,0,0,13,0,0,0,4,3,0,0,0,0,4,0,4,20,27,0,0,0,0,0,53,0,0,0,5,3,3,19,23,3,59,4,14,12,50,39,40,30,8,4,210,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,10,0,12,14,78,26,23,19,4,0,184,0,0,0,0,5,4,4,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,17,18,16,7,64,0,0,0,0,3,0,0,0,0,6,0,0,7,17,10,9,4,3,0,52,0,3,0,16,7,0,0,0,0,32,0,0,3,6,0,0,0,0,0,15,0,8,0,12,10,4,0,0,0,36,0,0,0,0,0,0,0,0,0,3,0,3,6,13,4,4,5,0,0,35
