LGA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
LGA20110,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,8,0,0,4,7,0,0,0,0,0,8,0,0,3,0,3,0,22,10,0,36,0,7,3,20,26,15,13,3,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,26,8,7,4,4,0,54,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,12,3,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,10,11,4,0,0,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,11,0,0,0,6,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,17,5,10,10,0,0,41
LGA20260,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,6,3,4,20,0,3,9,16,20,13,10,4,0,71,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,3,13,11,11,6,0,0,53,0,0,0,0,0,0,0,0,0,3,0,0,9,11,0,0,0,0,0,22,0,0,0,0,0,5,4,7,0,19,0,0,0,0,5,0,0,0,0,4,0,0,0,3,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,17
LGA20570,0,0,0,0,0,10,16,6,6,40,0,0,0,11,0,4,3,0,0,13,0,0,0,8,3,0,4,0,0,11,0,0,34,64,0,0,0,0,0,103,0,0,6,12,8,15,109,99,32,276,3,26,32,154,81,94,79,22,13,505,0,0,0,0,0,3,0,0,0,7,0,0,10,48,8,0,0,0,0,72,0,0,0,8,17,0,0,0,0,23,0,18,30,193,60,48,34,10,0,393,0,0,0,14,0,6,3,5,5,32,0,0,0,4,0,0,3,4,0,14,0,3,4,19,19,33,49,54,13,207,0,0,5,15,15,3,5,0,0,40,3,9,9,47,19,18,18,8,0,125,0,7,10,68,17,7,6,3,0,113,0,0,0,28,5,0,0,0,0,37,0,6,9,57,26,13,0,0,0,113,0,0,0,5,4,0,0,0,0,6,0,16,22,48,22,27,22,5,0,159
LGA20660,0,0,0,0,3,9,49,34,9,109,0,0,3,27,4,18,10,12,8,82,0,0,3,9,3,4,4,0,0,22,0,6,18,54,4,0,3,0,0,72,0,8,3,20,11,6,29,23,15,113,8,44,41,283,138,120,66,33,8,736,0,0,0,35,24,52,63,39,16,226,0,7,0,43,11,6,0,0,0,66,0,0,0,12,13,10,3,0,0,40,9,9,22,198,73,67,54,13,6,441,0,0,3,40,20,24,23,16,15,149,0,0,0,4,6,3,4,0,0,16,0,6,16,46,27,53,69,43,21,275,3,20,19,63,32,22,24,13,6,191,0,9,21,108,54,44,26,17,0,283,3,11,24,163,73,80,52,42,17,468,0,0,0,80,17,11,4,0,0,118,0,7,21,104,58,27,11,3,0,230,0,0,0,13,7,14,7,4,0,57,8,35,26,107,46,23,27,11,0,292
LGA20740,0,0,0,0,0,9,12,4,0,25,0,0,0,8,3,3,7,0,0,18,0,0,0,4,6,0,0,0,0,11,0,0,0,16,0,0,0,0,0,14,0,0,0,6,4,9,75,35,9,143,0,12,14,74,40,73,63,31,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,5,0,0,9,4,3,0,0,18,0,4,7,53,18,19,13,8,0,107,0,0,0,5,7,0,5,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,26,41,22,3,114,0,0,0,0,3,3,0,0,0,10,0,0,5,16,14,24,10,4,0,73,0,0,0,6,0,8,9,0,3,37,0,0,0,0,3,0,0,0,0,3,0,7,4,28,4,12,0,0,0,60,0,0,0,0,0,0,0,0,0,3,0,7,3,24,11,12,18,3,0,76
LGA20830,0,0,0,0,0,0,15,6,0,26,0,0,4,14,4,10,7,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,24,89,55,23,211,0,12,24,71,66,65,58,24,0,322,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,0,0,0,0,20,0,0,0,11,6,6,0,0,0,20,4,4,9,67,32,28,15,6,0,155,0,0,0,3,3,6,9,10,4,33,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,32,46,37,8,148,0,0,0,5,3,5,0,0,0,21,6,11,9,25,21,21,14,6,3,102,0,3,0,38,14,9,9,0,0,74,0,0,8,46,0,0,0,0,0,56,5,0,7,31,24,5,0,0,0,70,0,0,0,0,0,0,0,0,0,7,0,5,0,24,14,15,16,3,0,72
LGA20910,0,0,0,0,4,13,23,5,6,42,0,0,0,18,17,20,10,7,0,71,0,0,6,3,4,7,3,0,0,20,0,0,4,12,0,0,0,0,0,23,0,11,11,20,28,18,40,21,14,159,0,32,61,227,218,200,112,47,14,920,0,0,0,12,9,4,4,4,0,33,0,0,0,4,0,5,5,0,0,21,0,0,0,4,14,13,0,0,0,33,0,3,11,69,47,22,23,4,0,196,0,0,7,57,37,61,87,36,22,308,0,0,0,0,0,0,0,0,0,4,0,11,13,77,59,88,63,50,27,387,6,37,39,36,30,23,12,7,0,189,4,37,55,166,202,99,75,35,11,682,0,0,3,48,19,34,39,18,5,174,0,0,0,21,5,4,5,0,0,36,0,21,15,76,19,11,3,4,0,153,0,3,8,18,20,21,15,8,0,98,23,71,57,106,79,64,32,17,6,448
LGA21010,0,0,0,0,0,0,3,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,4,3,0,10,12,0,31,0,0,3,9,15,25,6,3,0,68,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,13,4,7,7,0,0,44,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,3,8,0,27,0,0,0,0,5,0,0,0,0,3,0,0,0,3,3,3,0,0,0,14,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,9,0,0,16
LGA21110,0,0,0,5,4,8,29,9,4,62,0,0,7,44,12,17,18,3,3,98,0,0,0,21,3,9,3,0,0,55,0,0,24,50,4,0,0,0,0,82,0,13,11,18,24,6,36,29,9,141,6,67,99,372,220,206,129,69,38,1216,0,0,0,13,4,15,13,9,0,56,0,9,11,59,10,11,7,0,0,111,0,0,0,10,22,12,0,0,0,48,0,15,26,167,64,32,42,7,0,352,0,0,0,42,20,25,49,27,40,197,0,0,0,3,0,3,0,0,0,7,0,3,14,53,44,52,56,47,29,295,3,85,71,185,91,91,88,25,6,650,3,28,41,143,121,75,55,35,10,514,0,19,58,227,119,138,77,57,26,717,6,22,21,230,82,54,56,13,4,490,0,9,31,177,58,28,14,5,0,328,0,3,0,30,24,16,9,5,4,98,27,99,88,180,91,67,46,20,8,614
LGA21180,0,0,6,28,59,301,847,618,225,2085,0,3,0,27,10,20,32,5,9,105,0,48,166,520,90,31,16,5,3,875,0,9,132,291,6,7,4,0,0,452,0,3,0,0,0,9,23,29,12,74,30,196,244,504,152,115,44,9,7,1299,0,5,20,155,196,365,528,215,61,1534,16,85,41,328,31,17,19,4,0,546,0,0,3,13,6,0,0,0,0,27,5,104,233,1164,566,581,423,125,39,3238,0,0,0,44,58,108,149,86,61,507,0,27,66,122,93,54,19,11,4,398,0,4,0,11,15,21,42,34,16,137,0,5,18,57,21,18,10,7,0,132,0,7,9,39,21,15,10,6,5,110,9,21,65,281,111,106,75,26,8,696,0,4,6,56,12,6,7,0,0,87,4,9,23,217,87,46,14,4,4,418,0,3,6,75,84,78,53,30,6,332,3,10,21,32,22,7,6,0,0,105
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,5,0,0,0,7,3,5,10,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,4,6,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA21370,0,0,0,0,0,4,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,15,0,0,0,0,3,6,19,10,5,50,0,14,5,52,51,47,31,14,9,214,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,27,19,80,41,31,17,0,0,206,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,19,11,0,51,0,0,0,0,0,0,0,0,0,5,0,0,3,13,5,0,0,0,0,29,0,3,0,21,0,3,0,3,0,32,0,0,0,7,0,0,0,0,0,10,0,0,0,21,15,5,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,4,0,0,30
LGA21450,0,0,0,0,5,6,20,11,0,42,3,5,18,102,38,48,34,14,7,256,0,7,15,104,17,5,3,0,0,154,0,0,4,39,0,0,0,0,0,51,0,6,0,15,26,34,99,79,36,303,10,68,107,355,173,138,55,24,14,946,0,0,0,7,5,6,0,0,0,16,7,41,38,209,20,10,9,0,0,327,0,0,0,6,6,8,0,0,0,23,0,37,87,287,128,76,28,11,0,650,0,0,0,25,15,17,27,3,5,92,0,3,8,18,15,12,3,0,0,60,0,5,9,40,39,76,88,50,20,322,0,7,11,25,16,7,9,0,0,76,0,18,36,101,75,38,19,6,0,303,0,68,79,644,132,86,74,20,6,1110,0,9,5,51,0,0,0,0,0,73,4,6,3,101,32,12,7,0,0,163,0,3,0,7,9,3,0,0,0,29,0,8,16,38,28,18,15,10,0,123
LGA21610,0,0,0,11,6,16,75,49,17,174,0,18,98,474,234,373,272,115,58,1636,0,4,7,69,27,12,21,3,7,146,4,10,37,241,22,12,7,0,0,336,0,3,7,23,34,66,175,171,73,559,69,530,774,1419,555,391,172,58,12,3982,0,0,4,71,39,70,55,15,0,260,24,347,409,1003,172,79,47,7,0,2098,0,0,0,13,11,6,0,0,0,38,15,231,438,1649,772,578,267,79,24,4042,0,0,15,129,108,176,174,65,38,717,6,54,126,243,206,172,50,17,9,882,0,9,26,66,97,195,168,136,55,762,3,73,67,153,93,87,40,8,0,528,7,41,87,314,262,184,116,71,23,1113,19,341,625,3346,1294,905,554,206,68,7359,0,6,10,146,25,14,8,0,0,210,8,24,45,381,131,58,10,5,0,656,4,5,9,80,138,101,60,20,10,427,8,61,73,104,39,32,20,0,0,344
LGA21670,0,0,0,0,0,3,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,4,3,19,8,0,39,0,0,0,11,15,17,18,3,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,30,8,4,8,0,0,61,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,21,0,0,0,0,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,7
LGA21750,0,0,0,3,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,6,0,3,13,12,3,33,0,0,11,32,22,24,21,9,3,117,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,29,8,3,10,3,0,59,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,10,13,7,3,38,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,13,0,0,0,6,0,0,0,0,0,11,0,0,6,70,0,0,0,0,0,77,0,0,0,7,4,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,0,8,0,0,19
LGA21830,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,11,18,7,46,0,6,16,39,23,24,12,4,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,22,8,9,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,5,7,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
LGA21890,0,0,0,12,3,13,48,46,32,156,0,0,6,42,16,11,13,6,8,101,0,0,0,6,0,0,0,0,0,13,0,5,160,312,6,0,0,0,0,486,0,0,7,32,15,8,12,9,10,91,7,22,52,756,201,129,60,22,3,1251,0,4,5,87,88,119,177,111,46,622,0,17,12,85,4,14,0,0,0,139,0,0,4,13,19,4,0,0,0,41,0,27,46,308,97,102,74,12,3,679,0,0,0,45,18,11,22,15,10,130,0,0,5,0,9,11,7,0,0,31,0,4,7,78,38,32,30,23,5,212,0,10,18,125,26,14,12,3,0,212,0,5,14,132,43,17,15,4,0,237,0,8,44,187,27,66,39,15,3,391,0,3,10,97,10,13,4,0,0,131,0,18,22,175,49,20,10,3,0,295,0,0,5,44,37,25,21,21,8,157,10,25,37,288,63,28,14,7,0,483
LGA22110,0,0,0,0,6,9,11,5,5,28,0,0,0,3,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,0,5,3,15,57,40,10,129,0,7,4,43,45,62,63,30,5,258,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,15,0,0,0,0,10,0,6,3,0,25,5,15,13,90,41,48,21,8,0,239,0,0,0,0,0,0,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,32,37,41,8,136,0,0,0,0,4,0,0,0,0,13,0,0,0,20,17,16,17,7,0,78,0,0,0,13,0,0,0,8,0,21,0,0,0,12,0,0,0,0,0,15,0,0,7,30,15,4,4,0,0,57,0,0,0,0,3,0,0,0,0,4,0,3,6,7,14,13,24,10,0,69
LGA22170,0,0,0,4,3,13,19,8,3,46,0,0,5,67,31,45,29,10,5,189,0,0,0,10,4,10,0,0,0,21,0,0,3,27,4,4,0,0,0,39,0,3,4,9,25,36,69,73,83,306,4,51,123,511,270,277,168,51,11,1473,0,0,0,3,8,6,4,0,0,25,0,3,4,15,8,6,0,3,0,39,0,0,0,16,22,11,6,4,0,57,4,38,58,351,183,146,89,21,5,889,0,0,4,44,34,35,44,24,8,195,0,0,0,8,9,12,14,4,0,53,3,6,19,78,59,153,145,105,64,633,4,6,3,28,12,20,12,5,0,90,0,25,51,142,118,76,45,25,8,497,0,0,15,83,44,62,51,31,6,296,0,0,3,35,6,5,4,0,0,52,0,22,24,166,63,23,4,0,0,301,0,0,0,16,11,11,14,3,0,57,0,16,23,85,33,40,30,4,4,241
LGA22250,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,6,3,4,11,0,0,0,5,3,11,7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,17,0,3,10,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,15,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,14
LGA22310,0,0,0,5,4,3,8,13,8,39,0,0,7,61,18,23,16,12,9,145,0,0,4,8,6,5,0,3,7,36,0,4,73,134,7,0,0,0,0,219,0,5,6,19,14,15,25,15,8,108,3,49,92,436,205,185,102,37,13,1128,0,0,0,15,7,11,3,0,0,42,0,0,7,37,5,5,0,0,0,51,0,0,0,5,15,4,4,0,0,30,0,24,30,332,71,69,44,12,0,576,0,0,0,68,46,71,199,92,182,663,0,0,0,7,0,0,3,0,0,7,0,7,8,84,35,35,52,36,21,276,0,33,49,116,41,29,30,15,0,311,6,55,117,548,421,308,218,124,74,1863,0,7,26,195,76,84,74,41,29,523,0,6,12,119,23,11,4,0,0,174,0,11,26,178,45,24,7,3,0,295,0,3,3,28,17,14,8,9,3,88,20,80,61,219,98,68,51,11,5,619
LGA22410,0,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,21,0,0,0,3,0,4,17,10,7,40,0,4,8,29,25,40,19,6,5,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,37,21,13,9,4,0,93,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,7,3,27,0,0,0,0,0,3,0,0,0,0,0,0,0,12,4,4,3,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,18,5,4,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,0,0,20
LGA22490,0,0,0,0,0,5,8,3,0,19,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,24,9,4,49,0,7,3,25,30,22,17,6,0,113,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,14,6,5,3,0,0,37,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,15,17,5,3,52,0,0,3,0,3,0,0,0,0,11,0,0,0,7,11,4,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,5,6,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,9,4,3,3,0,0,32
LGA22620,0,0,0,4,0,0,10,9,0,23,0,0,0,13,3,3,0,3,0,17,0,9,29,227,64,41,28,11,3,413,0,0,7,48,0,0,0,0,0,58,0,0,0,7,0,12,51,34,13,125,3,17,27,118,74,108,60,31,4,446,0,0,0,5,0,0,0,0,0,6,0,3,3,35,5,0,0,0,0,51,0,0,3,8,16,5,0,0,0,39,4,19,33,212,84,54,35,8,0,443,0,0,0,3,4,0,4,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,41,46,33,9,163,0,0,4,9,7,4,8,0,0,27,0,10,21,50,30,17,10,11,0,153,0,12,13,63,18,15,11,4,8,133,0,0,0,31,0,0,0,0,0,37,3,94,156,136,16,15,4,0,0,421,0,0,0,0,0,0,3,3,0,12,0,11,17,41,19,17,12,8,0,122
LGA22670,0,0,0,0,0,11,42,48,28,132,0,5,22,116,50,105,133,107,65,597,0,12,33,275,110,57,31,16,7,552,0,0,35,92,0,4,0,0,0,129,0,0,3,3,6,8,33,60,48,161,15,112,194,359,115,82,50,19,4,954,0,3,5,117,111,123,74,61,14,518,19,190,188,508,54,20,17,0,0,998,0,0,3,6,3,0,0,0,0,12,6,67,138,670,242,236,143,41,17,1555,0,0,0,38,19,78,112,57,34,341,0,9,16,38,36,37,15,7,3,165,0,0,3,10,18,15,41,53,24,163,4,7,16,57,21,28,29,6,0,163,3,9,14,42,38,29,55,21,16,219,23,104,220,1212,373,390,356,206,81,2958,0,0,4,102,6,15,3,3,0,135,10,72,148,420,109,46,28,4,0,842,0,7,11,69,120,83,78,29,7,409,0,21,12,32,4,6,9,5,0,80
LGA22750,0,0,0,4,6,23,80,57,9,185,0,3,12,33,12,13,3,6,0,82,0,11,39,137,55,29,20,3,0,291,0,4,24,139,0,0,0,0,0,172,0,13,3,26,27,57,256,207,95,687,14,67,112,479,250,241,172,65,22,1417,0,0,0,39,45,78,113,65,31,368,8,42,67,136,7,8,9,0,0,274,0,0,0,15,35,15,4,0,0,74,6,56,112,566,228,176,121,31,4,1289,0,0,0,58,28,34,61,30,42,257,0,0,0,5,9,0,0,0,0,18,0,20,4,90,68,155,191,161,51,743,5,16,18,59,22,21,25,6,0,172,4,27,54,153,82,77,55,27,7,490,4,18,47,203,33,27,31,8,0,368,0,0,4,47,6,4,0,0,0,72,3,92,113,205,75,39,13,0,0,536,0,0,0,12,21,12,14,10,0,83,9,28,50,183,53,47,51,18,0,444
LGA22830,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,12,36,0,5,0,0,0,53,0,0,0,9,0,12,45,22,9,93,5,29,51,97,61,60,48,17,0,360,0,0,0,5,0,4,10,11,7,41,3,25,22,58,0,6,0,0,0,118,0,0,4,7,0,3,0,0,0,14,3,15,28,184,58,65,41,6,0,412,0,0,0,4,0,3,5,0,6,12,3,4,10,15,15,5,3,0,0,61,0,0,0,5,10,12,19,13,5,60,0,0,0,7,4,0,3,0,0,15,0,4,7,26,15,7,6,4,0,58,0,11,6,47,20,10,6,0,0,96,0,0,4,96,3,4,4,0,0,106,0,3,0,68,23,20,3,0,0,119,0,0,0,22,41,32,20,6,4,121,0,10,7,15,7,6,3,3,0,51
