LGA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA20110,5,4,27,87,7,109,6,100,7,349,19,21,96,100,29,36,19,64,4,389,120,192,213,137,75,52,59,107,15,963,234,302,187,123,94,70,59,102,22,1187,303,273,191,125,180,96,73,144,16,1414,286,228,181,148,149,115,102,180,16,1408,176,87,46,50,34,28,36,57,17,525,33,7,8,0,3,4,3,7,7,77,5,0,0,0,0,0,0,5,0,7,1172,1112,952,774,572,509,351,771,111,6320
LGA20260,9,4,41,36,8,94,8,78,9,281,18,22,63,71,26,44,26,109,5,388,104,170,137,142,87,48,53,203,19,957,209,140,99,108,85,50,42,119,12,860,205,157,95,187,105,53,58,125,17,1006,206,142,93,175,112,53,76,131,19,1008,134,50,27,44,25,13,26,57,17,392,42,3,4,0,0,0,0,8,7,62,5,0,0,0,0,0,0,3,5,12,939,682,555,771,437,357,276,829,115,4973
LGA20570,77,55,432,577,123,1256,82,751,49,3397,266,564,1009,1185,496,855,189,663,82,5312,1024,3202,2053,1696,1324,911,590,997,177,11977,1510,3328,1469,1281,1459,605,498,786,131,11078,1669,2606,1180,1315,1557,656,594,911,152,10639,1127,1790,969,1017,1268,575,616,855,118,8330,298,511,194,217,284,150,182,240,43,2119,64,55,16,10,19,18,3,19,19,231,4,0,0,4,5,0,0,0,11,28,6051,12096,7328,7300,6522,5024,2750,5233,792,53104
LGA20660,39,82,292,530,133,1014,58,553,33,2734,212,909,846,1012,638,960,189,448,91,5309,1554,5306,1838,1352,1568,717,349,572,196,13447,2897,6308,1590,1049,1749,580,309,433,257,15169,2891,4413,1396,1163,2068,692,439,604,193,13867,1636,2865,1003,948,1782,565,438,578,132,9943,436,972,295,227,550,199,137,206,33,3058,65,95,32,18,52,18,16,42,11,350,3,5,4,0,4,0,0,4,8,38,9738,20961,7289,6312,8534,4746,1933,3444,958,63920
LGA20740,16,3,138,192,19,333,6,185,39,921,51,88,244,228,73,158,35,141,19,1034,291,599,583,375,212,233,90,270,44,2693,496,708,586,390,346,199,118,317,44,3211,616,641,529,433,400,311,196,340,78,3543,589,659,448,409,516,323,249,418,73,3685,273,241,130,87,144,116,58,127,40,1217,53,32,12,9,16,12,3,17,11,162,13,0,3,0,0,0,0,0,3,16,2405,2984,2664,2119,1725,1681,763,1815,342,16498
LGA20830,23,25,242,235,73,478,47,413,17,1556,125,195,511,401,227,278,107,372,35,2257,554,1192,1114,683,603,321,333,702,102,5603,752,1114,820,605,613,307,330,516,90,5149,910,987,748,681,656,314,426,606,80,5402,819,845,619,519,661,297,427,527,65,4783,416,279,138,122,172,76,134,174,26,1533,143,35,14,10,24,10,15,24,20,288,13,0,0,0,0,0,0,3,8,30,3755,4668,4219,3258,3026,2085,1814,3337,444,26602
LGA20910,27,98,149,868,192,908,60,467,27,2793,192,778,405,887,570,838,125,258,52,4109,1055,2611,684,545,751,443,104,216,141,6539,2965,3842,581,479,958,555,73,154,171,9772,4313,4766,703,647,1602,800,135,220,230,13417,2706,3451,636,597,1348,578,134,224,166,9837,735,1238,215,155,571,252,60,141,53,3408,139,206,26,19,86,48,8,31,31,588,12,14,0,0,3,4,0,3,10,40,12136,16991,3399,4199,6074,4420,708,1699,877,50508
LGA21010,14,0,51,52,10,113,14,86,4,350,22,40,103,59,28,45,34,94,10,439,94,208,196,149,80,69,76,148,26,1037,164,196,170,133,87,56,69,112,17,1012,188,217,186,161,179,74,92,145,24,1260,244,235,187,186,177,77,138,178,26,1450,193,75,55,51,66,34,41,72,11,594,53,12,5,0,5,4,0,10,8,97,3,0,0,0,0,0,0,0,0,12,973,978,941,789,630,478,468,848,137,6251
LGA21110,47,195,130,1123,314,1416,108,702,36,4070,422,2228,681,1704,1366,1723,211,669,133,9132,2248,8410,1397,1363,1909,1172,302,529,303,17632,4171,7775,859,737,1654,808,170,294,335,16815,5663,7735,834,791,2301,1008,190,311,303,19137,3400,6023,754,742,1872,720,180,333,197,14222,1012,2253,223,227,741,248,80,159,95,5044,188,385,31,18,100,55,17,40,24,857,16,25,0,5,6,4,0,9,9,78,17169,35030,4911,6715,10260,7149,1257,3052,1443,86987
LGA21180,49,85,278,415,173,1356,174,748,84,3357,310,1174,1237,1253,1010,1507,793,1136,282,8705,1560,5079,3081,2327,2828,1436,2234,2135,713,21396,2108,3610,2520,1874,2478,985,1904,2004,509,17983,1770,2281,2196,1725,2352,917,2308,2426,402,16373,1162,1317,1651,1247,1812,716,2000,2049,278,12238,265,337,321,258,398,164,397,492,80,2714,28,38,17,6,35,17,17,37,5,196,0,3,0,0,0,0,0,0,4,10,7263,13915,11306,9092,11081,7105,9831,11033,2361,82979
LGA21270,11,0,23,9,4,29,4,58,4,139,17,17,34,24,15,16,9,30,5,171,89,95,39,40,19,28,20,56,4,398,99,60,52,33,28,18,28,45,3,369,175,71,46,56,66,27,53,70,10,573,219,79,65,59,69,28,55,73,7,652,140,27,23,14,27,13,27,25,4,293,33,3,0,3,4,0,0,3,4,50,0,0,0,0,0,0,0,0,6,6,785,354,284,230,227,160,204,365,48,2654
