LGA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
LGA20110,0,0,5,0,0,0,0,0,4,0,0,5,3,6,0,0,0,13,0,12,23,37,45,103,63,28,305,0,17,27,38,49,103,63,28,323,551,546,634,752,941,853,394,120,4789,68,40,45,53,78,58,34,15,402,622,605,702,850,1079,1008,489,156,5513,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,6,7,14,11,0,0,49,3,0,3,12,14,11,0,0,50,515,543,709,846,1004,901,525,199,5243,48,42,45,58,69,53,64,37,409,561,590,756,919,1079,967,590,239,5699,0,0,5,0,0,0,0,0,7,0,0,4,0,6,0,0,0,13,0,12,26,45,63,114,66,28,352,4,14,32,55,62,114,66,28,375,1068,1094,1339,1598,1941,1750,922,318,10028,118,85,87,111,146,113,96,52,811,1182,1194,1459,1760,2151,1982,1080,396,11211
LGA20260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,16,22,38,88,35,37,246,0,9,16,26,38,88,35,37,253,513,585,497,584,736,664,346,102,4022,67,230,214,206,150,112,71,16,1065,584,818,732,814,923,863,457,154,5334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,9,9,0,3,34,0,6,3,4,9,9,0,3,34,500,576,544,658,766,724,424,201,4395,41,37,37,44,51,49,35,20,311,540,620,588,706,820,779,465,222,4741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,14,33,51,92,42,37,280,0,9,14,35,51,92,42,37,283,1016,1164,1041,1236,1499,1381,768,296,8414,107,266,254,244,199,169,108,39,1377,1121,1438,1312,1520,1745,1644,915,371,10072
LGA20570,4,3,4,9,6,0,0,0,34,6,21,10,5,12,0,0,0,50,19,104,167,267,375,532,433,248,2146,27,128,179,289,395,532,433,248,2228,6645,7142,6150,5967,5596,4683,2388,634,39206,387,420,302,330,285,289,207,138,2357,7058,7689,6634,6584,6276,5499,3027,1030,43794,0,4,0,4,0,0,0,0,13,3,3,7,4,0,0,0,0,16,5,19,33,64,94,60,17,11,303,6,28,39,71,101,60,17,11,327,6648,7402,7086,6904,6677,6063,3391,1540,45712,405,407,314,289,263,302,312,297,2592,7066,7844,7438,7264,7039,6431,3717,1848,48643,4,11,4,14,8,0,0,0,44,8,22,17,9,12,0,0,0,67,23,119,195,328,473,595,449,265,2455,34,156,220,356,492,595,449,265,2561,13296,14547,13234,12878,12272,10749,5777,2178,84925,792,830,618,616,550,589,522,437,4951,14126,15533,14072,13845,13314,11927,6743,2877,92434
LGA20660,152,136,83,64,17,0,0,0,457,6,19,32,22,18,0,0,0,98,8,78,147,206,244,501,441,263,1883,170,227,258,289,286,501,441,263,2441,6810,7435,8260,7689,6503,5202,2905,930,45743,266,321,313,239,215,182,136,90,1765,7251,7983,8836,8224,7010,5883,3487,1279,49949,26,28,13,13,3,0,0,0,85,4,5,11,8,4,0,0,0,32,0,15,20,46,58,46,22,29,234,27,43,43,68,59,46,22,29,346,6371,7930,9012,8406,7602,6523,4009,1948,51801,193,288,271,218,190,233,161,143,1708,6584,8269,9329,8698,7849,6811,4194,2121,53856,178,162,98,75,26,0,0,0,540,11,22,37,31,25,0,0,0,127,8,89,167,250,301,546,464,288,2120,198,272,304,360,347,546,464,288,2784,13184,15368,17275,16094,14108,11728,6914,2875,97552,456,610,587,464,404,416,299,237,3475,13841,16254,18164,16921,14862,12694,7678,3400,103806
LGA20740,0,0,0,4,0,0,0,0,4,0,0,3,0,3,0,0,0,12,0,22,38,77,99,348,244,131,968,0,24,36,77,107,348,244,131,978,1553,1567,1843,2090,2821,2942,1387,287,14493,123,103,145,167,190,227,152,92,1204,1679,1699,2025,2339,3122,3523,1787,504,16670,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,8,14,46,24,13,9,126,0,9,9,14,46,24,13,9,125,1472,1750,2053,2308,3289,3406,1650,602,16526,120,130,155,151,214,241,193,99,1296,1592,1886,2215,2480,3549,3664,1852,706,17951,0,0,0,4,0,0,0,0,4,0,0,3,0,3,0,0,0,12,0,27,46,94,149,373,265,140,1090,0,30,50,94,157,373,265,140,1107,3023,3314,3893,4400,6112,6348,3038,889,31014,249,232,295,318,406,466,340,188,2500,3273,3585,4242,4815,6672,7185,3641,1218,34626
LGA20830,3,4,0,0,0,0,0,0,15,0,6,4,4,6,0,0,0,27,3,61,76,108,167,357,251,146,1160,9,72,78,119,177,357,251,146,1200,2860,3123,2894,2990,3218,2924,1559,332,19901,179,176,211,202,194,178,130,64,1335,3046,3377,3186,3304,3583,3461,1935,537,22429,0,4,0,5,0,0,0,0,5,4,0,0,0,0,0,0,0,0,3,16,23,25,43,31,14,7,154,11,13,23,27,43,31,14,7,163,2881,3517,3165,3415,3764,3404,1839,699,22681,162,225,197,176,185,189,158,104,1387,3052,3758,3378,3620,3989,3618,2008,817,24236,6,3,0,5,0,0,0,0,19,0,8,4,4,8,0,0,0,29,8,78,91,135,207,385,258,156,1315,19,85,101,140,220,385,258,156,1365,5740,6637,6056,6406,6982,6324,3397,1037,42587,339,405,408,379,379,365,284,163,2721,6098,7130,6567,6921,7577,7078,3940,1359,46666
LGA20910,4,4,4,7,0,0,0,0,18,11,12,12,12,8,0,0,0,51,12,31,83,164,170,411,360,289,1520,25,42,102,182,179,411,360,289,1590,6170,3610,5131,7196,6360,4559,2570,807,36402,162,153,203,264,167,163,173,129,1415,6359,3806,5443,7639,6700,5125,3097,1225,39406,0,0,0,5,0,0,0,0,5,3,0,0,8,7,0,0,0,13,4,0,10,33,47,27,17,45,183,5,0,9,39,51,27,17,45,200,5661,3952,6144,8325,7094,5691,3587,1866,42321,145,150,209,253,195,234,233,285,1709,5810,4101,6372,8621,7337,5952,3838,2201,44233,4,4,4,9,0,0,0,0,21,14,12,15,12,9,0,0,0,60,13,35,97,197,212,437,375,335,1706,34,45,114,217,230,437,375,335,1782,11837,7554,11278,15520,13457,10250,6152,2668,78725,309,300,417,521,356,396,403,415,3121,12177,7912,11814,16260,14041,11081,6937,3422,83632
LGA21010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,4,10,18,26,69,124,88,66,408,5,13,18,31,73,124,88,66,415,644,621,570,706,959,941,518,123,5085,71,63,56,67,81,91,52,25,504,718,693,637,805,1118,1157,662,219,5999,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,9,13,10,8,4,53,0,5,6,9,17,10,8,4,55,565,631,639,845,1138,1103,640,289,5854,65,63,62,68,84,72,81,54,546,636,694,712,925,1237,1189,728,345,6459,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,4,10,25,34,81,137,97,70,457,5,14,24,37,88,137,97,70,465,1212,1253,1209,1549,2104,2050,1159,407,10938,135,128,118,133,164,159,130,82,1050,1347,1389,1350,1725,2350,2342,1392,566,12460
LGA21110,5,6,14,13,0,0,0,0,37,19,41,21,19,23,0,0,0,123,15,68,103,234,235,450,457,382,1943,39,116,138,259,263,450,457,382,2099,11958,9897,9021,10403,9379,6745,3707,1304,62408,331,417,315,350,275,221,180,136,2222,12329,10424,9469,11016,9915,7420,4347,1820,66732,4,0,5,3,0,0,0,0,12,0,5,3,3,4,0,0,0,14,5,12,13,38,39,34,13,33,195,10,18,18,49,49,34,13,33,219,11583,10228,10606,12407,10539,8211,5194,2799,71570,340,372,307,341,247,262,277,305,2445,11929,10620,10937,12800,10831,8499,5479,3143,74237,7,6,16,17,0,0,0,0,47,23,45,22,21,24,0,0,0,135,19,81,114,269,278,486,470,415,2135,47,129,157,308,305,486,470,415,2322,23539,20120,19626,22818,19919,14951,8903,4101,133977,669,789,623,691,522,480,456,441,4668,24255,21044,20408,23812,20747,15917,9829,4961,140967
LGA21180,7,8,11,6,12,0,0,0,45,10,16,14,11,4,0,0,0,56,15,61,89,123,173,335,203,87,1086,26,93,117,143,191,335,203,87,1189,11756,14487,12122,10976,10624,8048,4081,1154,73247,918,1368,1002,731,587,447,360,148,5558,12694,15946,13239,11849,11396,8831,4643,1391,79991,4,6,6,7,3,0,0,0,26,0,0,0,0,0,0,0,0,3,3,5,10,25,34,21,11,8,109,5,17,18,28,36,21,11,8,140,11098,13492,12309,12018,11156,8996,4709,1950,75735,726,1101,852,657,516,456,357,313,4980,11835,14610,13179,12708,11706,9475,5071,2271,80858,7,18,18,14,15,0,0,0,73,9,17,21,9,6,0,0,0,62,20,70,97,146,215,354,211,94,1198,32,103,128,169,229,354,211,94,1330,22852,27983,24432,22998,21777,17049,8786,3101,148979,1645,2467,1857,1389,1101,901,713,465,10537,24536,30553,26419,24555,23114,18308,9714,3664,160852
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,51,16,22,114,0,0,0,17,19,51,16,22,117,288,245,222,356,478,436,223,65,2316,40,28,23,41,45,51,29,16,270,334,272,253,408,533,531,267,106,2699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,21,0,0,0,3,6,0,0,3,21,219,258,222,363,473,386,241,142,2299,19,23,20,32,35,27,38,38,226,234,276,237,397,516,416,285,182,2543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,56,14,25,139,0,0,0,17,21,56,14,25,139,502,497,444,722,951,815,462,202,4606,60,46,39,74,83,74,72,53,505,568,550,490,805,1051,945,547,286,5241
LGA21370,0,0,0,0,0,0,0,0,8,0,5,5,0,0,0,0,0,13,9,12,24,76,117,251,188,120,801,9,21,30,74,118,251,188,120,815,1962,1725,1678,2130,2527,2153,1243,322,13732,154,152,126,183,180,186,138,70,1191,2127,1894,1834,2384,2822,2585,1573,507,15740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,17,24,20,11,5,92,3,7,7,17,30,20,11,5,97,1830,1856,1910,2380,2706,2378,1450,596,15094,134,138,133,134,157,166,169,164,1193,1962,2005,2050,2532,2891,2552,1629,766,16383,0,0,0,0,6,0,0,0,3,0,5,3,0,0,0,0,0,11,12,17,29,91,140,266,201,123,892,13,25,38,94,144,266,201,123,912,3788,3581,3583,4503,5235,4526,2696,914,28835,289,292,256,317,334,352,311,232,2382,4085,3902,3885,4918,5716,5143,3201,1273,32122
LGA21450,0,11,5,0,3,0,0,0,25,9,19,11,4,4,0,0,0,46,17,92,142,207,259,349,246,134,1452,30,126,163,217,263,349,246,134,1524,6935,8301,8077,6488,5114,3548,1822,404,40682,412,489,436,368,237,212,140,57,2352,7374,8915,8672,7063,5618,4103,2210,591,44553,0,3,0,3,0,0,0,0,10,3,3,0,0,0,0,0,0,10,0,16,31,35,62,38,9,16,212,5,25,32,39,63,38,9,16,232,6600,9173,8397,7017,5706,4339,2210,754,44196,368,492,405,340,275,222,207,138,2448,6974,9685,8841,7396,6045,4599,2430,902,46867,3,14,6,4,6,0,0,0,29,13,25,8,8,4,0,0,0,57,21,108,175,244,318,384,264,148,1662,32,147,190,256,333,384,264,148,1751,13538,17472,16474,13500,10820,7884,4036,1155,84871,779,980,840,705,514,432,341,198,4797,14348,18597,17514,14459,11663,8701,4640,1494,91426
LGA21610,17,43,40,10,6,0,0,0,118,15,40,37,16,18,0,0,0,126,29,173,256,388,543,674,459,264,2780,66,259,328,416,566,674,459,264,3027,23108,25215,27369,21002,16624,10179,4684,1151,129336,1268,1658,1393,965,736,481,335,148,6996,24449,27135,29092,22386,17923,11340,5468,1567,139362,3,20,5,4,3,0,0,0,39,5,6,3,6,3,0,0,0,25,9,24,30,87,79,72,24,24,358,15,54,44,97,86,72,24,24,419,21929,26963,27626,21801,17501,11684,5799,2328,135633,1080,1537,1240,966,690,563,418,291,6785,23017,28552,28909,22866,18281,12320,6242,2646,142834,21,60,42,17,15,0,0,0,158,25,47,38,24,14,0,0,0,147,44,201,286,472,622,749,482,283,3136,82,307,369,514,659,749,482,283,3441,45040,52174,54996,42806,34123,21862,10482,3484,264964,2347,3200,2635,1928,1424,1051,753,444,13780,47470,55683,58004,45253,36204,23658,11711,4207,282197
LGA21670,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,13,32,57,115,88,58,372,0,12,14,30,59,115,88,58,377,596,518,462,718,880,934,570,129,4805,51,45,46,90,69,74,63,23,464,652,574,526,843,1006,1115,714,210,5645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,9,19,16,3,0,48,0,3,8,9,21,16,3,0,55,541,571,542,773,1019,1052,637,258,5384,50,36,43,61,64,74,73,36,435,590,608,590,836,1098,1138,716,294,5867,0,0,0,0,3,0,0,0,7,0,0,0,0,4,0,0,0,0,3,5,22,42,75,128,88,57,420,3,9,22,39,79,128,88,57,429,1135,1088,999,1482,1895,1984,1209,389,10183,103,83,94,149,131,149,135,56,900,1238,1185,1108,1678,2111,2260,1433,501,11511
LGA21750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,20,30,63,132,92,63,409,0,10,20,33,63,132,92,63,413,1126,1201,1129,1254,1447,1266,661,150,8227,72,95,79,94,106,100,56,30,635,1204,1305,1230,1380,1612,1497,806,240,9276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,11,14,0,4,52,0,5,0,11,11,14,0,4,52,980,1194,1160,1329,1505,1450,758,364,8747,53,73,73,88,96,105,78,38,620,1036,1271,1238,1435,1613,1573,842,415,9412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,24,46,75,150,92,65,465,0,13,24,48,75,150,92,65,468,2108,2390,2287,2584,2946,2722,1421,515,16974,132,170,151,186,199,205,136,72,1251,2237,2573,2463,2814,3223,3071,1651,651,18690
